LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 107, 7.0, 11, 21663017, 13.0, 13.9, 1, 340, 1913, 469, 991, 201577, 31, 31, 4.3, 
Auburn, 148, 11.2, 2898, 32317198, 13.2, 14.4, 1, 3270, 6299, 2545, 4010, 634717, 7, 6, 4.2, 
Bankstown, 361, 8.4, 1677, 106801493, 17.9, 19.6, 6, 1173, 7822, 4163, 9162, 1569662, 45, 45, 5.2, 
Botany Bay, 123, 6.3, 0, 20000863, 13.2, 14.1, 3, 69, 382, 469, 1123, 187813, 6, 6, 5.8, 
Burwood, 109, 4.7, 645, 17152785, 14.7, 16.3, 2, 131, 1181, 488, 1116, 215786, 9, 9, 3.4, 
Canada Bay, 87, 5.5, 467, 47935860, 15.2, 16.5, 6, 1052, 1585, 958, 2163, 401732, 34, 33, 4.1, 
Canterbury, 197, 7.4, 82, 69917300, 14.1, 15.3, 2, 480, 2193, 2197, 4619, 861948, 18, 18, 8.1, 
Cessnock, 59, 7.5, 0, 38227628, 19.3, 20.8, 13, 1060, 3104, 1927, 5175, 924488, 0, 0, 0.0, 
Gosford, 196, 3.4, 135, 123320399, 17.7, 18.8, 19, 6257, 6719, 5560, 11534, 2360319, 7, 7, 5.7, 
Hornsby, 289, 7.9, 47, 108712449, 21.2, 22.9, 11, 3199, 3594, 4090, 8764, 1580139, 35, 35, 4.9, 
Hunters Hill, 60, 5.8, 0, 11135640, 23.2, 25.5, 0, 12, 203, 182, 467, 77379, 66, 66, 3.8, 
Hurstville, 113, 4.8, 0, 45617889, 16.0, 17.0, 1, 91, 1863, 1690, 3555, 725704, 9, 9, 5.9, 
Kogarah, 56, 3.9, 0, 33403495, 16.3, 17.7, 3, 1352, 2749, 944, 2079, 389275, 7, 7, 6.9, 
Ku-ring-gai, 437, 6.3, 4650, 95567810, 25.3, 27.9, 2, 253, 7893, 1879, 4310, 766391, 22, 22, 5.5, 
Lake Macquarie, 268, 2.1, 4441, 135198762, 18.6, 20.0, 7, 5537, 5342, 7918, 18453, 3697290, 14, 14, 6.8, 
Lane Cove, 76, 8.6, 0, 23801152, 18.9, 20.7, 0, 89, 1245, 465, 1121, 171554, 26, 26, 5.0, 
Leichhardt, 213, 5.1, 1230, 32416232, 14.0, 15.2, 1, 340, 1654, 665, 1493, 263184, 38, 38, 4.8, 
Maitland, 288, 5.2, 0, 46902708, 18.2, 19.8, 10, 4771, 3735, 2392, 5895, 1201937, 2, 2, 6.5, 
Manly, 58, 6.7, 0, 29076944, 16.5, 18.0, 2, 499, 360, 523, 1175, 208640, 16, 16, 8.5, 
Marrickville, 161, 6.6, 743, 43056103, 12.9, 13.9, 1, 60, 3780, 1078, 2562, 392067, 31, 31, 3.8, 
Mosman, 204, 5.8, 0, 25616732, 20.5, 22.2, 0, 2, 299, 247, 666, 101234, 21, 21, 4.7, 
Muswellbrook, 13, 3.4, 0, 12904343, 20.7, 22.8, 6, 2382, 2665, 395, 1390, 303190, 0, 0, 0.0, 
Newcastle, 296, 2.7, 113, 91423140, 14.8, 15.9, 5, 992, 11561, 4992, 11142, 2474126, 10, 10, 3.4, 
North Sydney, 142, 7.6, 0, 46544632, 13.8, 14.8, 3, 642, 1637, 269, 659, 113260, 12, 12, 6.5, 
Pittwater, 96, 5.5, 0, 43396237, 19.4, 20.9, 1, 153, 1885, 1273, 2946, 585506, 14, 14, 5.2, 
Port Stephens, 240, 6.2, 0, 50787002, 17.6, 18.8, 5, 17549, 4401, 3027, 7117, 1449681, 0, 0, 0.0, 
Randwick, 367, 8.0, 967, 76370088, 14.2, 15.2, 3, 1633, 4399, 1322, 3032, 591169, 57, 57, 6.0, 
Rockdale, 144, 5.4, 0, 55802339, 14.8, 15.9, 0, 440, 2054, 1350, 2821, 510033, 10, 10, 4.6, 
Ryde, 167, 5.1, 952, 62030451, 15.6, 17.0, 9, 2984, 2403, 1968, 4248, 819558, 33, 33, 4.6, 
Singleton, 6, 0.8, 0, 18936879, 22.4, 24.8, 8, 656, 4998, 823, 2874, 560947, 1, 1, 13.0, 
Strathfield, 126, 5.5, 2387, 20224305, 16.5, 18.1, 4, 2380, 3957, 515, 1192, 191326, 17, 17, 4.8, 
Sutherland, 253, 5.3, 0, 161489457, 20.8, 22.3, 3, 321, 4632, 4468, 10415, 1969359, 81, 81, 5.5, 
Sydney, 374, 7.5, 1206, 101473283, 11.3, 12.2, 5, 1718, 9363, 605, 1790, 252430, 56, 55, 6.5, 
Upper Hunter, 5, 2.5, 0, 10835261, 22.1, 23.7, 12, 274, 1877, 333, 1166, 261750, 0, 0, 0.0, 
Warringah, 186, 5.8, 91, 92174296, 17.4, 18.7, 6, 1505, 4858, 3043, 6759, 1371588, 28, 28, 8.2, 
Waverley, 127, 9.8, 455, 43841562, 14.6, 15.5, 0, 188, 1370, 482, 1102, 211613, 14, 14, 8.5, 
Willoughby, 96, 6.3, 0, 43916094, 16.6, 18.3, 0, 6, 2015, 1004, 2457, 445113, 8, 8, 5.5, 
Woollahra, 274, 9.0, 0, 53568885, 21.5, 22.9, 1, 385, 1875, 277, 768, 129462, 5, 5, 5.8, 
Wyong, 260, 5.3, 2020, 105505381, 17.5, 18.5, 9, 1005, 3882, 5879, 11821, 2291059, 26, 26, 4.8, 
Total Network, 6782, 6.6, 25217, 2199066099, 16.8, 18.1, 171, 65250, 133747, 72874, 164135, 31464007, 816, 813, 5.4, 
