LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 44, 2.2, 181, 20304312, 12.4, 12.5, 1, 14, 225, 230, 464, 102369, 4, 4, 4.0, 
Auburn, 59, 2.1, 0, 31838130, 14.1, 14.3, 4, 395, 2773, 1680, 1856, 276148, 3, 2, 13.7, 
Bankstown, 123, 2.1, 3661, 104161753, 18.2, 18.5, 5, 7696, 3274, 1435, 2701, 626656, 100, 74, 4.7, 
Botany Bay, 45, 0.8, 0, 19238020, 13.1, 13.5, 0, 2073, 558, 198, 392, 82095, 5, 5, 5.6, 
Burwood, 55, 1.6, 579, 16566580, 15.0, 15.2, 2, 755, 383, 202, 432, 102620, 13, 12, 9.9, 
Canada Bay, 99, 1.9, 1956, 44804970, 15.3, 15.6, 3, 409, 2200, 449, 928, 222960, 31, 27, 5.9, 
Canterbury, 73, 2.2, 1488, 68495082, 14.2, 14.4, 5, 6941, 3752, 821, 1518, 360883, 4, 3, 6.3, 
Cessnock, 50, 3.6, 0, 39426175, 20.7, 21.2, 11, 85, 3163, 764, 1829, 462723, 2, 2, 5.0, 
Gosford, 151, 2.1, 213, 120355339, 17.7, 18.1, 9, 582, 5504, 3114, 5844, 1498695, 6, 6, 10.7, 
Hornsby, 171, 0.9, 0, 99734989, 19.8, 20.2, 4, 3017, 3781, 2314, 4411, 1037751, 23, 20, 8.5, 
Hunters Hill, 22, 0.8, 0, 10888451, 23.7, 24.1, 0, 0, 265, 105, 253, 56017, 11, 9, 4.3, 
Hurstville, 66, 2.2, 0, 44576527, 16.0, 16.3, 1, 74, 2512, 793, 1558, 384552, 7, 6, 5.3, 
Kogarah, 24, 2.3, 0, 33191791, 17.0, 17.4, 2, 99, 1675, 456, 874, 209910, 2, 2, 6.0, 
Ku-ring-gai, 173, 1.0, 1667, 91143938, 25.5, 25.8, 4, 536, 3558, 1080, 2192, 520051, 25, 20, 10.6, 
Lake Macquarie, 259, 1.6, 0, 134131358, 19.0, 19.6, 11, 1625, 12744, 4021, 8294, 2269129, 7, 4, 6.6, 
Lane Cove, 23, 1.1, 0, 21692303, 17.6, 17.8, 1, 487, 1486, 270, 577, 134464, 7, 7, 7.9, 
Leichhardt, 54, 2.2, 1, 29084510, 12.8, 12.9, 1, 370, 478, 369, 698, 161558, 58, 26, 5.6, 
Maitland, 132, 1.6, 0, 50272373, 21.2, 21.9, 11, 2556, 4248, 1044, 2356, 649569, 10, 9, 8.6, 
Manly, 35, 1.2, 0, 25737957, 14.9, 15.2, 1, 1172, 715, 321, 692, 180444, 60, 50, 6.9, 
Marrickville, 91, 3.1, 2221, 37298656, 11.5, 11.8, 2, 649, 3817, 515, 974, 235205, 11, 11, 9.8, 
Mosman, 62, 1.3, 0, 22450781, 18.2, 18.5, 2, 141, 406, 135, 286, 64543, 38, 33, 6.9, 
Muswellbrook, 15, 4.5, 0, 13609564, 23.8, 24.5, 8, 159, 2571, 139, 457, 143838, 0, 0, 0.0, 
Newcastle, 277, 1.7, 1566, 92621501, 15.4, 15.8, 10, 5257, 8936, 2663, 5324, 1552908, 102, 74, 9.0, 
North Sydney, 39, 1.3, 0, 39757864, 12.0, 12.2, 2, 65, 939, 150, 312, 74050, 16, 14, 9.0, 
Pittwater, 58, 1.3, 2718, 41755578, 19.4, 19.9, 3, 1449, 4372, 860, 1849, 492856, 18, 14, 7.3, 
Port Stephens, 126, 3.0, 2907, 52906474, 19.4, 19.9, 9, 70, 3056, 1590, 3235, 919542, 4, 4, 9.0, 
Randwick, 132, 2.0, 0, 69172682, 13.3, 13.5, 2, 62, 1966, 670, 1441, 371938, 34, 29, 10.0, 
Rockdale, 75, 3.0, 0, 51009097, 14.0, 14.4, 1, 316, 830, 600, 1142, 283406, 1, 1, 6.0, 
Ryde, 149, 0.9, 0, 61889064, 16.1, 16.4, 3, 1770, 2768, 1034, 1933, 458457, 36, 33, 6.4, 
Singleton, 12, 1.2, 0, 21799947, 26.8, 27.0, 12, 8, 3817, 297, 983, 259615, 0, 0, 0.0, 
Strathfield, 44, 2.4, 212, 20297357, 17.0, 17.3, 2, 574, 2473, 188, 368, 74393, 26, 25, 8.2, 
Sutherland, 256, 3.7, 0, 153282923, 20.3, 20.7, 8, 1402, 4355, 2378, 4803, 1234596, 138, 122, 6.3, 
Sydney, 201, 5.7, 1632, 98202563, 11.4, 11.7, 7, 4709, 7022, 328, 708, 161994, 19, 14, 4.9, 
Upper Hunter, 5, 1.7, 0, 10633019, 22.2, 22.7, 14, 0, 1733, 122, 422, 138505, 0, 0, 0.0, 
Warringah, 100, 1.2, 1063, 85681727, 16.5, 16.9, 4, 438, 6220, 1933, 3996, 1052751, 23, 17, 7.3, 
Waverley, 64, 4.3, 0, 39275388, 13.3, 13.6, 3, 275, 666, 292, 628, 157662, 19, 11, 5.3, 
Willoughby, 54, 1.2, 91, 41426139, 16.4, 16.6, 2, 918, 2462, 530, 1140, 293953, 7, 5, 5.0, 
Woollahra, 66, 3.9, 0, 48019748, 19.5, 19.9, 2, 515, 1128, 147, 336, 83310, 8, 8, 8.1, 
Wyong, 151, 1.8, 1934, 100141865, 17.0, 17.6, 6, 5939, 7591, 3217, 5762, 1605020, 14, 6, 8.2, 
Total Network, 3635, 2.1, 24090, 2106876494, 16.6, 17.0, 178, 53602, 120422, 37454, 73965, 18997134, 892, 709, 6.7, 
