LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 49, 3.0, 332, 22822598, 13.5, 14.8, 3, 137, 725, 474, 1007, 223664, 12, 12, 4.3, 
Auburn, 62, 5.5, 0, 34266033, 13.8, 15.3, 3, 218, 2379, 2575, 4145, 714929, 6, 6, 3.8, 
Bankstown, 198, 3.6, 4586, 109805213, 18.2, 20.1, 5, 3049, 8565, 4255, 9525, 2001320, 31, 31, 3.4, 
Botany Bay, 56, 4.2, 0, 20456122, 13.2, 14.4, 3, 489, 1152, 476, 1181, 216458, 17, 17, 6.4, 
Burwood, 47, 4.3, 579, 17634876, 14.7, 16.6, 1, 53, 931, 496, 1135, 260937, 3, 3, 3.0, 
Canada Bay, 70, 2.6, 1956, 45698269, 14.2, 15.9, 1, 215, 5106, 978, 2249, 536169, 36, 36, 4.9, 
Canterbury, 134, 4.7, 1890, 75648280, 15.1, 16.4, 3, 518, 4873, 2222, 4718, 978848, 10, 10, 6.5, 
Cessnock, 57, 2.9, 0, 38201962, 19.0, 20.8, 19, 8219, 2848, 1993, 5517, 1223797, 0, 0, 0.0, 
Gosford, 120, 4.7, 0, 130554828, 18.5, 19.9, 16, 1278, 5911, 5669, 12167, 2722439, 27, 27, 4.3, 
Hornsby, 472, 14.3, 0, 107440961, 20.7, 22.9, 6, 1587, 6779, 4159, 9066, 2083524, 47, 47, 2.9, 
Hunters Hill, 73, 11.0, 0, 11965898, 24.5, 27.4, 2, 109, 1056, 186, 478, 93610, 5, 5, 4.4, 
Hurstville, 89, 3.8, 0, 47695771, 16.5, 17.9, 2, 482, 2526, 1713, 3636, 819288, 9, 9, 5.1, 
Kogarah, 30, 3.3, 0, 36438472, 17.6, 19.1, 6, 443, 468, 959, 2127, 444158, 1, 1, 13.0, 
Ku-ring-gai, 478, 12.2, 1373, 99671124, 26.0, 29.1, 9, 3043, 2849, 1919, 4460, 895736, 45, 45, 3.3, 
Lake Macquarie, 202, 2.0, 3098, 136358186, 18.5, 20.2, 16, 6047, 8293, 8084, 19013, 4653724, 16, 16, 4.2, 
Lane Cove, 159, 15.3, 0, 24399426, 19.1, 21.3, 0, 6, 1380, 476, 1169, 239125, 47, 47, 4.5, 
Leichhardt, 107, 3.3, 49, 32850237, 14.1, 15.5, 0, 239, 915, 681, 1531, 316037, 27, 27, 3.6, 
Maitland, 142, 3.3, 0, 48070752, 18.3, 20.2, 8, 1687, 7030, 2469, 6214, 1512921, 5, 5, 3.2, 
Manly, 35, 4.7, 0, 29200871, 16.4, 18.3, 4, 2660, 470, 533, 1208, 277026, 16, 16, 3.6, 
Marrickville, 95, 3.8, 3059, 42821974, 12.6, 14.1, 0, 7, 3352, 1099, 2660, 533843, 17, 17, 3.3, 
Mosman, 224, 7.4, 0, 25128008, 19.9, 22.2, 0, 165, 353, 252, 686, 137598, 31, 31, 4.0, 
Muswellbrook, 14, 4.3, 0, 14287921, 22.5, 25.5, 13, 381, 3120, 414, 1460, 350658, 4, 4, 4.0, 
Newcastle, 157, 2.0, 0, 93935479, 15.0, 16.5, 10, 3969, 6315, 5101, 11587, 2926557, 5, 5, 3.6, 
North Sydney, 167, 14.5, 0, 44796873, 13.0, 14.6, 0, 72, 878, 272, 700, 148552, 41, 41, 3.4, 
Pittwater, 70, 4.7, 2718, 46597837, 20.5, 22.5, 1, 2441, 519, 1298, 3029, 657460, 15, 15, 3.7, 
Port Stephens, 100, 3.7, 0, 54561129, 18.7, 20.3, 9, 417, 10028, 3106, 7415, 1745757, 1, 1, 5.0, 
Randwick, 177, 7.4, 0, 81573957, 14.9, 16.4, 6, 1072, 4155, 1353, 3177, 696296, 87, 87, 3.8, 
Rockdale, 83, 4.6, 0, 54907822, 14.3, 15.7, 2, 915, 1548, 1369, 2885, 677548, 6, 6, 5.3, 
Ryde, 275, 14.5, 0, 67742844, 16.9, 18.5, 9, 7444, 3386, 2001, 4365, 905664, 79, 79, 3.2, 
Singleton, 6, 0.8, 0, 20129914, 23.5, 26.4, 13, 13, 2368, 863, 3032, 715407, 0, 0, 0.0, 
Strathfield, 50, 5.4, 212, 21061524, 16.7, 18.6, 1, 265, 985, 524, 1303, 253357, 12, 12, 4.9, 
Sutherland, 208, 5.3, 0, 168401698, 21.5, 23.2, 2, 522, 7570, 4549, 10700, 2354881, 68, 68, 4.6, 
Sydney, 214, 4.0, 698, 104188883, 11.4, 12.6, 9, 4571, 5325, 649, 2091, 302005, 22, 22, 6.7, 
Upper Hunter, 10, 6.3, 0, 11079895, 22.3, 24.3, 8, 441, 1610, 356, 1248, 347039, 1, 1, 5.0, 
Warringah, 141, 5.2, 1063, 91981881, 17.1, 18.8, 4, 2067, 2382, 3084, 6908, 1688546, 38, 38, 4.5, 
Waverley, 89, 4.0, 0, 44610484, 14.7, 16.1, 0, 31, 755, 492, 1130, 245705, 15, 15, 4.7, 
Willoughby, 87, 13.2, 91, 48309254, 18.0, 20.1, 3, 305, 2557, 1024, 2535, 521596, 31, 31, 5.5, 
Woollahra, 143, 5.3, 0, 51751789, 20.5, 22.7, 1, 1827, 490, 292, 830, 173193, 4, 4, 3.3, 
Wyong, 150, 3.3, 2937, 105114415, 17.2, 18.6, 3, 207, 6861, 5998, 12304, 3031378, 10, 10, 4.5, 
Total Network, 5040, 7.9, 24641, 2262163462, 17.0, 18.7, 201, 58527, 128813, 74413, 170592, 38626752, 847, 847, 4.1, 
