LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 32, 2.5, 0, 19797413, 11.8, 12.7, 2, 54, 511, 373, 751, 211078, 14, 14, 4.7, 
Auburn, 99, 1.6, 1377, 30013875, 12.6, 13.8, 1, 1699, 1290, 2086, 2633, 576313, 12, 12, 3.8, 
Bankstown, 121, 1.8, 0, 98247468, 16.5, 17.6, 8, 3041, 5041, 2640, 5080, 1376114, 69, 66, 5.7, 
Botany Bay, 34, 1.2, 704, 18742992, 12.5, 13.2, 2, 143, 4283, 330, 661, 188054, 5, 5, 6.0, 
Burwood, 31, 1.7, 0, 15803852, 13.7, 14.7, 1, 520, 1568, 354, 750, 216039, 16, 16, 5.9, 
Canada Bay, 50, 1.5, 571, 42696889, 14.0, 15.3, 2, 664, 1784, 725, 1550, 443523, 16, 16, 4.8, 
Canterbury, 123, 2.0, 0, 65862156, 13.2, 14.1, 4, 176, 3069, 1462, 2784, 790729, 6, 6, 6.5, 
Cessnock, 115, 4.7, 4041, 35920429, 18.3, 19.7, 14, 1732, 3993, 1173, 2826, 841807, 1, 1, 5.0, 
Gosford, 108, 1.6, 1778, 116209772, 16.6, 17.4, 7, 19365, 5071, 4447, 8733, 2631174, 28, 20, 7.0, 
Hornsby, 136, 0.9, 0, 97790797, 18.9, 20.4, 7, 3894, 5291, 3182, 6249, 1753219, 27, 26, 5.5, 
Hunters Hill, 23, 0.9, 584, 9952151, 20.6, 21.1, 1, 838, 36, 150, 371, 101938, 11, 10, 6.8, 
Hurstville, 64, 4.1, 0, 42602459, 14.9, 16.0, 3, 1953, 1651, 1235, 2434, 728612, 12, 11, 6.1, 
Kogarah, 59, 3.7, 109, 31149448, 15.2, 16.2, 0, 373, 436, 677, 1345, 410039, 1, 1, 7.0, 
Ku-ring-gai, 195, 1.0, 0, 88149402, 23.7, 25.8, 6, 3825, 4414, 1517, 3224, 866072, 31, 29, 5.8, 
Lake Macquarie, 332, 1.8, 0, 127762451, 17.6, 18.9, 7, 948, 7938, 5872, 12454, 4031828, 11, 10, 6.8, 
Lane Cove, 41, 1.2, 573, 20464070, 16.1, 16.7, 2, 723, 288, 373, 838, 237106, 3, 3, 5.3, 
Leichhardt, 64, 2.2, 145, 28853526, 12.4, 13.4, 3, 746, 3530, 528, 1060, 285474, 27, 26, 3.9, 
Maitland, 100, 1.2, 160, 44636745, 17.9, 19.7, 12, 2469, 8094, 1645, 3715, 1168420, 8, 6, 9.0, 
Manly, 21, 1.3, 812, 25607073, 14.5, 15.0, 2, 3307, 643, 434, 919, 283543, 6, 5, 9.2, 
Marrickville, 100, 2.8, 0, 37229682, 11.1, 11.8, 1, 1757, 344, 809, 1619, 450622, 19, 19, 3.8, 
Mosman, 45, 1.2, 1549, 22092824, 17.5, 18.2, 0, 91, 985, 200, 493, 140653, 9, 9, 5.9, 
Muswellbrook, 13, 1.6, 0, 11901632, 19.6, 20.8, 9, 126, 1607, 212, 713, 261774, 0, 0, 0.0, 
Newcastle, 152, 2.3, 0, 86497608, 14.0, 15.0, 18, 1854, 6395, 3828, 7930, 2639298, 43, 38, 5.5, 
North Sydney, 43, 1.3, 493, 40406717, 11.9, 12.6, 5, 947, 1882, 213, 462, 128187, 7, 6, 6.7, 
Pittwater, 40, 1.0, 0, 40868400, 18.3, 18.8, 0, 14, 3011, 1086, 2376, 747095, 4, 3, 7.5, 
Port Stephens, 117, 4.2, 0, 48549602, 16.9, 17.5, 9, 12538, 3931, 2208, 4728, 1551645, 1, 1, 18.0, 
Randwick, 155, 3.3, 2683, 69039757, 12.8, 13.4, 4, 434, 4681, 1014, 2200, 703168, 43, 43, 4.6, 
Rockdale, 179, 4.0, 0, 49936216, 13.3, 14.1, 4, 1432, 2935, 978, 1854, 559740, 2, 2, 6.5, 
Ryde, 112, 0.8, 0, 57616099, 14.6, 15.5, 5, 18067, 1458, 1532, 2934, 840187, 24, 22, 7.0, 
Singleton, 6, 0.8, 90, 18559631, 22.0, 23.8, 12, 2409, 4799, 481, 1523, 510853, 0, 0, 0.0, 
Strathfield, 47, 1.5, 55, 18377202, 14.9, 15.8, 3, 354, 519, 383, 823, 217875, 17, 17, 5.2, 
Sutherland, 186, 4.4, 4177, 148890638, 19.1, 20.3, 3, 410, 6540, 3439, 7201, 2245807, 77, 64, 6.0, 
Sydney, 256, 2.8, 0, 94024377, 10.6, 11.3, 9, 5589, 3918, 468, 1053, 296936, 20, 16, 8.7, 
Upper Hunter, 3, 0.9, 0, 10063874, 20.5, 22.1, 15, 319, 1650, 183, 653, 243954, 0, 0, 0.0, 
Warringah, 70, 1.3, 851, 85697545, 16.1, 17.1, 5, 3255, 3700, 2554, 5394, 1650332, 15, 13, 8.9, 
Waverley, 89, 2.5, 0, 39854896, 13.1, 14.0, 4, 220, 1588, 395, 844, 257114, 17, 17, 5.4, 
Willoughby, 63, 1.1, 946, 39695090, 15.0, 15.7, 2, 358, 2011, 784, 1689, 501199, 7, 5, 10.3, 
Woollahra, 68, 2.5, 388, 47612992, 18.9, 20.1, 3, 209, 833, 214, 558, 159457, 19, 17, 5.7, 
Wyong, 95, 2.1, 266, 97928136, 16.2, 16.8, 7, 2516, 4083, 4377, 8197, 2646143, 16, 11, 7.9, 
Total Network, 3587, 2.8, 22352, 2025105882, 15.5, 16.5, 202, 99369, 115801, 54561, 111620, 33893120, 644, 586, 6.0, 
