LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 46, 3.5, 0, 23169620, 13.9, 14.5, 2, 43, 170, 415, 841, 171683, 18, 18, 4.9, 
Auburn, 173, 2.8, 0, 34301464, 14.4, 15.1, 4, 1391, 534, 2242, 3078, 490971, 4, 4, 5.3, 
Bankstown, 276, 3.5, 3521, 115444263, 19.6, 20.5, 8, 571, 6373, 3175, 6265, 1147854, 24, 24, 6.1, 
Botany Bay, 66, 11.6, 0, 20913541, 14.1, 14.6, 3, 182, 836, 376, 773, 156218, 5, 5, 7.6, 
Burwood, 52, 2.7, 0, 18656383, 16.3, 17.5, 0, 7, 115, 404, 862, 170808, 27, 26, 3.9, 
Canada Bay, 101, 2.4, 0, 50310521, 16.5, 17.9, 2, 110, 607, 801, 1716, 329788, 31, 31, 6.0, 
Canterbury, 141, 2.9, 248, 75184486, 15.3, 16.0, 0, 12, 3823, 1707, 3298, 651316, 4, 4, 5.5, 
Cessnock, 81, 4.5, 0, 40687943, 20.8, 21.3, 8, 175, 4459, 1347, 3292, 701828, 0, 0, 0.0, 
Gosford, 231, 4.9, 1426, 130719280, 18.8, 19.4, 10, 8440, 6135, 4841, 9572, 2043845, 6, 6, 3.8, 
Hornsby, 261, 1.5, 0, 117263516, 22.9, 24.3, 2, 1834, 1506, 3452, 6887, 1344315, 34, 33, 5.4, 
Hunters Hill, 37, 1.2, 0, 12186301, 25.5, 26.3, 0, 17, 33, 163, 402, 72138, 5, 5, 6.8, 
Hurstville, 128, 3.9, 0, 48417107, 17.0, 17.7, 1, 265, 534, 1403, 2796, 596967, 3, 3, 5.7, 
Kogarah, 73, 6.5, 0, 35838522, 17.7, 18.5, 1, 0, 1180, 771, 1574, 313372, 2, 2, 15.5, 
Ku-ring-gai, 366, 1.4, 0, 103336722, 27.9, 29.2, 6, 2514, 3160, 1620, 3483, 669684, 18, 18, 11.3, 
Lake Macquarie, 507, 3.0, 4138, 144355237, 20.0, 20.8, 17, 11093, 12059, 6400, 13820, 2996734, 23, 23, 3.4, 
Lane Cove, 45, 1.0, 696, 25968693, 20.7, 21.7, 1, 1127, 231, 391, 888, 152986, 4, 4, 6.8, 
Leichhardt, 44, 3.1, 0, 34897387, 15.2, 15.8, 3, 2050, 2215, 563, 1193, 232204, 7, 6, 9.9, 
Maitland, 163, 1.3, 0, 49545418, 19.8, 20.5, 11, 1840, 1884, 1825, 4178, 944955, 8, 8, 4.6, 
Manly, 47, 1.7, 346, 31672214, 18.0, 18.7, 1, 63, 3065, 459, 978, 179847, 14, 14, 8.1, 
Marrickville, 180, 8.4, 0, 46120772, 13.9, 14.7, 3, 1716, 2539, 888, 1968, 327465, 12, 12, 7.1, 
Mosman, 89, 1.9, 145, 27666121, 22.2, 23.2, 1, 820, 660, 213, 532, 93614, 28, 28, 8.4, 
Muswellbrook, 8, 2.8, 0, 13883703, 22.8, 23.5, 11, 782, 2598, 235, 807, 220209, 0, 0, 0.0, 
Newcastle, 330, 2.9, 283, 97660342, 15.9, 16.5, 14, 3588, 5147, 4155, 8691, 2091408, 24, 23, 3.9, 
North Sydney, 155, 1.6, 956, 49665362, 14.8, 15.8, 1, 341, 1787, 230, 496, 90444, 15, 14, 7.5, 
Pittwater, 60, 2.4, 0, 46362472, 20.9, 21.8, 3, 244, 1848, 1129, 2480, 536660, 5, 5, 11.4, 
Port Stephens, 129, 3.2, 0, 53777951, 18.8, 19.3, 5, 11879, 2350, 2378, 5151, 1158242, 4, 4, 3.3, 
Randwick, 271, 7.6, 0, 81711271, 15.2, 15.9, 4, 1507, 2238, 1111, 2430, 507987, 53, 52, 4.7, 
Rockdale, 210, 4.2, 0, 59168398, 15.9, 16.6, 2, 347, 2886, 1109, 2128, 413552, 1, 1, 3.0, 
Ryde, 198, 1.3, 0, 66686899, 17.0, 17.9, 10, 4002, 5486, 1672, 3226, 671211, 15, 15, 7.5, 
Singleton, 7, 0.8, 0, 20702248, 24.8, 25.2, 10, 938, 1706, 537, 1689, 404488, 13, 13, 4.4, 
Strathfield, 134, 2.5, 0, 22105560, 18.1, 19.1, 3, 173, 345, 430, 937, 163008, 8, 7, 8.0, 
Sutherland, 372, 5.2, 3889, 172026818, 22.3, 23.2, 8, 1437, 11043, 3783, 8166, 1670992, 57, 57, 5.4, 
Sydney, 346, 9.0, 4402, 107473222, 12.2, 12.7, 8, 3745, 5775, 499, 1140, 227507, 19, 17, 8.2, 
Upper Hunter, 5, 5.7, 0, 11579122, 23.7, 24.6, 11, 769, 1628, 204, 722, 192728, 0, 0, 0.0, 
Warringah, 167, 1.6, 0, 98756889, 18.7, 19.7, 9, 3731, 2135, 2686, 5770, 1242190, 25, 25, 8.6, 
Waverley, 125, 8.6, 316, 46505146, 15.5, 16.3, 0, 113, 995, 416, 880, 197929, 126, 126, 10.5, 
Willoughby, 116, 1.5, 3478, 47882706, 18.3, 19.2, 7, 200, 2036, 837, 1818, 371730, 20, 20, 9.9, 
Woollahra, 174, 9.1, 505, 56975692, 22.9, 24.4, 0, 3, 2148, 232, 595, 116808, 19, 18, 11.7, 
Wyong, 147, 3.1, 445, 111381311, 18.5, 19.3, 15, 1543, 6720, 4906, 9280, 1886558, 11, 11, 3.9, 
Total Network, 6061, 3.8, 24794, 2350960619, 18.1, 18.9, 205, 69612, 110989, 60005, 124803, 25952247, 692, 682, 7.2, 
