LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 24, 3.7, 0, 17790553, 10.8, 11.1, 1, 12, 942, 495, 1070, 264242, , , , 
Auburn, 68, 6.3, 740, 28518141, 11.6, 12.1, 4, 935, 3509, 2550, 4394, 797979, , , , 
Bankstown, 119, 5.7, 0, 91431590, 15.4, 16.0, 7, 5476, 6104, 4402, 10106, 2138727, , , , 
Botany Bay, 48, 8.4, 1435, 17766846, 11.4, 11.9, 1, 522, 3507, 492, 1277, 266722, , , , 
Burwood, 32, 4.2, 0, 14361121, 12.2, 12.8, 1, 692, 779, 502, 1162, 284617, , , , 
Canada Bay, 71, 3.5, 566, 40419868, 12.6, 13.2, 1, 98, 3900, 1012, 2372, 554884, , , , 
Canterbury, 92, 5.7, 1989, 60412704, 12.3, 12.7, 1, 16188, 2855, 2307, 5055, 1171042, , , , 
Cessnock, 97, 8.2, 83, 35354079, 17.9, 18.1, 20, 26568, 3541, 2154, 6107, 1311283, , , , 
Gosford, 148, 6.3, 0, 107889537, 15.6, 16.0, 7, 2136, 6227, 5989, 13238, 3375017, , , , 
Hornsby, 192, 3.2, 1072, 86077255, 16.9, 17.5, 4, 2315, 9556, 4350, 9748, 2264284, , , , 
Hunters Hill, 24, 4.5, 3459, 9566651, 19.9, 20.9, 2, 50, 277, 194, 505, 109741, , , , 
Hurstville, 93, 4.8, 0, 39296199, 13.8, 14.3, 6, 638, 1720, 1767, 3808, 918238, , , , 
Kogarah, 41, 6.5, 0, 29489587, 14.6, 15.1, 2, 184, 569, 1003, 2279, 555724, , , , 
Ku-ring-gai, 338, 3.3, 0, 78992558, 21.0, 22.0, 2, 1115, 5757, 2031, 4934, 1074442, , , , 
Lake Macquarie, 228, 2.3, 0, 116813465, 16.2, 16.8, 9, 28, 6478, 8496, 20448, 5355854, , , , 
Lane Cove, 32, 2.7, 0, 18850298, 14.9, 15.8, 1, 37, 671, 503, 1274, 283237, , , , 
Leichhardt, 46, 3.6, 0, 25742235, 11.2, 11.6, 1, 1930, 879, 729, 1615, 373652, , , , 
Maitland, 153, 5.7, 0, 45899422, 17.7, 18.2, 11, 2788, 8277, 2740, 7117, 1694789, , , , 
Manly, 29, 3.9, 5202, 23147959, 13.3, 13.7, 0, 1214, 772, 571, 1365, 348079, , , , 
Marrickville, 84, 7.2, 0, 33935817, 10.1, 10.5, 1, 18, 338, 1169, 2757, 607056, , , , 
Mosman, 87, 4.5, 799, 19861644, 16.0, 16.5, 0, 103, 295, 263, 732, 159680, , , , 
Muswellbrook, 12, 3.5, 0, 12972280, 20.8, 21.0, 4, 6, 3481, 474, 1727, 451209, , , , 
Newcastle, 144, 2.6, 0, 80345242, 13.1, 13.7, 9, 3587, 10111, 5374, 12664, 3409102, , , , 
North Sydney, 64, 3.4, 1440, 35724738, 10.6, 10.9, 3, 421, 909, 292, 770, 162608, , , , 
Pittwater, 76, 3.9, 0, 37485180, 16.8, 17.7, 3, 1206, 1520, 1364, 3285, 883541, , , , 
Port Stephens, 79, 9.3, 0, 47887937, 16.7, 17.3, 11, 848, 2181, 3322, 8210, 2238549, , , , 
Randwick, 211, 8.0, 0, 63677093, 11.9, 12.2, 3, 405, 6661, 1421, 3416, 888652, , , , 
Rockdale, 58, 4.4, 2861, 45759126, 12.2, 12.6, 2, 150, 3096, 1432, 3116, 724279, , , , 
Ryde, 167, 3.2, 0, 53657456, 13.6, 14.2, 9, 4460, 3280, 2082, 4649, 1081704, , , , 
Singleton, 15, 0.5, 999, 19173744, 22.8, 23.1, 12, 0, 2021, 937, 3175, 808579, , , , 
Strathfield, 72, 2.9, 0, 17221141, 13.9, 14.8, 8, 8634, 993, 549, 1381, 287804, , , , 
Sutherland, 172, 6.7, 0, 136323593, 17.7, 18.3, 5, 385, 3095, 4715, 11134, 2763231, , , , 
Sydney, 199, 5.2, 0, 88886385, 9.9, 10.2, 7, 1584, 6554, 695, 2269, 378545, , , , 
Upper Hunter, 6, 1.7, 820, 9734547, 19.9, 19.8, 5, 0, 2222, 397, 1434, 397178, , , , 
Warringah, 57, 3.4, 0, 76220882, 14.5, 14.9, 1, 1623, 2294, 3308, 7784, 1955096, , , , 
Waverley, 39, 9.6, 0, 35903990, 12.0, 12.3, 0, 14, 905, 521, 1250, 297826, , , , 
Willoughby, 59, 4.7, 0, 36227224, 13.7, 14.6, 1, 146, 1601, 1076, 2647, 640639, , , , 
Woollahra, 65, 8.4, 0, 42687154, 17.3, 17.8, 2, 783, 996, 313, 913, 197686, , , , 
Wyong, 199, 6.6, 1570, 89690609, 14.9, 15.3, 6, 4499, 7841, 6324, 13353, 3436578, , , , 
Total Network, 3740, 5.1, 23035, 1871195853, 14.3, 14.8, 173, 91798, 126714, 78315, 184537, 44912093, , , , 
