LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 79, 1.9, 0, 25928239, 15.4, 16.3, 0, 0, 3124, 357, 716, 160778, 22, 21, 4.2, 
Auburn, 59, 1.8, 1429, 37941771, 16.2, 17.0, 7, 1362, 1207, 2042, 2553, 453034, 9, 9, 6.0, 
Bankstown, 132, 2.0, 0, 123117741, 20.8, 21.9, 12, 9466, 3311, 2494, 4765, 1112735, 98, 95, 4.6, 
Botany Bay, 52, 1.5, 1406, 22551057, 15.0, 15.9, 1, 1513, 4423, 317, 631, 142962, 3, 1, 3.0, 
Burwood, 49, 2.5, 0, 20498292, 17.8, 19.1, 0, 14, 1975, 337, 715, 168276, 24, 24, 3.2, 
Canada Bay, 78, 2.1, 562, 50927803, 16.9, 17.8, 4, 131, 1904, 698, 1477, 350250, 43, 43, 4.3, 
Canterbury, 127, 2.0, 1974, 84129169, 17.0, 18.2, 3, 162, 2475, 1383, 2614, 603654, 9, 9, 4.9, 
Cessnock, 90, 3.5, 32, 42123907, 21.6, 22.2, 20, 1456, 2103, 1126, 2701, 700613, 2, 2, 4.5, 
Gosford, 142, 1.7, 2140, 144121220, 20.7, 21.6, 11, 2730, 6405, 4354, 8494, 2005663, 6, 6, 4.2, 
Hornsby, 244, 1.1, 3692, 125235260, 24.2, 25.5, 3, 3042, 2556, 3103, 6074, 1395550, 38, 35, 4.6, 
Hunters Hill, 34, 0.9, 0, 13249885, 28.3, 30.3, 0, 0, 227, 148, 359, 73089, 2, 2, 3.0, 
Hurstville, 84, 3.0, 0, 53132947, 18.6, 19.6, 4, 2572, 575, 1200, 2362, 571624, 10, 10, 6.6, 
Kogarah, 43, 3.7, 0, 39910123, 19.8, 21.4, 3, 258, 1280, 658, 1300, 309256, 2, 2, 2.5, 
Ku-ring-gai, 246, 1.0, 0, 114251997, 30.8, 33.1, 8, 1862, 2382, 1471, 3110, 661371, 28, 26, 5.2, 
Lake Macquarie, 280, 1.8, 148, 152655582, 21.1, 22.0, 15, 1978, 4283, 5693, 12034, 3152625, 20, 20, 2.5, 
Lane Cove, 36, 1.5, 0, 28034241, 22.1, 23.7, 1, 496, 926, 359, 800, 171077, 7, 7, 4.9, 
Leichhardt, 51, 2.1, 0, 37701242, 16.2, 17.1, 0, 7286, 4334, 512, 1027, 219260, 18, 18, 5.2, 
Maitland, 148, 1.9, 4540, 51775779, 21.0, 22.1, 7, 2641, 7106, 1593, 3600, 975811, 4, 4, 2.5, 
Manly, 39, 1.5, 0, 33465384, 19.0, 19.9, 0, 23, 353, 421, 889, 216418, 23, 15, 5.8, 
Marrickville, 122, 3.1, 0, 48757618, 14.7, 15.6, 2, 2357, 1276, 775, 1545, 342729, 29, 29, 4.6, 
Mosman, 116, 1.7, 0, 29210670, 23.1, 24.0, 0, 52, 122, 193, 478, 99531, 31, 26, 5.5, 
Muswellbrook, 16, 3.2, 0, 15669315, 26.3, 28.1, 10, 572, 3651, 198, 669, 186825, 0, 0, 0.0, 
Newcastle, 204, 2.0, 0, 105490425, 17.1, 17.9, 11, 5839, 4610, 3730, 7688, 2075117, 110, 110, 4.5, 
North Sydney, 75, 2.2, 1441, 51518833, 15.2, 15.9, 2, 510, 217, 208, 448, 99267, 5, 5, 5.2, 
Pittwater, 45, 1.1, 0, 51533664, 23.3, 24.9, 2, 566, 2320, 1064, 2322, 531574, 6, 5, 5.2, 
Port Stephens, 170, 3.3, 0, 59546022, 20.8, 22.2, 9, 1039, 5882, 2145, 4553, 1196300, 8, 8, 8.0, 
Randwick, 206, 2.9, 2835, 90239101, 16.8, 18.1, 3, 168, 4192, 977, 2106, 509758, 33, 28, 4.0, 
Rockdale, 186, 2.9, 0, 60941084, 16.3, 17.1, 9, 3566, 1505, 943, 1788, 447584, 9, 8, 4.3, 
Ryde, 140, 1.8, 476, 76570583, 19.5, 20.8, 5, 1594, 1199, 1500, 2855, 636889, 20, 20, 4.1, 
Singleton, 9, 0.5, 0, 22550520, 26.9, 28.2, 15, 152, 4791, 455, 1438, 407319, 0, 0, 0.0, 
Strathfield, 41, 1.7, 0, 24237813, 19.7, 20.9, 2, 102, 1241, 369, 791, 170149, 12, 11, 4.6, 
Sutherland, 229, 2.7, 0, 186755504, 24.1, 25.4, 1, 6478, 5074, 3358, 7019, 1671156, 79, 73, 4.5, 
Sydney, 253, 2.3, 0, 116661169, 13.2, 13.9, 10, 4665, 6144, 462, 1041, 222901, 15, 11, 5.2, 
Upper Hunter, 2, 1.0, 0, 12332797, 25.1, 25.6, 9, 208, 2623, 175, 623, 187913, 0, 0, 0.0, 
Warringah, 105, 1.3, 0, 104293724, 19.6, 20.9, 3, 941, 1468, 2502, 5273, 1312729, 9, 7, 4.9, 
Waverley, 69, 0.5, 0, 50623344, 16.7, 17.7, 1, 183, 958, 384, 823, 190627, 15, 15, 5.0, 
Willoughby, 68, 1.4, 0, 53929992, 20.8, 22.6, 1, 1600, 896, 763, 1648, 367653, 9, 6, 6.1, 
Woollahra, 149, 3.2, 0, 59615460, 23.7, 24.8, 2, 291, 781, 207, 533, 117080, 6, 6, 4.3, 
Wyong, 126, 1.5, 2963, 116642520, 19.3, 20.3, 10, 2262, 5669, 4274, 7963, 2039304, 40, 38, 2.2, 
Total Network, 4344, 2.0, 23638, 2537871800, 19.5, 20.6, 206, 70137, 105568, 52948, 107822, 26256450, 804, 755, 4.5, 
