LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 117, 4.4, 496, 19163845, 11.4, 11.8, 1, 25, 489, 448, 915, 263904, 11, 10, 5.4, 
Auburn, 125, 6.7, 0, 29576988, 12.1, 12.7, 6, 3284, 2932, 2447, 3593, 793761, 6, 6, 5.3, 
Bankstown, 216, 6.9, 99, 96130892, 16.0, 16.5, 10, 3121, 7756, 3779, 7756, 2054379, 57, 57, 4.2, 
Botany Bay, 52, 4.1, 3, 18198924, 12.0, 12.5, 1, 271, 496, 435, 912, 251580, 11, 11, 6.4, 
Burwood, 59, 4.9, 0, 14944110, 12.9, 13.7, 0, 0, 204, 465, 1044, 296982, 6, 6, 3.5, 
Canada Bay, 76, 4.9, 0, 42898420, 13.7, 14.0, 0, 198, 483, 909, 1992, 565569, 38, 35, 5.1, 
Canterbury, 151, 6.0, 1484, 63205938, 12.7, 13.3, 4, 4180, 3291, 2054, 4153, 1146542, 4, 4, 8.5, 
Cessnock, 60, 4.6, 0, 37163021, 18.6, 18.2, 14, 2673, 4645, 1674, 4287, 1142158, 0, 0, 0.0, 
Gosford, 152, 6.0, 1541, 111784802, 15.9, 16.6, 6, 7115, 5742, 5302, 10727, 3247198, 11, 11, 4.5, 
Hornsby, 225, 1.6, 1990, 95474261, 18.4, 18.9, 7, 7806, 5068, 3865, 7934, 2259255, 29, 29, 4.6, 
Hunters Hill, 25, 2.0, 0, 9433124, 19.5, 20.6, 0, 8, 626, 174, 434, 120374, 4, 4, 7.8, 
Hurstville, 112, 8.6, 2165, 41499702, 14.4, 14.9, 2, 935, 6192, 1602, 3256, 968683, 4, 4, 2.3, 
Kogarah, 57, 10.3, 972, 30061483, 14.6, 15.3, 1, 2247, 2436, 874, 1799, 538168, 7, 7, 5.9, 
Ku-ring-gai, 234, 1.9, 6, 84420091, 22.4, 23.7, 13, 8532, 2513, 1780, 3967, 1076917, 18, 17, 7.2, 
Lake Macquarie, 234, 2.5, 1262, 125618592, 17.2, 17.6, 22, 6091, 6375, 7366, 16399, 4995630, 19, 19, 3.1, 
Lane Cove, 25, 2.1, 0, 19468860, 15.3, 16.1, 0, 0, 965, 433, 1023, 289906, 7, 7, 3.7, 
Leichhardt, 144, 7.1, 469, 27808613, 11.9, 12.4, 2, 1277, 1006, 618, 1313, 366946, 21, 21, 4.6, 
Maitland, 239, 2.7, 0, 46168200, 18.0, 17.9, 6, 1237, 1491, 2141, 5079, 1495006, 6, 6, 1.8, 
Manly, 20, 2.4, 0, 24513263, 13.8, 14.5, 1, 48, 268, 490, 1067, 330961, 8, 6, 12.1, 
Marrickville, 96, 6.8, 1952, 35999052, 10.7, 11.2, 5, 929, 468, 1008, 2344, 585747, 15, 15, 3.5, 
Mosman, 115, 1.5, 0, 21183747, 16.8, 17.6, 0, 0, 247, 230, 600, 167540, 17, 16, 6.7, 
Muswellbrook, 7, 1.8, 0, 12468888, 20.1, 19.6, 17, 1912, 4185, 322, 1087, 362981, 0, 0, 0.0, 
Newcastle, 195, 2.1, 3055, 84719150, 13.6, 14.0, 8, 1447, 2334, 4667, 9996, 3230599, 61, 60, 2.4, 
North Sydney, 73, 2.1, 0, 39315184, 11.5, 11.9, 2, 458, 867, 255, 575, 169367, 5, 5, 4.2, 
Pittwater, 52, 3.9, 0, 38863140, 17.3, 18.3, 0, 63, 417, 1220, 2754, 869787, 11, 11, 4.7, 
Port Stephens, 189, 3.1, 0, 47235895, 16.3, 16.9, 10, 6667, 2404, 2743, 6196, 1969352, 1, 1, 8.0, 
Randwick, 170, 5.5, 483, 66585235, 12.2, 12.8, 5, 1698, 3810, 1236, 2729, 878464, 63, 62, 4.8, 
Rockdale, 194, 9.8, 2986, 49072615, 12.9, 13.3, 6, 10875, 1445, 1277, 2511, 739256, 31, 31, 3.6, 
Ryde, 101, 1.7, 0, 55333387, 13.9, 14.6, 3, 3933, 2682, 1860, 3698, 1077362, 13, 12, 7.1, 
Singleton, 3, 0.8, 0, 19250327, 22.7, 22.0, 13, 315, 2049, 685, 2170, 671714, 0, 0, 0.0, 
Strathfield, 48, 5.4, 0, 17433776, 14.2, 14.9, 0, 11, 533, 477, 1050, 298658, 20, 20, 4.6, 
Sutherland, 185, 10.5, 123, 144198918, 18.4, 19.1, 8, 1012, 5246, 4230, 9364, 2800007, 90, 90, 4.9, 
Sydney, 255, 6.5, 989, 91513551, 10.1, 10.6, 11, 12769, 9489, 544, 1276, 352776, 19, 18, 6.3, 
Upper Hunter, 1, 0.7, 0, 10899671, 21.9, 20.5, 9, 1863, 1931, 267, 919, 330254, 0, 0, 0.0, 
Warringah, 94, 1.9, 4735, 82500226, 15.4, 16.1, 5, 2916, 3498, 2888, 6275, 1964379, 22, 20, 8.5, 
Waverley, 74, 6.9, 329, 38657023, 12.7, 13.1, 1, 99, 1228, 456, 990, 312633, 18, 16, 4.6, 
Willoughby, 55, 1.8, 0, 37669675, 14.2, 15.0, 5, 1190, 1997, 919, 2040, 625403, 4, 4, 8.3, 
Woollahra, 109, 9.9, 0, 46197028, 18.3, 18.9, 2, 328, 1145, 251, 645, 191237, 4, 4, 4.0, 
Wyong, 136, 4.4, 143, 95303910, 15.6, 16.2, 4, 15640, 3191, 5571, 10889, 3309420, 44, 44, 2.4, 
Total Network, 4475, 4.9, 25282, 1971933526, 14.9, 15.5, 210, 113173, 102144, 67962, 145755, 43110852, 705, 689, 4.7, 
