,,,,,,
Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
956439,RYDE,2/04/2013,7:38 AM,69,137,Third party
956577,SINGLETON,2/04/2013,10:35 AM,55,22,Equipment fault
956624,RANDWICK,2/04/2013,11:05 AM,1102,102,Equipment fault
956714,LAKE MACQUARIE,2/04/2013,1:55 PM,200,40,Third party
956945,CANTERBURY,3/04/2013,8:37 AM,90,73,Third party
957284,HORNSBY,3/04/2013,7:08 PM,380,9,Environmental
957494,ASHFIELD,4/04/2013,10:12 AM,2440,66,Equipment fault
957711,MARRICKVILLE,4/04/2013,2:36 PM,167,264,Equipment fault
957695,MARRICKVILLE,4/04/2013,2:49 PM,67,271,Equipment fault
957805,LEICHHARDT,4/04/2013,5:03 PM,59,83,Equipment fault
957817,MARRICKVILLE,4/04/2013,5:42 PM,89,87,Equipment fault
957860,WAVERLEY,4/04/2013,9:28 PM,96,382,Equipment fault
957869,GOSFORD,4/04/2013,11:08 PM,1291,90,Environmental
962141,MOSMAN,5/04/2013,5:00 AM,57,"1,050",Equipment fault
957901,SYDNEY,5/04/2013,7:52 AM,55,158,Environmental
958289,WAVERLEY,5/04/2013,11:10 AM,115,213,Equipment fault
958086,WAVERLEY,5/04/2013,11:19 AM,64,123,Equipment fault
958251,WILLOUGHBY,5/04/2013,8:56 PM,121,31,Equipment fault
958382,LAKE MACQUARIE,6/04/2013,10:13 PM,674,4,Environmental
958464,WYONG,7/04/2013,3:16 PM,58,69,Equipment fault
958883,GOSFORD,8/04/2013,10:43 PM,57,87,Third party
958892,WYONG,8/04/2013,11:47 PM,509,76,Environmental
959181,KU-RING-GAI,9/04/2013,2:47 PM,1299,97,Equipment fault
959204,PORT STEPHENS,9/04/2013,3:40 PM,119,49,Equipment fault
959236,MANLY,9/04/2013,5:53 PM,78,75,Third party
959273,GOSFORD,9/04/2013,6:52 PM,334,6,Equipment fault
959303,LAKE MACQUARIE,10/04/2013,3:41 AM,59,49,Environmental
959536,AUBURN,10/04/2013,12:46 PM,95,133,Environmental
959558,MAITLAND,10/04/2013,1:13 PM,933,78,Environmental
959596,LAKE MACQUARIE,10/04/2013,2:36 PM,4125,14,Operating fault
959681,WOOLLAHRA,10/04/2013,4:30 PM,62,25,Third party
959863,KU-RING-GAI,11/04/2013,10:36 AM,57,169,Environmental
960098,KU-RING-GAI,11/04/2013,6:37 PM,930,46,Environmental
960124,LAKE MACQUARIE,11/04/2013,11:11 PM,1811,4,Environmental
960959,WARRINGAH,12/04/2013,4:34 AM,1310,110,Equipment fault
960363,MAITLAND,12/04/2013,2:00 PM,84,21,Environmental
960482,CANTERBURY,12/04/2013,9:06 PM,198,108,Equipment fault
