Event ID,LGA,Start Date,Start Time,Customers Interrupted,Ave Dur. (min),Reason
842974,GOSFORD,2/07/2012,8:50 AM,90,145,Equipment fault
843133,WILLOUGHBY,2/07/2012,12:02 PM,601,92,Environmental
843195,LAKE MACQUARIE,2/07/2012,12:59 PM,188,124,Environmental
843248,LAKE MACQUARIE,2/07/2012,2:01 PM,1504,34,Third party
843375,WYONG,2/07/2012,4:48 PM,76,51,Environmental
843637,NEWCASTLE,3/07/2012,10:54 AM,54,76,Equipment fault
843979,CANADA BAY,4/07/2012,2:51 AM,4156,7,Equipment fault
843986,WILLOUGHBY,4/07/2012,6:38 AM,88,51,Equipment fault
844073,HORNSBY,4/07/2012,9:30 AM,106,125,Equipment fault
844231,RYDE,4/07/2012,2:20 PM,3048,17,Third party
844500,RYDE,5/07/2012,7:55 AM,164,100,Equipment fault
844529,HORNSBY,5/07/2012,8:37 AM,57,288,Customer installation
844879,ROCKDALE,5/07/2012,5:46 PM,71,98,Equipment fault
844946,SINGLETON,5/07/2012,10:06 PM,55,95,Environmental
844955,AUBURN,6/07/2012,2:54 AM,108,404,Equipment fault
845045,AUBURN,6/07/2012,9:58 AM,108,490,Equipment fault
845074,PORT STEPHENS,6/07/2012,10:27 AM,101,173,Equipment fault
845320,KU-RING-GAI,6/07/2012,5:19 PM,170,186,Equipment fault
845358,LAKE MACQUARIE,6/07/2012,6:52 PM,20340,13,Equipment fault
845402,HUNTERS HILL,6/07/2012,10:49 PM,911,51,Equipment fault
845407,HORNSBY,7/07/2012,12:36 AM,501,409,Equipment fault
845516,WOOLLAHRA,7/07/2012,12:36 PM,106,77,Environmental
845596,MARRICKVILLE,7/07/2012,6:58 PM,483,92,Equipment fault
845699,GOSFORD,8/07/2012,2:36 PM,1225,65,Equipment fault
845722,AUBURN,8/07/2012,4:36 PM,1425,80,Equipment fault
846269,WOOLLAHRA,9/07/2012,7:05 PM,126,126,Equipment fault
846934,MOSMAN,10/07/2012,10:10 AM,72,70,Equipment fault
846463,ROCKDALE,10/07/2012,10:21 AM,182,221,Equipment fault
846831,RYDE,10/07/2012,6:22 PM,90,78,Equipment fault
846865,CANADA BAY,10/07/2012,11:26 PM,1814,56,Equipment fault
846868,CANADA BAY,11/07/2012,12:52 AM,73,523,Equipment fault
846880,UPPER HUNTER,11/07/2012,6:31 AM,807,86,Equipment fault
846929,NEWCASTLE,11/07/2012,8:47 AM,77,142,Equipment fault
846965,RYDE,11/07/2012,9:18 AM,119,347,Equipment fault
847355,RYDE,11/07/2012,10:33 PM,934,68,Equipment fault
847381,MAITLAND,12/07/2012,7:49 AM,1902,54,Equipment fault
847735,RYDE,12/07/2012,4:11 PM,88,58,Third party
847818,WYONG,13/07/2012,12:57 AM,492,14,Equipment fault
848223,CESSNOCK,13/07/2012,7:49 PM,3805,9,Environmental
848243,NORTH SYDNEY,13/07/2012,10:00 PM,97,"1,360",Equipment fault
848276,BANKSTOWN,14/07/2012,9:33 AM,1281,79,Third party
848325,HORNSBY,14/07/2012,12:01 PM,65,179,Equipment fault
848344,SYDNEY,14/07/2012,1:57 PM,183,"1,076",Equipment fault
848348,SUTHERLAND,14/07/2012,2:29 PM,99,183,Equipment fault
848385,MARRICKVILLE,14/07/2012,6:51 PM,109,181,Equipment fault
848400,SYDNEY,14/07/2012,9:41 PM,302,128,Environmental
848412,BANKSTOWN,15/07/2012,12:51 AM,1535,82,Environmental
848460,CANTERBURY,15/07/2012,11:19 AM,71,246,Equipment fault
848568,RYDE,16/07/2012,6:18 AM,1548,103,Equipment fault
848626,WOOLLAHRA,16/07/2012,9:12 AM,56,93,Environmental
848648,ROCKDALE,16/07/2012,9:30 AM,132,67,Equipment fault
848755,SUTHERLAND,16/07/2012,11:48 AM,321,322,Equipment fault
848939,SINGLETON,16/07/2012,4:20 PM,188,80,Equipment fault
849030,KU-RING-GAI,16/07/2012,8:23 PM,1120,56,Environmental
849044,SINGLETON,16/07/2012,10:01 PM,188,25,Equipment fault
849047,LAKE MACQUARIE,16/07/2012,11:28 PM,60,142,Environmental
849311,CESSNOCK,17/07/2012,12:36 PM,105,83,Third party
849324,HURSTVILLE,17/07/2012,1:03 PM,82,87,Equipment fault
849487,SUTHERLAND,17/07/2012,8:00 PM,144,30,Equipment fault
849511,CANTERBURY,17/07/2012,10:31 PM,2274,121,Equipment fault
849522,LAKE MACQUARIE,18/07/2012,1:13 AM,125,300,Equipment fault
849523,WARRINGAH,18/07/2012,5:45 AM,411,90,Equipment fault
849560,LAKE MACQUARIE,18/07/2012,8:00 AM,102,60,Operating fault
849800,SYDNEY,18/07/2012,12:53 PM,130,367,Equipment fault
849975,CESSNOCK,18/07/2012,7:03 PM,216,86,Environmental
849978,LAKE MACQUARIE,18/07/2012,7:35 PM,157,55,Environmental
849969,WYONG,19/07/2012,7:25 AM,92,48,Third party
850431,PORT STEPHENS,19/07/2012,8:20 PM,113,85,Environmental
850472,WOOLLAHRA,20/07/2012,8:22 AM,204,191,Third party
850904,GOSFORD,21/07/2012,11:08 AM,2147,129,Environmental
850993,PORT STEPHENS,21/07/2012,6:24 PM,1588,47,Equipment fault
