year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Avoca 66_11kV,01MAY2004,MW,19.06317,24.91606,22.49418,20.38420,18.86135,23.72347,22.18227,20.65941,19.00813,17.22841,15.30191,14.78818,13.54054,12.89837,12.32960,12.07273,11.17370,11.08196,10.89848,11.21039,11.21039,11.39387,11.59569,11.88925,12.80663,13.65062,15.32026,13.30202,14.95331,16.21929,17.00824,17.32015,18.47605,18.23753,18.38431,18.54944,18.51274,18.58613,18.21918,18.62283,18.10910,17.76049,17.48528,17.32015,16.38442,,16.56790,16.43946,16.05416,16.29268,15.83399,15.55878,15.48539,15.94408,15.26522,15.22852,15.54043,14.84322,15.24687,15.33861,15.48539,15.54043,,16.10921,16.16425,16.84311,17.52197,17.99901,20.20072,22.32905,23.77851,24.51241,24.73258,24.64085,23.77851,23.33817,22.53087,22.20061,21.61349,21.28323,22.49418,21.54010,21.88870,20.31081,21.83366,19.88881,19.17326,17.96231,18.05405,22.25566,22.01714,20.32916,22.95287,20.82454,23.63173,21.33828
2005,Avoca 66_11kV,02MAY2004,MW,19.85212,25.17293,23.44825,,19.63195,24.49406,23.08130,21.39332,19.50351,17.99901,,15.28356,14.36618,13.48550,12.69655,,11.22874,11.22874,10.51318,11.15535,10.78840,11.32048,11.22874,,11.94430,12.75159,13.37541,12.16447,13.32037,14.45792,15.79730,16.29268,17.19171,17.76049,,18.73291,19.13656,19.20995,19.00813,18.86135,18.71457,18.67787,,17.77884,17.39354,17.06328,17.24676,16.62294,16.49451,16.29268,15.92573,15.98077,15.76060,15.33861,15.13678,15.41200,15.06339,15.00835,14.73313,14.75148,15.06339,15.41200,16.07251,16.53120,17.04493,17.90727,18.87970,19.48517,21.52175,23.79686,25.94353,27.11777,26.98934,27.02604,26.65908,26.09031,25.17293,24.80597,24.05372,23.48495,25.00780,23.61338,24.10877,22.69600,23.06295,21.65018,19.85212,18.62283,18.60448,22.05383,21.06306,19.11821,21.54010,19.77873,22.07218,20.36585
2005,Avoca 66_11kV,03MAY2004,MW,18.84300,24.65919,22.95287,21.06306,19.09987,24.67754,22.86113,21.59514,19.72369,18.25588,16.95320,15.44869,14.23775,13.28367,,,11.54065,11.54065,11.66908,11.61404,12.01769,12.31125,12.97176,14.29279,16.20094,17.92562,20.53098,18.05405,,20.82454,21.22819,21.08141,20.75115,20.16403,19.13656,18.27422,18.25588,17.44858,17.19171,16.97154,,16.47616,15.87069,15.66886,15.46704,15.43034,15.26522,15.30191,15.00835,15.28356,14.60470,14.75148,14.43957,14.60470,14.71479,14.25610,14.58635,14.32949,14.31114,14.25610,14.54966,14.75148,14.97165,16.32938,16.43946,17.11832,17.85223,19.04482,20.78785,23.48495,25.46649,26.86091,27.20951,27.22786,26.49395,26.36552,25.50318,25.28301,24.84267,23.74181,25.85179,24.43902,25.11788,23.26477,24.05372,22.29235,20.47594,18.82465,18.62283,22.31070,21.20984,19.09987,21.65018,19.85212,22.36574,20.34750
2005,Avoca 66_11kV,04MAY2004,MW,18.53109,24.60415,22.75104,20.58602,18.89804,23.99868,22.43913,21.09976,19.22830,,15.96242,14.87992,13.90749,13.11854,12.32960,12.12777,11.63239,11.35717,11.30213,11.72413,12.01769,12.43968,13.65062,14.54966,,,20.93463,18.25588,19.83377,20.64107,20.84289,,20.93463,19.88881,18.89804,,17.59536,17.35684,16.56790,16.29268,15.87069,16.05416,15.76060,15.06339,14.97165,14.76983,14.60470,15.08174,14.82487,14.60470,14.58635,14.36618,14.49462,14.53131,14.47627,14.49462,14.93496,14.42122,,14.34783,14.75148,14.49462,14.89826,15.30191,15.76060,16.09086,17.33850,17.72380,19.50351,22.43913,24.45737,24.80597,25.64996,25.74170,25.00780,24.40233,,,22.38409,21.66853,22.93452,21.66853,22.31070,21.00802,,20.21907,18.82465,17.50362,17.09998,21.46671,20.03559,18.58613,20.86124,19.43012,21.06306,19.52186
2005,Avoca 66_11kV,05MAY2004,MW,17.79719,23.61338,21.83366,19.55856,18.03570,23.26477,21.44836,20.21907,18.80630,17.15502,15.57712,14.38453,13.37541,12.82498,11.92595,11.61404,11.21039,11.06361,10.71501,11.41222,11.85256,12.27455,13.24698,14.60470,16.25599,18.12744,20.25577,17.17337,19.04482,19.26499,19.50351,19.79708,18.64118,18.18249,17.32015,,16.80641,16.42111,16.07251,16.05416,15.35695,15.37530,14.78818,,14.67809,14.64140,14.45792,15.17348,14.47627,14.80652,14.18271,14.43957,14.43957,14.16436,14.18271,14.54966,14.23775,14.14601,14.23775,14.29279,14.16436,14.49462,14.75148,15.08174,16.16425,16.75137,17.46693,18.05405,19.94386,22.45748,24.75093,24.91606,25.55823,26.01692,25.20962,24.49406,23.99868,23.28312,22.31070,22.14557,23.37486,22.09053,23.26477,22.18227,22.21896,20.60437,19.11821,17.94397,17.57701,21.04471,20.45759,18.65952,21.83366,19.52186,21.54010,20.05394
2005,Avoca 66_11kV,06MAY2004,MW,17.92562,23.88859,22.34739,20.29246,18.32927,22.98956,22.05383,20.27411,18.67787,17.33850,15.92573,14.27444,13.39376,12.65985,11.92595,11.52230,11.22874,11.06361,11.06361,11.41222,11.79752,12.40299,13.17359,14.38453,,17.74214,19.92551,17.24676,18.87970,19.66864,19.92551,19.68699,19.28334,18.73291,17.98066,17.52197,16.82476,16.67798,16.16425,15.76060,15.37530,15.54043,15.28356,15.15513,14.91661,14.95331,14.58635,14.56801,14.60470,14.75148,14.21940,14.47627,14.47627,14.43957,14.47627,14.40288,14.31114,14.07262,14.03592,14.42122,14.25610,14.54966,15.06339,15.52208,16.03581,16.71468,17.72380,18.10910,20.18238,21.77862,23.63173,23.94364,24.47572,24.78763,23.88859,23.55834,23.11799,22.31070,22.16392,21.70523,22.80608,21.68688,22.40244,21.22819,22.01714,20.56768,19.26499,18.09075,17.74214,21.99879,20.54933,18.97143,21.70523,20.03559,21.96209,19.81542
2005,Avoca 66_11kV,07MAY2004,MW,18.21918,24.05372,21.63184,20.05394,18.31092,23.26477,21.96209,20.29246,18.45770,16.89815,15.72391,14.32949,13.41211,12.38464,,11.57734,11.43056,,11.08196,,11.72413,12.32960,12.75159,13.81575,15.79730,16.76972,18.93474,16.58624,17.83388,18.84300,19.48517,19.87047,20.16403,19.44847,18.69622,18.36596,,18.05405,17.79719,17.63206,17.50362,17.26510,17.46693,16.69633,16.29268,15.87069,16.05416,15.76060,15.87069,15.87069,15.57712,15.33861,15.28356,14.71479,15.00835,14.49462,14.45792,14.18271,14.78818,14.73313,14.56801,15.06339,15.04504,15.90738,16.53120,17.02659,17.74214,17.66875,19.92551,21.68688,23.30147,24.25555,24.03537,23.90694,23.50329,23.37486,22.62261,21.88870,22.05383,21.30158,22.97121,21.61349,22.58591,21.00802,22.05383,20.53098,19.55856,18.76961,18.60448,22.98956,22.32905,19.72369,22.69600,21.20984,22.45748,20.58602
2005,Avoca 66_11kV,08MAY2004,MW,18.78796,24.69589,22.89782,20.84289,18.86135,23.99868,22.82443,20.56768,18.75126,17.00824,16.16425,14.60470,13.87080,12.88003,12.38464,11.79752,11.35717,11.37552,10.69666,10.64162,10.84344,,,,12.75159,13.94419,,12.12777,13.35706,14.47627,15.10009,15.41200,16.09086,16.36607,16.40277,16.60459,20.14568,18.84300,19.74203,19.13656,18.25588,17.81553,17.57701,,16.64129,16.69633,16.76972,16.42111,15.96242,15.99912,15.76060,15.81564,15.76060,15.52208,15.43034,14.95331,15.32026,15.17348,14.93496,15.32026,15.55878,15.41200,15.74225,16.53120,16.87981,17.21006,18.56779,18.82465,20.38420,22.42078,24.05372,24.62250,24.76928,24.58580,24.01703,23.09965,22.49418,21.88870,21.37497,20.76950,22.32905,21.15480,21.72358,20.43924,21.39332,19.87047,18.60448,17.54032,17.92562,22.03548,21.54010,19.57690,22.51252,21.15480,23.72347,21.50340
2005,Avoca 66_11kV,09MAY2004,MW,19.65029,25.52153,23.35651,21.59514,19.20995,24.51241,22.93452,21.33828,19.76038,18.14579,16.75137,15.35695,,13.24698,12.62316,11.92595,11.44891,11.32048,10.84344,10.95353,10.67831,11.06361,11.10031,11.48561,11.94430,12.64151,13.28367,12.54977,13.44880,14.73313,15.33861,16.43946,17.00824,17.68710,18.31092,18.43935,18.43935,18.62283,18.53109,18.84300,18.65952,18.21918,17.79719,18.05405,,18.03570,18.34761,17.39354,,16.98989,17.08163,16.34772,16.05416,16.14590,15.99912,15.88903,15.81564,16.03581,16.42111,16.78807,17.08163,17.59536,17.96231,18.82465,,20.65941,21.79697,22.27400,23.68677,24.03537,25.57657,25.96187,25.79675,25.87014,25.31971,24.73258,24.43902,23.65007,23.74181,22.69600,23.88859,22.56757,23.35651,21.85201,22.62261,20.67776,19.00813,17.72380,17.28345,21.24654,20.16403,18.75126,20.95298,19.32004,21.72358,19.99890
2005,Avoca 66_11kV,10MAY2004,MW,18.34761,24.40233,22.43913,20.65941,18.89804,24.09042,22.25566,20.91628,19.20995,18.01736,16.32938,15.11843,14.29279,12.95342,12.62316,11.87091,11.43056,11.52230,11.52230,11.17370,11.90760,12.34794,12.89837,14.07262,15.87069,17.41189,19.63195,16.89815,18.54944,19.50351,19.15491,19.41178,19.57690,19.00813,17.90727,17.32015,17.32015,16.84311,16.98989,16.78807,,15.83399,16.03581,15.76060,15.26522,15.10009,15.33861,15.19182,15.30191,15.21017,14.95331,15.17348,14.80652,15.19182,14.87992,15.06339,15.37530,15.85234,16.03581,16.36607,17.08163,18.03570,18.36596,19.98055,20.12733,21.52175,22.49418,23.11799,25.31971,,29.13601,28.89749,30.03504,29.74148,29.22775,28.45715,27.57646,26.71413,26.16370,25.37475,26.69578,25.00780,26.01692,24.54911,24.71424,22.84278,21.09976,19.63195,19.20995,22.78774,21.65018,19.65029,22.10888,20.27411,22.78774,20.65941
