year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Baerami 33_11kV,01MAY2004,MW,0.44162,0.43785,0.41250,0.41779,0.41423,0.41113,0.41019,0.40253,0.40777,0.40114,0.40452,0.40234,0.38367,0.40528,0.39963,0.40043,0.38540,0.37221,0.37947,0.38677,0.39104,0.39312,0.38769,0.38587,0.39425,0.39600,0.38867,0.36685,0.38555,0.40606,0.41343,0.39460,0.42142,0.43545,0.43870,0.45258,0.44887,0.46101,0.45603,0.47472,0.48322,0.47111,0.46445,0.45906,0.46462,0.46502,0.46119,0.45445,0.45121,0.43816,0.44449,0.44971,0.44180,0.44824,0.42459,0.45592,0.49018,0.46736,0.46237,0.45479,0.46447,0.46806,0.47161,0.45726,0.46872,0.46279,0.47097,0.47820,0.47407,0.49725,0.52631,0.53033,0.55425,0.56570,0.56049,0.54912,0.50788,0.45172,0.44561,0.45608,0.41163,0.42876,0.43329,0.41044,0.39155,0.38100,0.37361,0.36811,0.36420,0.34463,0.35684,0.31786,0.31103,0.30486,0.27969,0.27623
2005,Baerami 33_11kV,02MAY2004,MW,0.28506,0.27123,0.27487,0.28069,0.27888,0.26521,0.26385,0.27390,0.26135,0.25663,0.25852,0.26487,0.26192,0.25349,0.25715,0.27399,0.26765,0.27283,0.26035,0.26529,0.27110,0.26632,0.27364,0.28780,0.31772,0.31965,0.32750,0.34812,0.37770,0.36771,0.35832,0.37643,0.41610,0.43038,0.41527,0.39557,0.42868,0.42008,0.38087,0.38112,0.37772,0.38413,0.39776,0.42129,0.43936,0.43880,0.42000,0.41171,0.40413,0.39668,0.40884,0.40449,0.43247,0.43278,0.42583,0.44313,0.44819,0.42772,0.44536,0.44969,0.47093,0.48774,0.47958,0.46606,0.47472,0.48802,0.51199,0.46907,0.46657,0.49859,0.55700,0.56160,0.57673,0.59422,0.59168,0.57960,0.54240,0.54998,0.54351,0.55232,0.58986,0.58171,0.56468,0.52709,0.50682,0.48699,0.47383,0.47900,0.46497,0.44861,0.44634,0.43982,0.42295,0.41203,0.41134,0.41755
2005,Baerami 33_11kV,03MAY2004,MW,0.40818,0.42851,0.42256,0.41170,0.39461,0.39187,0.39693,0.39415,0.39944,0.39971,0.39081,0.39009,0.38377,0.39226,0.39734,0.38915,0.39107,0.39731,0.39757,0.40484,0.41295,0.36345,0.37520,0.38124,0.40292,0.44695,0.45983,0.48349,0.49986,0.50450,0.48916,0.48857,0.48682,0.50157,0.50236,0.51912,0.53124,0.53798,0.54936,0.53954,0.55348,0.58061,0.58534,0.56670,0.54916,0.54750,0.54510,0.54912,0.54965,0.49869,0.50346,0.50291,0.50229,0.49457,0.50000,0.50705,0.52180,0.48626,0.50497,0.52633,0.54450,0.54205,0.52684,0.50368,0.47333,0.45128,0.44075,0.41216,0.39620,0.42918,0.50279,0.53661,0.60024,0.62185,0.63103,0.61557,0.59811,0.58933,0.61023,0.61336,0.62814,0.63103,0.63344,0.61631,0.60954,0.60833,0.55208,0.54528,0.54490,0.54459,0.53015,0.51979,0.51996,0.51909,0.49680,0.48046
2005,Baerami 33_11kV,04MAY2004,MW,0.48254,0.46402,0.43974,0.43636,0.41784,0.42508,0.41832,0.42954,0.41932,0.41961,0.39114,0.39309,0.38617,0.39009,0.38175,0.37968,0.37389,0.38690,0.38511,0.39258,0.36046,0.36218,0.36961,0.37348,0.38537,0.40366,0.45000,0.55998,0.55997,0.56903,0.56054,0.54472,0.58500,0.62140,0.61730,0.61047,0.59681,0.62898,0.62655,0.63205,0.62888,0.62586,0.61360,0.58952,0.56771,0.57427,0.57888,0.57179,0.58064,0.55313,0.55976,0.56688,0.56911,0.54243,0.55094,0.53571,0.54563,0.55215,0.55296,0.58581,0.56973,0.58249,0.55626,0.52152,0.50091,0.47940,0.46658,0.46016,0.45014,0.45356,0.47853,0.50638,0.58430,0.59357,0.61830,0.62352,0.60238,0.59378,0.60080,0.61500,0.65937,0.66810,0.65533,0.66868,0.67394,0.63363,0.59672,0.58898,0.58099,0.58006,0.56835,0.54465,0.52274,0.49663,0.51542,0.49458
2005,Baerami 33_11kV,05MAY2004,MW,0.49367,0.44351,0.42963,0.41599,0.40855,0.40724,0.40509,0.39970,0.40199,0.39355,0.41102,0.41473,0.39123,0.39373,0.39132,0.37173,0.37752,0.37085,0.37638,0.38082,0.38604,0.35482,0.36003,0.36717,0.38680,0.40765,0.44750,0.46794,0.50894,0.49315,0.47623,0.47399,0.45971,0.49173,0.51014,0.52481,0.56276,0.60594,0.61686,0.60799,0.58046,0.55587,0.55999,0.56022,0.57140,0.55495,0.56297,0.58105,0.62692,0.63669,0.62946,0.61005,0.59414,0.61764,0.63137,0.65602,0.64137,0.65643,0.67822,0.66568,0.63473,0.61691,0.60928,0.57730,0.52640,0.51277,0.50452,0.50033,0.50637,0.49897,0.50024,0.52858,0.55776,0.58711,0.59063,0.60430,0.59833,0.59613,0.60179,0.58006,0.57291,0.58171,0.59521,0.56962,0.57114,0.52771,0.49724,0.50877,0.51074,0.50187,0.49551,0.49395,0.48349,0.46078,0.46223,0.44293
2005,Baerami 33_11kV,06MAY2004,MW,0.44556,0.43630,0.43911,0.44327,0.43640,0.43155,0.41453,0.38545,0.37336,0.36125,0.36263,0.38056,0.39668,0.38819,0.39199,0.39242,0.37993,0.38531,0.39449,0.38499,0.40514,0.43187,0.41776,0.43499,0.47209,0.48508,0.51392,0.58901,0.61581,0.62899,0.63044,0.62790,0.61368,0.57633,0.59646,0.60268,0.57951,0.54381,0.49500,0.48324,0.54288,0.55155,0.55101,0.53826,0.53104,0.52423,0.52710,0.53352,0.57206,0.53595,0.55837,0.56969,0.57860,0.56822,0.58432,0.59871,0.62337,0.61725,0.62431,0.60497,0.60526,0.62098,0.62297,0.57235,0.50163,0.52994,0.53036,0.51846,0.49189,0.49646,0.53468,0.53346,0.55649,0.57073,0.62055,0.59839,0.58355,0.59424,0.58894,0.59994,0.60193,0.60844,0.61562,0.59778,0.58406,0.58008,0.57993,0.55595,0.52842,0.49718,0.50015,0.48397,0.47457,0.46544,0.44525,0.44521
2005,Baerami 33_11kV,07MAY2004,MW,0.43088,0.42649,0.41960,0.42328,0.40901,0.38915,0.38887,0.38527,0.36353,0.34307,0.34740,0.34055,0.33722,0.35014,0.33812,0.34357,0.32814,0.33974,0.34192,0.35178,0.36442,0.36152,0.36981,0.37440,0.38426,0.42026,0.43442,0.47487,0.47036,0.46564,0.50860,0.51717,0.50690,0.49707,0.49762,0.54348,0.59442,0.67054,0.65640,0.65827,0.64187,0.64233,0.64567,0.64562,0.64810,0.63636,0.62607,0.60909,0.60661,0.61688,0.62081,0.61253,0.60273,0.56536,0.56402,0.54896,0.54587,0.53676,0.51191,0.49176,0.47501,0.48565,0.49392,0.47861,0.46976,0.45798,0.45929,0.41963,0.42377,0.44855,0.52346,0.57166,0.57358,0.61378,0.65391,0.66440,0.65523,0.65197,0.62752,0.62290,0.64478,0.63055,0.63333,0.64388,0.64987,0.65261,0.65616,0.66525,0.62580,0.61574,0.61855,0.59667,0.58898,0.52961,0.51909,0.51419
2005,Baerami 33_11kV,08MAY2004,MW,0.50785,0.50241,0.48304,0.48041,0.49134,0.49574,0.47760,0.48133,0.46642,0.46501,0.46635,0.43940,0.43657,0.44087,0.44693,0.44152,0.39290,0.39267,0.38470,0.39753,0.38195,0.38336,0.40463,0.40447,0.41567,0.47770,0.47365,0.48273,0.49826,0.50157,0.51201,0.51773,0.50548,0.52281,0.53738,0.52482,0.51555,0.50938,0.50509,0.47990,0.52274,0.53265,0.51630,0.53357,0.52496,0.50506,0.49848,0.49853,0.46653,0.45665,0.44882,0.44375,0.45153,0.44460,0.43861,0.44264,0.43531,0.44189,0.45296,0.41566,0.41581,0.43399,0.43960,0.44598,0.46018,0.43526,0.44023,0.40336,0.37762,0.40027,0.41987,0.46260,0.49303,0.49580,0.49351,0.49854,0.51441,0.49495,0.50144,0.50629,0.49272,0.50311,0.50012,0.48896,0.49815,0.47571,0.45052,0.44810,0.43885,0.43232,0.44800,0.42455,0.40375,0.40483,0.39326,0.38144
2005,Baerami 33_11kV,09MAY2004,MW,0.38061,0.35965,0.35040,0.34369,0.35119,0.33955,0.34198,0.33877,0.33826,0.34155,0.33555,0.33604,0.34581,0.34581,0.33855,0.33164,0.32985,0.33758,0.32861,0.33240,0.34056,0.34444,0.34168,0.35270,0.35215,0.36544,0.37137,0.38613,0.38925,0.40467,0.43529,0.45457,0.45718,0.46236,0.46887,0.45033,0.45561,0.45208,0.49899,0.50508,0.50135,0.50834,0.54974,0.54980,0.52183,0.51408,0.51301,0.50250,0.48644,0.47384,0.48787,0.47656,0.46518,0.47821,0.47507,0.47574,0.44543,0.40563,0.38810,0.41056,0.41628,0.42595,0.43098,0.44920,0.42289,0.42300,0.46683,0.47923,0.44909,0.47482,0.51246,0.53675,0.54659,0.56673,0.57936,0.57343,0.57638,0.56185,0.52257,0.51657,0.55754,0.56241,0.54619,0.54117,0.53879,0.53590,0.53459,0.53173,0.51083,0.49478,0.49083,0.44351,0.42629,0.39707,0.39192,0.38623
2005,Baerami 33_11kV,10MAY2004,MW,0.38139,0.36686,0.36707,0.34877,0.35966,0.35572,0.36090,0.34566,0.33679,0.33949,0.35174,0.35065,0.33935,0.34436,0.33829,0.34138,0.34179,0.35046,0.35488,0.35678,0.37374,0.35951,0.36044,0.37391,0.38336,0.39566,0.42500,0.45498,0.46591,0.46985,0.45658,0.43301,0.45120,0.44994,0.45136,0.46555,0.51065,0.54246,0.56797,0.57238,0.56568,0.57678,0.58140,0.58307,0.56793,0.56728,0.57655,0.55841,0.56024,0.54496,0.55978,0.55987,0.53841,0.52728,0.51862,0.52650,0.50225,0.50995,0.54683,0.56579,0.55097,0.54414,0.52674,0.53127,0.53831,0.51346,0.48438,0.47017,0.46264,0.52615,0.59342,0.63973,0.64697,0.68210,0.75230,0.74641,0.74202,0.71763,0.67782,0.65296,0.68069,0.68097,0.67287,0.66649,0.66908,0.65573,0.61806,0.59593,0.59624,0.58982,0.59445,0.58058,0.56675,0.54118,0.53826,0.52675
2005,Baerami 33_11kV,11MAY2004,MW,0.50965,0.50259,0.49771,0.48777,0.48921,0.47143,0.48402,0.48726,0.45536,0.43393,0.41708,0.41441,0.41601,0.38701,0.38201,0.37261,0.39062,0.38751,0.38682,0.39804,0.41623,0.40505,0.41579,0.41143,0.45474,0.49579,0.49981,0.52731,0.51612,0.56993,0.56850,0.59969,0.61749,0.63524,0.63132,0.63597,0.61672,0.61046,0.59720,0.59525,0.58719,0.59362,0.60312,0.59315,0.56467,0.55501,0.56656,0.57969,0.59169,0.58850,0.57624,0.57012,0.60240,0.59490,0.59302,0.59880,0.60821,0.60484,0.60310,0.63565,0.65331,0.62460,0.62968,0.60019,0.58396,0.63387,0.62143,0.58087,0.57748,0.61159,0.65030,0.68007,0.68983,0.74576,0.79190,0.78232,0.76581,0.75040,0.72176,0.69435,0.72911,0.73989,0.76136,0.73012,0.70628,0.67403,0.67608,0.69111,0.67231,0.62535,0.59763,0.61210,0.57520,0.53811,0.46914,0.45824
2005,Baerami 33_11kV,12MAY2004,MW,0.46295,0.45836,0.45125,0.44653,0.45148,0.40971,0.40538,0.40300,0.40938,0.40113,0.39702,0.39038,0.38292,0.39122,0.37166,0.36829,0.36853,0.36623,0.36696,0.36345,0.37758,0.37915,0.37747,0.39087,0.40431,0.44266,0.46295,0.50561,0.50463,0.50657,0.48597,0.43643,0.43542,0.40829,0.38701,0.37500,0.36300,0.37626,0.42147,0.41042,0.45057,0.46372,0.44035,0.44911,0.50720,0.48681,0.45855,0.47896,0.49060,0.50725,0.48528,0.47985,0.49533,0.50545,0.48196,0.48519,0.46042,0.47942,0.47828,0.48072,0.49364,0.50952,0.49620,0.45769,0.43844,0.44258,0.44578,0.44772,0.46962,0.52694,0.59935,0.64167,0.68661,0.69792,0.70819,0.70023,0.66634,0.65699,0.64622,0.62686,0.60907,0.58693,0.59786,0.59775,0.61071,0.59617,0.59430,0.58878,0.54736,0.53659,0.53831,0.52557,0.53220,0.52332,0.50975,0.49942
2005,Baerami 33_11kV,13MAY2004,MW,0.48755,0.48586,0.46801,0.47185,0.46440,0.46096,0.44295,0.43934,0.43661,0.40466,0.39806,0.38317,0.38905,0.39218,0.39876,0.39280,0.38509,0.39111,0.39491,0.39710,0.44236,0.45311,0.44746,0.44685,0.43755,0.45053,0.47600,0.51102,0.48883,0.47013,0.51024,0.53368,0.53864,0.55991,0.53553,0.52689,0.55272,0.54311,0.54904,0.60155,0.58117,0.52227,0.50798,0.51353,0.52903,0.55589,0.56202,0.54125,0.54993,0.52011,0.53665,0.52813,0.53235,0.54640,0.55635,0.53975,0.54354,0.51628,0.53195,0.51761,0.53000,0.48795,0.50578,0.51544,0.50618,0.48208,0.46589,0.47884,0.45782,0.50154,0.52954,0.54020,0.59212,0.65204,0.71082,0.72706,0.72354,0.73527,0.73178,0.72424,0.70678,0.66689,0.67073,0.64917,0.65180,0.63328,0.63103,0.61418,0.59549,0.57261,0.54540,0.52755,0.50654,0.50716,0.51146,0.49515
2005,Baerami 33_11kV,14MAY2004,MW,0.48202,0.47927,0.47774,0.47152,0.46908,0.45118,0.44753,0.45443,0.46513,0.46533,0.44931,0.44659,0.44046,0.46023,0.43763,0.38805,0.38884,0.39560,0.38587,0.39665,0.41008,0.41228,0.43446,0.43247,0.47200,0.47332,0.50336,0.51964,0.54813,0.59679,0.59530,0.61638,0.63638,0.59743,0.55812,0.56040,0.62673,0.65056,0.65197,0.71159,0.70566,0.68036,0.69416,0.69942,0.68393,0.68079,0.66179,0.63611,0.65451,0.63630,0.62483,0.60202,0.58310,0.54573,0.50959,0.50753,0.47722,0.53829,0.53917,0.55498,0.56636,0.57913,0.57955,0.57684,0.49882,0.48363,0.46768,0.39931,0.38598,0.40353,0.43119,0.48936,0.49064,0.51526,0.51446,0.51645,0.52465,0.51108,0.52007,0.51642,0.56637,0.57241,0.57878,0.56667,0.53024,0.53705,0.50958,0.50071,0.50090,0.50874,0.51614,0.50572,0.48381,0.48654,0.47358,0.45921
2005,Baerami 33_11kV,15MAY2004,MW,0.40497,0.40244,0.38058,0.37239,0.37407,0.36710,0.36346,0.35965,0.35312,0.35327,0.36217,0.35614,0.35301,0.34825,0.34970,0.35886,0.35539,0.35188,0.36973,0.36356,0.34581,0.32981,0.33664,0.34941,0.37696,0.38493,0.41783,0.42978,0.41695,0.45045,0.47854,0.48062,0.50251,0.48642,0.47408,0.46873,0.47508,0.47603,0.48958,0.47881,0.45037,0.46101,0.46105,0.47150,0.48215,0.46823,0.46787,0.47371,0.45240,0.46310,0.45940,0.47254,0.46705,0.45755,0.46668,0.47265,0.50357,0.51761,0.52377,0.51825,0.50358,0.50446,0.52991,0.54090,0.53730,0.54641,0.55946,0.50718,0.50339,0.50933,0.54738,0.57897,0.59149,0.60208,0.59839,0.58071,0.57391,0.56836,0.55852,0.56326,0.55211,0.54469,0.53760,0.52357,0.50936,0.50466,0.48744,0.47329,0.47003,0.44450,0.43086,0.42136,0.39572,0.39165,0.39433,0.38136
2005,Baerami 33_11kV,16MAY2004,MW,0.37741,0.37624,0.36406,0.36271,0.35863,0.36104,0.36698,0.34612,0.32710,0.33173,0.32849,0.32807,0.33711,0.31938,0.33370,0.32650,0.34407,0.34180,0.34809,0.34208,0.34905,0.35914,0.36531,0.36564,0.39163,0.40814,0.39628,0.40104,0.40462,0.40914,0.41808,0.42540,0.41303,0.42851,0.43161,0.44105,0.44771,0.47328,0.49665,0.49047,0.49041,0.48745,0.48194,0.51431,0.51347,0.47859,0.47132,0.52249,0.51636,0.48849,0.51077,0.51584,0.49907,0.48380,0.49849,0.48714,0.50267,0.55610,0.53943,0.53145,0.55761,0.57163,0.59594,0.62960,0.64291,0.64634,0.63266,0.60073,0.60659,0.61817,0.62012,0.65335,0.63968,0.64240,0.65251,0.64937,0.63392,0.63372,0.63912,0.62332,0.65555,0.66977,0.64119,0.60548,0.59993,0.58974,0.59020,0.56307,0.52379,0.50171,0.50084,0.50713,0.48305,0.47246,0.47235,0.47153
2005,Baerami 33_11kV,17MAY2004,MW,0.46857,0.45080,0.45042,0.44242,0.42531,0.41966,0.40889,0.40236,0.41218,0.41541,0.40873,0.41008,0.41852,0.40183,0.40036,0.39822,0.40263,0.40624,0.36567,0.36307,0.33940,0.34297,0.34333,0.35450,0.38562,0.38596,0.41127,0.41791,0.46102,0.47016,0.50510,0.49801,0.52675,0.54555,0.57084,0.56504,0.54452,0.57778,0.62148,0.61884,0.58442,0.60040,0.59012,0.60253,0.55354,0.55085,0.51515,0.51607,0.52278,0.55843,0.54558,0.56592,0.57789,0.57160,0.56657,0.55022,0.55607,0.51424,0.49076,0.50855,0.55180,0.54395,0.55371,0.56485,0.56779,0.56371,0.53509,0.52289,0.51628,0.51487,0.52606,0.59046,0.66291,0.68407,0.72139,0.72308,0.72450,0.73227,0.72874,0.72978,0.71949,0.72386,0.70314,0.70091,0.69473,0.67920,0.68170,0.67763,0.65587,0.65884,0.65793,0.64303,0.61785,0.63750,0.62730,0.61217
2005,Baerami 33_11kV,18MAY2004,MW,0.59826,0.57765,0.57395,0.57145,0.58423,0.56585,0.54904,0.54187,0.54046,0.54327,0.55137,0.51909,0.51671,0.50871,0.50647,0.49239,0.49358,0.49221,0.50612,0.50963,0.52524,0.52635,0.54825,0.57738,0.58983,0.60233,0.61910,0.66633,0.71772,0.73093,0.70333,0.69704,0.67693,0.67304,0.68624,0.65843,0.57018,0.55251,0.55507,0.54531,0.56227,0.55994,0.56249,0.55481,0.56500,0.55591,0.54621,0.55577,0.51397,0.54478,0.55184,0.53321,0.56068,0.55316,0.62941,0.63240,0.62673,0.60921,0.60691,0.59816,0.59818,0.60192,0.56875,0.57033,0.53497,0.53525,0.52352,0.51213,0.49789,0.51044,0.52420,0.55096,0.57877,0.58971,0.56527,0.58496,0.61149,0.60714,0.61400,0.61803,0.61149,0.60548,0.59890,0.60191,0.58134,0.56255,0.54960,0.53991,0.54232,0.54763,0.53958,0.53645,0.51013,0.51385,0.48403,0.46745
2005,Baerami 33_11kV,19MAY2004,MW,0.45419,0.43360,0.43640,0.43142,0.41972,0.41614,0.41236,0.41092,0.42328,0.37926,0.35863,0.35576,0.35993,0.35895,0.35812,0.35090,0.35518,0.33240,0.34531,0.34609,0.35336,0.36249,0.38225,0.39901,0.39536,0.40326,0.42569,0.43296,0.42841,0.41367,0.39732,0.40693,0.42361,0.49649,0.44287,0.40844,0.40326,0.40961,0.39170,0.38887,0.42167,0.41159,0.40683,0.41628,0.41525,0.42074,0.44806,0.43992,0.43656,0.42212,0.43892,0.44631,0.45550,0.45797,0.47548,0.53360,0.59345,0.57774,0.60243,0.62558,0.64710,0.66999,0.67756,0.66895,0.63879,0.59521,0.57191,0.55765,0.54970,0.52761,0.53951,0.55412,0.59836,0.61513,0.64641,0.62814,0.63748,0.66014,0.65893,0.67273,0.62494,0.57201,0.59868,0.57724,0.60886,0.61154,0.60930,0.60092,0.59499,0.57784,0.51510,0.51209,0.50002,0.51338,0.48255,0.47941
2005,Baerami 33_11kV,20MAY2004,MW,0.42518,0.40989,0.40337,0.41869,0.41652,0.40255,0.39218,0.38855,0.38890,0.38029,0.37914,0.38108,0.38382,0.37685,0.37482,0.36995,0.37515,0.38794,0.36852,0.38951,0.39702,0.42838,0.42661,0.44286,0.46054,0.49676,0.48798,0.49253,0.49591,0.50176,0.54803,0.59270,0.63701,0.59769,0.58980,0.57265,0.58419,0.56157,0.59564,0.57989,0.61483,0.62589,0.62496,0.61051,0.55174,0.57758,0.57028,0.53888,0.55000,0.57072,0.57609,0.58090,0.58739,0.58807,0.56555,0.56285,0.63459,0.57514,0.56920,0.57077,0.52809,0.51948,0.51963,0.52923,0.54984,0.53482,0.51564,0.52274,0.51436,0.54737,0.54409,0.55451,0.56619,0.58623,0.60417,0.62862,0.68179,0.68290,0.67018,0.64662,0.62287,0.58507,0.60118,0.58515,0.57373,0.58770,0.58647,0.59193,0.61019,0.62104,0.61284,0.59038,0.56508,0.55487,0.52735,0.54265
2005,Baerami 33_11kV,21MAY2004,MW,0.51011,0.48920,0.47960,0.48614,0.47595,0.46333,0.46390,0.46934,0.45629,0.46153,0.45968,0.44856,0.43740,0.42068,0.42795,0.41220,0.42847,0.43473,0.43279,0.44246,0.45847,0.45345,0.47766,0.49861,0.57365,0.59688,0.67659,0.71220,0.64313,0.58370,0.60362,0.61355,0.62418,0.60199,0.56192,0.57022,0.56869,0.60891,0.61030,0.60288,0.56095,0.54890,0.57014,0.59633,0.60844,0.55908,0.52338,0.53760,0.54489,0.53877,0.52505,0.51319,0.47155,0.47994,0.45853,0.47018,0.46313,0.45771,0.47542,0.47654,0.46999,0.48318,0.48357,0.43810,0.41639,0.39332,0.38021,0.38632,0.41370,0.43687,0.45528,0.46932,0.46709,0.45689,0.46075,0.47943,0.47562,0.45447,0.45009,0.45679,0.45703,0.45925,0.45667,0.43170,0.41653,0.44338,0.43267,0.41138,0.39671,0.40131,0.39860,0.39897,0.38207,0.38770,0.38023,0.38425
2005,Baerami 33_11kV,22MAY2004,MW,0.35295,0.34442,0.33995,0.33116,0.33073,0.32769,0.31803,0.32388,0.31974,0.32684,0.32668,0.32304,0.32823,0.32040,0.30972,0.31007,0.32039,0.31539,0.31056,0.31897,0.31477,0.32463,0.33277,0.34347,0.36433,0.37459,0.38281,0.38258,0.36714,0.36288,0.38639,0.38330,0.40463,0.40390,0.43264,0.44312,0.46767,0.47918,0.50245,0.52407,0.53123,0.54696,0.53171,0.52761,0.50913,0.50485,0.52385,0.51564,0.50592,0.49733,0.51785,0.52806,0.52166,0.50996,0.50855,0.49420,0.49799,0.51079,0.48168,0.41526,0.40468,0.42694,0.44370,0.45682,0.43400,0.43849,0.46071,0.51423,0.53440,0.55333,0.55689,0.55569,0.57187,0.54523,0.54206,0.52420,0.52577,0.52474,0.53251,0.52606,0.50681,0.49968,0.49928,0.49863,0.49308,0.49171,0.48389,0.45456,0.45720,0.46072,0.44119,0.41762,0.40081,0.39102,0.39673,0.37284
2005,Baerami 33_11kV,23MAY2004,MW,0.37273,0.36985,0.36319,0.37063,0.35385,0.34025,0.32653,0.32991,0.32472,0.32868,0.31936,0.31586,0.32152,0.31976,0.31277,0.31571,0.32357,0.32058,0.33180,0.32200,0.32183,0.32747,0.33287,0.33761,0.34738,0.36361,0.36150,0.38002,0.39122,0.40404,0.40782,0.40515,0.37382,0.39708,0.40191,0.40529,0.40287,0.39003,0.40492,0.40026,0.41884,0.45855,0.48016,0.50231,0.49659,0.48714,0.50373,0.48345,0.48546,0.48107,0.48730,0.50423,0.49917,0.48375,0.48712,0.48819,0.48364,0.48308,0.50564,0.51255,0.52134,0.51176,0.50603,0.47359,0.49441,0.49358,0.50844,0.51337,0.54351,0.59688,0.60070,0.61070,0.60747,0.62508,0.63589,0.62226,0.60917,0.64050,0.62631,0.60225,0.57448,0.57340,0.56322,0.54783,0.52713,0.52797,0.51649,0.51402,0.49632,0.46782,0.42595,0.41734,0.42528,0.42244,0.39756,0.39786
2005,Baerami 33_11kV,24MAY2004,MW,0.40104,0.39615,0.40184,0.40845,0.40104,0.39698,0.36628,0.36229,0.35768,0.35706,0.33965,0.33645,0.33391,0.33314,0.34280,0.35480,0.35418,0.34598,0.35268,0.35710,0.37376,0.36420,0.36212,0.38020,0.41527,0.43185,0.45373,0.49206,0.48002,0.51403,0.53169,0.55284,0.57645,0.54293,0.53916,0.53262,0.52085,0.52139,0.52272,0.52899,0.54581,0.52333,0.53519,0.53171,0.51377,0.49899,0.48666,0.49577,0.49925,0.48174,0.48146,0.47550,0.47589,0.47178,0.48722,0.49893,0.50405,0.49817,0.49016,0.49463,0.49236,0.50257,0.50346,0.47383,0.46569,0.46345,0.48286,0.42254,0.39988,0.43318,0.48369,0.48743,0.50112,0.50259,0.52996,0.54366,0.52612,0.49043,0.49151,0.51200,0.53966,0.53330,0.53410,0.50389,0.48963,0.48882,0.47406,0.46828,0.45450,0.45208,0.44785,0.44666,0.42871,0.43946,0.45040,0.44761
