year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Campbell St 132_11kV,01MAY2004,MW,3.43746,3.33115,3.27799,3.20712,3.13624,3.04765,3.08309,3.04765,3.08309,3.02993,2.95905,2.99449,2.95905,2.92362,2.88818,2.87046,2.81730,2.83502,2.83502,2.78186,2.83502,2.94133,2.99449,3.01221,3.13624,3.10080,3.15396,3.34887,3.43746,3.57921,3.56149,3.72096,3.75640,3.93359,4.09306,4.12850,4.27025,4.34113,4.42972,4.44744,4.48288,4.48288,4.42972,4.48288,4.53603,4.46516,4.44744,4.51831,4.42972,4.39428,4.41200,4.35884,4.34113,4.37656,4.27025,4.25253,4.30569,4.25253,4.16394,4.11078,4.11078,4.16394,4.14622,4.18166,4.18166,4.21709,4.19937,4.32341,4.39428,4.46516,4.46516,4.53603,4.48288,4.42972,4.39428,4.30569,4.32341,4.23481,4.19937,5.03216,4.07534,3.95131,3.98675,3.82728,3.93359,3.84500,3.72096,3.65009,3.68553,3.61465,3.57921,3.43746,3.38431,3.34887,3.27799,3.22484
2005,Campbell St 132_11kV,02MAY2004,MW,3.11852,3.11852,3.11852,3.11852,3.01221,2.94133,2.88818,2.85274,2.87046,2.88818,2.83502,2.83502,2.72871,2.72871,2.69327,2.72871,2.78186,2.72871,2.72871,2.67555,2.71099,2.81730,2.76415,2.79958,2.76415,2.87046,2.92362,3.06537,3.01221,3.06537,3.18940,3.18940,3.22484,3.29571,3.29571,3.50834,3.59693,3.57921,3.70325,3.84500,3.95131,3.89815,3.98675,4.02219,4.03990,4.07534,4.03990,4.02219,3.95131,3.95131,3.93359,4.00447,3.95131,3.93359,3.89815,3.84500,3.84500,3.77412,3.82728,3.84500,3.75640,3.82728,3.82728,3.86272,3.89815,3.88043,4.02219,4.03990,4.21709,4.30569,4.39428,4.32341,4.37656,4.37656,4.30569,4.23481,4.21709,4.21709,4.16394,4.07534,4.09306,3.98675,4.00447,3.91587,3.84500,3.86272,3.73868,3.63237,3.61465,3.45518,3.52606,3.41974,3.31343,3.17168,3.18940,3.08309
2005,Campbell St 132_11kV,03MAY2004,MW,3.02993,2.95905,2.90590,2.79958,2.78186,2.79958,2.72871,2.67555,2.65783,2.56924,2.60468,2.53380,2.60468,2.55152,2.55152,2.56924,2.58696,2.58696,2.58696,2.58696,2.65783,2.85274,2.97677,3.15396,3.33115,3.45518,3.47290,3.72096,3.98675,4.25253,4.42972,4.53603,4.58919,4.81954,4.85497,4.81954,4.80182,4.78410,4.83725,4.83725,4.80182,4.85497,4.87269,4.85497,4.97901,4.92585,4.87269,4.87269,4.94357,4.83725,4.87269,4.92585,4.99672,4.92585,4.94357,4.90813,4.90813,4.87269,4.81954,4.81954,4.81954,4.81954,4.83725,4.87269,4.89041,4.73094,4.80182,4.81954,4.90813,4.87269,4.85497,4.85497,4.89041,4.83725,4.83725,4.74866,4.74866,4.62463,4.53603,4.51831,4.48288,4.51831,4.48288,4.28797,4.30569,4.14622,3.98675,3.89815,3.82728,3.80956,3.73868,3.54378,3.43746,3.31343,3.18940,3.22484
2005,Campbell St 132_11kV,04MAY2004,MW,3.10080,2.97677,2.87046,2.88818,2.83502,2.83502,2.72871,2.65783,2.69327,2.65783,2.64011,2.60468,2.62239,2.65783,2.62239,2.64011,2.67555,2.69327,2.71099,2.74643,2.76415,3.01221,3.04765,3.26027,3.34887,3.50834,3.61465,3.89815,4.18166,4.39428,4.48288,4.57147,4.69550,4.94357,4.92585,4.97901,4.96129,4.94357,4.92585,5.01444,5.03216,5.06760,5.03216,5.01444,5.03216,5.06760,5.06760,5.10304,5.12076,5.12076,5.03216,5.03216,5.08532,5.10304,5.19163,5.15619,5.15619,5.22707,5.13848,5.15619,5.12076,5.04988,5.04988,5.08532,5.03216,5.04988,5.10304,5.04988,5.12076,5.17391,5.19163,5.10304,4.99672,5.06760,5.06760,4.85497,4.78410,4.74866,4.67778,4.57147,4.51831,4.44744,4.32341,4.30569,4.25253,4.21709,4.14622,4.05762,3.86272,3.72096,3.70325,3.59693,3.38431,3.29571,3.22484,3.10080
2005,Campbell St 132_11kV,05MAY2004,MW,3.01221,2.94133,2.85274,2.83502,2.76415,2.72871,2.72871,2.67555,2.60468,2.58696,2.56924,2.62239,2.58696,2.56924,2.60468,2.67555,2.64011,2.62239,2.62239,2.69327,2.81730,2.95905,2.94133,3.18940,3.40202,3.45518,3.59693,3.86272,4.14622,4.41200,4.50060,4.66007,4.85497,4.94357,4.90813,4.96129,4.96129,4.99672,4.99672,5.10304,5.10304,5.10304,5.10304,5.06760,5.13848,5.10304,5.10304,5.13848,5.12076,5.13848,5.15619,5.15619,5.10304,5.12076,5.15619,5.17391,5.08532,5.10304,5.01444,4.97901,5.01444,3.29571,,3.31343,,4.94357,4.85497,4.92585,4.97901,5.04988,,,4.89041,,4.83725,4.67778,4.60691,4.62463,4.55375,4.50060,4.46516,4.42972,4.28797,4.34113,4.21709,4.21709,4.09306,3.95131,3.80956,3.72096,3.72096,3.56149,3.43746,3.33115,3.26027,3.24255
2005,Campbell St 132_11kV,06MAY2004,MW,3.17168,3.13624,2.97677,2.92362,2.88818,2.79958,2.79958,2.74643,2.76415,2.71099,2.65783,2.71099,2.71099,2.60468,2.62239,2.64011,2.62239,2.69327,2.65783,2.65783,2.76415,3.01221,3.06537,3.26027,3.54378,3.56149,3.70325,3.98675,4.16394,4.35884,4.62463,4.71322,4.78410,4.78410,4.87269,5.01444,4.97901,4.90813,5.03216,5.12076,5.04988,5.01444,5.13848,5.12076,5.10304,5.15619,5.24479,5.19163,5.08532,5.19163,5.26251,5.13848,5.19163,5.19163,5.15619,5.10304,5.13848,5.10304,5.03216,5.04988,5.01444,4.99672,4.99672,5.10304,4.99672,5.04988,5.03216,5.10304,5.08532,5.06760,5.03216,4.94357,4.92585,5.04988,4.90813,4.83725,4.73094,4.60691,4.51831,4.55375,4.50060,4.41200,4.41200,4.27025,4.21709,4.23481,4.12850,3.91587,3.84500,3.77412,3.72096,3.54378,3.40202,3.29571,3.27799,3.18940
2005,Campbell St 132_11kV,07MAY2004,MW,3.15396,3.10080,3.04765,2.92362,2.94133,2.88818,2.79958,2.78186,2.76415,2.76415,2.76415,2.76415,2.69327,2.76415,2.78186,2.76415,2.79958,2.79958,2.78186,2.76415,2.83502,3.02993,3.11852,3.29571,3.43746,3.57921,3.73868,3.96903,4.11078,4.39428,4.55375,4.81954,4.92585,5.03216,5.01444,5.13848,5.10304,5.04988,5.12076,5.04988,5.01444,,,5.26251,5.15619,5.19163,5.17391,5.15619,5.20935,5.22707,5.20935,5.24479,5.24479,5.26251,5.24479,5.24479,5.19163,5.20935,5.19163,5.13848,5.15619,5.04988,,,,5.12076,5.08532,5.13848,5.20935,5.19163,5.17391,5.03216,5.03216,4.92585,4.90813,4.74866,4.67778,4.57147,4.51831,4.44744,4.37656,4.28797,4.25253,4.28797,4.16394,4.11078,4.05762,3.93359,3.88043,3.91587,3.86272,3.70325,3.59693,3.52606,3.47290,3.43746
2005,Campbell St 132_11kV,08MAY2004,MW,3.36659,3.26027,3.24255,3.15396,3.04765,3.08309,3.02993,2.97677,2.95905,2.92362,2.88818,2.88818,2.85274,2.85274,2.83502,2.83502,2.78186,2.76415,2.79958,2.76415,2.76415,2.90590,2.92362,2.99449,3.01221,3.11852,3.20712,3.34887,3.43746,3.57921,3.57921,3.66781,3.68553,3.82728,3.89815,4.09306,4.14622,4.14622,4.14622,4.28797,4.39428,4.42972,4.48288,4.58919,4.64235,4.64235,4.66007,4.62463,4.50060,4.51831,4.46516,4.44744,4.48288,4.44744,4.41200,4.44744,4.48288,4.37656,4.42972,4.34113,4.32341,4.35884,4.23481,4.19937,4.19937,4.16394,4.23481,4.30569,4.44744,4.53603,4.50060,4.50060,4.55375,4.42972,4.35884,4.32341,4.35884,4.27025,4.18166,4.07534,4.12850,4.09306,4.09306,4.09306,4.00447,4.03990,3.96903,3.88043,3.84500,3.75640,3.66781,3.63237,3.52606,3.50834,3.43746,3.41974
2005,Campbell St 132_11kV,09MAY2004,MW,3.26027,3.18940,3.15396,3.15396,3.04765,3.08309,3.01221,2.94133,2.90590,2.85274,2.83502,2.81730,2.85274,2.83502,2.78186,2.78186,2.79958,2.76415,2.79958,2.83502,2.79958,2.88818,2.92362,2.92362,2.92362,2.97677,3.01221,3.18940,3.20712,3.33115,3.24255,3.36659,3.40202,3.49062,3.52606,3.66781,3.77412,3.79184,3.95131,4.09306,4.05762,4.03990,4.12850,4.11078,4.09306,4.11078,4.09306,4.05762,4.02219,4.03990,3.93359,4.00447,4.03990,4.00447,3.96903,4.05762,4.03990,3.98675,4.00447,4.00447,4.00447,4.00447,4.03990,4.11078,4.09306,4.14622,4.14622,4.28797,4.37656,4.37656,4.48288,4.50060,4.51831,4.39428,4.35884,4.39428,4.37656,4.32341,4.30569,4.25253,4.11078,4.05762,4.02219,3.95131,3.95131,3.91587,3.80956,3.70325,3.56149,3.47290,3.50834,3.36659,3.33115,3.26027,3.15396,3.08309
2005,Campbell St 132_11kV,10MAY2004,MW,3.04765,2.95905,2.92362,2.92362,2.85274,2.87046,2.74643,2.72871,2.71099,2.64011,2.62239,2.64011,2.64011,2.58696,2.62239,2.62239,2.62239,2.67555,2.60468,2.65783,2.74643,2.87046,3.01221,3.15396,3.38431,3.52606,3.66781,3.96903,4.11078,4.42972,4.51831,4.51831,4.66007,4.76638,4.85497,4.81954,4.85497,4.89041,4.94357,4.97901,4.99672,5.03216,4.92585,5.01444,5.04988,5.08532,4.99672,5.04988,5.12076,5.04988,5.08532,5.01444,5.04988,5.13848,5.01444,5.08532,5.03216,4.97901,4.94357,4.92585,4.92585,4.94357,4.87269,4.85497,4.94357,4.89041,4.81954,4.94357,4.99672,5.04988,4.99672,5.12076,5.01444,4.97901,4.96129,4.87269,4.83725,4.74866,4.73094,4.62463,4.58919,4.60691,4.44744,4.35884,4.28797,4.19937,4.14622,4.00447,3.88043,3.91587,3.82728,3.70325,3.49062,3.40202,3.33115,3.18940
