year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Campsie 33_11kV,01MAY2004,MW,30.44599,28.90273,27.22611,28.97894,27.58811,25.91148,24.71117,23.68233,22.46297,21.56750,20.72918,20.25287,19.71940,19.49077,19.12877,18.61435,18.86203,19.01445,18.76677,18.86203,19.64319,19.89087,20.06234,20.46245,21.22455,21.39602,22.63444,22.06286,22.67255,24.15864,24.71117,25.32085,26.54021,27.11179,28.06442,28.82652,28.78842,29.64578,29.96968,29.74104,29.35999,29.93157,30.06494,29.76010,29.83631,30.40788,29.43620,29.53147,29.28378,28.97894,29.09326,28.94084,28.21684,28.21684,28.17873,27.70242,27.58811,27.35947,27.11179,27.14990,27.01653,27.34042,27.58811,27.91200,27.51190,28.63600,29.91252,30.50315,31.97019,33.98977,35.68544,35.70450,35.41871,35.36155,34.48513,33.89450,33.34198,32.99903,32.57988,31.55104,31.34146,30.90325,30.16020,29.58862,29.16947,28.82652,27.96916,27.47379,30.08399,32.37030,34.00882,32.42746,31.34146,32.67514,32.12261,30.40788
2005,Campsie 33_11kV,02MAY2004,MW,30.97946,29.09326,27.93105,29.35999,27.93105,26.44495,25.18748,23.89191,22.97739,21.70086,20.91971,20.21476,19.83371,19.60508,18.84298,18.93824,18.65246,18.29046,18.46193,18.04277,18.61435,18.70961,18.72867,19.10972,19.47172,19.71940,20.63392,20.02424,20.80539,21.45318,22.34865,23.68233,24.34917,24.90169,26.08295,26.69263,27.41663,27.51190,27.74053,28.02631,28.46452,28.29305,28.90273,28.25494,28.46452,28.42642,27.83579,27.28326,27.55000,27.51190,26.67358,26.90221,26.27348,26.00674,25.53043,25.60664,25.45422,24.90169,24.76833,25.09222,24.95885,24.92075,25.70190,25.77811,25.75906,26.36874,27.24516,28.27400,29.74104,32.57988,34.48513,35.60923,35.36155,35.60923,35.26629,35.05671,34.73281,34.59945,34.25650,33.98977,33.70398,33.22766,32.42746,31.93209,31.03662,30.50315,29.85536,28.52168,31.15093,32.90377,33.91355,32.14167,30.92230,31.45577,30.76988,29.05515
2005,Campsie 33_11kV,03MAY2004,MW,29.83631,28.17873,26.63548,28.36926,26.65453,25.96864,24.27296,23.33938,22.19623,21.39602,20.71013,20.50055,19.89087,19.10972,18.91919,18.90014,18.48098,18.63340,18.95730,19.68129,20.65297,20.95781,22.25339,23.64423,25.18748,27.28326,29.35999,28.57884,30.86515,32.17977,32.40840,33.01808,32.48461,32.54177,32.12261,32.35124,32.99903,33.18956,32.96093,32.92282,33.01808,33.09429,32.69419,32.63703,32.84661,32.27503,32.59893,32.50367,32.21788,32.37030,32.02735,32.21788,32.46556,32.02735,31.81777,31.74156,31.87493,31.81777,31.85588,31.39862,30.86515,31.22714,31.74156,31.98925,32.44651,33.20861,33.93261,34.21840,35.68544,38.06701,39.53406,39.89606,40.71532,40.65816,39.62932,39.43880,38.60048,37.47638,37.49544,36.59997,35.85692,35.05671,34.92334,33.98977,33.22766,32.10356,31.49388,30.25546,32.29409,34.31366,34.65660,32.82756,31.57009,32.25598,31.66535,29.83631
2005,Campsie 33_11kV,04MAY2004,MW,30.14115,28.27400,26.95937,28.73126,27.07369,25.87337,24.53970,23.32033,22.97739,21.89139,21.16739,20.57676,20.10045,19.83371,19.12877,19.50982,19.58603,19.75750,19.75750,20.55771,21.45318,22.23434,22.82497,24.27296,27.16895,28.52168,29.93157,29.22663,32.00830,33.15145,33.91355,33.60871,33.79924,33.51345,33.79924,33.91355,33.85640,34.08503,33.68492,33.60871,33.09429,33.47535,33.18956,33.05619,33.17051,33.51345,33.45629,33.20861,32.71324,32.69419,32.65609,32.97998,32.97998,33.22766,32.73230,33.22766,33.20861,32.77040,33.03714,32.37030,32.42746,32.88472,32.97998,33.11335,33.26577,33.97071,34.46608,35.05671,37.32396,39.49595,40.37237,40.10564,40.41048,40.25806,39.24827,39.15301,38.63859,37.68596,37.28586,36.71428,36.40944,35.57113,34.90429,33.85640,32.38935,31.81777,30.86515,30.02683,32.38935,33.83734,34.94239,32.88472,31.83683,32.02735,30.99851,29.55052
2005,Campsie 33_11kV,05MAY2004,MW,30.04589,28.08347,26.73074,28.17873,26.99748,25.81622,24.34917,22.90118,22.23434,21.16739,20.65297,19.94803,19.77656,19.52887,19.09066,18.97635,18.99540,19.18593,19.39550,20.19571,21.07213,21.73897,22.44391,24.02528,26.27348,27.70242,30.02683,28.82652,30.82704,32.52272,33.38008,33.11335,32.37030,32.67514,32.46556,32.84661,33.22766,32.71324,32.86566,32.97998,33.01808,33.30387,33.39914,33.53250,33.36103,33.11335,33.05619,32.90377,33.49440,33.17051,33.43724,33.20861,33.05619,33.53250,33.47535,33.70398,33.01808,32.96093,33.17051,32.54177,32.14167,32.33219,32.73230,33.28482,33.36103,33.89450,34.37082,35.11387,36.82860,38.98154,40.39142,40.35332,40.56290,39.99132,39.64838,39.30543,38.37185,37.81933,37.32396,36.40944,35.72355,35.15197,35.24723,34.16124,33.09429,32.12261,31.89398,30.21736,32.35124,34.14219,34.77092,32.61798,31.74156,32.04640,31.41767,29.66483
2005,Campsie 33_11kV,06MAY2004,MW,30.46504,28.69315,27.34042,28.63600,27.11179,25.93053,24.61591,23.26317,22.61539,21.37697,20.88160,20.53866,19.85277,19.39550,19.03351,19.07161,19.14782,18.99540,19.87182,20.44340,21.39602,21.83423,22.50107,24.53970,26.02580,28.21684,30.33167,29.03610,31.34146,32.50367,32.40840,33.22766,32.86566,32.56082,32.35124,32.86566,33.01808,32.65609,32.65609,32.61798,32.50367,32.17977,32.23693,32.48461,32.82756,32.97998,33.15145,32.99903,33.07524,32.78945,32.86566,32.90377,32.99903,33.76113,33.15145,33.22766,33.47535,33.39914,32.96093,32.67514,32.97998,32.84661,33.32293,33.60871,34.10408,33.95166,34.35176,35.13292,36.80954,39.30543,40.27711,39.78174,40.10564,39.53406,39.01964,38.61954,38.35280,37.53354,36.86670,36.35228,35.01860,34.92334,34.19934,33.24672,31.89398,31.45577,30.86515,29.89346,32.31314,34.14219,34.67566,32.77040,32.04640,32.35124,31.74156,30.06494
2005,Campsie 33_11kV,07MAY2004,MW,30.52220,28.48358,26.48306,28.40737,27.26421,26.08295,24.99696,23.58707,23.07265,21.83423,21.31981,20.42434,20.10045,19.60508,19.71940,19.81466,19.58603,19.79561,20.04329,20.61487,21.58655,21.79613,22.82497,24.10149,25.74001,27.47379,29.66483,28.92178,31.66535,32.37030,33.22766,33.20861,33.85640,34.29461,33.41819,33.34198,34.04692,34.12313,33.55156,33.41819,33.62777,34.00882,33.70398,33.70398,33.70398,33.62777,33.93261,34.29461,34.12313,33.97071,33.89450,33.38008,33.34198,33.68492,33.45629,33.13240,33.22766,32.97998,33.07524,32.50367,32.04640,32.40840,32.84661,33.49440,33.43724,33.85640,34.29461,34.88524,36.59997,38.42901,39.38164,38.98154,38.84817,38.27659,38.37185,37.74312,36.90481,36.04744,35.36155,34.84713,33.87545,33.64682,32.10356,32.12261,30.99851,30.54125,29.87441,29.20757,31.79872,33.43724,34.46608,33.26577,32.08451,32.61798,31.43672,29.62673
2005,Campsie 33_11kV,08MAY2004,MW,30.44599,29.26473,26.95937,28.55979,27.32137,25.77811,24.65401,22.92023,22.53918,21.39602,20.82445,20.40529,19.47172,19.26214,19.09066,19.07161,18.29046,18.67151,18.51909,18.09993,18.55719,18.91919,19.31929,20.19571,20.48150,21.24360,22.06286,21.05308,22.02476,23.37749,24.52064,24.50159,26.14011,27.03558,27.49284,28.31210,29.15042,29.51241,29.26473,29.64578,29.45526,29.11231,29.64578,29.62673,29.32189,29.41715,29.76010,29.60768,29.26473,29.56957,29.37905,29.47431,28.99799,29.13136,28.94084,28.29305,27.96916,28.23589,27.66432,27.66432,27.22611,27.85484,27.68337,27.74053,28.00726,28.46452,29.35999,30.57936,32.33219,35.09481,35.99028,36.58091,35.72355,35.41871,34.98050,34.35176,33.38008,33.07524,32.50367,32.16072,31.34146,31.16999,30.19831,29.98873,29.26473,28.82652,28.25494,27.39758,30.10304,32.63703,33.87545,32.40840,32.02735,32.63703,32.16072,30.69367
2005,Campsie 33_11kV,09MAY2004,MW,31.34146,29.53147,27.81674,29.47431,28.48358,26.82600,25.28275,23.49181,23.14886,22.08192,20.65297,20.17666,19.47172,19.30024,19.18593,18.61435,18.63340,18.36667,18.65246,18.36667,18.53814,18.48098,18.32856,18.44288,19.26214,19.07161,19.92898,18.80488,20.02424,21.05308,21.92950,22.32960,23.37749,24.69212,24.93980,25.85432,26.57832,27.68337,27.98821,28.40737,28.44547,28.00726,27.89295,28.35021,27.89295,27.95010,27.98821,27.74053,27.37853,27.14990,26.78790,26.06390,26.17822,26.52116,26.04485,25.85432,26.31158,26.19727,26.02580,26.74979,26.36874,26.90221,27.18800,27.75958,27.91200,28.63600,29.35999,29.62673,31.15093,33.05619,34.25650,34.75187,34.14219,34.00882,33.74208,33.41819,33.28482,32.59893,32.69419,32.19882,32.35124,31.58914,31.39862,30.90325,29.53147,29.30284,28.75031,27.39758,30.06494,31.66535,32.80851,30.63651,29.81725,30.69367,29.85536,28.35021
2005,Campsie 33_11kV,10MAY2004,MW,28.65505,27.79768,26.08295,27.83579,26.61642,25.07317,24.08243,22.32960,21.62465,20.74824,19.64319,19.33835,18.70961,18.51909,18.59530,18.67151,18.40477,18.50003,18.86203,19.18593,20.48150,21.28171,21.81518,23.64423,26.00674,27.14990,29.24568,28.76936,31.28430,32.35124,33.68492,32.86566,33.38008,32.86566,32.80851,33.28482,34.23745,34.21840,33.11335,33.76113,33.64682,33.98977,33.47535,33.66587,33.64682,33.89450,33.98977,33.79924,33.49440,33.11335,32.86566,33.39914,33.36103,33.62777,33.22766,33.38008,33.91355,33.28482,33.20861,32.46556,32.37030,32.59893,33.34198,33.53250,34.06598,34.50418,35.49492,36.18081,38.77196,40.48669,41.61079,41.70605,41.99184,41.45837,41.34405,41.62984,40.44858,39.72459,39.74364,38.73385,37.60975,36.75239,36.08555,35.36155,34.35176,33.11335,32.44651,31.05567,33.68492,34.54229,35.66639,33.47535,32.19882,32.65609,31.76062,29.98873
