year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Castle Cove 132_11kV,01MAY2004,MW,24.45167,23.43427,22.46773,23.07817,22.36599,21.82337,21.31467,20.53466,19.89030,19.38160,18.87289,18.55071,18.46593,17.63505,18.04201,17.73679,17.75375,17.70288,17.65201,18.19462,18.04201,18.46593,18.72028,19.53421,20.09378,20.24639,20.95858,21.14510,22.46773,23.07817,24.57037,26.07952,26.84258,28.23303,30.30176,31.43787,32.70962,33.04876,33.35398,33.98138,33.55746,33.67616,33.91355,34.16791,34.21878,34.33747,34.33747,34.47313,34.03225,34.33747,34.06617,33.72703,33.96443,34.03225,33.72703,33.21833,33.20137,33.30311,32.74354,33.20137,32.86223,32.64180,33.30311,32.65875,32.65875,32.81136,33.52355,33.67616,33.93051,34.13399,33.71007,33.81181,33.42181,33.45572,32.45527,32.50614,32.04831,31.59048,31.43787,30.52220,30.06437,29.70827,29.13174,28.82652,27.75824,27.26650,26.68997,25.87604,27.09693,28.26695,28.92826,28.02955,26.63910,26.89345,26.33388,25.28256
2005,Castle Cove 132_11kV,02MAY2004,MW,25.11299,24.26515,23.33253,23.85819,22.89165,22.36599,21.56902,20.73814,20.53466,19.77160,19.53421,19.36464,18.77115,18.31332,18.16071,18.29636,18.19462,18.05897,18.10984,18.31332,18.34723,18.56767,18.51680,18.92376,19.43247,19.66986,20.50074,20.24639,21.19597,21.70468,22.58643,23.29861,24.70602,25.57082,26.50344,27.09693,28.31782,29.03000,29.81001,30.86133,31.23438,31.57352,31.28525,31.64135,31.48874,31.64135,31.79396,31.59048,31.79396,31.64135,31.64135,31.48874,31.13264,31.18351,30.96308,31.38699,31.52265,31.48874,31.33612,31.23438,31.23438,31.26830,31.47178,31.89570,31.47178,31.82787,32.94702,33.11659,33.55746,34.11704,35.64315,35.74489,35.55836,35.13444,34.79531,34.38834,33.25224,33.21833,32.55701,32.33657,31.87874,31.57352,30.81046,30.26785,29.75914,29.08087,28.43652,27.55476,28.41956,29.33522,29.69132,27.57172,27.04606,27.09693,26.23213,25.11299
2005,Castle Cove 132_11kV,03MAY2004,MW,24.96038,24.14645,23.09513,23.60383,22.94252,21.92511,21.50119,21.06032,20.58553,20.24639,19.92421,19.36464,18.97463,18.87289,18.55071,18.34723,18.75420,18.75420,18.75420,19.27986,20.12769,20.43292,21.46728,23.28166,25.89300,27.41911,29.86089,30.42046,34.06617,35.30401,36.25359,37.18621,38.25449,38.94972,40.57757,41.00149,41.81541,42.42586,42.52760,42.35803,43.32457,42.78195,42.93456,43.13804,43.17196,42.61238,43.34152,43.37544,43.68066,43.64675,43.39239,43.07021,43.93501,43.85023,43.42631,44.08762,43.08717,42.83282,43.42631,43.12108,42.56151,42.52760,42.56151,42.61238,43.29065,42.73108,42.45977,43.34152,43.44326,43.47718,42.51064,42.15455,40.28930,40.17061,39.30581,38.28840,37.06752,36.30446,35.76184,35.50749,34.47313,34.01530,33.62529,32.94702,32.33657,31.21743,30.50524,29.14870,30.01350,30.55611,30.75959,28.89435,27.96173,27.96173,27.14780,25.68952
2005,Castle Cove 132_11kV,04MAY2004,MW,25.26560,24.19732,23.38340,24.09558,23.17991,22.06077,21.85729,21.16206,20.78901,20.34813,19.82247,19.26290,18.80507,18.85594,18.82202,18.70333,18.77115,18.72028,19.00855,19.36464,19.78856,20.48379,21.26380,23.17991,25.99474,27.46998,30.36959,30.82742,33.62529,34.88009,36.11794,37.13534,38.10188,38.71232,39.62799,40.83192,41.39149,42.30716,42.51064,42.71412,42.76499,43.52805,43.17196,43.07021,43.62979,43.42631,43.13804,43.47718,44.13849,44.05371,44.20632,43.57892,43.78240,43.52805,44.39284,44.00284,44.39284,44.39284,44.51154,44.39284,43.52805,43.52805,43.74849,44.29110,43.78240,43.59587,43.64675,43.93501,44.20632,44.15545,42.88369,41.69672,39.96712,38.84798,38.64450,37.64405,35.99924,35.81271,35.04966,34.52400,34.13399,33.06572,32.48919,31.52265,31.01395,30.40350,29.89480,28.57217,29.08087,29.48784,29.79306,28.18216,26.99519,27.09693,26.33388,25.21473
2005,Castle Cove 132_11kV,05MAY2004,MW,24.67211,23.99384,22.89165,23.60383,22.58643,22.06077,21.50119,20.58553,20.28031,19.83943,19.61899,18.97463,18.72028,18.49984,18.31332,18.34723,18.31332,18.24549,18.61854,18.75420,19.48334,19.89030,20.65335,22.21338,25.18081,26.24909,28.53826,28.94522,32.35353,33.32007,34.01530,35.23618,37.57622,38.25449,39.01754,40.74714,41.28975,42.27325,43.42631,42.91760,42.76499,44.13849,43.93501,43.88414,43.88414,43.34152,44.03675,43.95197,44.08762,43.95197,43.98588,43.88414,44.20632,44.51154,43.90110,44.54545,43.95197,43.95197,43.62979,43.42631,43.42631,43.34152,43.49413,43.01934,43.49413,43.57892,42.83282,43.01934,43.85023,43.83327,42.37499,41.18801,39.50929,38.81406,38.50884,38.05101,37.01665,36.35533,35.30401,35.03270,33.93051,33.32007,33.04876,31.87874,31.18351,30.40350,29.58958,28.26695,28.67391,29.48784,29.45392,28.13129,26.89345,26.70692,26.23213,24.85864
2005,Castle Cove 132_11kV,06MAY2004,MW,24.55341,23.48514,22.68817,23.53601,22.73904,22.17946,21.31467,20.89075,20.19552,19.72073,19.41551,18.90681,18.34723,18.41506,18.04201,17.99114,17.95723,18.09288,18.29636,18.70333,19.51725,20.22944,20.70423,22.31512,25.38430,26.75779,28.94522,29.69132,32.89615,33.77790,34.72748,35.64315,36.91490,38.40710,39.05146,40.73018,41.30671,42.05281,42.98543,43.01934,43.29065,43.47718,43.74849,44.18936,44.29110,44.56241,44.56241,44.51154,44.95242,44.76589,44.76589,44.69807,44.49458,45.20677,44.64719,45.22373,44.51154,44.44371,44.44371,44.71502,44.35893,43.78240,43.98588,44.20632,44.15545,43.85023,44.34197,44.46067,44.81676,45.68156,46.27505,46.12243,44.61328,44.10458,43.44326,42.56151,41.90020,41.25584,40.22148,39.72973,38.86493,37.94927,37.64405,35.76184,33.15050,31.23438,29.69132,28.84348,29.43697,29.84393,29.84393,28.53826,27.45302,27.04606,26.19822,25.28256
2005,Castle Cove 132_11kV,07MAY2004,MW,24.90951,23.63775,22.68817,23.23079,22.84078,21.87424,21.41641,20.63640,19.89030,19.53421,19.12724,18.92376,18.56767,18.29636,18.19462,18.31332,18.56767,18.56767,18.60158,18.85594,19.53421,19.92421,20.48379,22.53556,24.34993,25.92691,28.16521,29.45392,32.25179,33.98138,35.28705,37.16926,38.89885,39.98408,40.22148,42.35803,42.52760,43.29065,43.12108,43.29065,43.29065,43.78240,43.57892,44.35893,43.78240,43.93501,44.35893,45.22373,44.56241,45.02024,44.81676,44.51154,44.64719,44.74894,45.00329,44.85068,44.96937,44.39284,44.46067,43.98588,44.03675,43.49413,43.69762,43.78240,44.25719,44.15545,44.56241,44.35893,44.18936,43.79936,42.52760,40.69627,38.30536,37.83057,37.32187,35.79576,34.42226,34.13399,33.81181,32.65875,31.99744,31.64135,31.67526,30.50524,29.58958,28.82652,28.16521,27.40215,28.26695,29.19957,29.53871,28.11434,27.30041,27.30041,26.65605,25.26560
2005,Castle Cove 132_11kV,08MAY2004,MW,24.75690,23.95993,22.68817,23.38340,22.89165,21.92511,21.65380,20.90771,20.43292,20.04291,19.36464,18.80507,18.60158,18.29636,18.26245,18.00810,18.14375,18.00810,17.95723,18.29636,18.51680,18.90681,18.87289,19.66986,20.48379,20.55161,21.31467,21.55206,22.77295,23.50209,25.12994,26.50344,27.85999,29.23348,30.98003,32.15005,33.35398,33.98138,33.93051,34.43921,34.59183,35.03270,35.35488,35.55836,35.79576,35.45662,35.71097,35.55836,35.74489,35.74489,35.91445,35.60923,35.59228,35.18531,35.23618,34.94792,34.08312,34.37139,34.98183,34.42226,34.28660,34.28660,34.82922,34.16791,34.47313,34.47313,35.30401,34.84618,34.67661,35.74489,35.08357,34.49009,34.32052,33.72703,33.09963,32.13309,31.74309,31.33612,30.31872,29.69132,29.33522,28.94522,28.84348,28.36869,27.85999,27.31737,26.91041,26.58823,27.35128,28.18216,28.92826,27.70737,27.06302,27.30041,26.74084,25.68952
2005,Castle Cove 132_11kV,09MAY2004,MW,25.33343,24.26515,23.34948,23.68862,22.99339,22.23034,21.60293,20.85684,20.50074,19.89030,19.27986,18.90681,18.36419,18.39810,18.16071,17.94027,18.04201,17.68592,17.70288,18.04201,18.05897,18.55071,18.36419,18.87289,19.21203,19.43247,20.07682,20.22944,20.95858,21.39945,22.02685,22.94252,24.57037,25.21473,25.92691,27.09693,27.62259,28.36869,30.20002,31.08177,32.43832,32.33657,32.55701,32.76049,33.16746,33.16746,33.16746,32.89615,32.55701,32.96398,32.79441,32.45527,32.43832,32.40440,32.65875,32.38744,32.79441,32.76049,32.59093,33.04876,33.26920,33.60833,34.13399,34.21878,34.38834,35.13444,35.76184,35.54141,35.13444,35.55836,35.50749,35.66010,35.30401,34.57487,34.11704,34.01530,33.45572,32.84528,32.45527,32.30266,31.43787,30.92916,30.26785,29.81001,29.18261,28.33478,27.60563,26.75779,27.82607,28.38565,28.82652,27.01215,26.14735,26.43562,25.77430,24.51950
2005,Castle Cove 132_11kV,10MAY2004,MW,24.36689,23.65470,22.56947,23.17991,22.67121,21.80642,21.36554,20.80597,19.89030,19.56812,19.22899,18.60158,18.49984,18.10984,18.19462,18.19462,18.36419,18.39810,18.29636,18.66941,19.53421,19.82247,21.06032,22.78991,25.18081,26.60518,29.13174,29.65740,32.86223,34.52400,35.38879,36.42316,37.49143,38.33927,39.91625,41.08627,41.44236,42.10368,41.95107,42.35803,42.40890,42.37499,42.12064,42.52760,42.56151,42.57847,42.15455,42.71412,42.83282,42.52760,42.52760,42.52760,42.25629,42.15455,42.40890,42.15455,42.78195,42.56151,41.64585,42.17151,42.05281,42.45977,42.22238,42.35803,42.52760,42.68021,43.03630,43.42631,44.69807,45.00329,44.74894,42.91760,41.59497,41.05236,40.79801,39.56016,38.59363,37.74579,37.11839,36.60968,35.66010,34.79531,34.49009,33.82877,32.84528,31.99744,31.08177,29.89480,30.67481,31.16656,30.92916,29.38610,28.41956,28.18216,27.46998,25.99474
