year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,City Central 132_11kV,01MAY2004,MW,38.68432,38.32422,38.04987,37.63833,37.19250,37.36397,37.43256,37.84410,37.44971,37.41542,37.03817,36.78096,37.03817,36.66093,36.47231,36.28369,36.24940,35.88931,36.02648,36.35228,36.31799,36.43802,37.00388,38.47855,39.26732,40.02181,40.53622,42.06233,42.73108,43.51986,44.66872,46.19483,47.73809,48.98984,49.88150,51.13326,52.71081,53.12234,54.11689,54.92281,55.31720,55.50582,56.14027,56.31174,56.50036,56.67184,56.63754,56.87760,57.52920,57.97503,58.07792,57.66638,56.98049,57.15196,57.13481,57.34058,57.04908,56.62039,56.24315,56.80901,56.36318,55.91736,55.72873,55.55726,54.92281,54.28836,53.92827,52.62507,52.00777,51.59623,50.61884,50.05298,48.86981,48.11533,47.15508,46.70925,46.07480,45.50894,45.18314,44.25719,43.87995,43.84565,43.33123,42.49102,42.37099,42.06233,41.75368,41.73654,41.32500,41.10209,40.70770,40.09039,39.79889,39.52453,39.07870,38.35852
2005,City Central 132_11kV,02MAY2004,MW,37.96413,38.01557,37.44971,37.32968,37.17535,36.74667,36.54090,36.26655,35.99219,35.97504,35.88931,35.68354,35.71783,35.58065,35.30630,35.51206,35.47777,35.52921,35.61495,35.71783,35.75213,36.02648,36.00934,36.81526,37.26109,37.22679,37.46686,38.54714,39.14729,39.85033,40.15898,41.23926,41.85657,42.52531,43.00544,44.13716,44.92593,45.69756,46.52063,47.05220,47.46373,48.02960,48.56116,49.55571,49.31564,49.34994,49.59000,49.84721,49.96724,50.05298,50.00154,50.20730,50.24160,50.27589,50.53310,50.46451,50.29304,50.20730,50.03583,50.20730,50.36163,50.87605,50.08727,50.15586,49.79577,49.65859,49.21276,48.11533,47.70380,47.00076,46.50349,45.86904,45.26888,44.85734,45.13170,43.96568,43.75992,43.57130,43.26265,42.49102,42.18237,42.04519,41.89086,41.49647,41.25641,41.01635,40.74199,40.19328,39.73030,39.25018,38.99297,38.52999,38.20419,37.92983,37.72407,37.07247
2005,City Central 132_11kV,03MAY2004,MW,36.91814,36.66093,36.45517,36.09507,36.09507,35.87216,35.54636,35.46062,35.46062,35.40918,35.23771,35.25485,35.34059,35.40918,35.63210,35.87216,36.36943,36.50661,36.64379,38.94153,40.46764,42.74823,44.92593,51.39047,54.64845,57.06622,60.47854,66.66871,70.01244,73.21898,74.57362,77.60869,80.81524,83.38733,85.18780,87.62272,88.58297,88.94306,89.42319,90.02334,90.76067,90.02334,90.36629,90.96644,90.69209,90.88071,91.78951,91.63519,91.36083,91.92669,92.69832,93.00697,92.81835,92.85265,92.80120,92.71547,92.90409,92.90409,91.68663,92.38967,91.90954,90.77782,90.89785,90.86356,90.05764,88.99450,88.77159,87.29692,86.35382,84.60479,81.74119,74.17923,68.81213,65.87994,63.97659,60.28992,58.02647,56.92905,56.00309,53.94542,52.50504,51.09896,50.05298,48.88696,47.42944,46.38345,45.62897,43.69133,42.52531,41.82227,40.60481,39.71315,38.99297,38.99297,38.89008,38.83864
2005,City Central 132_11kV,04MAY2004,MW,38.58143,38.30707,37.89554,37.41542,37.29538,37.22679,36.50661,36.16366,36.19796,36.02648,35.88931,35.85501,35.73498,35.61495,35.68354,36.19796,36.60949,36.71238,36.81526,38.61573,39.66171,40.98205,42.31954,49.55571,54.23692,58.42086,60.94151,67.47464,70.95554,74.07635,76.85421,79.20339,81.67260,84.60479,86.54244,88.25717,88.94306,90.05764,90.50347,91.22365,91.94384,92.26964,92.40682,91.94384,92.28678,92.85265,93.52139,94.22443,94.53308,95.03035,94.72170,95.23612,94.70455,94.31017,94.79029,94.99606,94.68741,95.04750,94.92747,95.01321,94.80744,94.25872,93.86434,93.65857,92.80120,91.75522,91.18936,89.49177,88.48008,86.38811,84.57050,75.73964,70.01244,67.52608,65.89709,61.85032,60.03271,59.02102,57.64923,54.95711,53.36241,52.35072,51.27044,49.48712,48.35539,46.96646,45.86904,44.54869,43.27979,42.57675,41.51362,40.69055,40.12469,40.19328,39.47309,38.34137
2005,City Central 132_11kV,05MAY2004,MW,37.94698,38.51284,38.99297,38.37566,37.96413,37.24394,37.08962,37.31253,36.86670,36.69523,36.45517,36.72952,36.43802,36.26655,36.43802,36.90100,37.20965,37.56974,37.68977,39.81604,40.55337,41.47933,43.43412,50.85890,56.29460,58.83240,62.03894,67.92047,71.41852,74.40215,77.28289,81.46684,83.01009,85.97658,88.27432,89.85187,89.56036,89.83472,90.69209,90.24626,90.81212,91.03503,91.05218,91.80666,91.77237,91.22365,92.25249,93.41851,93.04127,93.21274,93.91578,93.74431,93.36706,93.65857,94.31017,93.74431,93.22989,93.36706,93.17844,92.74976,92.01243,61.88462,,60.65001,,90.09193,89.44033,87.96566,86.50814,84.60479,,,68.55492,,64.07947,60.42710,58.90099,57.97503,56.84331,55.12858,53.48244,52.38501,50.70457,49.45282,48.01245,47.05220,46.48634,44.48010,43.05688,42.43957,41.85657,40.60481,40.05610,39.74745,39.16444,38.32422
2005,City Central 132_11kV,06MAY2004,MW,37.96413,37.38112,37.00388,36.74667,36.69523,37.20965,37.08962,36.95244,37.17535,36.83241,36.88385,37.12391,36.98673,36.74667,36.71238,37.07247,37.32968,37.44971,37.91269,39.28447,40.12469,41.58221,43.31409,50.17301,55.47153,58.38657,61.11299,67.01166,70.64689,73.95632,76.69989,79.20339,81.48398,84.79341,87.39980,88.65156,89.61181,89.88616,91.42942,91.92669,92.09816,93.33277,93.88148,94.55023,93.67572,93.62427,94.20728,94.99606,95.25327,96.05919,95.88772,96.12778,94.97891,95.21897,95.27042,95.42474,95.01321,95.35615,95.09894,95.13324,94.96176,94.92747,94.24158,93.58998,93.14415,92.59544,91.90954,90.93215,89.56036,88.15428,85.78796,77.43722,73.44190,71.14416,69.77238,65.15975,63.61649,61.64455,60.30706,58.62663,56.99764,55.62585,54.52842,52.89943,50.22445,48.32110,47.42944,45.16600,43.82851,43.58844,43.02258,41.82227,40.53622,40.38190,39.86748,38.87294
2005,City Central 132_11kV,07MAY2004,MW,38.35852,38.22134,37.77551,37.12391,36.35228,36.40372,36.55805,36.93529,37.36397,37.50115,37.68977,37.48400,37.32968,37.56974,37.31253,37.65548,37.68977,37.75836,38.20419,39.86748,40.70770,42.59390,44.68587,51.90489,56.99764,59.96412,62.65625,68.65780,73.76770,75.91111,78.08882,81.05530,84.31329,86.66247,88.36005,90.16052,90.24626,89.92046,90.67494,92.20105,93.34992,94.01866,93.95007,94.17299,94.27587,94.36161,95.09894,95.66480,96.81367,96.69364,96.89941,97.00229,96.91656,96.50502,96.89941,97.43098,97.13947,96.88226,96.88226,95.85342,95.33900,95.23612,95.11609,94.84173,94.56738,93.83004,93.12700,91.32654,89.73184,87.60557,84.48476,75.87682,70.04673,67.64611,65.36552,61.31876,58.71237,57.70067,56.34604,54.16833,52.65937,51.25329,50.07012,48.64690,47.78953,46.64066,45.71471,44.22289,43.19406,42.86826,42.45672,41.73654,40.93061,40.70770,40.36475,39.73030
2005,City Central 132_11kV,08MAY2004,MW,39.26732,38.75290,38.28993,37.67262,36.95244,36.59234,37.53545,38.30707,37.84410,37.87839,37.86125,37.89554,37.58689,37.14106,36.66093,36.57520,36.47231,36.38658,36.38658,36.88385,37.00388,37.43256,37.29538,38.08416,39.02726,39.64456,40.17613,42.01089,42.52531,43.33123,44.75446,46.10910,47.24082,48.32110,49.52141,50.94464,51.80200,52.65937,53.19093,55.28290,56.20886,56.60325,57.56350,58.78095,59.12390,59.44970,59.89553,59.55258,60.03271,59.38111,58.57519,58.35227,58.52375,57.16911,57.34058,57.30629,57.06622,56.22601,56.65469,56.22601,55.88306,55.48867,54.92281,53.92827,54.08259,53.32811,52.89943,51.93918,50.97893,50.61884,50.68743,49.16132,47.85812,46.94932,46.69211,45.47465,44.96023,44.49725,44.34293,43.79421,43.57130,43.02258,42.61105,42.26810,41.70224,41.61650,41.30785,40.75914,40.81058,40.34760,40.31331,39.95322,39.62742,39.59312,39.04441,38.52999
2005,City Central 132_11kV,09MAY2004,MW,38.83864,38.78720,38.35852,37.99842,37.67262,37.70692,36.98673,36.50661,36.59234,36.54090,36.12937,36.26655,35.88931,35.54636,35.78642,35.46062,35.37489,35.58065,35.49492,35.61495,35.56351,35.44348,35.71783,36.62664,37.29538,37.55259,37.39827,38.65002,38.89008,39.97036,40.14184,41.30785,41.41074,41.73654,42.37099,43.51986,44.87449,45.66327,45.93762,46.34916,46.67496,47.08649,47.78953,48.68119,49.57285,50.12157,50.65313,50.36163,50.17301,49.36709,49.48712,49.55571,49.19561,48.81837,49.17846,49.53856,49.91580,50.53310,50.17301,49.79577,49.53856,49.24705,49.12702,48.64690,48.33825,48.11533,48.40684,47.70380,46.45204,45.68042,45.45750,44.89164,44.42866,44.68587,43.94854,43.33123,43.15976,43.38268,42.91970,42.07948,41.94230,41.18782,41.10209,40.75914,40.53622,40.31331,40.38190,39.85033,39.09585,39.09585,39.14729,38.13560,37.80980,37.87839,37.39827,36.93529
2005,City Central 132_11kV,10MAY2004,MW,36.36943,36.28369,36.19796,35.92360,35.64924,35.34059,35.03194,35.04909,35.32344,35.15197,35.42633,35.66639,35.58065,35.75213,35.66639,36.35228,36.81526,37.14106,37.08962,39.01011,40.17613,42.26810,44.49725,51.18470,55.23146,56.99764,60.49568,66.15429,70.26965,73.73340,75.80823,78.41462,81.22677,83.01009,85.49645,87.58842,87.84563,88.51438,88.90877,89.45748,90.34914,90.38343,90.22911,90.07478,90.10908,91.89240,91.78951,92.62973,92.40682,92.56114,92.18390,92.25249,91.73807,91.34368,91.30939,91.03503,89.86901,90.45202,90.00619,89.73184,89.61181,89.18312,89.40604,89.06309,88.46294,88.34291,87.31407,86.33667,85.29069,82.77003,80.14649,72.41306,67.16599,65.65702,63.35928,59.36396,57.06622,56.00309,55.16287,53.17379,52.16210,50.49881,49.31564,48.16677,46.62352,45.64612,44.80590,43.26265,42.19951,41.44503,40.86202,39.91892,39.67886,40.09039,39.73030,38.87294
