year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Concord 33_11kV,01MAY2004,MW,16.60859,15.83915,15.16355,15.95175,15.70779,15.23862,14.84452,14.35658,13.90618,13.73728,13.69974,13.15551,13.32441,13.11797,13.21181,12.93030,12.98661,13.24934,12.98661,12.98661,13.04291,13.41824,13.53084,13.98124,14.67561,14.48795,14.90082,14.91958,15.33245,15.57642,16.00806,16.25202,16.53352,16.64613,16.75873,16.68366,17.02146,17.34050,17.80967,18.27883,18.37267,18.27883,18.10993,17.75336,18.05363,18.09117,17.65953,17.97857,17.86597,17.80967,17.88473,17.82843,17.77213,17.52816,17.71583,17.88473,17.49063,17.07776,17.43433,17.26543,16.92763,16.96516,17.19036,17.71583,17.19036,17.92227,17.73460,18.33513,18.91690,19.91154,20.47455,20.36195,19.40484,19.32977,18.84184,18.56034,18.37267,18.27883,17.79090,17.82843,17.80967,17.39680,17.11529,16.75873,16.32709,16.25202,15.80162,15.63272,16.10189,16.58983,16.57106,16.38339,16.23326,16.68366,16.19572,15.42629
2005,Concord 33_11kV,02MAY2004,MW,15.74532,15.65149,14.56301,15.50135,15.01342,14.82575,14.13138,13.98124,13.56838,13.36194,13.13674,12.81770,13.02414,12.59250,12.25470,12.36730,12.42360,12.32977,12.46114,12.53620,12.66757,13.04291,12.74264,13.06167,13.38071,12.79894,12.93030,13.15551,13.36194,13.88741,14.09384,14.33781,14.67561,14.60055,15.21985,15.61395,15.59519,15.93299,16.17696,16.70243,16.68366,16.85256,16.77749,16.42092,16.43969,16.55229,16.49599,16.75873,16.51476,16.15819,16.70243,16.19572,16.17696,16.42092,15.97052,15.91422,15.80162,15.97052,16.02682,16.02682,16.12066,15.85792,16.13942,16.19572,16.34586,16.64613,16.87133,17.26543,18.35390,19.51744,20.11798,19.98661,19.79894,19.79894,19.72388,19.38607,19.10457,19.10457,18.89814,18.54157,18.44774,18.39144,18.05363,17.71583,17.32173,16.92763,16.79626,16.62736,17.04023,17.20913,17.34050,16.36462,16.30832,16.47722,16.30832,15.23862
2005,Concord 33_11kV,03MAY2004,MW,15.68902,15.06972,14.76945,15.40752,15.10725,14.67561,14.28151,13.86864,13.43701,13.06167,12.85524,13.09921,12.98661,12.87400,13.17427,13.11797,13.21181,13.53084,13.77481,13.69974,14.00001,14.18768,14.73191,16.02682,17.32173,18.01610,18.61664,19.32977,20.32441,20.60591,21.00002,21.05632,21.88205,21.99466,21.97589,22.36999,22.36999,22.44506,22.82039,22.98929,23.02683,23.06436,23.21450,23.08313,23.04559,23.28956,23.25203,23.51476,23.30833,23.23326,23.81503,23.72120,23.17696,23.75873,23.85257,23.21450,23.36463,23.28956,22.89546,23.00806,23.06436,22.67026,23.10189,22.87669,22.65149,23.06436,22.63273,22.70779,22.93299,24.19037,24.90350,24.65954,23.90887,23.85257,23.85257,23.12066,22.89546,22.85793,22.78286,21.80699,21.76945,21.39412,21.48795,20.43701,20.09921,19.83648,18.84184,18.74800,18.76677,18.50404,18.56034,17.60323,17.30296,17.49063,17.09653,16.25202
2005,Concord 33_11kV,04MAY2004,MW,16.83379,15.85792,15.53889,16.04559,15.55765,15.38875,14.95712,14.28151,14.24398,13.84988,13.64344,13.36194,13.30564,13.43701,13.21181,13.13674,13.08044,13.09921,13.19304,13.32441,13.94371,14.26275,15.08848,16.55229,18.05363,18.52280,19.72388,19.89278,20.79358,20.81235,21.30028,21.46919,22.08849,21.82575,22.20109,22.36999,22.14479,22.63273,22.80163,22.89546,23.34586,23.27080,23.38340,22.91423,23.75873,23.45846,23.79626,24.22790,24.28420,24.11530,23.79626,23.72120,24.07777,24.07777,24.35927,24.62200,23.98393,24.05900,24.05900,24.19037,23.72120,23.53353,23.55230,23.51476,23.77750,23.51476,23.17696,23.68366,24.34050,24.50940,24.79090,24.97857,24.56570,24.54694,24.05900,23.30833,23.04559,22.87669,22.48259,22.01342,21.24398,21.30028,21.18768,20.17428,19.78018,19.08581,18.67294,18.54157,18.74800,18.72924,18.63540,17.52816,17.37803,17.49063,17.11529,16.43969
2005,Concord 33_11kV,05MAY2004,MW,16.68366,15.98929,15.21985,16.02682,15.36999,14.99465,14.54425,14.61931,14.18768,13.94371,13.90618,13.56838,13.28687,13.34317,13.32441,13.43701,13.32441,13.39947,13.21181,13.38071,14.16891,14.71315,15.31368,16.66489,17.60323,18.22253,18.69170,19.19841,20.51208,20.86865,21.35658,21.80699,22.08849,21.76945,22.63273,22.61396,22.27616,22.85793,23.60860,23.25203,23.47723,23.60860,23.62736,24.02147,23.85257,24.47187,24.41557,24.30297,24.20913,24.19037,24.45310,23.57106,23.73996,24.24667,24.11530,23.96517,23.81503,24.09653,23.66490,23.57106,23.60860,23.13943,23.23326,23.28956,23.51476,23.04559,23.49600,23.08313,23.77750,24.56570,24.80967,24.80967,24.22790,24.17160,23.70243,23.34586,23.06436,22.67026,22.59519,22.03219,21.60055,21.35658,21.03755,20.34318,19.89278,19.21717,18.95444,18.84184,18.89814,18.82307,19.02951,18.09117,17.56570,17.99733,17.49063,16.87133
2005,Concord 33_11kV,06MAY2004,MW,17.17160,16.53352,15.87669,16.53352,15.57642,15.68902,15.10725,14.93835,14.54425,14.48795,14.11261,13.92494,14.09384,13.69974,13.75604,13.81234,13.38071,13.73728,13.62468,13.98124,14.11261,14.80698,15.46382,16.58983,18.24130,18.65417,19.40484,20.02414,20.60591,21.00002,21.90082,21.80699,21.99466,22.25739,22.12602,22.53889,22.82039,23.38340,23.49600,23.68366,24.09653,23.68366,23.89010,23.45846,23.34586,23.96517,24.52817,24.60324,24.56570,24.43434,24.05900,24.02147,24.05900,24.28420,24.30297,24.35927,24.35927,24.13407,24.11530,23.89010,23.87133,23.62736,23.36463,23.27080,23.36463,22.95176,22.93299,23.12066,23.45846,23.96517,24.37803,24.35927,24.02147,23.12066,23.17696,22.38876,22.27616,22.03219,21.91959,20.96248,21.03755,20.90618,20.53085,19.96784,19.46114,19.19841,18.71047,18.48527,18.59787,18.87937,18.78554,17.77213,17.79090,18.05363,17.37803,16.66489
2005,Concord 33_11kV,07MAY2004,MW,16.68366,15.80162,15.36999,16.13942,15.78285,15.10725,15.12602,14.67561,14.60055,14.43165,13.86864,13.83111,13.84988,13.94371,13.68098,13.71851,13.58714,13.75604,13.58714,13.83111,14.33781,15.05095,15.50135,16.47722,17.60323,18.46650,19.42361,19.79894,20.81235,20.98125,21.50672,21.88205,22.36999,22.31369,22.36999,22.20109,22.46382,22.93299,22.97053,23.17696,23.73996,24.00270,23.70243,23.89010,23.57106,24.09653,23.90887,24.22790,24.56570,24.17160,24.90350,24.34050,24.90350,24.22790,24.41557,24.13407,23.94640,24.05900,23.89010,23.75873,23.66490,23.10189,23.28956,23.06436,23.19573,23.04559,22.89546,22.98929,23.40216,24.35927,24.35927,24.58447,23.47723,23.34586,23.49600,22.59519,22.16356,21.91959,21.80699,20.90618,21.15015,20.92495,20.68098,20.17428,19.44237,19.38607,18.56034,18.20377,18.93567,19.01074,19.06704,18.31637,17.92227,18.26007,17.88473,16.98393
2005,Concord 33_11kV,08MAY2004,MW,17.17160,16.55229,16.15819,16.57106,16.17696,16.08312,15.63272,15.29492,14.86328,14.69438,14.30028,14.20645,13.84988,13.96248,13.81234,13.81234,13.81234,14.00001,13.81234,13.75604,13.77481,13.94371,14.35658,14.54425,15.03218,15.40752,15.78285,15.48259,16.25202,16.23326,16.68366,16.53352,17.09653,17.65953,17.60323,17.99733,17.97857,18.91690,18.48527,18.65417,19.10457,18.50404,18.61664,18.76677,19.02951,19.21717,19.49867,19.66758,19.21717,19.27347,19.51744,19.23594,19.12334,19.06704,18.78554,18.69170,18.54157,18.76677,18.54157,18.65417,18.56034,18.22253,18.42897,18.37267,18.67294,18.89814,18.91690,19.01074,20.08044,20.98125,21.18768,21.13138,20.36195,20.13674,19.79894,19.53621,19.34854,18.76677,18.80430,18.33513,18.10993,18.09117,17.65953,17.60323,17.13406,16.85256,16.62736,16.12066,16.96516,17.26543,17.47186,16.79626,16.57106,16.90886,16.81503,16.10189
2005,Concord 33_11kV,09MAY2004,MW,16.57106,15.78285,15.44505,15.76409,15.38875,14.91958,14.50671,14.09384,14.00001,13.79358,13.58714,13.26811,13.11797,13.08044,12.81770,12.81770,12.98661,13.08044,12.96784,13.02414,12.87400,13.02414,13.30564,13.73728,13.53084,13.60591,13.77481,13.96248,13.96248,14.39411,14.93835,14.93835,15.46382,15.55765,15.74532,15.97052,16.38339,16.77749,16.89009,17.19036,17.37803,17.39680,17.28420,17.26543,17.64076,17.17160,17.58446,17.99733,17.64076,17.80967,17.67830,17.65953,17.34050,17.52816,17.07776,17.43433,17.64076,17.64076,17.67830,17.80967,17.75336,17.65953,17.64076,17.69706,18.37267,18.39144,18.89814,19.34854,19.42361,20.54961,20.81235,20.53085,20.21181,19.94908,19.81771,19.46114,19.55497,19.42361,19.16087,19.12334,18.56034,18.44774,18.31637,18.03487,17.69706,17.37803,17.15283,16.92763,17.07776,17.15283,17.24666,16.64613,16.42092,16.81503,16.25202,15.52012
2005,Concord 33_11kV,10MAY2004,MW,15.87669,15.48259,14.93835,15.44505,15.10725,14.88205,14.58178,14.45041,14.09384,14.00001,13.49331,13.06167,13.30564,13.28687,13.54961,13.38071,13.73728,13.47454,13.47454,13.94371,14.26275,14.43165,14.90082,16.40216,17.73460,18.46650,19.49867,20.17428,20.53085,21.00002,21.46919,22.10726,22.97053,22.72656,22.83916,23.06436,22.89546,23.77750,23.96517,23.77750,23.89010,23.96517,24.11530,23.94640,24.20913,24.02147,23.83380,23.75873,24.00270,23.60860,24.22790,24.05900,23.79626,23.77750,23.79626,23.43970,23.60860,23.85257,23.25203,23.23326,23.06436,22.87669,22.63273,22.98929,22.55766,22.65149,22.85793,23.36463,23.68366,24.79090,25.18501,25.35391,24.84720,24.17160,24.47187,23.75873,23.96517,23.68366,23.45846,22.38876,22.33246,21.86329,21.58179,21.15015,20.43701,19.98661,19.17964,18.72924,18.95444,18.91690,18.97320,17.88473,17.75336,17.71583,17.49063,16.81503
