year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Maitland Central 33_11kV,01MAY2004,MW,10.15767,10.25286,9.68280,9.08708,8.50239,7.84603,7.14841,6.62652,6.21647,5.92907,5.60909,5.46641,5.29773,5.08158,4.94914,4.90024,4.84511,4.91446,5.04938,5.15191,5.31722,5.41887,5.60227,5.82251,6.09318,6.19704,6.49850,6.92692,7.48414,8.03285,8.48802,9.13754,9.54506,10.09373,10.28877,10.33869,10.43696,10.26117,10.30224,10.09283,10.19486,10.02030,9.91467,9.78073,9.47357,9.42642,9.39930,9.12119,9.10451,9.08499,8.87158,9.02696,8.94298,8.86660,8.86579,8.75884,8.74904,8.65758,8.60244,8.53238,8.53582,8.45715,8.51892,8.59245,8.59805,8.81670,8.87477,9.35499,9.99264,10.77188,11.57821,12.09298,12.29671,12.21565,11.98984,11.32589,11.26027,11.02182,10.65652,10.33434,9.89477,9.92780,9.91171,9.47623,9.08261,9.00286,8.85351,8.47546,8.10676,7.75780,7.57273,7.27235,6.90940,6.68542,6.47587,6.14688
2005,Maitland Central 33_11kV,02MAY2004,MW,5.92261,5.77665,5.55833,5.33260,5.29179,5.27955,5.09328,5.00886,5.02909,5.02238,4.90192,4.91066,4.85231,4.78109,4.83741,4.83981,4.88943,4.82054,4.88800,5.16491,5.33110,5.29838,5.38169,5.55419,5.83791,5.92366,6.20054,6.50056,7.05637,7.54766,7.83504,8.27401,8.47060,8.73565,9.06476,9.46328,9.51789,9.45973,9.39042,9.47736,9.66683,9.66669,9.48825,9.36808,9.21129,9.08491,8.85914,8.81028,8.62237,8.53034,8.46144,8.42077,8.33212,8.26036,8.14902,7.93801,7.99058,7.74480,7.84709,7.82239,7.84383,7.92713,8.01191,8.16406,8.24247,8.32284,8.61377,8.96846,9.84208,10.80700,11.92750,12.31396,12.94514,12.87537,12.82758,12.31655,12.22806,12.11021,11.84841,11.51782,11.28728,10.96805,10.57682,10.36142,10.04263,9.67995,9.10882,8.72524,8.27986,7.90618,7.71572,7.13653,6.67276,6.37966,6.18318,5.92432
2005,Maitland Central 33_11kV,03MAY2004,MW,5.59402,5.41362,5.34115,5.20273,5.04834,5.02245,4.89931,4.95357,4.93984,4.99345,4.89116,4.87460,4.88760,5.00224,5.18907,5.04419,5.15944,5.15533,5.21615,5.38469,5.75140,5.90056,6.21454,6.76108,7.47110,8.05203,8.67895,9.58837,9.42534,10.00561,10.45811,10.59826,10.75923,10.72373,10.75082,10.72662,10.86994,10.77050,10.46843,10.36954,10.32524,10.34882,10.26585,10.06800,10.06460,10.26905,10.33406,10.34553,10.27926,10.19019,9.74373,10.21380,10.16990,10.07712,9.87955,10.04011,9.93555,9.89838,9.96097,9.98053,10.04467,10.09836,10.12919,9.72872,9.74847,9.90899,10.18739,10.38250,10.65820,11.19504,11.78448,12.05244,12.31224,12.41146,12.33133,12.06876,11.74880,11.58823,11.50156,11.23439,10.91686,10.72023,10.49089,10.19888,9.85867,9.97224,9.74981,9.37040,8.98203,8.46526,7.83362,7.34797,9.17770,9.56705,9.07284,8.56005
2005,Maitland Central 33_11kV,04MAY2004,MW,10.50451,10.71328,10.18105,9.48615,8.86800,8.22542,7.90498,7.33974,6.98715,6.64637,6.30455,5.93438,5.83623,5.62619,5.48871,5.32530,5.31818,5.31904,5.51374,5.63996,6.00328,6.29582,6.56348,7.00241,7.93862,8.39134,8.86352,9.76081,9.94721,10.31722,10.65284,10.96253,11.11497,11.02981,11.18691,10.96051,10.92469,10.75537,10.49207,10.40599,10.35129,10.33610,10.34005,10.25312,10.46409,10.44266,10.57936,10.50824,10.49888,10.45433,10.15054,10.05235,10.31862,10.24289,10.08618,10.01227,10.17831,9.99421,9.88950,9.93942,9.99345,9.92061,9.89338,10.08665,10.23663,10.19385,10.03516,10.33308,10.57828,10.97352,11.48417,11.89315,11.79702,11.74879,11.51605,11.33972,11.22862,11.05053,10.98785,10.55365,10.21666,9.96143,9.64066,9.16652,9.00547,9.07343,9.11852,8.88980,8.68070,8.06131,7.71472,7.12979,8.92064,9.29868,8.89867,8.52686
2005,Maitland Central 33_11kV,05MAY2004,MW,10.24002,10.49445,9.98182,9.27494,8.65033,7.94797,7.54220,7.02203,6.70674,6.36849,5.97765,5.73318,5.58175,5.45921,5.26414,5.21615,5.18372,5.13283,5.39107,5.49569,5.75864,5.95364,6.23910,6.68004,7.22408,7.82845,8.33431,9.20583,8.99398,9.29555,9.75280,9.97829,9.25988,9.52703,9.66970,9.76114,9.77669,9.83883,9.87251,9.74750,9.80787,9.72634,9.71576,9.73314,9.94970,9.93499,10.03177,10.20686,10.22785,10.33215,10.37763,10.20383,10.37618,10.45685,10.22483,10.25952,10.43581,10.46603,10.48896,10.47838,10.47684,10.41569,9.99152,9.99327,10.11646,10.31369,10.27185,10.31745,10.38922,11.31126,11.61395,11.73482,11.71084,11.66258,11.34780,11.15784,11.14312,10.89985,10.69002,10.43482,10.15954,9.98903,9.88041,9.60912,9.26463,9.23827,9.39062,9.09241,8.68005,8.13494,7.66158,7.19936,9.04031,9.34157,8.96188,8.58020
2005,Maitland Central 33_11kV,06MAY2004,MW,10.36330,10.61578,9.99007,9.31596,8.79068,8.05488,7.55548,7.06433,6.65308,6.39423,6.10532,5.83402,5.58233,5.42279,5.40906,5.30371,5.36869,5.55432,5.61033,5.62035,5.97964,6.33184,6.57840,7.03071,7.70401,8.28349,9.02854,9.78181,9.84565,10.36262,10.79132,11.07364,11.04869,11.01524,10.90415,10.87010,11.06190,10.95772,10.54656,10.48409,10.52336,10.48203,10.36542,10.59044,10.51495,10.55879,10.55585,10.58211,10.67391,10.78480,10.66114,10.66029,10.56072,10.64651,10.52374,10.44197,10.54255,10.57835,10.54131,10.48824,10.46050,10.39817,10.52793,10.51919,10.65207,10.62182,10.75105,10.70891,10.97122,11.66361,11.94990,12.09181,12.32109,12.21577,12.09765,11.72781,11.50523,11.48783,11.21954,11.04366,10.66395,10.13725,9.92260,9.51817,9.18276,9.32419,9.41057,9.23403,8.69366,8.22342,7.76959,7.29832,8.91513,9.26241,8.81393,8.35044
2005,Maitland Central 33_11kV,07MAY2004,MW,10.20324,10.35366,9.76835,9.11888,8.43213,7.84215,7.15955,6.79832,6.28666,6.04574,5.82451,5.48475,5.25619,5.34570,5.30222,5.22464,5.23110,5.32371,5.52223,5.60138,5.73520,5.89127,6.24148,6.66051,7.36488,7.96103,8.40853,9.19274,9.09273,9.69391,10.22620,10.41024,10.69647,10.96273,10.92108,10.96271,11.15131,11.35640,11.28181,11.36189,11.37760,11.35445,10.67963,8.91468,9.04471,8.96667,8.73242,8.70399,8.83532,10.62474,10.95252,10.75991,10.45538,10.38795,10.16304,10.29413,10.38857,10.41750,10.40942,10.45634,10.48002,10.51528,10.30860,10.24111,10.31779,10.23154,10.34614,10.60244,11.00441,11.77592,12.09907,12.36176,12.42848,12.25119,11.86467,11.86687,11.74936,11.82445,11.67405,11.48824,11.31319,11.09605,10.81045,10.67986,10.40527,10.39573,10.42712,10.25880,9.91688,9.35610,8.80208,8.44292,9.96262,10.19425,9.81020,9.25751
2005,Maitland Central 33_11kV,08MAY2004,MW,10.69291,11.11566,10.49268,9.76599,9.26156,8.50274,8.15502,7.57199,6.91461,6.62856,6.25972,6.00791,5.73405,5.45115,5.38308,5.40585,5.28485,5.30075,5.46741,5.52377,5.68477,5.84610,5.88691,6.09386,6.45181,6.55048,6.95514,7.40170,8.08366,8.68075,9.11560,9.68858,10.25103,10.61702,10.74826,10.85880,10.88676,10.77389,10.69098,10.64118,10.60629,10.31172,10.09594,9.91791,9.71864,9.42205,9.38306,9.21205,9.19214,9.13722,9.21385,9.15705,8.87267,8.81432,8.70330,8.60785,8.48831,8.48236,8.40780,8.30091,8.32240,8.31795,8.34296,8.40602,8.25573,8.49364,8.83955,9.18960,9.85047,11.05740,11.86159,12.27761,12.33704,12.24708,12.13592,12.03989,11.34254,11.18292,11.09861,10.97906,10.47889,10.20853,10.05393,9.95157,9.49657,9.25260,9.13478,8.81350,8.33258,7.97591,7.69292,7.33770,7.23876,6.87790,6.67828,6.36735
2005,Maitland Central 33_11kV,09MAY2004,MW,6.20919,5.92656,5.64400,5.45312,5.32505,5.31906,5.18804,5.19002,4.91305,4.93429,4.87935,4.83559,4.82023,4.71456,4.75357,4.79841,4.87987,4.94335,4.98815,4.92793,4.98924,5.20346,5.36483,5.44724,5.55003,5.71659,5.81242,6.12823,6.59622,7.21849,7.54457,7.95833,8.14990,8.37972,8.71276,8.91515,9.03676,9.18763,9.28920,9.31546,9.42216,9.37169,9.21865,9.07993,8.95080,8.89239,8.75954,8.72300,8.47505,8.35122,8.38976,8.36517,8.22701,7.97408,7.98585,7.86610,7.71922,7.77558,7.84049,7.74889,7.67857,7.70104,7.74889,7.85373,8.00094,8.00195,8.36828,8.80874,9.67577,10.70920,11.13798,11.79445,11.91482,11.91877,11.90892,11.29085,11.15724,11.02925,10.96858,10.79501,10.44202,9.91805,9.73411,9.58284,9.20208,8.78408,8.42849,7.95216,7.45183,7.04323,6.79033,6.57323,6.22384,6.02804,5.72926,5.42368
2005,Maitland Central 33_11kV,10MAY2004,MW,5.31886,5.34560,5.17173,5.01035,4.95833,4.94141,4.87422,4.94454,4.79830,4.64905,4.76709,4.77139,4.86367,4.78976,4.69091,4.83206,4.86057,4.98571,5.23042,5.38407,5.57293,5.86095,6.07722,6.49916,7.09298,7.65601,8.06709,8.80913,8.93040,9.37531,9.67329,9.81429,10.10344,10.05082,10.03494,9.95843,10.09363,10.09106,10.13286,9.97691,10.00605,10.06763,10.03112,10.05078,10.07836,10.18430,10.12855,10.24877,10.27383,10.27533,10.27225,10.20230,10.18888,10.15290,10.04911,9.97359,10.13941,10.09829,10.12403,10.12403,10.14491,10.23574,10.37492,10.27433,10.49702,10.72966,11.12566,11.36107,11.83609,12.44212,12.80122,12.83993,12.89185,12.86340,12.46322,12.06658,11.66019,11.30141,11.07019,10.82064,10.48868,10.20334,9.86831,9.60352,9.36575,9.56681,9.58137,9.24505,8.94051,8.48658,7.86232,7.41561,9.15124,9.47800,8.91248,8.45904
