year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Randwick 33_11kV,01MAY2004,MW,19.24263,18.38698,17.43625,17.81654,16.88483,16.21933,15.66791,14.77423,14.37493,13.84252,13.44322,13.04392,12.56855,12.15024,12.01713,12.03615,11.75093,11.61783,11.76995,11.67487,11.76995,11.94108,12.32137,12.75870,13.04392,13.10096,13.48125,13.51928,14.22281,15.13551,15.62988,16.58060,17.20808,18.02570,18.57712,18.65318,18.90037,19.43277,19.62292,19.37573,19.60390,19.50883,19.66095,19.43277,19.35671,19.67996,18.95741,19.26164,19.05248,18.90037,18.93840,18.27289,18.13979,17.83556,18.29190,18.12077,18.08275,17.66443,17.18907,17.34118,17.45527,17.24611,17.60738,17.87359,18.38698,18.78628,19.73700,20.70674,21.67648,23.67299,25.02302,25.63148,25.63148,25.80261,25.65050,25.13711,24.66175,23.92018,23.74905,23.10256,22.51311,22.34198,21.84761,21.80958,21.33422,20.78280,20.42152,19.81306,20.72575,21.39126,21.46732,21.06801,21.22013,20.76378,20.68773,19.87010
2005,Randwick 33_11kV,02MAY2004,MW,19.83208,18.80529,18.15880,18.36796,17.94964,16.94188,16.29539,15.19255,14.69817,14.10872,13.69041,13.48125,12.91081,12.39742,12.30235,11.88403,12.11221,12.11221,11.92206,11.94108,12.07418,12.22629,12.49250,12.39742,12.72067,12.37841,12.91081,12.68264,13.78548,14.08971,14.85029,15.21156,16.25736,17.01794,18.04472,18.48205,18.78628,19.31869,19.20460,19.64193,20.07926,20.00321,19.87010,19.98419,20.15532,19.85109,19.62292,19.56587,19.50883,19.16657,19.43277,18.91938,18.08275,18.21585,17.96866,17.58837,17.45527,17.45527,17.53133,17.43625,17.49330,17.47428,17.70246,17.87359,18.21585,18.42501,19.31869,20.93491,22.17085,24.35752,26.03079,27.28574,27.70406,28.08435,27.53293,27.51391,27.00052,26.71531,26.29699,25.72656,25.74557,25.13711,24.83288,24.26244,24.14836,23.82511,22.95045,21.82859,22.26593,22.83636,22.41804,21.50535,21.29619,20.49758,20.06025,19.18558
2005,Randwick 33_11kV,03MAY2004,MW,19.16657,18.13979,17.36020,17.98767,17.26512,16.54257,15.62988,14.90733,14.33690,13.63336,13.25307,12.79673,12.60658,12.58757,12.37841,12.15024,12.30235,12.11221,12.26432,12.22629,12.45447,12.75870,13.44322,14.45098,15.78200,16.84681,18.65318,18.88135,20.95393,21.71451,21.69549,21.48633,21.71451,20.68773,20.59265,20.17434,19.77503,19.56587,19.31869,19.37573,18.91938,18.80529,18.95741,18.67219,18.76727,18.42501,18.31092,18.08275,18.19683,18.12077,17.98767,17.91162,17.87359,17.79753,17.58837,17.56936,17.39823,17.28414,17.51231,17.03695,17.17005,17.36020,18.04472,18.06373,18.59614,19.24263,19.48982,20.76378,23.04552,24.85189,26.67728,28.02730,28.59774,28.86394,29.05409,28.90197,28.19843,27.91322,27.62800,27.19067,26.84841,26.67728,26.23995,25.30824,24.96598,24.30047,23.53989,22.77932,22.85537,23.23566,23.21665,21.82859,21.22013,20.42152,20.04123,19.09051
2005,Randwick 33_11kV,04MAY2004,MW,18.82431,17.94964,17.15104,17.53133,16.77075,16.04820,15.45875,14.58409,14.22281,13.82351,13.40519,12.83476,12.53053,12.18826,12.26432,12.32137,11.88403,11.86502,12.11221,12.26432,12.60658,13.21505,13.70942,14.77423,16.04820,17.13202,18.80529,18.97642,20.89688,21.90465,21.99972,21.98071,21.44830,20.66871,20.49758,20.38349,19.75602,19.66095,19.20460,18.86234,19.01445,18.76727,18.31092,18.12077,18.59614,18.55811,18.48205,18.29190,18.32993,18.00669,17.77851,18.06373,17.91162,18.19683,17.75950,17.62640,17.62640,17.36020,17.58837,17.30315,17.47428,17.74049,17.91162,18.21585,18.67219,18.99544,19.92715,20.66871,22.26593,24.75682,26.48713,27.43786,28.61675,28.36957,28.17942,28.61675,28.10336,27.55194,27.36180,26.52516,26.29699,25.95473,25.46035,24.68076,24.49062,23.88215,23.57792,22.72227,22.57016,22.77932,22.41804,21.41027,20.66871,20.25039,20.09828,19.20460
2005,Randwick 33_11kV,05MAY2004,MW,18.95741,17.66443,16.92286,17.43625,16.71370,16.01017,15.49678,14.54606,14.05168,13.63336,13.13899,12.77771,12.51151,12.28334,12.30235,11.82699,11.94108,11.82699,11.94108,11.99812,12.62560,12.94884,13.65238,14.75522,15.68692,16.84681,18.65318,18.90037,19.94616,21.08703,21.61943,21.18210,20.78280,20.63068,20.19335,19.96518,19.67996,19.24263,18.71022,18.71022,18.88135,18.67219,18.53909,18.55811,18.42501,18.63416,18.21585,18.13979,18.04472,17.96866,18.15880,17.98767,17.85457,17.93063,17.79753,17.62640,17.64541,17.28414,17.49330,17.47428,17.36020,17.56936,17.98767,18.13979,18.52008,19.28066,20.11729,21.10604,22.57016,24.73780,26.01177,26.67728,27.57096,27.66603,27.66603,27.55194,27.17165,26.81038,26.63925,25.85966,25.06105,25.25119,24.90893,24.47160,23.59694,23.33073,22.64621,22.22790,22.24691,22.55114,22.62720,21.37225,21.01097,20.40251,20.00321,19.33770
2005,Randwick 33_11kV,06MAY2004,MW,19.18558,18.06373,17.03695,17.34118,16.78976,15.99116,15.13551,14.41296,13.88055,13.53829,13.02490,12.66363,12.53053,12.43545,12.13122,12.05516,12.05516,11.99812,11.97911,12.15024,12.49250,12.83476,13.32913,14.64113,15.64890,16.71370,17.93063,18.40599,20.11729,20.78280,21.16309,21.12506,20.82083,20.00321,19.94616,19.73700,19.54686,19.14755,18.80529,18.91938,18.67219,18.36796,18.44402,18.52008,18.38698,18.31092,18.31092,18.12077,18.40599,18.50106,18.15880,18.12077,17.89260,17.72147,18.04472,17.62640,17.77851,17.64541,17.58837,17.53133,17.45527,17.81654,17.93063,17.98767,18.63416,18.67219,19.73700,20.38349,22.26593,24.28146,25.55543,26.27798,26.84841,26.71531,26.48713,26.65826,26.50615,26.14487,26.03079,25.49838,24.87091,24.64273,24.60470,24.07230,23.52088,23.23566,22.87439,22.17085,22.20888,22.70326,22.51311,21.54338,20.89688,20.53561,19.85109,19.01445
2005,Randwick 33_11kV,07MAY2004,MW,18.69121,17.91162,17.03695,17.39823,16.82779,16.14327,15.17353,14.48901,14.08971,13.48125,13.10096,12.85377,12.47348,12.24531,12.20728,11.99812,11.76995,11.73192,11.86502,11.99812,12.49250,12.98687,13.25307,14.45098,15.61087,16.65666,17.93063,18.04472,20.28842,21.25816,21.90465,21.69549,21.35323,20.45955,20.51660,20.28842,20.17434,20.00321,19.79405,18.88135,19.20460,19.20460,18.82431,19.03347,19.14755,19.22361,18.93840,18.99544,18.88135,18.99544,18.76727,18.59614,18.23486,18.38698,18.31092,18.12077,18.17782,18.21585,17.94964,18.00669,18.02570,17.72147,18.36796,18.61515,19.39474,20.28842,20.49758,21.23914,22.70326,24.85189,25.51740,25.87867,26.37305,26.39206,26.22093,25.89769,25.19415,25.17514,25.17514,24.39554,23.90117,23.78708,23.21665,22.81734,22.53213,21.69549,21.63845,21.25816,21.12506,22.28494,21.98071,21.39126,20.95393,21.02999,20.45955,19.43277
2005,Randwick 33_11kV,08MAY2004,MW,19.39474,18.50106,17.56936,17.98767,17.53133,16.56159,15.82003,15.23058,14.67916,13.93759,13.69041,13.19603,12.58757,12.16925,12.13122,11.96009,11.82699,11.90305,11.54177,11.90305,11.78896,12.15024,12.47348,12.51151,13.44322,13.34815,13.89957,13.46223,14.27985,15.30664,15.68692,16.48553,17.03695,17.60738,18.32993,19.05248,19.47080,19.45179,19.45179,19.67996,19.98419,19.88912,19.77503,19.81306,20.00321,19.64193,19.66095,19.29967,19.43277,19.52784,19.54686,18.88135,18.55811,18.63416,18.46303,17.85457,18.13979,17.75950,17.74049,17.68344,17.98767,18.15880,18.06373,18.32993,18.61515,19.24263,19.88912,20.76378,22.41804,24.45259,25.13711,25.95473,26.14487,26.23995,26.37305,25.47937,24.85189,24.50963,24.11033,23.55891,22.68424,22.62720,22.41804,22.11381,21.60042,21.33422,20.82083,20.34547,20.78280,21.58141,21.92367,21.27717,21.06801,20.87787,20.53561,19.87010
2005,Randwick 33_11kV,09MAY2004,MW,19.66095,18.67219,18.00669,18.46303,17.89260,17.24611,16.46652,15.95313,15.05945,14.26084,13.88055,13.40519,12.96786,12.75870,12.45447,12.24531,11.94108,11.78896,11.84600,11.80798,11.96009,12.15024,12.39742,12.28334,12.75870,12.85377,12.91081,12.87279,13.61435,14.47000,14.85029,15.83904,16.27637,17.11301,17.75950,18.74825,19.43277,19.94616,19.71799,20.07926,20.74477,20.82083,20.44054,20.68773,20.72575,20.78280,20.85886,20.78280,20.42152,20.00321,19.92715,19.87010,19.48982,19.35671,18.97642,18.99544,18.65318,19.01445,19.24263,19.16657,19.48982,19.33770,19.29967,19.62292,20.51660,21.25816,22.30395,23.10256,24.05328,25.76458,26.33502,26.92447,27.55194,27.32377,27.38081,27.01954,26.44911,26.27798,26.10685,25.89769,25.34627,25.08006,24.62372,24.26244,23.82511,23.34975,22.76030,21.84761,21.88564,22.49410,22.32297,21.23914,20.72575,20.17434,19.85109,18.78628
2005,Randwick 33_11kV,10MAY2004,MW,18.93840,18.10176,17.32217,17.70246,16.56159,15.97214,15.15452,14.43197,13.97562,13.51928,13.31012,12.92983,12.53053,12.13122,12.20728,11.86502,11.94108,11.97911,11.76995,12.05516,12.64461,12.92983,13.72844,14.58409,15.76298,16.90385,17.96866,18.88135,20.63068,21.80958,21.94268,21.61943,21.60042,20.70674,20.11729,19.81306,19.83208,19.67996,18.93840,18.95741,18.72924,19.07150,18.78628,18.71022,18.57712,18.86234,18.63416,18.48205,18.86234,19.14755,19.29967,19.26164,18.72924,19.03347,18.78628,18.59614,18.97642,19.28066,19.12854,18.42501,18.88135,18.78628,18.88135,19.37573,19.62292,20.44054,21.27717,22.57016,24.60470,27.13363,28.38858,29.05409,30.06185,30.68933,30.51820,30.19495,29.96678,29.56748,29.20620,28.71183,28.00829,27.24771,27.20968,26.60122,25.47937,25.40331,24.69978,23.59694,23.76807,24.12934,24.05328,22.39903,22.07578,21.16309,20.80181,19.79405
