year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Rose Bay 33_11kV,01MAY2004,MW,15.50116,14.88112,14.10606,14.31274,13.58935,13.15876,12.84874,12.05646,11.66032,11.36752,11.17806,10.85081,10.55801,10.19632,10.19632,10.11020,10.21354,10.21354,10.26521,10.14465,10.24799,10.36855,10.57524,10.69580,10.91971,11.17806,12.05646,11.90145,12.81429,13.65825,14.22662,15.03613,15.94897,16.36234,17.06850,17.10295,17.27518,17.53354,17.43020,17.43020,17.53354,17.22351,17.32685,16.96516,16.70681,16.81015,16.56902,16.48290,16.60347,16.08676,16.13843,15.98342,16.19010,15.96620,15.94897,15.58728,15.53561,15.01890,15.20836,15.08780,14.86389,14.74333,15.03613,15.17392,15.51839,15.82841,16.39678,16.91349,18.48083,19.99650,21.54662,22.21833,22.76948,23.16563,23.42398,22.35612,22.30445,22.02887,21.32271,20.96102,20.08262,19.91038,19.49702,19.10088,18.36027,18.20525,17.68855,17.39575,17.92968,18.56695,18.94586,17.96412,17.63688,17.60243,17.29241,16.84460
2005,Rose Bay 33_11kV,02MAY2004,MW,16.15566,15.46671,14.81222,14.70888,14.27829,13.46879,12.95208,12.52149,11.88422,11.45364,11.07472,10.66135,10.59246,10.35133,10.40300,10.16187,10.16187,10.17910,10.14465,10.07576,10.04131,9.98964,10.23077,10.35133,10.62691,10.88526,11.59142,11.53975,12.12535,12.67651,13.50323,14.58832,15.43227,16.12121,16.55180,17.24074,17.48187,17.92968,18.30859,18.53250,18.89419,19.04921,18.61862,18.18803,18.18803,18.25692,17.58521,17.60243,17.48187,17.01683,16.87904,16.81015,16.32789,16.29344,16.01787,15.93175,15.84563,15.69062,15.67340,15.44949,15.10502,15.17392,15.51839,15.24281,15.77674,16.29344,16.62069,17.39575,19.04921,20.94379,23.13118,24.61240,24.76741,25.37023,25.24967,25.38746,25.38746,25.52525,25.04299,24.35405,24.11292,23.71678,23.32064,22.56280,21.89109,21.21937,20.47876,19.68648,19.72092,19.91038,19.99650,18.67029,17.98135,17.53354,16.70681,16.05231
2005,Rose Bay 33_11kV,03MAY2004,MW,15.46671,14.79500,14.01994,14.26107,13.72714,13.12432,12.77985,12.22869,11.88422,11.36752,11.21251,10.91971,10.69580,10.50634,10.40300,10.36855,10.35133,10.36855,10.31688,10.50634,10.76470,11.12639,11.60865,12.21147,13.70992,15.10502,16.96516,18.11914,19.96205,20.27208,19.87593,19.80704,19.70370,19.29033,19.23866,18.98031,18.77363,18.79085,18.73918,18.27415,17.75744,17.67132,17.70577,17.39575,16.98238,16.96516,16.87904,16.75848,17.10295,16.67236,16.87904,16.46568,16.27622,16.56902,16.24177,16.29344,16.39678,16.39678,16.05231,16.12121,15.69062,15.82841,15.82841,16.31067,16.24177,17.24074,17.96412,18.67029,20.20318,22.06332,24.35405,25.59414,26.26586,26.92035,27.24760,27.23037,27.09259,26.43809,25.88694,25.19800,25.76638,25.11188,24.52628,23.83734,23.06228,22.04610,21.37438,20.54765,20.27208,20.68544,20.28930,19.08365,17.96412,17.60243,16.86182,16.00064
2005,Rose Bay 33_11kV,04MAY2004,MW,15.63895,14.81222,14.24385,14.38163,13.76159,13.31378,12.74540,12.33204,11.90145,11.74644,11.53975,11.33307,11.22973,10.88526,10.93693,10.79914,10.81637,10.74747,10.64413,10.73025,11.35030,11.71199,11.98757,12.67651,13.95105,15.13947,17.13740,17.89523,19.56591,20.18596,20.04817,19.80704,19.39368,18.89419,18.60139,18.56695,18.42916,18.22248,17.96412,18.05024,17.80911,17.48187,17.74022,17.41297,17.34408,16.86182,16.77570,16.98238,16.62069,16.46568,16.44846,16.50013,16.29344,16.39678,16.29344,16.41401,16.39678,16.24177,15.94897,16.19010,15.93175,15.81119,15.94897,16.05231,16.60347,16.82737,17.27518,17.86078,19.85871,21.52939,23.18285,24.21626,25.50802,25.45635,25.38746,25.74915,25.28412,24.85353,24.31960,24.21626,23.42398,22.97617,22.54558,22.40779,21.39160,20.85767,19.85871,19.41090,19.85871,19.68648,19.34201,18.22248,17.48187,17.12017,16.82737,16.08676
2005,Rose Bay 33_11kV,05MAY2004,MW,15.53561,14.88112,14.27829,14.39886,13.60658,13.26211,12.72818,12.36648,11.72921,11.55698,11.22973,11.05750,10.57524,10.57524,10.42023,10.47190,10.24799,10.38578,10.29966,10.29966,10.83359,11.12639,11.47086,12.00479,13.10709,14.63999,16.39678,17.29241,18.48083,19.54869,19.18699,19.23866,18.99754,18.32582,18.15358,18.11914,18.17081,17.86078,17.60243,17.37852,17.24074,16.84460,16.62069,17.13740,16.62069,16.13843,16.15566,16.39678,16.48290,16.05231,15.93175,15.88008,15.62173,15.82841,15.89730,16.13843,15.63895,15.74229,15.34615,15.19114,15.15669,15.24281,15.46671,15.74229,16.10398,16.51735,16.72403,17.44742,19.23866,21.46050,22.76948,23.66511,24.71574,24.99132,25.18078,25.11188,25.04299,24.47461,24.07847,23.38953,22.87283,23.14840,22.83838,21.80497,21.02991,20.37542,19.80704,19.01476,19.04921,19.35923,19.56591,18.34304,17.48187,17.08573,16.62069,15.77674
2005,Rose Bay 33_11kV,06MAY2004,MW,15.46671,14.50220,13.62380,14.31274,13.67547,12.91763,12.50427,11.67754,11.64309,11.26418,11.02305,10.62691,10.86804,10.40300,10.24799,10.31688,10.23077,10.33411,10.33411,10.42023,10.81637,11.04027,11.47086,11.97034,13.39989,14.67443,16.32789,16.96516,18.32582,19.20422,19.22144,18.72196,18.42916,18.84252,18.22248,18.06747,18.34304,18.49805,18.27415,17.67132,17.41297,17.15462,17.03405,16.89627,16.93071,16.51735,16.36234,16.44846,16.43123,16.20733,16.31067,16.01787,16.05231,15.98342,16.03509,15.43227,15.84563,15.82841,15.84563,15.79396,15.63895,15.50116,15.67340,15.62173,16.17288,16.58624,17.12017,17.82634,19.54869,21.51217,22.66614,23.35508,23.57899,24.40572,24.25071,24.09570,23.56177,23.30341,23.23452,22.87283,22.49391,22.45946,21.73607,21.21937,20.47876,19.96205,19.44535,18.85975,19.22144,19.61758,19.35923,18.34304,17.51631,16.77570,16.48290,15.67340
2005,Rose Bay 33_11kV,07MAY2004,MW,15.55283,14.55387,13.88215,14.10606,13.45156,13.14154,12.71095,11.95312,11.69477,11.35030,11.33307,10.91971,10.78192,10.66135,10.57524,10.28244,10.48912,10.45467,10.31688,10.21354,10.66135,10.83359,11.24695,11.78088,13.14154,14.38163,16.15566,16.98238,18.61862,19.46257,19.80704,19.65203,19.82426,19.30756,19.04921,18.91142,18.79085,18.67029,18.53250,18.29137,18.27415,18.36027,17.99857,17.89523,17.89523,17.49909,17.37852,17.55076,16.99961,16.87904,17.03405,16.72403,16.56902,16.48290,16.62069,16.32789,16.32789,16.48290,16.17288,16.22455,16.19010,16.13843,16.19010,16.84460,16.99961,17.72300,18.56695,18.79085,20.28930,21.70163,22.71781,23.30341,24.14737,24.07847,24.06125,23.44120,22.87283,22.35612,21.85664,21.37438,20.68544,20.39264,20.16873,20.23763,19.65203,18.92864,18.68751,18.22248,18.75641,19.22144,19.25589,18.11914,17.74022,17.60243,17.05128,16.12121
2005,Rose Bay 33_11kV,08MAY2004,MW,15.82841,15.20836,14.45053,14.51942,13.96827,13.22766,12.84874,12.41815,12.07368,11.67754,11.05750,10.90248,10.93693,10.76470,10.60968,10.60968,10.59246,10.54079,10.38578,10.40300,10.55801,10.42023,10.52357,10.71303,11.24695,11.62587,12.64206,12.53872,13.12432,13.70992,14.55387,15.31170,15.89730,16.70681,16.89627,17.17184,17.80911,17.94690,18.18803,17.70577,17.87801,17.46464,17.58521,17.17184,17.13740,16.44846,16.51735,16.36234,16.34511,16.20733,16.03509,15.69062,15.53561,15.65617,15.53561,15.62173,15.79396,15.51839,15.20836,15.27726,15.13947,15.58728,15.69062,15.93175,15.86286,16.05231,16.87904,17.34408,18.72196,20.99546,22.09777,22.80393,22.97617,23.21730,23.11395,23.06228,22.61447,22.09777,21.63273,20.99546,20.71989,20.06539,19.54869,19.06643,18.61862,18.10191,17.72300,17.20629,17.91245,18.63584,18.96309,17.77467,17.34408,17.58521,17.22351,16.46568
2005,Rose Bay 33_11kV,09MAY2004,MW,16.31067,15.32893,14.50220,14.58832,14.01994,13.33100,12.62484,12.17702,11.76366,11.35030,10.90248,10.76470,10.60968,10.54079,10.14465,10.09298,10.11020,10.04131,10.05853,9.78296,10.11020,10.04131,10.26521,10.38578,10.78192,11.14361,11.40197,11.60865,12.31481,12.95208,13.52046,14.01994,14.82944,15.38060,16.10398,16.72403,17.13740,17.48187,17.61965,18.11914,18.27415,18.10191,17.87801,17.68855,17.86078,17.67132,17.25796,17.34408,17.34408,16.89627,17.05128,16.81015,17.46464,17.18907,16.82737,16.55180,16.53457,16.43123,16.31067,16.37956,16.46568,16.89627,17.01683,17.49909,17.74022,18.27415,18.94586,19.77259,20.96102,22.52836,23.56177,24.38849,24.93965,24.90520,24.62962,24.57795,24.31960,24.11292,24.00958,23.47565,23.18285,22.82116,22.23556,21.52939,20.75433,20.01372,19.44535,18.61862,18.58417,18.99754,18.77363,17.43020,16.75848,16.37956,16.24177,15.31170
2005,Rose Bay 33_11kV,10MAY2004,MW,15.00168,14.24385,13.41712,13.74436,13.31378,12.90041,12.57316,11.81533,11.35030,11.26418,10.98860,10.64413,10.50634,10.38578,10.43745,10.21354,10.35133,10.35133,10.19632,10.33411,10.36855,10.98860,11.55698,12.17702,13.39989,15.10502,17.34408,18.05024,19.34201,20.49598,20.37542,20.37542,19.96205,19.27311,19.29033,18.68751,18.36027,18.32582,18.70474,18.46361,18.13636,18.03302,17.99857,17.96412,17.48187,17.51631,17.15462,17.22351,16.93071,17.17184,17.20629,17.12017,17.27518,17.30963,17.44742,17.60243,17.55076,18.01579,18.10191,17.55076,17.68855,17.58521,17.80911,17.96412,18.49805,19.04921,19.72092,20.73711,22.56280,25.16355,26.28308,27.17870,28.07433,28.95273,28.71160,29.09051,28.62548,28.40157,27.98821,27.67819,26.69645,26.02473,26.05918,25.37023,24.19904,23.92346,22.61447,21.47772,21.73607,21.64996,21.35716,19.77259,18.91142,18.15358,17.94690,17.03405
