year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Swansea 33_11kV,01MAY2004,MW,3.58644,3.62072,3.79650,4.53067,4.36284,4.00151,3.56910,3.15894,3.76417,3.47530,3.09412,2.81192,2.47183,2.33276,2.11437,2.01905,1.90869,1.87158,1.83791,1.86480,1.86048,1.90467,1.94957,1.99767,2.10096,2.16889,2.29739,2.54606,2.79821,2.99733,3.23633,3.37313,3.46744,3.54199,3.67153,3.72755,3.73973,3.64775,3.53723,3.49614,3.34793,3.20968,3.17278,3.11533,3.08572,2.99215,2.98528,2.94032,2.94548,2.87218,2.82658,2.84440,2.78559,2.75182,2.69807,2.72657,2.74813,2.69683,2.77783,2.70740,2.78925,2.81880,2.79466,2.80534,2.94259,3.14328,3.07212,2.92454,3.17953,3.50519,3.64483,3.58779,3.73001,3.67906,3.59607,3.46792,3.37593,3.46227,3.34986,3.23308,3.13019,2.94013,3.01607,2.92057,2.94705,2.79720,3.30437,3.14236,2.75153,2.54330,2.93567,2.72466,2.89010,2.75482,2.51268,2.37146
2005,Swansea 33_11kV,02MAY2004,MW,2.82112,2.68659,2.77164,3.84048,3.18358,2.64761,2.30802,2.04417,2.39684,2.26479,2.04213,1.90175,1.86096,1.73874,1.75007,1.74085,1.73753,1.75074,1.73475,1.78185,1.87794,1.90680,1.87717,1.94184,2.00672,2.08602,2.18466,2.39552,2.56650,2.84379,3.00749,3.10339,3.30237,3.47748,3.58293,3.67448,3.69172,3.66827,3.68298,3.59792,3.52978,3.53795,3.39297,3.33002,3.32290,3.21669,3.11416,2.99717,2.99233,2.94398,2.88408,2.88068,2.87886,2.74408,2.74511,2.72450,2.68007,2.63789,2.71622,2.62261,2.73356,2.74079,2.77686,2.83354,2.92673,3.15134,3.17350,3.01241,3.29470,3.63215,3.81069,3.73555,3.99265,3.88696,3.79840,3.61964,3.53388,3.64914,3.56556,3.34844,3.27603,3.19762,3.17975,3.00098,3.04698,2.91752,3.32837,3.15408,2.80381,2.54584,2.92685,2.65478,2.77450,2.69635,2.30150,2.58177
2005,Swansea 33_11kV,03MAY2004,MW,2.66320,2.48440,2.69441,3.77839,3.12042,2.56303,2.39976,2.59656,2.26889,2.05023,1.93863,1.82151,1.72801,1.75305,1.72707,1.70889,1.72951,1.69370,1.74393,1.81322,1.88928,1.96283,2.10850,2.19765,2.41904,2.72585,2.87944,2.46150,2.61035,2.75474,2.90444,2.95777,3.04383,2.95890,2.89197,2.80087,2.70810,2.67079,2.62303,2.58085,2.59038,2.46943,2.43113,2.43055,2.35895,2.34965,2.34276,2.35001,2.37036,2.37177,2.37892,2.34037,2.33005,2.31814,2.31326,2.34105,2.31444,2.30627,2.32221,2.31228,2.35096,2.36920,2.43270,2.48889,2.52644,2.63132,2.76804,2.95530,3.20706,3.59235,3.81812,3.86296,3.89611,3.86478,3.76636,3.62604,3.58667,3.65903,3.53002,3.42674,3.32552,3.18958,3.15799,3.01896,2.80580,2.74831,2.74516,2.73910,3.32064,3.19146,3.26802,3.13528,2.93541,2.70683,2.80251,3.34238
2005,Swansea 33_11kV,04MAY2004,MW,3.53576,3.54603,3.65576,4.42287,4.30741,3.96572,3.76964,4.14691,3.75423,3.36798,3.03869,2.77943,2.48772,2.24856,2.05679,2.01535,2.00164,1.90504,1.85928,1.85364,1.93916,2.03342,2.07190,2.21799,2.44976,2.68271,2.87590,2.49026,2.62206,2.80277,2.97014,3.03900,2.97880,2.93918,2.90226,2.80825,2.74292,2.66696,2.61641,2.58005,2.52073,2.49361,2.46036,2.38573,2.42421,2.34834,2.40347,2.40400,2.39811,2.40662,2.40782,2.34599,2.32625,2.36100,2.39077,2.41870,2.40783,2.37403,2.38213,2.33304,2.36411,2.42397,2.44290,2.50264,2.54440,2.64730,2.80839,2.89794,3.22227,3.59645,3.68322,3.65466,3.66559,3.59201,3.53064,3.42846,3.37596,3.48644,3.32814,3.23804,3.13650,3.05772,2.95628,2.81407,2.65573,2.67078,2.59954,2.62122,3.17793,2.95980,3.11432,3.01435,2.85540,2.65337,2.70821,3.29165
2005,Swansea 33_11kV,05MAY2004,MW,3.44893,3.49113,3.62018,4.44055,4.31266,3.84536,3.72570,4.10714,3.62831,3.28987,2.89433,2.64311,2.39239,2.25546,2.15039,1.95575,1.93451,1.84228,1.89541,1.87453,1.92665,2.07147,2.09306,2.23286,2.38980,2.65568,2.90345,2.40668,2.53251,2.76886,2.82774,2.93614,2.87657,2.86508,2.82868,2.75146,2.67128,2.62955,2.61928,2.55731,2.51009,2.49715,2.42491,2.44299,2.42861,2.39684,2.38175,2.38212,2.45987,2.46022,2.42966,2.38923,2.38102,2.36482,2.35801,2.32920,2.31678,2.33469,2.34212,2.29576,2.31850,2.34680,2.40428,2.49253,2.55869,2.66438,2.81413,2.93636,3.24350,3.61013,3.74612,3.68655,3.73115,3.70726,3.55766,3.45404,3.40577,3.53803,3.41056,3.25049,3.13240,2.99271,2.93580,2.86997,2.66086,2.67577,2.63815,2.68557,3.21997,3.06282,3.15113,3.07888,2.88472,2.63589,2.77157,3.38251
2005,Swansea 33_11kV,06MAY2004,MW,3.52599,3.56120,3.63669,4.40891,4.29029,3.93750,3.75123,4.12111,3.70207,3.23292,2.92414,2.69298,2.41576,2.20313,2.05749,1.94756,1.91495,1.87552,1.84117,1.85660,1.96998,2.01697,2.04717,2.16545,2.45743,2.73875,2.84992,2.49504,2.70803,2.80806,2.88438,2.89033,2.84165,2.74108,2.56362,2.47706,2.40899,2.38228,2.64279,2.50125,2.41001,2.33852,2.33091,2.32882,2.29110,2.26331,2.32574,2.33658,2.35629,2.33583,2.29349,2.26511,2.17073,2.09887,2.11684,2.13249,2.28003,2.33641,2.30570,2.23403,2.24793,2.25750,2.29883,2.32367,2.42085,2.50253,2.72725,2.99306,3.21976,3.49473,3.61612,3.56794,3.66207,3.54524,3.47613,3.37997,3.36084,3.41960,3.28058,3.23041,3.11907,3.00571,2.99163,2.87222,2.70302,2.69726,2.66169,2.71269,3.23798,3.11393,3.23246,3.07089,2.87497,2.72156,2.79885,3.32220
2005,Swansea 33_11kV,07MAY2004,MW,3.53912,3.53908,3.65914,4.45677,4.34931,3.87701,3.77639,4.06234,3.72124,3.22901,2.84414,2.62926,2.37480,2.15619,2.08323,1.91841,1.91051,1.85286,1.84529,1.86285,1.94084,1.98702,2.02941,2.17178,2.39836,2.53019,2.72619,2.38115,2.61937,2.81126,2.95424,3.05934,3.11159,3.07753,3.00889,2.92554,2.89508,2.80439,2.81068,2.73190,2.68252,2.67083,2.62920,2.62092,2.58451,2.55928,2.53953,2.61703,2.58955,2.58619,2.47979,2.48460,2.38590,2.38800,2.39996,2.36160,2.40222,2.38093,2.40350,2.41659,2.42914,2.47582,2.50591,2.59588,2.66833,2.78471,2.92296,3.10759,3.30973,3.56211,3.72949,3.68436,3.68543,3.67140,3.58499,3.54821,3.53084,3.62478,3.49132,3.37691,3.31636,3.19928,3.11471,3.04685,2.88280,2.91464,2.92198,2.93516,3.45318,3.27840,3.40500,3.22524,3.07650,2.82797,2.92466,3.45680
2005,Swansea 33_11kV,08MAY2004,MW,3.67258,3.64869,3.79228,4.59649,4.48519,4.04060,3.61552,3.27695,3.81914,3.59469,3.14329,2.85529,2.63023,2.33947,2.18429,2.03382,1.97112,1.96233,1.89310,1.92184,1.95097,1.92650,1.96809,1.99349,2.13002,2.21772,2.32189,2.44311,2.74205,3.00782,3.22753,3.43069,3.55201,3.67025,3.71595,3.75503,3.76919,3.67754,3.57298,3.53546,3.48085,3.38223,3.30830,3.20680,3.04405,2.99404,2.98283,2.93225,2.95481,2.97918,2.94736,2.86343,2.85483,2.75077,2.76235,2.77860,2.73841,2.71938,2.74843,2.74518,2.81214,2.85419,2.91281,2.99624,3.01113,3.13290,3.19277,2.98678,3.34515,3.62582,3.77024,3.71537,3.84151,3.67089,3.59537,3.46667,3.43566,3.50886,3.40789,3.26656,3.09559,3.05566,3.12595,2.98801,3.02716,2.90387,3.41667,3.19554,2.87919,2.64881,2.99360,2.82058,2.91933,2.85644,2.47031,2.75911
2005,Swansea 33_11kV,09MAY2004,MW,2.83652,2.64491,2.73839,3.91146,3.12343,2.59444,2.28458,2.10838,2.35286,2.22601,2.00634,1.90233,1.83258,1.78705,1.73152,1.75519,1.73980,1.75350,1.74821,1.78338,1.80409,1.92072,1.90105,1.95561,2.04289,2.11460,2.15741,2.29605,2.55613,2.79544,3.02865,3.25888,3.47970,3.63019,3.77648,3.75857,3.80229,3.77461,3.79984,3.74022,3.64060,3.56976,3.51253,3.33009,3.30243,3.29019,3.22991,3.19420,3.16598,3.07471,2.95134,2.89113,2.86168,2.84091,2.82221,2.73898,2.71448,2.67986,2.67547,2.65302,2.65439,2.66234,2.69854,2.87128,2.98688,2.99610,3.11670,3.08965,3.39686,3.55309,3.65429,3.57266,3.63590,3.59161,3.49164,3.43841,3.39037,3.42269,3.32170,3.23206,3.19648,3.08488,3.09462,2.95006,2.94041,2.74228,3.26140,3.04401,2.66878,2.40786,2.76402,2.52439,2.65413,2.51544,2.18026,2.47613
2005,Swansea 33_11kV,10MAY2004,MW,2.58519,2.39684,2.60340,3.70973,2.99809,2.48195,2.25658,2.34609,2.11580,1.93999,1.84959,1.74787,1.73775,1.76625,1.66707,1.68353,1.74260,1.77650,1.76194,1.79484,1.92122,1.98835,2.06435,2.20571,2.38760,2.59548,2.85575,2.46074,2.65677,2.81840,2.90258,2.96745,2.92951,2.91085,2.85875,2.81623,2.74721,2.74436,2.73822,2.70041,2.63567,2.53459,2.48624,2.47436,2.44236,2.41572,2.45000,2.44726,2.46033,2.45292,2.42055,2.36287,2.37043,2.37194,2.33819,2.34947,2.37161,2.35800,2.37332,2.34685,2.44510,2.43841,2.56057,2.67324,2.95875,3.11923,3.34884,3.61031,3.91642,4.14658,4.30809,4.24290,4.22113,4.09620,3.98417,3.87743,3.86082,3.93143,3.80471,3.61932,3.50721,3.38564,3.23737,3.10781,2.93093,2.89351,2.83939,2.87589,3.46333,3.27897,3.29623,3.16493,2.98544,2.72272,2.80077,3.36135
