year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Turramurra 33_11kV,01MAY2004,MW,21.20931,19.57917,18.19443,19.99985,19.03579,17.91398,16.80969,15.56518,14.75887,13.93504,12.74311,12.25232,11.76153,11.23568,10.62218,10.60465,10.55207,10.27162,10.42937,10.77994,10.79747,10.97275,11.18309,11.95434,12.65547,13.37413,14.79393,14.26808,15.49507,16.79216,17.93151,18.35219,18.93062,19.38636,20.03491,20.08749,20.17514,20.08749,19.66681,19.54411,19.21108,19.17602,18.61511,18.05420,18.19443,17.72117,17.47577,17.30049,17.23037,17.14273,17.00250,16.98498,16.79216,16.66946,16.49418,16.33643,16.58182,16.37148,16.31890,16.44160,16.44160,16.58182,16.75711,17.03756,17.58094,18.49241,19.73693,20.21019,21.96303,24.22419,26.01208,26.62557,27.15142,27.23906,27.23906,26.83591,26.18736,26.01208,24.71498,24.04890,23.38282,23.17248,22.61158,21.99808,21.48976,21.06908,20.43806,19.63176,22.05067,24.43453,25.59140,23.87362,22.62911,23.99632,22.85697,21.34954
2005,Turramurra 33_11kV,02MAY2004,MW,22.68169,21.17425,19.94727,21.78774,20.29783,19.10591,17.94903,16.59935,15.84563,14.82899,14.02268,13.40919,12.69053,12.26985,11.70894,11.35837,11.23568,10.86758,10.86758,11.00781,11.07792,11.25320,11.35837,11.58624,12.30490,12.81323,13.86493,13.35661,14.26808,15.21461,16.31890,17.49330,18.59758,19.71940,20.06997,20.33289,20.91133,21.13920,20.82368,20.28031,20.50817,20.06997,19.84210,19.31625,19.12343,18.66770,18.38724,17.80881,17.79128,17.61600,17.66858,17.21284,17.02003,16.73958,16.66946,16.38901,16.82722,16.68699,16.98498,17.12520,17.03756,17.54588,17.61600,18.33466,19.52659,20.52570,21.91044,22.78686,25.04802,27.22153,29.43011,31.14789,31.83149,31.63868,31.51598,31.44587,30.81485,30.42922,29.88584,28.92178,28.37841,27.94020,27.64221,26.78333,25.80174,24.90779,23.80350,22.78686,24.69745,26.32759,27.32670,24.59228,23.22507,24.24171,23.10237,21.22684
2005,Turramurra 33_11kV,03MAY2004,MW,22.34865,21.06908,19.98232,21.64752,20.64840,19.19355,18.24702,17.10767,15.96833,15.24967,14.54853,13.77729,13.19885,12.69053,12.26985,11.95434,11.60377,11.60377,11.67388,11.74400,12.46266,12.63794,13.51436,14.96921,17.79128,20.73604,24.57475,22.71675,24.69745,25.04802,25.34600,24.36441,24.53970,23.78598,23.11990,23.29518,22.54146,22.12078,21.55988,20.50817,20.35042,19.78951,19.42142,19.10591,18.84298,18.43983,17.84386,17.93151,17.96656,17.54588,17.58094,17.49330,17.31801,17.33554,17.12520,17.05509,17.00250,16.94992,17.05509,16.98498,17.10767,17.45824,17.70364,18.12432,18.94815,19.91221,20.96391,21.91044,24.01385,26.81838,29.13212,30.46428,31.44587,31.74385,31.74385,31.51598,31.23553,30.79732,30.00854,29.34246,29.13212,28.50110,27.95772,26.90602,26.09972,24.92532,24.11902,22.87450,24.53970,26.69568,27.11636,24.41700,22.54146,23.71586,22.71675,21.05155
2005,Turramurra 33_11kV,04MAY2004,MW,21.99808,20.71851,19.43894,21.52482,20.29783,19.03579,18.05420,17.00250,15.77552,15.23214,14.33819,13.61953,13.02357,12.41007,11.97187,11.93681,11.69141,11.60377,11.65636,11.77905,12.18221,12.95345,13.82987,15.44248,18.22949,21.38459,24.66239,22.92709,24.64487,25.39859,25.55634,25.24083,24.06643,23.45294,22.97967,22.61158,21.77022,21.06908,20.57829,20.01738,19.45647,19.01826,18.86051,18.29960,18.17690,17.93151,17.54588,17.35307,17.21284,17.10767,17.07262,16.80969,17.14273,16.63441,16.56429,16.70452,16.72205,16.93239,16.51171,16.63441,16.47665,16.84475,17.24790,17.79128,18.24702,19.15849,19.75446,20.52570,22.64663,25.11813,26.74827,28.01031,28.79909,29.07954,29.11460,28.99190,28.34335,28.16807,27.53704,27.04625,26.36264,25.73162,25.08307,24.64487,23.55811,22.76933,21.84033,21.13920,22.62911,24.66239,25.55634,23.40035,21.55988,22.69922,21.48976,20.12255
2005,Turramurra 33_11kV,05MAY2004,MW,21.52482,19.85963,18.61511,20.61334,19.82457,18.61511,17.59847,16.33643,15.31978,14.60112,13.75976,13.44425,12.76064,11.86670,11.58624,11.18309,11.06039,11.09545,11.30579,11.60377,11.79658,12.30490,13.37413,14.58359,17.54588,20.17514,23.24260,20.49065,22.08573,22.29607,22.52394,,,21.41965,20.85874,20.47312,20.29783,19.66681,,19.00074,18.47489,18.01915,17.75622,17.24790,17.02003,16.66946,16.79216,16.72205,16.73958,16.61688,16.23126,16.24878,16.23126,16.17867,15.88069,15.77552,16.12609,16.03844,15.89822,16.02092,16.17867,16.44160,16.56429,17.31801,17.91398,18.40477,19.17602,19.80704,22.05067,24.73251,26.45029,27.62469,28.57122,28.90426,29.25482,29.07954,28.51863,27.92267,27.53704,27.23906,26.38017,25.46870,25.22330,24.55722,23.66328,22.94462,21.96303,20.71851,22.73428,24.43453,25.36353,23.24260,21.75269,23.01473,21.61246,20.15761
2005,Turramurra 33_11kV,06MAY2004,MW,21.38459,19.96480,18.84298,20.71851,19.70187,18.26455,17.33554,16.12609,15.09191,14.19797,13.33908,12.93593,12.48019,11.90175,11.37590,11.35837,11.39343,11.18309,11.21815,11.62130,11.98939,12.26985,13.21638,14.47842,17.19532,19.91221,22.96214,20.68346,21.94550,22.41876,22.43629,22.26101,21.91044,21.43718,20.91133,20.98144,19.96480,19.52659,19.31625,19.00074,18.33466,18.17690,17.84386,17.35307,17.37060,17.07262,17.00250,16.91486,16.79216,16.73958,16.52924,16.45912,16.80969,16.37148,16.37148,16.37148,16.70452,16.30137,16.23126,16.28384,16.21373,16.31890,16.75711,17.28296,17.89645,18.42230,19.50906,20.59582,22.19090,24.24171,25.52128,26.48534,27.23906,27.53704,27.36176,27.62469,26.99367,26.41523,25.94196,25.24083,24.76756,24.41700,24.15407,23.57564,22.75180,21.89291,20.99897,19.80704,22.03314,23.87362,24.75004,22.66416,21.19178,22.59405,21.34954,19.78951
2005,Turramurra 33_11kV,07MAY2004,MW,20.96391,19.73693,18.01915,20.59582,19.15849,17.93151,16.77463,15.74046,14.67123,13.65459,13.07615,12.37502,11.93681,11.32332,11.04286,10.83252,10.83252,10.83252,10.81499,11.11298,11.37590,11.55119,12.77817,13.88246,16.03844,18.68523,21.34954,19.57917,21.13920,21.85786,22.66416,22.33112,22.62911,22.45382,22.22595,21.55988,21.38459,21.13920,20.73604,20.31536,19.98232,19.38636,19.26366,18.82545,18.82545,18.33466,18.08926,17.89645,17.70364,17.56341,17.00250,17.05509,16.96745,17.00250,16.79216,16.79216,16.65194,16.47665,16.35395,16.58182,16.44160,16.79216,17.07262,17.52835,18.00162,18.38724,18.86051,19.85963,21.73516,23.75092,25.48623,26.18736,26.74827,26.87097,26.81838,26.50287,26.39770,25.67904,25.13566,24.59228,24.13654,23.75092,23.01473,22.26101,21.70010,21.08661,20.68346,19.64929,22.26101,24.46958,25.59140,23.01473,21.78774,23.17248,22.15584,20.29783
2005,Turramurra 33_11kV,08MAY2004,MW,21.54235,19.87715,18.68523,20.57829,19.03579,17.91398,17.21284,15.84563,14.58359,13.68964,13.14627,12.37502,11.90175,11.37590,11.20062,11.04286,10.95522,10.72735,10.62218,10.70982,11.13050,11.44602,11.65636,11.95434,12.95345,13.58447,14.88157,14.28561,16.14361,16.98498,17.91398,19.00074,19.31625,19.75446,19.61423,19.80704,19.70187,19.63176,19.64929,19.59670,19.05332,18.84298,18.77287,18.12432,17.73869,17.77375,17.35307,17.40566,17.44071,16.94992,16.91486,17.07262,16.79216,17.19532,16.79216,16.79216,16.63441,16.59935,16.59935,16.77463,17.14273,17.54588,17.98409,18.33466,18.43983,19.43894,19.94727,20.70099,22.29607,24.57475,26.36264,27.11636,27.36176,27.60716,27.15142,26.59051,25.76668,25.17072,24.45205,23.59316,22.92709,22.90956,22.34865,21.77022,20.99897,20.47312,19.80704,19.45647,21.62999,24.34688,25.69657,23.62822,22.59405,23.87362,22.52394,21.47223
2005,Turramurra 33_11kV,09MAY2004,MW,22.68169,21.05155,19.87715,21.70010,20.15761,18.86051,17.96656,16.65194,15.44248,14.77640,14.19797,13.32155,12.32243,11.97187,11.63883,11.14803,10.99028,10.83252,10.72735,10.88511,10.69230,10.93769,11.20062,11.58624,12.53277,13.00604,13.88246,13.49683,14.12785,14.70629,16.00339,17.00250,17.86139,18.21196,18.61511,19.10591,19.38636,19.85963,19.78951,19.80704,20.06997,20.01738,19.77198,19.43894,19.17602,19.35130,19.19355,18.98321,19.00074,19.36883,19.59670,19.49153,19.42142,19.12343,19.07085,19.94727,19.87715,20.59582,20.77110,20.89380,20.87627,21.57740,21.84033,22.75180,23.89115,24.50464,25.64398,26.32759,27.23906,28.60627,29.51775,29.97349,30.60451,30.83237,29.90337,29.90337,29.27235,28.50110,28.01031,27.64221,26.71321,26.29253,25.60893,24.85521,23.83856,22.96214,21.89291,20.85874,22.76933,24.83768,25.62645,23.03226,21.75269,22.96214,22.17337,20.78863
2005,Turramurra 33_11kV,10MAY2004,MW,21.82280,20.10502,19.17602,20.92885,19.82457,18.56253,17.52835,16.51171,15.53012,14.49595,13.98763,13.07615,12.53277,12.05951,11.81411,11.39343,11.21815,11.27073,11.25320,11.44602,12.19973,12.35749,13.23391,14.74135,17.42318,20.36795,23.80350,21.33201,23.10237,23.43541,23.26013,24.06643,23.73339,23.13743,22.89203,22.52394,22.10325,21.85786,21.13920,20.77110,20.43806,20.19266,20.35042,19.80704,19.52659,18.94815,19.08838,19.07085,18.96568,18.72028,18.61511,18.80792,18.29960,18.40477,18.15937,18.50994,18.89557,19.03579,18.96568,18.96568,19.38636,19.31625,20.19266,20.54323,21.55988,22.45382,23.76845,24.89026,27.41435,28.90426,31.21800,32.28723,33.40904,33.81220,33.74208,33.44410,32.72544,32.28723,31.90160,31.44587,30.79732,29.92090,29.46516,28.58875,27.36176,26.36264,25.13566,23.76845,25.50376,27.51952,27.99278,25.18824,23.34777,24.59228,23.13743,21.27942
