year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Adamstown 33_11kV,01MAY2005,MW,11.16259,10.57137,10.72152,13.08062,11.21268,9.95920,9.16351,8.69161,9.02457,8.62812,8.31085,8.17883,8.07592,7.94408,7.80975,7.83682,7.82713,7.78612,7.84926,7.87279,8.03725,8.08609,8.12767,8.28554,8.60419,8.82256,9.01559,9.29795,9.88628,10.58823,11.12171,11.65073,12.22731,12.62912,12.89024,13.35853,13.44261,13.74483,13.88883,13.89308,13.82371,13.71157,13.46636,13.41770,13.13482,13.07191,13.02847,12.87224,12.91009,12.81979,12.63571,12.48169,12.49810,12.37056,12.35220,12.26267,12.01011,11.82539,11.86824,11.83741,12.09271,12.07443,12.10696,12.13313,12.46580,12.96498,13.28993,13.33777,14.17850,15.53936,16.50608,16.41937,16.70057,16.75044,16.53187,16.27169,15.94867,16.46362,15.79951,15.23424,14.73227,14.17628,13.99718,13.67088,13.63734,13.05702,15.69803,14.79263,13.03508,12.07828,12.48306,11.56887,11.33783,10.87455,9.93196,10.10952
2006,Adamstown 33_11kV,02MAY2005,MW,10.12340,9.71831,9.97167,12.20917,10.47013,9.27693,8.86051,8.89580,8.30043,8.06723,7.90843,7.90267,7.86847,7.84067,7.70361,7.68912,7.87549,7.91613,7.92459,8.11444,8.22183,8.56997,8.97668,9.25054,9.97167,10.77885,11.73523,11.85207,12.87434,13.73463,14.66965,14.83308,14.43931,14.65717,14.54777,14.33772,14.25194,14.23130,14.32975,14.62389,14.41210,14.04462,13.76124,13.72952,13.82976,13.62743,13.73421,13.99369,13.96034,13.75825,13.89025,13.77148,13.80533,13.31115,12.58714,12.39082,12.46587,12.25737,12.30535,12.23523,12.43371,12.81624,12.77073,12.86397,13.01596,13.31748,13.63626,14.48347,15.26241,16.44058,17.63515,18.02137,18.68009,18.63638,18.27836,17.67092,17.38226,18.12248,17.19280,16.71473,15.94620,15.26830,14.98725,14.62165,14.06013,13.65431,13.17208,13.13434,16.80072,16.01906,14.46718,13.42595,12.54240,11.50261,10.93561,11.64822
2006,Adamstown 33_11kV,03MAY2005,MW,11.80489,11.83335,11.94970,13.33988,12.91818,12.09341,11.70194,12.12222,11.28125,10.50996,9.82359,9.37583,8.91152,8.48790,8.29131,8.14450,8.04060,8.14510,8.08993,8.11048,8.34116,8.58187,8.82750,9.30810,10.25277,10.94431,11.57267,11.53624,12.71223,13.59229,14.06796,14.47928,14.84887,14.59477,14.20204,13.90030,13.78423,13.84068,13.85763,13.69970,13.69820,13.54288,13.44197,13.49480,13.24838,13.24673,13.27146,13.39929,13.56230,13.63371,13.55110,13.56079,13.60617,13.57787,13.50580,13.28863,13.26174,13.24400,13.17274,13.21841,13.31507,13.25949,13.26861,13.17342,13.58287,13.71625,13.95236,14.49813,15.27427,16.84742,17.78989,17.52745,17.73911,17.52345,17.17868,16.97318,16.74892,17.48361,17.02035,16.45554,15.86666,15.27834,14.77149,14.42906,13.81583,13.65661,13.11232,13.04103,16.47871,15.91609,14.54131,13.40052,12.58397,11.56274,11.03840,11.73292
2006,Adamstown 33_11kV,04MAY2005,MW,11.79101,11.70695,11.85162,13.42429,13.06180,12.28906,11.71831,12.09736,11.34127,10.49430,9.86631,9.18428,8.88703,8.60345,8.25641,8.02023,7.98029,8.05810,7.96175,8.16918,8.36796,8.58374,8.95312,9.39459,10.20342,10.81084,11.47247,11.39865,12.68355,13.76964,14.50088,14.86349,14.72239,14.39584,14.07537,14.09017,13.99343,13.76992,13.57170,13.55105,13.48466,13.51141,13.45736,13.37988,13.22515,13.13706,13.41006,13.53278,13.50246,13.57396,13.32955,13.29989,13.30072,13.35559,13.15005,13.38615,13.54662,13.36378,13.13539,13.38739,13.32060,13.44116,13.50862,13.69938,13.89707,14.24138,14.55589,14.63493,15.43783,16.97844,18.10300,17.90358,17.88516,17.94512,17.65937,17.43295,17.43028,17.84800,16.94869,16.41149,15.87001,15.19279,14.76117,14.57848,14.03341,13.62652,13.24527,13.31613,16.80971,16.07446,14.59189,13.75800,12.74177,11.68985,11.13058,11.65774
2006,Adamstown 33_11kV,05MAY2005,MW,11.92191,11.86145,11.95235,13.38790,13.06455,12.21553,11.80272,12.28387,11.43753,10.59482,9.93615,9.39731,8.96834,8.58322,8.28648,8.18853,8.10069,8.08058,8.10103,8.19094,8.54596,8.82283,9.06190,9.35464,10.13348,10.90928,11.79806,11.74818,12.72828,13.75775,14.35333,14.32067,13.94917,13.92595,14.00365,13.65213,13.62880,13.49603,13.21796,13.31321,13.27835,13.03661,12.89377,12.95270,12.87664,12.86325,12.87340,12.80056,12.90673,12.86198,13.47145,13.43461,13.40935,13.37779,13.50667,13.51971,13.43613,13.33762,13.41497,13.50439,13.57154,13.37708,13.52734,13.63912,13.75242,13.95036,14.26614,14.48793,15.05016,16.37002,17.52632,17.34082,17.44895,17.42627,17.25405,17.05559,17.05343,17.66197,17.00820,16.35426,15.83222,15.54052,15.06828,14.44375,13.81252,13.41448,13.40803,13.47554,16.79214,16.09622,14.76832,13.90287,12.80385,11.77657,11.14908,11.72295
2006,Adamstown 33_11kV,06MAY2005,MW,11.73796,11.62437,11.86259,13.61770,13.12765,12.13832,11.59900,12.02996,11.13595,10.41332,9.79792,9.36233,8.79139,8.44154,8.31564,8.10747,8.04036,7.98305,8.02542,8.08231,8.15827,8.44364,8.73669,9.38474,10.22112,10.80862,11.52818,11.41197,12.63176,14.00254,14.63962,14.89925,14.99081,14.75581,14.46840,14.31094,14.13886,14.02010,13.99114,13.84257,13.80970,13.46276,13.37718,13.55449,13.64190,13.67264,13.59761,13.60061,13.60851,13.56742,13.53697,13.52164,13.63447,13.69029,13.62809,13.65516,13.42824,13.25889,13.20027,13.14410,13.28022,13.37638,13.42151,13.69892,13.85740,14.14762,14.56156,14.88213,16.05005,16.84850,17.51365,17.08801,17.26182,17.25788,17.07866,16.68387,16.45873,16.94010,16.30653,15.97642,15.48218,15.03189,14.83721,14.13653,13.44518,13.27898,13.16391,13.27029,16.78920,16.23425,14.98406,14.21651,13.34543,12.22215,11.78110,12.66662
2006,Adamstown 33_11kV,07MAY2005,MW,12.78589,12.64530,12.65383,14.03965,13.66017,12.67837,11.70641,10.87257,11.77069,11.21903,10.51317,10.00215,9.54544,9.08987,8.69314,8.47116,8.32074,8.31631,8.22257,8.19455,8.31674,8.43887,8.56334,8.61145,8.88030,9.23270,9.33439,9.93757,10.53356,11.60422,12.69548,13.42894,14.21259,14.87059,15.32979,15.64196,15.98231,16.12666,16.04152,16.22457,15.93818,15.79178,16.03943,16.10049,15.86927,15.76563,15.67710,15.77384,15.73202,15.75955,15.62063,15.53741,15.27406,15.09309,14.75410,14.39935,14.49876,14.41837,14.35132,14.39170,14.85232,15.08476,15.19178,15.35560,15.46396,16.16053,16.65483,16.54682,17.69138,18.20746,18.34599,17.92605,17.96581,17.72935,17.61526,17.28099,16.69911,17.10594,16.30305,15.82892,15.49771,15.05481,14.98511,14.55630,14.62524,14.36162,17.14695,15.95204,14.20686,13.31500,13.71528,12.92263,12.70238,12.23068,11.25077,11.40152
2006,Adamstown 33_11kV,08MAY2005,MW,11.43350,10.71075,10.76593,13.01206,11.12729,9.92408,9.35257,8.91975,9.42625,8.73506,8.35689,8.17237,8.07229,7.98608,7.92756,7.90187,7.85886,7.77661,7.79184,7.90223,7.93585,8.05854,8.23674,8.45977,8.74806,8.91912,8.98488,9.54147,10.16945,11.00479,11.51519,12.17213,12.97943,13.45711,13.83903,14.32766,14.56870,14.82078,14.78520,14.79003,14.77111,14.62434,14.53421,14.65242,14.58393,14.60254,14.40110,14.14478,13.73687,13.58182,13.22624,12.90408,12.73370,12.52434,12.41157,12.17991,12.04082,11.97650,11.86105,11.91571,11.96723,11.96688,12.02082,12.19486,12.54683,12.81110,13.09780,13.03462,13.99618,15.47404,16.37325,16.24284,16.58622,16.57813,16.53844,16.24539,16.15485,16.83635,16.02556,15.48302,15.00786,14.57263,14.45363,14.01969,13.98965,13.56261,16.27084,15.35917,13.47533,12.07366,12.55944,11.65741,11.27750,10.75347,9.78176,10.04388
2006,Adamstown 33_11kV,09MAY2005,MW,10.17915,9.66407,9.93213,12.23408,10.47088,9.18662,8.90680,9.05173,8.48799,8.14445,7.82258,7.71412,7.67051,7.63042,7.64814,7.55425,7.66157,7.73083,7.84259,7.92162,8.26889,8.51729,8.88556,9.30931,9.98950,10.82915,11.55915,11.82605,13.20905,14.50320,15.32998,15.94589,16.01577,15.73792,15.37902,14.87108,14.67289,14.47075,14.50470,13.99635,13.67660,13.50277,13.54716,13.58343,13.62355,13.58522,13.40199,13.38439,13.50875,13.34937,13.16514,13.21485,13.16062,13.08873,12.99441,13.20662,13.31971,13.08751,13.04595,12.99533,13.02760,13.14563,13.27847,13.39837,13.63520,13.89427,14.30290,14.83323,15.93674,17.46045,18.51541,18.22968,18.55162,18.50440,18.37403,18.05882,17.70728,18.57276,17.69154,17.03789,16.30639,15.72404,15.63094,15.25297,14.69435,14.00444,13.69087,13.75841,17.22112,16.63115,15.04337,13.90527,12.98896,11.96593,11.54598,11.89952
2006,Adamstown 33_11kV,10MAY2005,MW,12.21139,12.22278,12.15245,13.63048,13.20818,12.45254,11.97905,12.48333,11.87825,10.91933,10.08080,9.58198,9.11495,8.80955,8.55247,8.38979,8.15863,7.95378,7.96857,8.07355,8.37002,8.64831,9.10955,9.46811,10.26257,11.26362,12.04641,12.21370,13.42413,14.57016,15.37074,15.65123,16.16633,16.02606,15.49472,15.03989,14.75422,14.41802,14.02755,13.69077,13.47664,13.34129,13.32951,13.17536,13.20778,13.24400,13.28754,13.34227,13.30148,13.24445,13.07617,13.26583,13.02966,13.16730,13.28137,13.17370,13.15360,13.13980,13.31727,13.05153,13.00653,13.19198,13.27102,13.56852,13.93305,14.19015,14.45414,15.23196,16.32960,17.48699,18.14460,17.92405,18.16190,18.10910,17.88114,17.52385,17.45834,18.34910,17.35573,16.84341,16.27817,15.95430,15.32733,14.68955,14.01583,13.67744,13.38421,13.35820,16.69515,16.08581,14.74495,13.79471,12.96405,11.61706,10.96850,11.84297
2006,Adamstown 33_11kV,11MAY2005,MW,12.14834,12.11271,12.17113,13.65758,13.16512,12.32479,11.73428,12.24189,11.59283,10.85185,10.21943,9.68531,9.22075,8.81602,8.59168,8.37386,8.30992,8.11222,8.02393,8.09453,8.35559,8.63082,8.96522,9.44615,10.35480,10.97427,11.76502,11.95402,13.04322,14.34762,15.08393,15.13025,15.11376,15.00979,14.56068,14.18445,14.07635,13.76062,13.73520,13.45114,13.53255,13.36288,13.39302,13.51648,13.35159,13.36543,13.33260,13.58364,13.77308,13.65822,13.36757,13.49577,13.19033,13.07975,13.03959,13.02954,13.11835,13.15125,13.13553,13.08129,13.13471,13.08368,12.91572,13.20720,13.49777,13.94449,14.69700,15.45684,16.73718,17.72054,18.33372,18.03524,18.11957,18.01584,17.79580,17.42323,17.21073,18.11783,16.88261,16.47444,16.00777,15.65553,15.35459,14.89098,14.21691,13.70079,13.51971,13.51233,16.95773,16.55631,14.86696,14.00131,12.99360,11.87277,11.40417,11.94988
2006,Adamstown 33_11kV,12MAY2005,MW,12.00665,12.04408,12.00631,13.62432,13.23792,12.41684,11.76411,12.32705,11.55717,10.80631,9.99104,9.58875,9.07935,8.66716,8.48460,8.40577,8.23133,8.18442,8.18278,8.22513,8.44155,8.68091,9.12127,9.48664,10.27479,11.32254,12.23918,12.28685,13.34580,14.50291,15.57351,16.33831,16.37895,16.52282,16.18142,15.74570,15.54396,15.23562,14.97346,14.79423,14.62289,14.48856,14.55249,14.53760,14.50920,14.36966,14.19758,14.38029,14.47595,14.80007,14.84933,14.49590,14.44141,14.57319,14.73400,14.70430,14.92465,14.62143,14.86393,15.05831,15.13692,15.25359,15.49995,15.79581,16.05956,16.20761,16.67020,17.52291,18.39245,19.18930,19.58516,19.00041,18.97281,19.03824,18.93983,18.71078,18.42764,18.95857,18.23186,18.02199,17.25440,16.63163,16.11005,15.57014,14.83095,14.65977,14.60928,14.61168,18.06554,17.31486,15.62742,14.80797,13.68363,12.49413,11.92205,12.55384
2006,Adamstown 33_11kV,13MAY2005,MW,12.73206,12.90285,12.89074,14.30255,13.84795,12.81543,12.23367,12.58667,11.86117,10.94837,10.40672,9.94473,9.41582,9.27208,9.08573,8.75545,8.68227,8.47810,8.23310,8.37884,8.50402,8.91248,9.39412,9.70156,10.37219,11.20148,11.82640,11.86902,13.14208,14.50081,15.43894,16.28458,16.23095,15.82110,15.63902,15.37573,15.20677,14.99979,14.95202,14.89850,14.79153,14.65790,14.44451,14.34703,14.39905,14.26659,14.21996,14.08836,13.99670,13.93918,14.09340,14.15414,14.13097,14.06363,14.12845,14.01153,13.98019,13.69787,13.57558,13.50240,13.55314,13.89425,14.08339,14.38277,14.68989,15.11760,15.62341,16.67562,17.36396,18.37150,18.82349,18.06351,18.40933,18.45443,18.19635,17.87718,17.49193,18.15215,17.15144,16.63809,16.20617,15.85299,15.33632,14.83084,14.47553,14.27634,13.95950,13.97681,17.70359,17.30244,15.88625,15.14997,14.32815,13.02423,12.39340,12.91318
2006,Adamstown 33_11kV,14MAY2005,MW,12.98115,13.01966,12.88412,14.37318,14.08746,13.05290,11.97241,11.31065,12.18494,11.68960,11.00815,10.43356,9.66647,9.20798,8.96528,8.70177,8.54440,8.44258,8.34628,8.29133,8.43687,8.45316,8.55296,8.66062,9.20893,9.43182,9.55928,9.98941,10.65745,11.67192,12.70865,13.53465,14.43257,15.04159,15.46587,15.65473,15.92870,16.05430,16.05558,16.15377,15.96875,15.72125,15.42163,15.68344,15.40358,15.06612,14.95681,14.77055,14.65848,14.42949,14.16627,14.03208,13.79517,13.41713,13.43738,13.51809,13.36698,13.16720,13.15261,13.09499,13.20888,13.36539,13.53876,13.62990,13.99547,14.35682,14.86564,14.95314,16.38618,17.50813,18.26035,17.53350,17.51503,17.46623,17.26110,16.97630,16.90398,17.44058,16.71486,16.26238,15.51146,14.96715,15.16416,14.70778,14.76097,14.30656,17.15402,16.24161,14.50413,13.37999,13.87691,13.21450,12.99444,12.48309,11.43672,11.48797
2006,Adamstown 33_11kV,15MAY2005,MW,11.47142,10.93760,10.99124,12.85642,11.44657,10.29501,9.55210,9.07753,9.39110,8.99441,8.68454,8.50637,8.33072,8.15492,8.11000,8.09364,8.01363,8.23613,7.97384,8.07167,8.25940,8.23726,8.52519,8.72547,8.80498,8.99878,9.17089,9.55351,10.18098,10.98784,11.52705,12.11011,12.87106,13.75715,13.96796,14.34009,14.64924,14.91665,14.99121,15.04692,15.03954,15.16577,15.15138,14.84681,14.78746,14.50326,14.40963,14.40166,13.91148,13.82563,13.54277,13.44205,13.39299,13.13236,12.73241,12.76975,12.77792,12.56497,12.50974,12.39104,12.31259,12.30535,12.96276,13.33670,13.54943,13.90843,14.12925,14.31579,16.18475,17.49967,18.40535,18.08028,18.45518,18.25024,18.23856,17.99640,17.65399,18.09868,17.39242,16.72681,16.31788,15.98711,15.62649,15.15840,15.19461,14.54980,17.27562,16.38662,14.51418,13.05245,13.30477,12.39858,12.05965,11.55733,10.58102,10.76605
2006,Adamstown 33_11kV,16MAY2005,MW,10.73732,10.20016,10.32256,12.32435,10.83696,9.71874,9.40436,9.60424,9.07595,8.67822,8.22470,8.05208,7.93560,7.88959,7.83473,7.80251,7.78479,7.95033,8.16051,8.26492,8.41258,8.57984,8.74789,9.52404,10.34355,11.10556,11.79975,12.25036,13.39979,14.74886,16.09528,16.40962,16.22084,16.23439,16.31148,15.93958,15.77021,15.64372,15.79887,15.85145,15.61453,15.80523,15.89619,15.66979,15.63918,15.47826,15.63068,15.43277,15.24201,15.03383,14.56953,14.34954,14.14135,14.07538,14.01111,13.92491,13.99032,13.81164,13.99658,14.01187,14.17067,14.31382,14.67767,15.19439,15.94911,17.04160,17.78547,18.63651,19.74432,20.81874,21.40842,20.95725,21.45045,21.52227,21.28742,20.77486,20.49294,21.25945,20.42336,19.58309,18.93237,18.51852,17.96948,17.32237,16.36866,16.02717,15.72077,15.63118,19.14642,18.04072,16.28250,15.33521,14.38775,13.21924,12.56076,13.05421
2006,Adamstown 33_11kV,17MAY2005,MW,13.31878,13.12933,12.81427,14.25821,14.13670,13.23224,12.43801,13.14323,12.46769,11.53320,10.72772,10.32204,10.06955,9.35031,8.87183,8.71246,8.78195,8.60303,8.48490,8.59015,8.98489,9.18653,9.28790,9.89438,10.80947,11.79838,12.72626,12.93865,14.07372,15.63866,16.43771,17.42863,17.21574,17.00996,16.53189,15.94665,15.41357,15.96971,15.97718,15.56032,15.46277,15.17854,14.60740,14.61167,14.75593,14.80434,14.70435,14.60478,14.98224,15.33438,15.08560,14.88170,14.27844,14.77673,15.07985,14.89930,14.78903,14.63328,14.56498,14.70385,15.11190,15.40340,15.50289,15.97402,16.58046,16.74607,17.02086,18.03142,19.17078,20.51977,21.59872,21.19366,21.68987,21.42563,21.35269,21.26075,20.84607,21.55223,20.51407,20.32304,19.55969,18.88057,18.40421,17.96289,17.11052,16.77093,16.17937,16.09231,19.50449,18.50925,16.94186,15.86546,14.64760,13.23004,12.46079,13.38420
2006,Adamstown 33_11kV,18MAY2005,MW,13.25904,13.00933,13.14180,14.72201,13.91908,13.11724,12.76627,13.64661,12.80960,12.00292,11.29518,10.51011,10.20524,9.52642,9.38230,8.91258,9.12621,9.06558,9.01981,8.95303,9.37842,9.40914,9.62913,10.12145,11.22405,12.01390,13.20545,13.26318,14.60451,16.26136,17.12405,17.47363,17.43515,17.07082,16.73938,16.21461,15.92084,15.68780,15.71032,15.84110,15.61161,15.42131,15.41387,15.09319,14.71999,14.52740,14.62340,14.66539,14.39819,14.41632,14.32456,14.29662,14.40124,14.13647,13.88211,13.88216,13.98955,13.91247,13.79905,13.65063,13.77053,14.05634,14.26705,14.70052,15.05024,15.68660,16.73130,18.39232,20.06975,21.55801,22.48361,22.31946,22.72020,22.80452,22.57976,22.11139,22.05300,22.60150,21.79467,21.39421,20.97465,20.23116,19.54882,18.94524,18.47083,17.99060,17.16428,16.70725,20.21590,19.07535,17.00862,16.04843,15.03820,13.58201,13.08164,13.49154
2006,Adamstown 33_11kV,19MAY2005,MW,13.51559,13.42736,13.36189,14.68264,14.25189,13.51480,13.13952,13.78835,13.14592,12.08127,11.37786,10.82380,10.40699,9.97565,9.62853,9.29524,9.10038,9.01577,8.83364,8.88923,9.17126,9.56708,9.82221,10.27429,11.29031,12.45899,13.58442,13.80648,15.58589,16.83268,17.68969,18.07260,17.99622,17.88261,17.42884,16.83084,16.42556,16.57365,16.10459,15.40993,15.15974,14.97932,14.77625,14.55936,14.39029,14.25419,14.00528,14.00616,13.99025,13.88246,13.73215,13.66458,13.60885,13.43898,13.35060,13.36184,13.44681,13.43019,13.35670,13.36406,13.52315,13.65582,13.94537,14.39500,14.92436,15.56816,16.35420,17.76659,19.10704,20.55042,21.46676,21.41952,21.74666,21.93820,22.00029,21.80217,21.53408,22.26292,21.76820,21.47642,20.94096,20.36197,19.86258,19.38156,18.52934,18.23872,17.65609,17.28349,20.57869,19.90109,18.02272,16.73835,15.54838,14.08504,13.09605,13.49123
2006,Adamstown 33_11kV,20MAY2005,MW,13.51580,13.33507,13.31614,14.78567,14.30432,13.58563,13.22985,13.80470,13.08851,11.99185,11.47096,11.00308,10.58163,9.86737,9.46188,9.40849,9.09233,8.97299,8.98540,9.07417,9.31215,9.48496,9.75986,10.30576,11.21938,12.29296,13.31665,13.41646,14.65190,16.00086,17.12636,17.52483,17.34043,17.16014,16.95530,16.51838,16.07842,15.99619,15.52679,15.48999,14.95202,14.75942,14.43258,14.11059,14.08383,14.04303,13.97047,14.06227,13.93290,13.88231,13.97004,13.81512,13.77571,13.53638,13.53147,13.48965,13.44482,13.47319,13.44010,13.41615,13.31230,13.34160,13.53527,13.74159,14.01128,14.74492,15.62501,16.95832,18.52362,19.78444,20.33050,19.71582,19.78115,19.99274,19.97152,19.76390,19.60638,20.13517,19.35602,18.88065,18.15203,17.78315,17.22348,16.85053,16.42012,16.32276,15.98628,16.02403,19.55668,18.86976,17.16913,16.23475,15.34313,14.25259,13.54558,14.05059
