year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Botany 33_11kV,01MAY2005,MW,17.34118,17.01794,16.84681,16.71370,16.50455,16.16229,15.93411,15.55382,15.34466,14.88832,14.73620,14.62211,14.33690,14.35591,14.47000,14.27985,14.39394,13.99464,14.31788,14.08971,14.52704,14.62211,14.64113,14.43197,15.23058,14.45098,14.71719,14.64113,15.36368,15.42072,16.37144,16.42849,16.54257,16.99892,17.26512,17.60738,18.17782,18.12077,18.08275,17.93063,18.59614,18.23486,18.23486,18.46303,18.80529,18.32993,18.55811,17.98767,18.32993,18.50106,18.29190,18.02570,18.12077,18.04472,17.64541,18.02570,17.79753,17.87359,17.45527,17.58837,17.68344,17.70246,17.51231,17.66443,17.09399,17.41724,18.04472,18.15880,19.22361,20.13631,20.45955,20.74477,20.72575,21.12506,20.89688,20.45955,20.26941,19.98419,19.83208,20.04123,19.12854,19.45179,19.09051,18.86234,18.90037,18.29190,18.06373,18.15880,17.85457,17.58837,17.03695,16.84681,16.80878,16.88483,16.21933,16.50455
2006,Botany 33_11kV,02MAY2005,MW,16.58060,16.65666,16.06721,16.12426,16.06721,16.04820,15.74397,15.51579,15.11649,15.05945,14.90733,15.02142,14.94536,14.81226,14.75522,14.67916,14.98339,14.88832,15.24959,15.70594,15.74397,16.46652,17.13202,18.59614,19.90813,20.85886,21.48633,22.74129,24.54766,25.25119,26.16389,26.46812,26.25896,26.16389,26.31600,26.60122,28.17942,28.55971,27.95125,27.97026,29.01606,29.11113,28.71183,29.18719,28.65478,28.73084,29.14916,28.54070,28.67380,28.25548,28.44562,28.44562,28.94000,29.52945,29.41536,29.13014,29.01606,29.14916,29.20620,28.95901,28.84493,28.31252,28.16041,27.24771,27.97026,27.58997,27.30476,27.11461,27.09560,27.93223,28.67380,27.85617,26.98151,26.92447,26.10685,25.00401,24.54766,24.20540,23.88215,23.74905,22.77932,22.85537,22.57016,21.82859,21.73352,21.58141,21.20112,20.61167,20.49758,20.11729,19.77503,19.41376,19.24263,19.41376,18.91938,19.03347
2006,Botany 33_11kV,03MAY2005,MW,19.01445,18.71022,17.98767,18.15880,18.44402,17.94964,17.34118,17.30315,16.96089,16.82779,16.44750,16.21933,16.44750,16.16229,16.16229,16.10524,16.44750,16.04820,16.27637,16.44750,16.71370,16.92286,17.66443,18.34895,20.15532,20.51660,21.58141,23.34975,24.83288,26.37305,26.82939,28.16041,27.70406,27.45687,27.39983,27.91322,28.14139,28.08435,27.95125,27.79913,28.48365,29.39635,29.39635,28.74985,28.99704,29.28226,28.88296,28.82591,28.67380,28.82591,29.58649,29.33930,29.16817,28.90197,29.28226,29.35832,29.13014,29.01606,29.05409,28.44562,28.99704,28.84493,28.76887,28.06533,28.21745,28.36957,28.04632,28.21745,28.76887,29.41536,29.13014,28.19843,27.62800,27.17165,26.82939,25.82163,25.17514,24.98499,24.71879,24.31949,24.03427,23.21665,23.00749,22.49410,21.86662,21.88564,21.44830,21.06801,20.93491,20.26941,20.11729,19.43277,19.35671,19.50883,18.93840,18.78628
2006,Botany 33_11kV,04MAY2005,MW,18.80529,18.69121,18.27289,18.19683,18.40599,18.10176,17.91162,17.75950,17.11301,17.03695,16.67568,16.52356,17.11301,16.58060,16.33342,16.40947,16.06721,15.82003,16.44750,16.33342,16.75173,17.15104,17.51231,19.14755,20.23138,20.97294,21.99972,23.63497,25.23218,26.48713,26.69629,27.57096,28.00829,27.89420,28.06533,28.16041,28.40759,28.44562,28.74985,28.84493,28.78788,29.64353,29.28226,29.39635,29.79565,30.09988,30.08087,29.73861,29.56748,29.35832,29.58649,29.77663,29.47240,29.66255,29.96678,29.64353,29.56748,29.56748,29.51043,29.33930,28.88296,28.76887,29.05409,29.16817,28.44562,28.50267,28.42661,28.25548,28.27449,29.70058,29.28226,27.98928,27.51391,27.05757,26.79137,25.82163,25.46035,25.06105,24.31949,23.90117,23.76807,23.78708,23.25468,22.85537,22.09480,21.42929,20.72575,20.89688,20.78280,20.34547,19.73700,19.20460,19.18558,19.07150,18.61515,18.50106
2006,Botany 33_11kV,05MAY2005,MW,18.63416,18.34895,17.70246,17.87359,18.04472,17.77851,17.03695,16.54257,16.61863,16.31440,16.06721,15.83904,15.53481,15.47777,15.76298,15.85805,15.66791,15.64890,15.64890,15.93411,16.27637,16.35243,16.90385,17.94964,19.41376,20.26941,21.60042,22.32297,24.66175,25.19415,25.66951,26.82939,27.68504,27.45687,27.24771,26.90545,27.64702,27.66603,27.85617,27.97026,28.08435,28.48365,28.06533,28.52168,28.54070,28.48365,29.07310,28.59774,28.27449,28.88296,29.09211,28.78788,29.01606,28.59774,28.69281,28.76887,28.54070,28.80690,28.99704,28.33154,28.54070,27.93223,27.89420,28.12238,27.58997,27.36180,27.24771,27.26673,27.19067,27.49490,28.06533,27.05757,26.35403,25.57444,25.11809,24.31949,23.88215,23.76807,23.00749,22.79833,22.32297,21.94268,21.58141,21.37225,21.04900,20.55462,20.26941,20.38349,20.07926,19.83208,19.81306,19.01445,19.20460,18.84332,18.55811,18.52008
2006,Botany 33_11kV,06MAY2005,MW,18.55811,17.98767,17.87359,17.64541,17.32217,17.15104,17.13202,16.50455,16.58060,15.80101,15.62988,15.62988,15.45875,15.95313,15.87707,15.55382,15.76298,15.72495,15.38269,15.78200,15.87707,16.50455,16.99892,17.85457,19.52784,19.66095,21.06801,23.00749,24.14836,25.13711,26.52516,26.54418,26.79137,26.71531,26.79137,27.19067,27.53293,27.05757,27.32377,27.57096,27.60899,28.00829,28.19843,28.27449,28.74985,28.73084,27.98928,28.67380,28.59774,28.35055,28.55971,27.98928,28.59774,28.44562,28.38858,28.44562,28.76887,28.21745,28.31252,27.58997,27.24771,27.38081,27.28574,27.36180,26.90545,26.94348,26.63925,26.82939,27.28574,27.72307,27.17165,26.06882,25.84064,25.49838,24.88992,24.54766,23.57792,23.19763,23.27369,22.03775,21.77155,21.79056,21.46732,20.89688,20.61167,20.23138,19.77503,19.64193,19.66095,19.67996,18.67219,18.76727,18.67219,18.40599,18.02570,18.27289
2006,Botany 33_11kV,07MAY2005,MW,18.12077,17.87359,17.68344,17.39823,17.41724,16.75173,16.65666,16.37144,16.23834,15.70594,15.97214,15.62988,15.74397,15.30664,15.19255,14.90733,15.09748,15.26861,14.98339,15.09748,15.30664,15.40171,15.11649,15.42072,15.82003,16.10524,15.91510,16.39046,17.26512,17.60738,18.27289,18.97642,19.81306,19.33770,19.47080,19.94616,20.23138,20.36448,20.59265,20.00321,20.42152,20.51660,20.91590,20.49758,20.40251,20.30744,20.00321,19.98419,19.92715,19.87010,19.94616,19.79405,19.69897,19.69897,19.73700,19.54686,19.35671,18.78628,18.86234,18.72924,18.50106,18.95741,18.31092,18.72924,18.80529,18.95741,19.20460,19.43277,19.98419,20.97294,21.54338,21.18210,21.01097,20.44054,19.96518,19.90813,19.67996,19.48982,19.29967,19.35671,18.82431,18.46303,18.50106,18.10176,17.85457,17.98767,17.41724,17.53133,17.87359,17.30315,17.13202,16.92286,16.78976,16.75173,16.58060,16.58060
2006,Botany 33_11kV,08MAY2005,MW,16.80878,16.33342,15.95313,16.20031,16.14327,15.57284,15.19255,14.94536,14.60310,14.07070,14.05168,14.12774,13.44322,13.67139,13.61435,13.61435,13.70942,13.48125,13.51928,13.84252,13.88055,13.95661,13.78548,14.08971,14.56507,14.33690,14.33690,14.52704,15.02142,15.42072,15.99116,16.18130,16.44750,16.80878,16.82779,17.43625,17.68344,17.75950,17.74049,17.94964,18.27289,17.85457,18.42501,18.29190,18.32993,18.27289,18.27289,17.75950,17.87359,17.72147,17.68344,17.62640,17.47428,17.26512,17.26512,17.17005,16.84681,17.17005,16.48553,16.40947,16.67568,17.07498,17.03695,16.37144,16.86582,17.01794,17.43625,17.79753,18.19683,19.24263,20.09828,20.09828,20.34547,20.06025,19.94616,20.15532,19.48982,19.31869,19.18558,19.01445,18.71022,18.63416,18.42501,18.44402,18.15880,17.96866,17.68344,17.72147,17.87359,17.56936,16.73272,16.92286,16.56159,16.86582,16.44750,16.59962
2006,Botany 33_11kV,09MAY2005,MW,16.67568,16.40947,16.31440,16.10524,16.12426,16.12426,15.59185,15.82003,14.73620,14.81226,14.43197,14.48901,14.24183,14.39394,14.01365,13.88055,14.16577,14.29887,14.33690,14.66014,14.88832,15.49678,16.25736,17.13202,18.67219,19.01445,19.85109,21.71451,23.69201,24.47160,24.85189,25.91670,25.97374,25.84064,26.52516,26.46812,26.62024,26.56319,26.12586,26.75334,26.75334,27.22870,26.94348,27.45687,27.00052,27.47589,27.47589,27.17165,27.07658,26.96250,27.47589,27.55194,27.55194,27.58997,27.57096,27.66603,28.40759,28.19843,27.74209,27.57096,27.47589,27.36180,26.73432,26.73432,26.39206,26.54418,26.43009,26.08783,26.48713,27.49490,27.13363,26.33502,25.63148,25.46035,24.83288,24.09131,23.53989,23.34975,22.72227,22.38001,21.44830,21.23914,21.01097,20.55462,20.26941,19.90813,19.50883,19.26164,18.91938,18.21585,17.87359,17.49330,17.37921,17.24611,16.88483,17.01794
2006,Botany 33_11kV,10MAY2005,MW,17.26512,16.63765,16.39046,16.20031,16.58060,16.10524,15.80101,15.21156,15.51579,15.09748,14.79325,14.92635,14.35591,14.31788,14.03267,14.45098,14.37493,14.67916,14.75522,15.28762,15.32565,15.70594,16.18130,17.81654,19.14755,19.16657,20.72575,22.87439,23.71102,24.94696,25.53641,26.20192,26.27798,26.04980,26.27798,26.50615,26.04980,26.12586,26.71531,26.60122,26.79137,27.17165,27.62800,27.60899,27.76110,27.32377,27.76110,27.89420,27.78012,27.72307,28.27449,28.46464,28.10336,28.84493,29.24423,28.38858,28.55971,28.35055,28.33154,28.02730,27.93223,28.10336,28.25548,27.70406,27.85617,27.05757,27.13363,27.34278,28.16041,28.36957,29.13014,27.64702,26.88644,26.77235,25.87867,25.25119,24.43357,24.03427,23.86314,23.14059,22.32297,22.62720,22.09480,21.46732,21.39126,20.85886,20.72575,20.23138,20.66871,19.54686,19.22361,18.84332,18.67219,18.61515,18.15880,18.19683
2006,Botany 33_11kV,11MAY2005,MW,18.10176,17.81654,17.36020,17.47428,17.18907,16.75173,16.63765,16.33342,15.91510,15.83904,15.85805,15.43974,15.55382,15.70594,15.24959,15.36368,15.43974,15.36368,15.70594,15.74397,16.18130,16.63765,16.99892,18.25388,19.81306,20.44054,21.46732,23.59694,25.06105,25.55543,26.18290,26.35403,26.60122,27.34278,,27.01954,27.58997,27.09560,27.47589,28.04632,27.53293,28.42661,27.87519,28.00829,28.06533,28.57872,28.25548,28.19843,28.00829,28.02730,28.38858,28.36957,28.42661,28.40759,28.71183,28.42661,28.76887,28.90197,28.25548,28.12238,28.36957,28.06533,28.10336,27.51391,28.31252,27.81815,27.95125,27.74209,27.57096,28.78788,28.86394,28.08435,27.38081,26.94348,26.67728,25.53641,25.51740,24.20540,24.75682,24.12934,23.82511,23.27369,22.87439,22.81734,22.05677,21.71451,21.18210,21.23914,21.12506,20.55462,20.06025,19.90813,19.69897,19.64193,19.39474,19.22361
