year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Branxton 66_11kV,01MAY2005,MW,2.60656,2.65760,2.56183,2.42872,2.35551,2.37554,2.25497,2.23999,2.23865,2.38925,2.34457,2.25378,2.17396,2.21725,2.17806,2.11981,2.11202,2.13595,2.21838,2.20522,2.29796,2.37947,2.35991,2.40584,2.56874,2.67628,2.77185,2.87497,3.00259,3.16500,3.31313,3.45434,3.63419,3.82366,3.92433,3.86212,3.85464,3.94552,3.86634,3.77261,3.65470,3.66006,3.62762,3.61136,3.51840,3.49025,3.49209,3.43964,3.41743,3.25571,3.25045,3.15661,3.18516,3.03402,3.06143,2.98230,2.89835,2.94837,3.02721,2.96668,2.98501,3.14846,3.15800,3.15183,3.29440,3.48808,3.82763,4.04227,4.17829,4.60710,5.21694,5.53152,5.74795,5.75742,5.68978,5.52320,5.16571,4.95908,4.83171,4.71422,4.50733,4.27090,4.12327,3.97799,3.86684,3.66858,3.51512,3.36186,3.19033,3.05253,2.86935,2.68076,2.60361,2.53232,2.40658,2.31205
2006,Branxton 66_11kV,02MAY2005,MW,2.31369,2.34408,2.24970,2.21594,2.13242,2.04278,1.99125,1.97780,1.99491,2.22225,2.09685,2.05552,2.08222,2.09209,2.00491,1.97841,2.04134,2.01909,2.03824,2.06485,2.16866,2.30308,2.50354,2.62983,2.86620,3.03868,3.32529,3.67604,3.93194,3.68652,3.69790,3.61756,3.61573,3.60422,3.47386,3.31115,3.29003,3.20205,3.22193,3.19817,3.20538,3.20014,3.24770,3.21749,3.18168,3.12915,3.10540,3.04064,3.01347,3.02552,2.99527,3.13873,3.04091,2.99668,2.94754,2.99835,3.09413,3.07634,3.11559,3.01543,3.05833,3.01066,3.21262,3.29348,3.26869,3.45054,3.61703,3.88467,4.14100,4.56403,4.97117,5.20077,5.15690,5.03489,4.87553,4.66810,4.66295,4.44407,4.32001,4.19216,4.03605,3.90324,3.93577,3.80383,3.62250,3.32001,3.43827,3.33847,3.20427,3.19009,3.21033,3.96174,4.34422,4.09744,4.45909,5.55516
2006,Branxton 66_11kV,03MAY2005,MW,5.34503,5.07742,4.59947,4.16209,3.78810,3.49179,3.17667,2.88400,2.74776,2.67623,2.56903,2.48658,2.43596,2.36529,2.25609,2.16972,2.21015,2.23015,2.23345,2.29826,2.45641,2.51613,2.66237,2.89248,3.17812,3.40698,3.63634,3.94586,4.12588,3.68130,3.67856,3.62474,3.59955,3.48262,3.28714,3.18721,3.16248,3.12568,3.10127,3.03427,2.90709,3.01629,2.99293,2.90615,2.84976,2.92096,2.96332,2.92853,2.95142,2.96332,3.02675,3.02675,2.92406,2.93443,2.87853,2.83911,2.84686,2.83635,2.88943,2.88186,2.86210,2.91488,2.96471,3.00399,3.07104,3.10017,3.23930,3.46183,3.79187,4.29695,4.73993,4.84979,4.97177,4.98031,4.85087,4.74510,4.58374,4.45982,4.38398,4.25925,4.06784,3.99009,3.89235,3.77266,3.63198,3.49542,3.60269,3.44302,3.36034,3.40030,3.36664,4.05471,4.50022,4.22255,4.52967,5.54367
2006,Branxton 66_11kV,04MAY2005,MW,5.34882,5.08286,4.73451,4.33187,3.93078,3.57745,3.26633,2.97494,2.74835,2.69723,2.62953,2.44144,2.38034,2.31635,2.27735,2.25604,2.31013,2.29015,2.30818,2.36470,2.47022,2.59656,2.85168,3.05057,3.28940,3.48564,3.72080,3.99629,4.10946,3.68219,3.77468,3.70647,3.58999,3.49208,3.34248,3.19531,3.14283,3.06695,2.95594,2.85208,2.82744,2.81552,2.86721,2.85160,2.81199,2.78166,2.86031,2.82248,2.82855,2.84219,2.87705,2.86496,2.79538,2.79382,2.79676,2.87565,2.77705,2.80276,2.85573,2.78764,2.88754,2.97097,3.02735,3.06500,3.14203,3.23871,3.36056,3.50609,3.81009,4.10525,4.66747,4.91114,4.91128,4.99872,4.91559,4.78006,4.60531,4.55530,4.47324,4.30367,4.13344,3.98548,3.93226,3.79118,3.61402,3.47313,3.64541,3.55009,3.35913,3.38265,3.42384,4.13816,4.57987,4.34242,4.53821,5.61838
2006,Branxton 66_11kV,05MAY2005,MW,5.37216,5.00995,4.62675,4.20183,3.89998,3.58357,3.31544,3.03096,2.89526,2.82415,2.70173,2.53019,2.44877,2.32063,2.20750,2.25646,2.31769,2.39640,2.34984,2.49720,2.60257,2.67337,2.73917,2.96311,3.21020,3.42521,3.55790,3.91046,4.09860,3.76586,3.76390,3.76700,3.64825,3.63855,3.42549,3.29468,3.18672,3.17529,3.10377,3.09311,3.16834,3.11434,3.08101,3.05718,3.00499,3.01062,2.97378,2.98610,2.93294,2.94205,2.92692,2.90272,2.84817,2.78312,2.89208,2.83606,2.83761,2.82849,2.82094,2.74528,2.77402,2.81804,2.86948,2.96574,3.04680,3.01133,3.13564,3.27706,3.48445,3.98620,4.35610,4.61488,4.79940,4.81148,4.77302,4.59407,4.39571,4.33874,4.23091,4.20836,4.06646,3.93542,3.85185,3.70706,3.58750,3.41480,3.52982,3.38479,3.27830,3.33376,3.33042,4.00686,4.37702,4.20151,4.51409,5.54144
2006,Branxton 66_11kV,06MAY2005,MW,5.38902,5.03812,4.62008,4.24337,3.81487,3.42942,3.12503,2.83932,2.68535,2.64070,2.50294,2.44533,2.33238,2.24712,2.23715,2.24813,2.22005,2.28219,2.26497,2.34749,2.45861,2.53072,2.73172,2.89252,3.12009,3.32829,3.60334,3.85899,4.02534,3.75140,3.80420,3.70270,3.70244,3.64314,3.50855,3.35440,3.21619,3.16462,3.20517,3.14105,3.05804,3.03290,3.02693,2.96288,2.93031,2.90761,2.87271,2.85190,2.87333,2.93569,2.90972,2.85160,2.89859,2.85274,2.89058,2.91324,2.96015,2.90873,2.92393,2.89361,2.87549,2.94070,2.99243,3.02953,3.04527,3.14562,3.19755,3.36656,3.63225,3.99159,4.46725,4.62616,4.68973,4.75277,4.66197,4.42578,4.29859,4.19237,4.07553,4.03992,3.99689,3.89437,3.77995,3.65665,3.58247,3.43359,3.64388,3.51924,3.46967,3.49491,3.50645,4.22636,4.63432,4.43800,4.75559,5.74874
2006,Branxton 66_11kV,07MAY2005,MW,5.48992,5.19742,4.79969,4.33056,3.93617,3.52945,3.18788,2.99906,2.75126,2.66192,2.51746,2.41234,2.38789,2.27390,2.21756,2.23161,2.22222,2.27299,2.24780,2.29008,2.38317,2.45587,2.45429,2.44090,2.54053,2.68915,2.79265,3.03269,3.32343,3.54003,3.73476,3.95416,4.05258,4.15577,4.19720,4.26197,4.21860,4.29925,4.26739,4.17367,4.12016,3.99691,3.88566,3.76155,3.76804,3.76054,3.67239,3.73545,3.61982,3.54863,3.58061,3.58167,3.51454,3.41728,3.34916,3.41589,3.47190,3.52764,3.55223,3.58321,3.63447,3.77003,3.80646,3.80334,3.88987,4.05047,4.23465,4.40509,4.74852,5.11775,5.57007,5.66858,5.63859,5.57081,5.44668,5.25458,5.17601,5.00785,4.83837,4.74562,4.46998,4.30937,4.26013,4.15857,3.92804,3.65492,3.60334,3.50593,3.31731,3.17687,3.05646,2.90511,2.74925,2.57992,2.54399,2.47532
2006,Branxton 66_11kV,08MAY2005,MW,2.47110,2.38213,2.31205,2.21108,2.14929,2.11865,2.03650,1.97053,2.03133,2.05790,2.02962,1.99079,1.97730,1.92459,1.92076,1.94113,1.90901,1.94870,1.98916,2.01535,2.06073,2.04753,2.10943,2.14540,2.29771,2.40264,2.48404,2.55641,2.73098,2.89958,3.10020,3.44157,3.60730,3.75734,3.88644,3.96127,3.92548,3.95712,4.01751,3.94370,3.90786,3.88625,3.82688,3.81084,3.65010,3.42686,3.26845,3.29965,3.24081,3.28409,3.14008,3.07104,2.98869,2.91766,2.94843,2.89645,2.81314,2.83580,2.87146,2.89672,2.91002,3.02272,3.08541,3.12814,3.20583,3.27430,3.39514,3.59893,4.09535,4.43361,4.80054,5.14073,5.37543,5.35622,5.34423,5.23842,5.14836,5.04540,4.80824,4.66972,4.51532,4.38184,4.25076,4.19330,3.99717,3.78394,3.63103,3.57745,3.42982,3.12678,2.91665,2.78316,2.61644,2.52943,2.41052,2.29301
2006,Branxton 66_11kV,09MAY2005,MW,2.32760,2.24786,2.16733,2.02806,2.03926,2.01975,1.98534,1.91467,1.92222,2.09522,2.13296,2.06762,1.98495,2.03153,1.92314,1.97199,1.96948,2.00007,2.04135,2.16425,2.29929,2.43395,2.60815,2.69688,2.93336,3.12183,3.40087,3.71105,3.89559,3.68720,3.71252,3.76231,3.66858,3.63648,3.53734,3.38731,3.19978,3.10050,3.11559,3.13506,3.14889,3.23622,3.17339,3.01389,2.98057,2.93345,2.91843,2.83059,2.77314,2.77402,2.66354,2.63543,2.57352,2.54297,2.53011,2.54012,2.61577,2.66584,2.65091,2.61739,2.67442,2.76401,2.87804,2.96452,3.00713,3.13794,3.44046,3.67194,3.92146,4.41860,4.95147,5.07671,5.24667,5.27460,5.17087,5.05862,4.90394,4.69879,4.61229,4.50009,4.25731,4.06998,4.02414,3.91847,3.81083,3.67075,3.79194,3.60527,3.49123,3.43632,3.45116,4.16287,4.57325,4.26047,4.61850,5.65502
2006,Branxton 66_11kV,10MAY2005,MW,5.40953,5.18502,4.80578,4.40672,4.01929,3.65298,3.37611,3.08379,2.79729,2.67770,2.60030,2.40698,2.36405,2.23842,2.23735,2.17595,2.16483,2.19861,2.19187,2.30747,2.39434,2.52731,2.79665,2.94912,3.22768,3.37898,3.62775,4.06770,4.11824,3.78077,3.72931,3.66580,3.62733,3.66786,3.42604,3.24327,3.19792,3.08982,3.05845,2.95157,2.83683,2.83801,2.79549,2.78831,2.75597,2.65893,2.72251,2.66011,2.66703,2.66367,2.63009,2.70189,2.68357,2.66857,2.61096,2.70785,2.69842,2.75592,2.72411,2.72411,2.78011,2.85453,3.73062,4.82941,5.21585,5.63973,5.13596,4.92893,4.90052,5.20748,5.63406,5.97470,5.99821,5.92543,5.04034,4.54059,4.44785,4.30294,4.11903,4.02505,3.95833,3.90219,3.75011,3.63996,3.54559,3.46457,3.58084,3.39097,3.30689,3.26291,3.23191,3.98290,4.16211,3.63069,3.87993,4.73245
2006,Branxton 66_11kV,11MAY2005,MW,4.14086,3.73947,3.24365,2.96750,2.73089,2.63561,2.48231,2.39591,2.32580,2.32716,2.29285,2.29040,2.22481,2.16671,2.12001,2.15198,2.19194,2.20004,2.27949,2.38123,2.47422,2.65247,2.88442,2.95855,3.16698,3.33061,3.56903,3.91467,4.03894,3.70616,3.72524,3.52809,3.43122,3.44029,3.39034,3.22697,3.04395,3.00867,2.88333,2.86078,2.95321,2.85527,2.82537,2.81407,2.77950,2.76707,2.73666,2.75609,2.85323,2.85208,2.85946,2.90035,2.88931,2.85131,2.92580,2.96481,2.93141,2.93897,2.88752,2.81645,2.89070,3.04380,3.05004,3.07871,3.20307,3.29715,3.49595,3.73021,4.11448,4.53794,4.84820,4.98692,5.05150,4.96102,4.98561,4.76675,4.56746,4.47232,4.39171,4.28092,4.13147,4.05909,4.01389,3.97894,3.73412,3.62838,3.76398,3.58283,3.52936,3.50610,3.49894,4.19103,4.60688,4.37682,4.67018,5.68017
2006,Branxton 66_11kV,12MAY2005,MW,5.37356,5.00114,4.75127,4.41678,4.03053,3.57174,3.26602,3.00733,2.85451,2.78526,2.63171,2.55134,2.49013,2.41105,2.32407,2.30002,2.28764,2.39454,2.39347,2.43943,2.61818,2.73324,2.96856,3.04109,3.22015,3.43373,3.60857,4.00690,4.15428,3.76265,3.87794,3.83950,3.95081,3.91632,3.80426,3.59265,3.48572,3.44939,3.37778,3.35749,3.37214,3.38996,3.30537,3.27822,3.26518,3.29889,3.26692,3.33078,3.31834,3.46097,3.42810,3.40054,3.38146,3.37439,3.37932,3.33833,3.37788,3.42989,3.54724,3.44056,3.52140,3.67515,3.82382,3.88977,4.03965,4.29416,4.49418,4.71546,5.16298,5.51832,5.70076,5.70707,5.62686,5.47815,5.34471,5.12514,5.07498,4.86246,4.71360,4.65992,4.60774,4.41276,4.33414,4.09058,3.81215,3.72701,3.77468,3.66006,3.64285,3.64554,3.50582,4.29923,4.70127,4.45469,4.75127,5.99698
