year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Camperdown 33_5kV,01MAY2005,MW,19.87875,19.54167,18.91938,18.50452,18.28845,17.79580,17.52787,17.23401,16.64629,16.67222,15.98078,15.92028,15.73014,15.88571,15.56592,15.45357,15.59185,15.47949,15.36714,15.47085,15.63507,15.66100,15.37578,15.64371,15.95486,15.64371,15.75607,16.15364,16.33514,16.69815,17.14758,17.45008,18.12423,18.63416,19.22188,20.02568,20.71711,20.97640,21.84069,21.91848,22.30741,22.37655,22.40248,22.65313,22.79142,23.10256,23.11985,23.08528,22.95563,22.98156,22.66177,22.99885,22.59263,22.61856,22.64449,22.48891,22.07405,21.96169,21.89255,22.12591,21.94441,21.80612,21.70241,21.84934,21.94441,22.25555,22.77413,22.94699,23.57792,25.36701,26.04116,26.78445,27.18203,27.47589,27.36353,27.37217,26.74988,26.69802,26.01523,25.53987,25.47073,25.50530,24.90893,24.33850,23.98414,23.44828,23.08528,22.93835,22.06541,21.96169,21.17519,20.87268,20.22446,20.08618,19.37746,19.31696
2006,Camperdown 33_5kV,02MAY2005,MW,19.19596,18.69467,18.36623,17.81309,17.47601,17.24265,16.93151,16.81915,16.26600,16.18821,15.93757,15.81657,15.60914,15.53999,15.63507,15.38442,15.66100,16.11907,15.88571,16.04128,16.53393,16.97472,17.52787,18.32302,19.80960,20.11211,21.27890,22.46298,25.00401,26.29180,27.48453,27.89939,28.59082,28.90197,29.67119,29.72305,30.16384,30.45770,29.93912,29.90455,30.56141,30.66513,30.76020,30.69106,30.69970,30.77749,30.93306,31.02813,31.08863,30.87256,30.69106,31.01085,30.84663,30.79477,30.49227,30.49227,30.57870,30.47498,30.25027,30.50956,29.82676,29.68848,29.81812,29.81812,29.93048,29.99098,29.77491,29.28226,29.61933,30.01691,30.97627,30.62191,30.60463,30.63920,30.43177,30.16384,29.60205,29.61069,28.95383,28.51304,28.26239,27.71789,27.44996,26.52516,26.15352,25.85966,25.47937,24.58050,23.92364,23.12849,22.35063,21.36533,20.76033,19.87010,19.52439,19.58489
2006,Camperdown 33_5kV,03MAY2005,MW,19.44660,19.05767,18.67738,18.26252,18.05509,17.80444,17.08708,16.88829,16.61172,16.34379,16.15364,15.93757,15.73014,15.66964,15.71285,15.71285,15.81657,16.14500,16.29193,16.36972,16.73272,17.03522,17.64887,18.59959,19.75775,20.45782,21.84934,23.26678,25.13365,26.46466,27.32896,28.14139,29.01433,29.10940,29.59340,29.64526,29.85269,29.83541,30.01691,30.16384,30.44905,30.86392,31.09727,30.91577,30.92442,30.98492,31.26149,31.70228,31.46028,31.60721,31.48621,31.21828,31.33063,31.76278,31.80600,32.05664,31.84057,31.56399,31.59856,31.33063,31.06270,30.85527,30.76020,30.63920,30.46634,30.16384,30.07741,30.62191,30.91577,31.53806,32.01343,31.66771,31.42571,31.03677,30.91577,30.37991,30.04284,29.40326,29.60205,28.49575,28.06361,27.53639,27.13881,26.62888,26.07573,25.45344,25.57444,24.83115,24.06193,23.63842,22.19505,22.00491,20.90726,20.45782,19.54167,19.67132
2006,Camperdown 33_5kV,04MAY2005,MW,19.39474,19.23053,18.58231,18.43538,18.18473,17.74394,17.48465,17.07844,16.77593,16.47343,16.04128,15.77335,15.78200,15.77335,15.76471,15.82521,16.18821,16.18821,16.55986,16.47343,16.82779,17.16487,17.85630,18.92802,19.87010,20.60475,21.67648,23.67299,25.17687,26.69802,27.23388,28.55625,28.85876,28.97976,29.40326,29.58476,29.84405,30.19841,30.48363,30.08605,30.15520,30.94170,30.77749,31.06270,31.01949,31.15778,31.33928,31.64178,31.46892,31.54671,31.32199,31.30471,31.67635,31.84921,31.02813,31.73685,31.27878,31.22692,31.19235,30.69106,31.10592,30.60463,31.13185,30.47498,30.50091,30.65649,30.38855,30.08605,30.76020,31.25285,31.43435,30.96763,30.74291,31.09727,30.32805,30.59598,30.16384,30.00827,29.40326,29.19583,27.95125,27.71789,27.42403,27.06967,26.19673,25.92016,25.40158,24.89165,24.29529,23.59521,22.86920,22.15184,21.33076,20.42325,20.15532,19.93925
2006,Camperdown 33_5kV,05MAY2005,MW,19.93925,19.12681,18.83295,18.46995,18.18473,17.73530,17.42415,17.36365,16.87965,16.45615,16.14500,16.27464,15.93757,15.94621,15.73014,16.12771,16.06721,16.24007,16.31786,16.65493,16.92286,17.36365,17.91680,18.61688,19.83553,20.25904,21.70241,23.18899,25.02129,26.44738,27.62282,28.08953,28.72911,28.91926,29.41190,29.47240,29.89591,29.87862,30.52684,30.88984,30.82934,31.14049,31.01949,30.98492,31.44299,31.20963,31.30471,31.15778,31.35656,31.45164,31.20099,31.52942,31.66771,31.69364,31.06270,31.50349,32.00478,31.17506,31.31335,31.48621,31.20099,31.13185,30.78613,30.87256,30.50091,30.47498,30.29348,30.03419,30.10334,30.80342,30.97627,30.76884,30.62191,30.35398,30.05148,29.55883,29.03161,28.94518,28.65997,27.83889,27.65739,27.22524,26.51652,26.57702,25.68680,25.53987,25.35837,24.59779,23.76807,23.53471,22.54941,22.26420,21.33940,20.63068,20.11211,19.84418
2006,Camperdown 33_5kV,06MAY2005,MW,19.47253,19.09224,18.73788,18.46995,18.06373,17.76987,17.38958,17.06979,16.97472,16.49072,16.19686,16.18821,15.96350,15.91164,15.88571,16.04128,15.98943,16.07586,16.30057,16.49936,16.72408,17.20808,17.49330,18.72924,20.03432,20.63068,21.59869,22.72227,24.68422,26.74988,27.88210,28.10682,28.44389,29.57612,29.47240,29.74033,30.06877,30.42313,30.39720,30.57006,30.27620,30.74291,30.94170,31.27013,31.10592,31.52942,31.67635,31.65907,31.65907,31.32199,31.51214,31.39113,31.86650,31.75414,32.00478,31.72821,31.98750,31.67635,31.61585,31.52078,31.70228,31.26149,31.11456,30.60463,30.57006,30.86392,30.71699,30.08605,30.44905,31.07135,31.01085,30.88984,30.74291,30.58734,29.92184,29.51562,28.70318,28.16732,28.06361,27.15610,26.45602,26.30045,25.60901,25.59173,25.02129,25.23737,24.46814,24.46814,23.77671,23.50014,23.10256,22.00491,21.52955,21.55548,20.80354,20.80354
2006,Camperdown 33_5kV,07MAY2005,MW,20.52697,19.87010,19.27374,18.87617,18.71195,18.15016,17.67480,17.63158,17.14758,16.77593,16.75001,16.62036,16.14500,15.94621,16.23143,16.07586,15.86843,16.14500,15.98078,15.88571,16.29193,16.08450,16.43886,16.69815,17.03522,17.18215,17.36365,17.62294,18.68602,19.19596,19.93925,20.64797,21.23569,21.81476,22.65313,23.11120,24.04464,24.53729,24.75336,25.30651,25.09908,25.46208,25.21144,25.59173,25.20279,25.10772,24.76200,24.95215,24.90029,24.56322,24.65829,24.32986,24.13107,24.11378,23.74214,23.96685,24.17429,24.31257,23.72485,23.64707,23.61249,24.13107,23.84585,24.11378,24.14836,24.52865,24.83115,25.32380,25.87694,26.74124,27.13017,26.98324,27.25117,26.95731,26.74988,26.39552,26.02387,25.74730,25.15094,24.58915,24.39900,24.11378,23.64707,23.48285,23.11985,23.19763,22.55806,22.35927,21.91848,21.68512,21.62462,21.02826,20.64797,20.44054,19.95653,19.92196
2006,Camperdown 33_5kV,08MAY2005,MW,20.17261,19.38610,18.75517,18.59095,18.30573,18.14152,17.70937,17.29451,16.77593,16.43886,16.27464,16.18821,16.19686,16.17093,15.79064,15.97214,15.86843,15.98078,15.85978,15.84250,15.87707,16.00671,15.80793,16.29193,16.17093,16.07586,16.06721,16.61172,16.66358,16.80186,17.56244,18.40081,18.79838,19.21324,19.87010,20.57018,21.24433,21.55548,21.80612,22.25555,22.59263,23.10256,23.09392,22.99020,22.87785,23.07663,23.12849,22.82599,22.77413,22.73956,22.80870,22.48891,22.22098,22.36791,22.26420,22.18641,21.92712,22.18641,21.49498,21.64191,21.57276,21.36533,21.96169,21.83205,21.86662,21.92712,22.68770,23.03342,23.79400,25.28922,26.21402,26.74124,26.85359,27.39810,27.30303,27.22524,26.79309,26.31773,25.73001,25.55715,25.08179,24.77065,24.50272,24.35579,24.02736,23.96685,23.49149,23.16306,22.54077,21.97034,21.40855,20.60475,20.33682,19.53303,19.04903,18.90210
2006,Camperdown 33_5kV,09MAY2005,MW,19.08360,18.82431,18.08966,17.77851,17.73530,17.42415,17.13894,16.87101,16.26600,16.29193,15.86843,15.73014,15.52271,15.81657,15.54864,15.43628,15.60914,15.92028,16.14500,16.11907,16.54257,16.78458,17.44144,18.65145,19.57624,20.38004,21.58141,22.70499,24.87436,26.68938,27.64010,28.51304,28.93654,29.04026,29.53290,29.48105,29.68848,30.14655,29.85269,30.35398,30.36263,29.99962,30.48363,30.34534,30.54413,30.95034,30.86392,30.97627,30.88120,31.14913,31.03677,31.35656,31.10592,31.41706,30.88120,31.12320,31.13185,31.43435,30.77749,31.00220,30.60463,30.99356,30.46634,30.63056,30.49227,30.48363,30.63056,30.41448,30.31941,30.91577,31.43435,31.25285,31.07135,30.86392,30.57870,30.73427,30.36263,30.21570,29.67983,28.73775,28.02903,27.72653,27.80432,27.23388,26.24859,26.30045,25.53987,25.14229,24.23479,24.00143,23.17170,22.12591,21.59869,20.68254,20.03432,19.66267
2006,Camperdown 33_5kV,10MAY2005,MW,19.67996,19.17867,18.58231,18.12423,18.15016,17.71801,17.37230,17.10437,16.85372,16.61172,16.43022,16.10179,16.08450,16.15364,15.79928,15.84250,16.08450,16.25736,16.25736,16.65493,17.00929,17.37230,17.73530,18.81567,20.03432,20.82947,21.92712,23.43964,25.53987,26.94867,27.99446,28.69454,29.01433,29.32547,29.48969,29.99962,30.10334,30.18112,30.14655,29.99962,30.14655,30.45770,30.44905,30.63056,30.97627,31.12320,31.36521,30.88984,30.76020,30.99356,31.52078,31.53806,31.52078,31.77142,31.75414,32.07393,31.75414,32.25543,31.96157,31.46028,31.56399,31.65907,31.14913,31.47756,31.07135,30.82934,30.58734,30.80342,31.48621,32.12578,32.49743,32.04800,31.65042,31.32199,31.59856,31.17506,30.13791,29.60205,29.16126,28.66861,28.10682,27.84753,27.54503,26.73259,26.31773,26.00659,25.60901,25.05586,24.36443,23.71621,22.66177,22.29877,20.91590,20.57882,19.88739,19.87010
