year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,City North 33_11kV,01MAY2005,MW,17.00088,16.94390,16.50700,16.41203,16.50700,16.35504,16.07011,16.07011,15.93714,16.14609,15.76618,15.57623,15.51924,15.74719,15.46226,15.72819,15.46226,15.61422,15.31029,15.89915,15.53824,15.76618,15.53824,15.88016,15.80417,15.99413,15.88016,15.95614,16.05111,16.07011,16.20308,16.71595,17.45677,17.20983,17.64673,17.64673,18.17860,18.23559,18.84344,18.44453,18.91942,19.39430,19.98316,20.07814,20.47704,20.64800,20.36307,20.13513,19.62225,19.90718,19.94517,19.64124,19.52727,19.73622,19.43230,19.18536,19.35631,19.28033,19.26134,18.95741,19.58426,19.43230,19.58426,19.18536,19.48928,19.16636,18.90042,19.29933,19.22335,19.33732,18.95741,19.52727,18.78645,18.76746,18.31157,18.21659,17.95065,17.77970,17.45677,17.51376,17.34280,17.34280,17.43778,17.11486,17.07687,17.13385,16.82993,16.60198,16.79193,16.52600,16.71595,16.63997,16.35504,16.45002,16.50700,16.29805
2006,City North 33_11kV,02MAY2005,MW,16.29805,16.31705,16.35504,16.29805,15.93714,15.99413,15.95614,15.78518,15.91815,15.70920,15.53824,15.80417,15.84216,15.97513,16.01312,16.58299,16.48801,16.71595,16.75394,16.69696,17.15285,17.72271,18.63449,19.90718,23.19338,24.61804,25.81475,27.56233,28.74004,30.22168,29.02497,30.98150,31.85529,33.01401,31.70332,33.01401,33.50789,33.37492,33.35592,34.00177,34.47665,34.47665,34.55263,35.06551,34.19172,34.59063,34.83757,34.45766,34.30569,34.47665,34.49565,34.60962,34.79958,34.83757,35.12250,35.48341,35.06551,34.19172,34.34369,34.53364,33.71684,34.05875,33.88780,33.45090,33.83081,34.07775,33.27994,33.81181,33.05200,32.38716,31.49438,29.63283,27.06845,25.75776,24.84598,23.82023,24.31411,24.02918,23.45932,22.98444,22.24361,21.06590,20.74298,20.42006,19.58426,19.75522,19.79321,19.47029,18.57750,18.52052,18.06463,17.77970,17.41878,17.51376,17.01988,17.09586
2006,City North 33_11kV,03MAY2005,MW,16.50700,16.77294,16.39303,16.39303,16.27906,16.10810,15.88016,15.86116,16.01312,16.03212,15.70920,16.20308,15.46226,15.88016,15.80417,15.97513,15.80417,16.01312,15.78518,16.50700,16.96289,17.66572,17.77970,19.58426,22.60453,24.08617,24.58005,26.63155,26.38461,27.50534,28.91100,30.67757,30.73456,31.34241,32.36816,33.10898,33.71684,33.75483,34.11574,34.07775,34.55263,34.72359,34.83757,35.06551,35.10350,35.19848,35.17948,35.40743,35.38843,35.31245,35.35044,35.17948,35.63537,35.84432,35.59738,36.03428,36.18624,35.40743,35.33145,35.57839,34.91355,35.00852,35.16049,34.85656,34.45766,33.84980,34.28670,33.77382,33.54588,32.95702,32.86204,30.58260,27.79027,27.08744,25.26388,24.77000,24.99795,24.69402,24.20014,23.34535,22.54754,22.47156,21.23686,21.08490,20.15412,20.24910,19.98316,19.37531,18.95741,18.95741,18.69147,18.33056,18.08362,17.64673,17.17184,17.26682
2006,City North 33_11kV,04MAY2005,MW,16.86792,16.79193,16.69696,16.50700,16.26006,16.37404,16.07011,16.35504,16.16509,16.22207,15.99413,16.26006,15.89915,16.16509,15.99413,16.16509,16.14609,16.45002,16.20308,16.67796,17.15285,18.23559,18.02664,20.34407,22.64252,24.02918,25.87174,26.09968,28.07520,27.39137,27.79027,28.87301,30.05072,30.92451,31.72232,32.44415,32.90003,33.52688,34.19172,33.81181,34.28670,34.72359,34.91355,34.62862,34.81857,34.93254,34.81857,35.08451,35.27446,35.33145,35.27446,35.78734,36.03428,36.12925,35.71135,35.90131,35.99629,35.55939,35.63537,35.17948,35.36944,34.93254,34.85656,34.83757,34.66661,34.30569,34.30569,33.84980,33.84980,32.93803,32.31118,29.99374,27.63831,26.85950,25.45384,24.78900,25.43484,24.65603,23.85822,23.74425,22.45256,21.97768,21.57878,21.23686,20.28709,19.94517,19.98316,19.75522,18.78645,18.46353,18.65348,18.44453,17.87467,17.72271,17.55175,17.01988
2006,City North 33_11kV,05MAY2005,MW,16.94390,16.90591,17.01988,16.88691,16.46901,16.69696,16.26006,16.26006,16.12710,16.29805,15.91815,16.16509,15.93714,16.05111,15.95614,16.29805,16.22207,16.48801,16.48801,16.90591,17.26682,18.06463,18.00764,20.09713,23.25037,24.46608,25.62480,26.74552,28.36013,29.70881,30.48762,32.10223,33.05200,34.22971,31.83629,32.40615,33.65985,33.92579,34.30569,34.57163,34.36268,34.28670,34.53364,35.04652,35.14149,35.10350,34.45766,35.00852,35.76834,35.67336,35.38843,35.88231,35.86332,35.48341,35.71135,36.05327,35.80633,35.88231,35.38843,35.31245,35.48341,35.25546,35.25546,35.06551,34.60962,34.72359,34.57163,34.81857,33.90679,33.73583,32.97602,31.00049,28.47411,27.16342,25.45384,25.03594,26.32763,25.81475,25.51082,24.88398,24.01019,23.23138,22.83247,23.02243,21.31284,21.10389,20.38207,19.85019,19.88819,19.50828,19.22335,18.42554,18.34956,18.21659,17.95065,17.68472
2006,City North 33_11kV,06MAY2005,MW,17.68472,17.41878,17.43778,17.22883,17.22883,16.94390,17.01988,17.01988,16.77294,16.60198,16.41203,16.35504,16.26006,16.45002,16.48801,16.58299,16.63997,16.77294,16.67796,16.82993,17.77970,17.98864,18.50152,19.94517,23.11740,24.39010,25.52982,27.01146,28.58808,30.05072,30.35465,32.15921,31.79830,32.69109,31.58935,33.27994,33.58387,34.07775,34.11574,34.74259,35.10350,34.91355,34.97053,35.23647,35.16049,35.52140,35.25546,35.31245,36.20523,35.57839,35.48341,35.97729,35.99629,36.05327,35.84432,36.33820,36.41418,36.09126,35.93930,36.71811,35.57839,35.44542,35.44542,35.54040,34.89455,34.28670,34.30569,34.07775,33.62186,33.05200,32.44415,30.46862,27.35338,26.13767,25.32087,24.50407,25.20690,24.31411,23.57329,23.21238,22.30060,21.69275,21.52179,21.19887,20.57202,20.40106,20.00216,19.83120,18.91942,19.10937,18.71047,18.65348,18.19759,18.40654,17.87467,17.79869
2006,City North 33_11kV,07MAY2005,MW,17.41878,17.57075,17.17184,17.45677,17.09586,16.92490,16.62098,16.90591,16.77294,16.52600,16.35504,16.62098,16.41203,16.56399,16.41203,16.45002,16.33605,16.10810,16.16509,16.16509,16.22207,16.37404,16.54499,16.84892,17.03887,17.45677,17.57075,17.66572,18.46353,19.14736,19.05239,18.93842,19.28033,19.85019,18.90042,18.91942,18.90042,18.76746,19.26134,19.60325,19.60325,19.60325,19.54627,19.75522,19.86919,19.96417,19.81220,19.67924,18.91942,19.26134,19.14736,19.20435,19.03339,19.16636,18.91942,19.29933,19.01440,18.91942,19.07138,18.97641,18.99540,18.72947,18.63449,18.48253,18.36855,18.27358,18.63449,18.67248,18.88143,19.47029,18.76746,18.91942,18.04563,18.23559,17.89367,17.68472,18.46353,18.31157,18.46353,18.25458,17.93166,18.08362,18.53951,17.85568,17.91266,17.81769,17.64673,17.28582,17.19084,16.88691,17.00088,16.88691,17.00088,17.05787,16.37404,16.16509
2006,City North 33_11kV,08MAY2005,MW,16.56399,16.22207,16.24107,15.93714,15.80417,16.35504,15.88016,15.91815,15.76618,15.42427,15.46226,15.38627,15.44326,15.25331,15.21532,15.15833,15.00637,15.10134,15.04436,15.08235,15.10134,15.25331,15.06335,15.42427,15.40527,15.40527,15.31029,15.46226,15.76618,15.63322,15.51924,15.99413,16.03212,16.50700,16.63997,16.67796,16.82993,16.94390,16.90591,17.77970,17.77970,17.77970,18.19759,18.36855,18.71047,18.38755,18.57750,18.86243,18.72947,18.50152,18.53951,18.46353,18.59650,18.76746,18.99540,18.71047,18.57750,18.82444,18.91942,18.42554,18.86243,18.91942,19.12837,18.90042,18.67248,18.50152,18.76746,19.01440,18.50152,18.72947,18.91942,18.95741,18.36855,18.46353,18.38755,18.15960,17.93166,17.81769,17.83668,17.53276,17.68472,17.51376,17.38079,16.96289,16.86792,17.22883,16.79193,16.71595,16.46901,16.26006,16.18408,16.08910,16.29805,16.05111,15.86116,16.03212
2006,City North 33_11kV,09MAY2005,MW,15.97513,16.14609,15.61422,15.80417,15.65221,15.69020,15.61422,15.50025,15.46226,15.63322,15.46226,15.44326,15.34828,15.80417,15.91815,16.39303,16.54499,16.50700,16.35504,16.56399,17.03887,17.77970,17.96965,19.14736,21.88270,22.90845,25.01694,25.77676,27.01146,26.87849,27.16342,28.36013,29.02497,29.87977,30.73456,31.34241,31.62734,32.48214,33.07099,32.78606,33.10898,33.58387,34.26770,34.41967,34.38168,34.49565,34.83757,35.33145,34.64761,35.16049,34.83757,35.04652,35.40743,35.50240,35.73035,35.29346,35.52140,35.61638,35.61638,35.82533,34.68560,35.02752,34.78058,34.53364,34.15373,34.34369,33.81181,33.48889,33.81181,32.67209,31.95026,30.18369,26.89749,26.19466,25.35886,24.54206,25.05493,24.31411,24.04818,23.49731,22.11065,21.95868,21.10389,20.98992,20.23010,19.94517,19.83120,19.09038,18.91942,18.72947,18.67248,18.31157,17.62773,17.62773,17.39979,16.90591
2006,City North 33_11kV,10MAY2005,MW,17.20983,16.75394,16.63997,16.79193,16.08910,16.20308,16.29805,16.10810,16.05111,15.88016,16.12710,15.84216,16.26006,15.93714,15.95614,16.12710,16.10810,16.20308,16.41203,16.69696,17.60874,17.85568,18.04563,19.81220,22.24361,23.44033,25.45384,26.28964,26.99247,27.58132,28.75904,29.53785,30.98150,30.96250,31.05748,31.58935,31.96926,32.82405,32.84305,33.35592,33.50789,33.86880,33.81181,34.19172,34.22971,34.55263,33.86880,34.78058,34.64761,34.43866,35.38843,35.42642,35.67336,35.25546,35.86332,36.43318,36.01528,36.14825,35.93930,35.71135,35.78734,35.23647,34.89455,35.40743,34.83757,34.45766,34.68560,34.34369,34.36268,33.84980,32.99501,31.34241,27.92324,26.49858,25.26388,24.90297,25.45384,24.63704,24.73201,24.25713,23.44033,22.56654,22.30060,21.97768,20.85695,21.04690,20.68599,20.19211,19.56526,18.97641,19.01440,19.03339,18.55851,18.34956,17.74170,17.53276
2006,City North 33_11kV,11MAY2005,MW,17.43778,17.77970,17.28582,17.49476,16.90591,16.71595,16.60198,16.67796,16.71595,16.45002,16.46901,16.65897,16.37404,16.67796,16.05111,16.50700,16.50700,16.62098,16.45002,16.90591,17.93166,18.27358,18.15960,20.28709,22.87046,23.59229,25.52982,26.82151,27.67630,28.34114,28.15118,28.93000,29.67082,30.88652,,32.57711,32.84305,33.22296,33.26095,33.73583,33.96378,34.13474,34.70460,34.19172,34.53364,34.51464,34.85656,34.68560,35.14149,34.85656,35.44542,35.17948,35.59738,35.23647,35.82533,35.38843,35.61638,35.82533,35.50240,35.06551,34.97053,34.72359,34.83757,34.15373,34.05875,34.07775,33.50789,33.62186,33.08999,32.90003,32.52013,30.75355,27.25840,26.28964,25.24489,24.52306,24.73201,24.08617,23.97220,23.40233,22.18663,22.20562,21.57878,21.33184,20.45805,20.40106,19.79321,19.58426,19.37531,18.90042,18.50152,18.46353,17.91266,17.93166,17.39979,17.36180
2006,City North 33_11kV,12MAY2005,MW,17.05787,17.15285,16.90591,16.86792,16.63997,16.33605,16.18408,16.48801,16.12710,16.18408,15.88016,16.03212,15.82317,16.16509,15.86116,16.12710,16.07011,16.27906,16.22207,16.65897,17.39979,17.83668,18.06463,20.05914,22.45256,23.95320,25.83375,27.12543,28.05621,28.98698,28.49310,28.94899,30.24068,31.36141,31.49438,32.55812,32.67209,33.12798,33.52688,34.03976,33.79282,34.15373,34.41967,34.55263,34.76158,34.76158,34.66661,35.17948,35.02752,34.60962,34.79958,35.19848,35.12250,35.23647,34.62862,35.67336,35.54040,34.91355,34.87556,34.76158,34.53364,34.05875,34.07775,34.30569,33.88780,33.62186,33.64086,33.43191,32.82405,32.88104,32.06424,30.24068,27.42936,26.08069,25.07393,24.16215,25.22589,24.59904,24.59904,23.97220,23.04142,22.37658,22.39558,21.21786,20.57202,20.00216,20.05914,19.45129,18.80545,18.53951,18.52052,18.38755,17.62773,17.55175,17.30481,17.22883
2006,City North 33_11kV,13MAY2005,MW,16.82993,17.15285,16.65897,17.05787,16.31705,16.29805,16.46901,16.26006,16.14609,16.16509,15.84216,16.26006,15.84216,16.16509,15.95614,16.18408,16.33605,16.27906,16.18408,16.60198,16.86792,17.26682,18.19759,19.79321,22.56654,24.18115,26.70753,26.74552,28.56908,29.55684,29.72780,29.40488,30.65858,31.57036,32.14022,33.48889,33.54588,33.73583,33.86880,33.43191,34.28670,34.13474,34.22971,34.24871,34.98953,34.64761,34.72359,34.38168,34.97053,34.68560,34.72359,34.32469,35.04652,35.40743,34.79958,34.89455,34.93254,35.50240,34.57163,34.53364,33.79282,34.34369,33.46990,33.39392,33.52688,33.10898,33.14698,33.01401,32.36816,31.77931,31.22844,29.80378,25.96671,25.24489,24.31411,23.11740,24.37110,23.21238,23.42133,22.37658,21.65476,20.62901,20.79996,20.62901,19.47029,19.09038,19.03339,18.46353,18.52052,18.34956,18.14061,17.89367,17.93166,17.68472,17.17184,17.20983
2006,City North 33_11kV,14MAY2005,MW,16.79193,16.90591,16.60198,16.52600,16.60198,16.33605,16.31705,16.41203,16.01312,15.70920,15.67121,15.99413,15.91815,15.84216,15.51924,15.69020,15.69020,15.50025,15.57623,15.50025,15.72819,15.50025,15.74719,15.88016,16.54499,16.54499,16.82993,16.90591,17.28582,17.87467,17.39979,17.81769,18.25458,18.82444,18.52052,19.03339,19.33732,19.50828,20.09713,20.02115,20.19211,20.68599,20.09713,20.40106,20.11613,20.38207,19.94517,20.28709,20.49604,21.65476,20.85695,20.89494,20.59101,20.76197,21.52179,21.19887,20.89494,20.66700,20.64800,20.47704,20.61001,21.02791,20.85695,20.85695,20.51503,20.47704,20.53403,20.61001,20.62901,20.49604,20.51503,20.09713,19.75522,19.64124,19.28033,18.80545,19.07138,18.72947,18.61549,18.67248,18.78645,18.57750,18.21659,18.06463,17.81769,17.93166,17.77970,17.68472,17.28582,17.20983,17.00088,17.32381,17.17184,17.05787,16.92490,17.09586
