year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Darlinghurst 33_11kV,01MAY2005,MW,24.64685,24.56073,24.00958,23.87179,22.92450,22.95894,22.58003,22.32167,21.97720,21.49494,21.01269,20.99546,20.97824,20.77156,20.92657,21.39160,20.75433,20.71989,20.51320,20.70266,20.34097,20.44431,20.58210,21.16770,21.52939,21.27104,21.16770,21.58106,21.56384,22.28723,22.71781,23.32064,23.95791,24.47461,24.76741,25.42191,25.95583,26.31753,27.00647,27.17870,27.69541,28.03988,27.57484,28.36713,28.07433,28.12600,28.78049,27.86764,28.45324,28.02266,27.88487,27.79875,27.91931,28.02266,27.95376,27.95376,28.03988,27.41983,27.26482,27.50595,27.38539,27.95376,27.79875,27.98821,27.78153,27.79875,27.62652,27.52317,27.57484,28.60826,29.31442,29.33164,29.86557,29.83112,29.65889,29.79668,28.98717,28.95273,29.03884,28.33268,28.31546,28.16044,27.79875,27.52317,26.81701,26.67922,26.11085,26.30030,25.45635,24.92242,24.99132,24.54351,24.16459,23.51010,23.28619,23.06228
2006,Darlinghurst 33_11kV,02MAY2005,MW,22.78671,22.54558,22.14944,21.95998,21.49494,21.32271,20.87490,20.70266,20.49598,20.44431,20.25485,20.28930,20.15151,19.99650,19.92760,19.84149,20.25485,20.25485,20.03095,20.28930,21.23659,21.99443,22.27000,23.61344,24.81908,25.55969,26.61033,28.55658,31.57070,32.79357,33.93032,35.54933,35.53211,36.58274,36.82387,37.04778,37.34058,37.53004,37.15112,37.78839,37.51281,38.16731,38.06396,37.92618,37.90895,37.96062,37.63338,37.65060,37.80561,37.80561,38.52900,38.15008,37.89173,38.52900,38.02952,37.85728,38.28787,38.18453,37.68505,37.97785,37.42669,37.49559,36.75498,36.65164,37.42669,36.78942,35.99714,36.41051,36.58274,37.32335,37.44392,36.66886,35.48044,35.58378,35.46321,35.20486,33.53418,32.98303,32.43188,32.05296,31.91517,31.12289,30.60618,29.34887,28.76327,28.74604,28.45324,27.78153,26.98925,26.16252,25.99028,25.40468,24.69852,24.00958,23.49287,23.07951
2006,Darlinghurst 33_11kV,03MAY2005,MW,22.70059,22.70059,21.89109,21.37438,21.18492,21.04713,20.96102,21.02991,20.68544,20.35819,20.01372,20.16873,19.89316,20.16873,20.11706,20.04817,20.04817,19.75537,20.20318,20.30652,20.71989,21.73607,22.23556,23.16563,24.61240,25.62859,26.62755,28.48769,31.45014,33.41362,33.96477,36.23827,36.32439,36.56552,36.97888,37.20279,38.25342,38.06396,37.77116,37.92618,38.30509,37.99507,38.49455,38.61512,38.80458,38.92514,38.73568,39.16627,38.99403,39.20072,39.42462,38.89069,39.59686,38.90792,39.66575,39.42462,38.75290,39.06293,38.83902,38.66679,38.46011,38.04674,38.23620,38.09841,37.44392,37.44392,37.04778,37.37502,37.82284,37.66782,37.30613,36.92721,36.28994,35.77324,35.80768,35.15319,33.80976,33.77531,33.10359,33.00025,32.17352,31.58792,30.53729,30.22727,29.46943,28.72882,28.59103,27.88487,27.35094,26.67922,26.24863,25.31856,24.90520,24.38849,23.83734,23.45843
2006,Darlinghurst 33_11kV,04MAY2005,MW,22.82116,22.63170,22.08054,21.99443,21.33993,21.56384,21.06436,21.11603,20.65099,20.44431,20.28930,20.11706,20.30652,20.16873,19.97928,20.34097,20.09984,20.11706,20.39264,20.53043,21.61551,21.59829,22.27000,23.88901,24.83631,25.43913,26.67922,28.86661,31.39846,32.74190,33.51696,35.77324,36.25550,36.89277,36.92721,36.92721,36.54830,37.42669,36.35884,37.16834,37.66782,38.70123,38.35676,38.02952,38.82180,39.18349,39.01126,39.35573,39.35573,39.33850,39.70020,39.23516,39.44185,39.42462,39.13182,39.32128,39.02848,38.80458,39.09738,38.59789,38.77013,38.33954,38.23620,38.27065,37.99507,38.04674,37.65060,38.01229,37.99507,37.37502,37.61615,36.99611,36.35884,35.96270,35.85935,35.30820,34.44703,33.99922,33.67197,33.29305,32.62133,32.03573,31.81183,30.46839,29.90002,29.22830,28.74604,28.33268,28.00543,26.98925,26.66200,26.30030,25.95583,24.88798,24.09570,23.95791
2006,Darlinghurst 33_11kV,05MAY2005,MW,23.21730,22.85560,22.39057,22.54558,22.01165,21.89109,21.52939,21.46050,20.90935,21.04713,20.90935,20.54765,20.47876,20.34097,20.42709,20.40986,20.40986,20.35819,20.40986,21.11603,21.70163,22.08054,23.06228,23.68233,25.35301,26.00750,27.10981,29.10774,31.70849,32.82802,34.06811,34.92928,35.58378,35.49766,36.66886,37.92618,38.25342,38.23620,38.71846,39.18349,38.77013,39.45907,38.94236,39.08015,39.23516,39.20072,39.39017,39.99300,39.66575,39.70020,39.68297,39.39017,39.64853,39.35573,39.20072,39.11460,38.94236,39.47629,39.14905,39.13182,39.26961,39.08015,39.09738,38.52900,38.11563,37.89173,38.08119,38.02952,38.13286,38.23620,38.11563,37.46114,36.72053,36.30717,35.97992,35.23931,34.25757,33.96477,33.56863,32.89691,31.82905,31.69126,31.26068,30.26171,29.50388,29.33164,28.69437,28.33268,28.05710,27.47150,27.14426,26.42087,25.86972,24.61240,24.35405,24.00958
2006,Darlinghurst 33_11kV,06MAY2005,MW,23.33786,23.32064,22.64892,22.30445,22.25278,22.02887,21.27104,21.42605,20.99546,20.84045,20.97824,20.42709,20.46153,20.09984,20.27208,20.30652,20.22040,20.32375,20.42709,20.65099,21.58106,21.75330,22.78671,23.78567,25.35301,26.64477,27.52317,29.40054,31.98406,33.31027,34.22312,35.20486,35.96270,36.08326,37.09945,37.23724,37.53004,37.59893,38.30509,38.32232,38.16731,38.25342,38.99403,38.66679,38.70123,38.78735,38.82180,39.23516,38.92514,38.64956,38.56345,38.28787,39.39017,39.26961,39.44185,38.83902,39.61408,39.49352,39.01126,39.30406,38.83902,38.94236,39.13182,38.40843,38.15008,37.80561,37.70227,37.54726,38.33954,37.92618,37.68505,36.73775,35.73879,35.65267,35.04985,34.73983,33.46529,32.87969,32.29409,32.01851,31.15734,30.64063,30.05503,29.62444,29.22830,28.59103,27.72986,27.79875,28.10877,27.43706,27.12703,26.67922,26.33475,25.12911,25.23245,24.83631
2006,Darlinghurst 33_11kV,07MAY2005,MW,24.44017,24.50906,24.02680,23.04506,22.92450,22.83838,22.23556,22.09777,22.01165,21.70163,21.61551,21.35716,21.01269,21.09880,21.02991,20.78878,21.27104,20.97824,20.65099,21.20214,20.90935,21.11603,21.59829,22.06332,22.23556,22.82116,22.54558,22.78671,24.38849,24.75019,25.35301,26.09362,26.28308,27.38539,27.36816,28.12600,28.69437,29.09051,29.77945,30.08948,29.24553,30.15837,30.05503,30.19282,30.19282,30.02058,30.36505,29.90002,29.95169,29.95169,29.86557,30.08948,29.21108,29.12496,28.86661,29.52110,28.86661,28.74604,28.93550,28.74604,28.98717,28.65993,28.69437,28.52214,28.55658,28.62548,29.10774,29.00440,29.53833,29.79668,30.26171,30.33061,30.07225,30.34783,29.91724,29.98614,29.41776,29.48665,29.03884,28.55658,27.85042,27.71263,27.31649,26.78256,26.67922,26.57588,26.42087,25.97306,25.68026,25.81805,25.50802,25.28412,24.99132,24.45739,24.35405,24.26793
2006,Darlinghurst 33_11kV,08MAY2005,MW,24.09570,23.28619,23.21730,22.95894,22.75226,22.18389,21.83941,21.99443,21.42605,21.21937,21.01269,20.82323,20.58210,21.02991,20.56487,20.58210,20.53043,20.66822,20.06539,20.28930,20.94379,20.80600,20.61655,20.78878,21.59829,21.64996,21.61551,21.71885,22.16666,22.21833,22.78671,23.07951,23.80290,23.76845,24.44017,25.02576,25.57692,25.99028,26.67922,26.95480,27.40261,27.43706,27.76430,27.45428,28.00543,27.54040,27.55762,27.60929,28.09155,27.31649,27.41983,26.98925,27.29927,27.43706,26.95480,27.14426,27.57484,27.55762,26.98925,27.17870,27.21315,27.52317,27.00647,26.88590,27.40261,27.09259,26.98925,27.31649,27.88487,28.47047,29.03884,29.17663,29.38331,29.62444,29.67611,29.29720,29.02162,28.74604,28.19489,27.67819,27.45428,27.40261,27.35094,26.95480,26.33475,26.30030,25.64581,25.80082,25.31856,24.80186,24.54351,24.19904,23.35508,23.26897,23.09673,22.75226
2006,Darlinghurst 33_11kV,09MAY2005,MW,22.64892,22.08054,21.92553,21.58106,21.25382,20.99546,20.61655,20.54765,20.42709,20.08262,19.70370,19.82426,19.68648,19.56591,19.53146,19.53146,19.94483,19.78982,19.91038,19.80704,21.13325,21.89109,22.20111,23.02784,25.19800,26.38642,26.54143,28.29823,31.45014,32.05296,33.36195,34.89484,35.29098,36.08326,36.10048,35.92825,35.84213,36.49662,36.25550,36.58274,36.37606,37.56448,37.47836,37.92618,37.96062,37.82284,38.08119,38.89069,38.09841,38.18453,38.85625,38.40843,39.02848,38.89069,39.04570,38.49455,38.90792,39.33850,38.56345,38.39121,37.97785,37.85728,37.59893,37.42669,37.15112,37.42669,37.18557,37.49559,36.73775,37.82284,37.85728,36.75498,35.92825,36.11771,36.01437,35.46321,34.29201,33.99922,33.12082,32.13908,32.05296,31.51903,30.74397,30.15837,29.33164,29.02162,28.05710,27.52317,26.78256,26.76534,25.69748,24.68129,24.00958,23.85457,23.32064,23.13118
2006,Darlinghurst 33_11kV,10MAY2005,MW,22.61447,22.21833,21.90831,21.70163,21.49494,21.02991,20.80600,20.70266,20.18596,20.04817,19.89316,19.46257,19.73815,19.41090,19.72092,19.66925,19.65203,19.22144,19.70370,19.72092,20.90935,21.46050,21.97720,23.13118,25.07744,25.83527,27.41983,28.12600,31.48458,32.94858,33.58585,34.67093,35.91103,36.10048,36.53107,36.59997,36.58274,36.65164,36.99611,37.34058,37.35780,37.80561,38.13286,38.13286,38.42566,38.18453,38.75290,39.28683,39.09738,38.61512,39.64853,39.80354,39.94133,39.78632,39.70020,39.57963,39.64853,39.44185,39.59686,39.16627,39.13182,39.70020,39.18349,38.70123,38.63234,38.20175,40.21690,39.59686,40.19968,40.33747,40.26857,38.68401,38.20175,36.01437,35.92825,35.06707,33.93032,33.01747,32.87969,31.79461,31.10566,31.24345,30.77842,30.03781,28.53936,27.98821,27.93654,27.81597,26.43809,26.28308,25.47358,24.59518,24.37127,23.38953,22.49391,22.70059
