year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Miranda 33_11kV,01MAY2005,MW,17.41960,15.49447,14.16744,15.99912,17.12055,18.42889,17.41960,15.81221,14.78423,14.93376,13.21423,14.22352,12.26101,11.13957,10.72838,10.27981,9.81254,9.45742,9.56957,9.51350,9.56957,9.62564,9.62564,9.99945,10.52279,10.74707,11.30779,10.57886,11.83112,13.10208,13.86840,14.27959,15.21412,15.36364,16.35424,17.64389,18.80270,19.06437,19.75592,20.87736,21.55022,21.53153,21.79319,21.94272,22.11093,21.77450,21.51283,21.71843,21.73712,21.79319,21.49414,21.30724,21.10164,21.34462,21.21379,20.78390,20.55962,20.67176,20.87736,20.69045,20.83997,20.63438,21.10164,21.40069,20.85867,20.95212,21.06426,20.67176,19.86807,20.14842,20.74652,21.17640,20.76521,21.15771,20.26057,19.94283,19.43818,19.13913,18.54104,18.01770,17.73734,17.21401,16.82150,16.16733,15.43840,14.70947,14.09268,13.83101,13.92447,13.19554,13.51328,12.65351,19.17651,18.18592,19.21390,17.73734
2006,Miranda 33_11kV,02MAY2005,MW,16.27948,14.35435,13.00863,14.95245,16.16733,17.60651,16.57853,15.49447,14.09268,14.14875,13.23292,14.37304,12.18625,11.00874,10.46671,10.13028,9.79385,9.40135,9.40135,9.62564,10.11159,10.54148,11.25172,12.27970,14.05530,15.40102,16.74674,14.65340,16.91496,18.16722,18.76532,19.49425,19.90545,20.07366,20.54093,21.06426,21.55022,21.62498,21.71843,21.56891,21.84926,21.68105,21.49414,21.75581,21.43807,21.38200,21.56891,21.68105,21.60629,21.66236,21.49414,21.08295,21.17640,21.38200,21.23248,21.15771,21.36331,21.60629,21.32593,21.32593,21.51283,20.69045,20.89605,20.48485,21.17640,21.79319,21.88665,22.78379,23.73701,24.01737,22.67165,22.37260,22.63427,22.05486,20.95212,20.42878,19.86807,19.15782,18.82139,18.63449,17.96163,17.51305,17.04579,16.37293,15.83090,15.21412,14.87769,14.16744,14.07399,12.98994,13.25161,12.69089,18.52235,17.40091,18.29806,16.89627
2006,Miranda 33_11kV,03MAY2005,MW,15.28888,13.62542,12.26101,14.03661,14.98983,16.31686,15.23281,13.90578,12.91518,12.85911,11.66291,12.91518,11.06481,10.31719,9.62564,9.30790,9.21445,9.04623,8.91540,9.17707,9.64433,9.90600,10.80314,11.62553,13.25161,14.59733,15.98043,13.55066,16.09257,17.62520,17.69996,18.59711,18.78401,19.15782,19.68116,19.99890,20.20450,20.67176,21.00819,21.43807,20.98950,20.83997,20.78390,20.63438,20.65307,20.70914,20.95212,21.04557,21.12033,20.74652,20.97081,20.91474,20.82128,20.91474,21.00819,20.80259,20.87736,20.80259,20.98950,20.93343,21.10164,20.89605,21.68105,22.01748,22.27915,22.67165,23.41927,24.11082,24.82106,25.41916,24.26035,24.01737,23.49403,23.00808,22.67165,21.88665,21.12033,20.80259,20.33533,19.84938,19.19521,18.82139,18.12984,17.51305,16.82150,16.74674,15.88698,14.98983,14.67209,14.07399,14.16744,13.27030,19.98021,18.70925,19.75592,17.73734
2006,Miranda 33_11kV,04MAY2005,MW,16.29817,14.48518,13.32637,14.87769,15.86829,17.47567,16.16733,14.97114,13.70018,13.88709,12.63482,13.68149,12.01803,10.80314,10.18636,9.98076,9.66302,9.71909,9.51350,9.55088,10.35457,10.78445,11.66291,12.22363,14.42911,15.75614,17.28877,15.00852,17.25139,18.18592,18.52235,19.34473,19.60640,19.71854,20.16711,21.10164,21.17640,21.99879,21.94272,21.75581,21.73712,22.01748,21.60629,22.26046,21.73712,21.77450,21.71843,21.64367,21.62498,22.12962,21.96141,21.77450,21.73712,21.81188,21.62498,21.45676,21.90534,21.88665,21.73712,21.62498,21.53153,21.81188,22.07355,22.29784,22.69034,22.91463,23.92392,24.09213,25.71821,25.41916,24.74630,24.35380,23.84915,23.41927,22.69034,22.44736,21.40069,20.98950,20.54093,19.90545,19.64378,19.10175,18.65318,17.94294,17.28877,16.29817,15.79352,14.93376,14.85900,13.92447,14.33566,13.41982,19.66247,18.50365,19.58771,17.88687
2006,Miranda 33_11kV,05MAY2005,MW,16.39162,14.65340,13.32637,15.17673,16.16733,17.64389,16.46638,15.21412,13.94316,14.05530,12.57875,13.64411,11.86851,11.17696,10.33588,9.73778,9.66302,9.79385,9.38266,9.60695,10.33588,10.84052,11.53208,12.84041,13.96185,15.30757,16.91496,14.72816,16.48507,17.84949,18.69056,19.38211,20.11104,20.27926,20.42878,21.38200,21.55022,22.18570,21.79319,22.29784,22.16700,21.88665,21.81188,21.88665,21.99879,22.05486,21.98010,21.92403,21.71843,22.20439,21.94272,22.07355,22.46605,22.07355,22.35391,22.26046,22.40998,22.52213,22.55951,22.05486,22.24177,22.67165,22.63427,22.89594,23.02677,23.41927,23.97999,24.57809,25.81166,27.13869,28.16667,28.69001,28.44703,28.44703,28.44703,27.83024,27.83024,26.97048,26.65274,26.35369,25.99857,25.81166,25.12011,22.63427,20.11104,18.57842,16.69067,15.86829,15.49447,14.95245,14.95245,14.03661,20.09235,18.82139,19.75592,17.96163
2006,Miranda 33_11kV,06MAY2005,MW,16.27948,14.72816,13.55066,15.41971,16.61591,17.79341,16.59722,15.25150,13.64411,13.90578,12.63482,13.43851,11.79374,10.82183,10.16766,9.64433,9.60695,9.68171,9.55088,9.64433,10.41064,10.84052,11.41993,12.54137,13.71887,15.25150,16.61591,14.63471,17.08317,18.39151,19.40080,19.69985,20.09235,20.27926,20.52224,21.51283,21.94272,22.40998,22.46605,22.33522,22.42867,22.07355,22.29784,22.16700,22.18570,22.22308,22.07355,22.55951,22.40998,22.05486,22.44736,22.22308,22.44736,22.24177,22.31653,21.98010,22.24177,22.16700,22.29784,22.22308,22.24177,22.39129,22.57820,22.89594,23.08284,23.53142,23.84915,24.35380,25.43785,25.06404,24.31642,23.47534,22.61558,22.59689,22.11093,21.28855,20.63438,20.39140,20.35402,19.66247,19.10175,18.84008,17.86818,17.34484,16.85889,16.44769,15.66269,15.27019,15.21412,14.52257,15.19543,14.42911,20.67176,19.43818,20.42878,18.67187
2006,Miranda 33_11kV,07MAY2005,MW,16.74674,14.87769,13.68149,15.62531,16.74674,18.11115,16.78412,15.38233,14.07399,14.11137,12.80303,13.53197,11.86851,11.02743,10.42933,9.79385,9.58826,9.34528,9.56957,9.49480,10.01814,10.03683,10.07421,10.35457,11.12088,12.01803,12.35446,11.90589,13.60673,15.21412,16.03650,17.55044,18.78401,19.96152,20.85867,22.93332,22.97070,23.62487,24.24166,24.09213,24.39118,23.96130,23.86785,23.75570,23.34451,23.34451,22.98939,23.04546,23.40058,22.89594,22.69034,22.83986,22.85856,22.74641,22.57820,22.52213,22.80248,22.76510,22.67165,22.82117,22.93332,23.23237,23.49403,23.28844,23.75570,23.97999,24.76499,24.57809,23.92392,24.55940,24.82106,24.57809,22.82117,22.31653,21.49414,21.32593,20.59700,20.26057,19.58771,18.78401,17.90556,17.92425,17.17662,16.69067,16.24210,15.73745,15.30757,15.23281,15.06459,14.57864,14.91507,14.24221,20.98950,19.92414,21.04557,19.41949
2006,Miranda 33_11kV,08MAY2005,MW,17.71865,15.88698,14.55995,16.33555,17.32615,18.72794,17.58782,16.33555,15.13935,15.21412,13.62542,14.72816,12.84041,11.70029,10.99005,10.33588,10.01814,9.81254,9.56957,9.43873,9.40135,9.55088,9.58826,9.94338,10.48540,10.54148,11.23303,10.78445,12.48529,13.62542,14.37304,15.15804,15.94305,16.55984,17.30746,18.24199,19.41949,19.94283,20.72783,22.07355,22.27915,22.61558,22.70903,22.39129,22.27915,21.99879,22.07355,21.77450,21.73712,21.49414,21.28855,21.26986,21.04557,21.04557,20.76521,20.55962,20.41009,20.57831,20.33533,20.20450,20.26057,20.31664,20.50354,20.33533,20.31664,20.54093,20.98950,20.31664,19.66247,19.71854,20.22319,20.48485,21.08295,20.39140,20.14842,19.81199,19.53164,19.06437,18.29806,17.81210,17.45698,17.19532,16.82150,16.22341,15.81221,15.45709,14.82161,14.22352,14.20483,13.38244,13.43851,12.50398,19.32604,18.35413,19.21390,17.84949
2006,Miranda 33_11kV,09MAY2005,MW,16.54115,15.02721,13.47589,15.21412,16.20472,17.98032,16.95234,15.88698,14.55995,14.67209,13.13946,14.26090,12.67220,11.64422,10.89660,10.35457,10.14897,9.84993,9.90600,9.84993,10.67231,10.97136,11.70029,12.76565,14.42911,15.90567,17.30746,15.00852,17.21401,18.24199,19.43818,19.90545,20.27926,20.14842,20.54093,21.34462,21.34462,21.96141,21.60629,21.40069,21.69974,21.60629,21.45676,21.58760,21.32593,21.56891,21.15771,21.62498,21.71843,21.51283,21.51283,21.34462,21.51283,21.75581,21.60629,21.41938,21.66236,21.60629,21.66236,21.68105,21.79319,22.26046,22.16700,22.55951,23.06415,23.34451,23.77439,24.87714,25.77428,25.84904,25.10142,23.81177,23.47534,23.00808,22.54082,21.84926,21.43807,20.76521,20.11104,19.75592,18.98961,18.65318,18.37282,17.79341,17.00841,16.16733,15.60662,15.25150,14.55995,14.14875,14.24221,13.47589,19.66247,18.72794,19.69985,18.09246
2006,Miranda 33_11kV,10MAY2005,MW,16.54115,14.76554,13.81232,15.12066,16.27948,17.66258,16.72805,15.71876,14.52257,14.50387,12.93387,13.96185,12.14886,11.23303,10.46671,10.18636,9.84993,9.71909,9.66302,10.16766,10.56017,10.99005,11.60684,13.49458,14.72816,16.11126,17.43829,15.12066,17.21401,18.37282,18.84008,19.94283,20.05497,20.48485,20.37271,21.13902,21.88665,22.03617,21.77450,21.99879,21.83057,21.68105,21.69974,21.83057,21.56891,21.84926,21.92403,21.73712,22.22308,21.73712,21.98010,21.99879,22.18570,22.05486,22.03617,21.75581,22.09224,22.39129,22.09224,22.24177,22.27915,22.44736,22.97070,23.13891,23.40058,23.96130,24.03606,24.46594,25.77428,25.94250,25.13880,24.63416,23.97999,23.21368,22.80248,22.03617,21.45676,20.85867,20.16711,19.86807,19.08306,18.98961,18.07377,17.86818,17.02710,16.31686,15.88698,15.04590,14.59733,14.26090,14.11137,13.25161,19.60640,18.63449,19.86807,18.01770
