year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Mt Hutton 33_11kV,01MAY2005,MW,7.99280,9.38960,8.30320,12.00860,11.54300,9.43810,7.76000,7.14890,6.64450,7.68240,7.18770,6.60570,6.39230,5.95580,5.95580,5.95580,5.75210,5.90730,5.82000,5.90730,5.89760,6.11100,6.29530,6.39230,6.52810,6.46990,7.34290,7.55630,8.11890,8.81730,9.56420,10.04920,10.72820,11.39750,11.89220,12.17350,12.83310,12.68760,13.10470,12.81370,12.11530,11.88250,11.96010,11.63030,11.34900,10.98040,10.95130,10.77670,10.41780,10.21410,10.40810,9.89400,9.95220,10.04920,9.70000,9.46720,9.37990,9.37990,9.37990,9.59330,9.50600,9.46720,10.02980,10.01040,10.20440,10.34020,10.88340,10.29170,11.03860,12.24140,12.70700,13.48300,13.61880,13.87100,13.77400,12.84280,12.58090,13.22110,12.63910,12.27050,11.72730,11.42660,10.80580,10.87370,10.44690,10.57300,9.79700,12.67790,10.85430,9.71940,8.86580,9.77760,8.69120,9.64180,8.63300,7.43020
2006,Mt Hutton 33_11kV,02MAY2005,MW,7.43020,9.40900,8.91430,11.98920,11.34900,8.86580,7.50780,8.68988,7.85700,7.01310,6.36320,6.06250,5.98490,6.03340,6.03340,5.95580,6.00430,5.77150,6.09160,6.29530,6.51840,6.93550,6.52810,6.88700,7.54660,8.40990,9.89400,10.83490,9.51570,10.64090,11.36840,11.57210,11.41690,11.38780,11.13560,10.34020,10.29170,9.92310,9.92310,9.53510,9.31200,9.26350,9.38960,9.09860,9.12770,9.30230,8.81730,8.73970,8.91430,9.07920,9.26350,8.91430,8.84640,8.92400,8.71060,8.72030,8.45840,8.75910,8.32260,7.96370,8.30320,8.58450,8.76880,9.22470,9.45750,10.00070,10.69910,11.42660,12.29960,12.93980,14.32690,15.61700,15.50060,15.31630,15.05440,14.69550,13.85160,14.40450,14.08440,13.51210,12.67790,12.53240,11.83400,11.57210,11.26170,10.56330,10.74760,10.36930,10.23350,14.28810,12.39660,11.69820,10.77670,9.89400,8.75910,9.74850
2006,Mt Hutton 33_11kV,03MAY2005,MW,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850,9.74850
2006,Mt Hutton 33_11kV,04MAY2005,MW,9.74850,11.96980,11.58180,14.05530,13.68670,13.04650,12.29960,13.61880,12.96890,11.57210,10.35960,9.50600,8.36140,7.66300,7.47870,6.80940,6.45050,6.28560,6.32440,6.05280,6.06250,6.90640,7.04220,7.24590,7.94430,8.78820,9.64180,10.67970,9.70000,9.76790,10.18500,10.28200,10.43720,9.95220,9.81640,9.45750,8.97250,8.47780,8.24500,8.04130,7.78910,7.73090,7.38170,7.43020,7.30410,7.55630,7.60480,7.32350,7.66300,7.93460,7.96370,7.47870,7.60480,7.37200,7.37200,7.29440,7.35260,7.42050,7.32350,7.22650,6.95490,7.40110,8.20620,8.50690,9.02100,9.26350,10.16560,10.62150,11.21320,12.44510,13.35690,13.92920,14.24930,14.54030,14.21050,13.91950,13.20170,12.81370,12.47420,11.91160,11.55270,11.19380,11.10650,10.54390,9.93280,9.69030,9.82610,9.95220,9.38960,13.12410,11.54300,10.72820,10.12680,9.20530,8.20620,9.20530
2006,Mt Hutton 33_11kV,05MAY2005,MW,9.20530,11.36840,11.11620,13.15320,12.93980,12.16380,11.33930,12.78460,12.58090,11.06770,9.82610,8.92400,8.08980,7.35260,6.51840,6.45050,6.11100,5.93640,5.84910,6.14010,5.77150,6.28560,6.32440,6.87730,7.52720,8.28380,8.84640,9.79700,8.84640,9.53510,10.13650,10.40810,10.52450,10.52450,10.01040,9.33140,9.23440,8.83670,8.72030,8.53600,8.12860,8.11890,8.04130,7.83760,7.73090,7.49810,7.55624,7.58540,7.52720,7.40110,7.32350,7.66300,7.42050,7.40110,7.38170,7.35260,7.26530,7.44960,7.34290,7.24590,7.34290,7.46900,7.70180,8.16740,8.09950,8.45840,8.68150,9.30230,9.64180,11.00950,12.16380,12.27050,12.32870,12.58090,12.45480,12.03770,12.16380,12.56150,11.91160,11.60120,11.11620,10.85430,10.67970,10.49540,9.98130,9.69030,9.84550,10.18500,9.34110,12.84280,11.05800,10.90280,10.35960,9.28290,8.14800,9.06950
2006,Mt Hutton 33_11kV,06MAY2005,MW,9.06950,11.26170,11.08710,13.43450,13.09500,12.24140,11.41690,12.84280,12.62940,11.02890,9.93280,8.60390,8.11890,7.21680,6.78030,6.46990,6.06250,5.84910,5.84910,5.66480,5.95580,6.46990,6.37290,6.76090,7.27500,7.91520,8.79790,9.67090,8.40020,9.87460,10.57300,10.54390,10.60210,10.21410,10.18500,9.70000,9.43810,8.87550,8.66210,8.40020,8.33230,8.05100,7.97340,7.88610,7.97340,7.93460,7.85700,7.93460,7.77940,7.68240,7.71150,7.49810,7.81820,7.34290,7.46900,7.47870,7.47870,7.62420,7.58540,7.34290,7.50780,7.68240,7.99280,8.08980,8.40020,8.81730,9.48660,10.23350,10.74760,11.96010,12.68760,12.75550,12.84280,13.06590,12.84280,12.42570,11.83400,12.29960,12.04740,11.72730,11.29080,11.02890,10.34020,10.10740,9.92310,9.58360,9.79700,10.10740,9.42840,13.29870,11.46540,11.33930,10.29170,9.58360,8.79790,9.26350
2006,Mt Hutton 33_11kV,07MAY2005,MW,9.26350,11.85340,11.16470,13.58970,13.04650,12.28990,11.70790,10.56330,9.69030,12.03770,10.60210,9.76790,8.73970,8.07040,7.18770,6.76090,6.51840,6.09160,5.90730,5.87820,5.98490,6.08190,6.16920,6.16920,6.16920,6.83850,7.13920,7.99280,7.71150,8.86580,9.98130,10.75730,11.73700,12.71670,12.70700,13.26960,12.96890,13.07560,13.09500,13.26960,13.09500,12.75550,12.75550,12.53240,12.53240,11.93100,11.80490,11.98920,11.98920,11.47510,11.50420,11.31990,11.13560,10.99010,11.06770,10.67000,10.88340,10.95130,10.96100,10.93190,11.31020,11.39750,11.44600,11.24230,11.98920,12.76520,13.58970,12.93980,12.94950,13.65760,14.32690,13.66730,14.22990,14.21050,13.92920,13.06590,12.37720,13.02710,12.52270,12.28990,11.77580,11.16470,11.06770,10.96100,10.46630,10.48570,9.93280,13.20170,11.36840,10.23350,9.20530,10.16560,9.40900,10.48570,9.25380,7.88610
2006,Mt Hutton 33_11kV,08MAY2005,MW,7.88610,9.30230,8.01220,11.44600,11.16470,9.34110,7.73090,6.98400,6.56690,7.54660,6.88700,6.00430,5.69390,5.50960,5.50960,5.39320,5.39320,5.61630,5.87820,5.42230,5.72300,6.00430,5.89760,5.92670,6.23710,6.70270,6.91610,7.11980,8.08980,8.64270,9.28290,10.32080,11.00950,12.04740,12.58090,12.91070,13.15320,13.30840,13.53150,12.84280,12.52270,12.75550,12.50330,12.22200,11.67880,11.69820,11.21320,11.18410,11.18410,10.48570,10.51480,10.32080,10.05890,9.79700,9.69030,9.37990,9.18590,8.97250,8.97250,8.87550,8.79790,8.63300,9.07920,9.07920,9.59330,9.71940,9.98130,9.36050,10.23350,11.08710,12.08620,12.45480,12.45480,12.50330,12.50330,12.28990,11.96980,12.68760,12.20260,11.78550,11.38780,11.05800,10.72820,10.87370,10.38870,10.34020,9.71940,12.84280,10.82520,9.71940,8.36140,9.53510,8.22560,9.22470,8.20620,7.14890
2006,Mt Hutton 33_11kV,09MAY2005,MW,7.14890,8.95310,8.22560,11.41690,11.11620,9.06950,7.58540,8.44870,7.73090,6.57660,6.15950,5.93640,5.64540,5.56780,5.47080,5.38350,5.70360,5.34470,5.89760,5.54840,5.89760,6.06250,6.59600,6.79970,7.60480,8.09950,8.81730,10.36930,9.15680,10.04920,11.16470,11.31990,11.26170,11.26170,10.77670,10.31110,9.61270,9.42840,9.00160,8.99190,8.66210,8.61360,8.32260,8.35170,8.11890,7.85700,7.65330,7.58540,7.80850,7.83760,7.86670,7.57570,7.46900,7.70180,7.63390,7.42050,7.34290,7.38170,7.63390,7.42050,7.32350,7.55630,7.91520,8.01220,8.36140,8.92400,9.10830,9.53510,10.52450,11.94070,13.18230,13.73520,13.87100,14.20080,13.89040,13.09500,13.09500,13.42480,12.98830,12.50330,12.08620,11.88250,11.33930,11.26170,10.64090,9.71940,10.23350,10.29170,9.46720,13.56060,11.65940,11.08710,10.16560,9.42840,8.44870,9.26350
2006,Mt Hutton 33_11kV,10MAY2005,MW,9.26350,11.67880,11.67880,13.22110,13.20170,12.83310,11.55270,13.35690,12.62940,11.58180,10.43720,9.28290,8.48750,7.57570,7.09070,6.46990,6.29530,6.01400,6.01400,5.93640,5.82970,6.15950,6.48930,6.88700,7.13920,8.01220,9.30230,10.44690,8.94340,10.00070,10.69910,11.14530,11.72730,11.18410,10.93190,10.44690,9.70000,9.36050,9.12770,8.76880,8.25470,8.02190,7.68240,7.68240,7.68240,7.58540,7.34290,7.30410,7.42050,7.77940,7.60480,7.70180,7.44960,7.24590,7.22650,7.50780,7.54660,7.43020,7.50780,7.49810,7.50780,7.50780,7.70180,7.99280,8.32260,8.81730,9.31200,9.82610,10.88340,12.32870,13.02710,13.14350,12.93980,13.22110,12.94950,12.76520,12.37720,12.94950,12.48390,11.81460,11.52360,11.18410,10.77670,10.64090,9.98130,9.56420,9.59330,9.69030,9.03070,13.02710,11.00950,10.88340,9.82610,9.06950,8.08980,9.09860
