year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Nulkaba 33_11kV,01MAY2005,MW,4.26800,4.15160,4.15160,4.01580,3.89940,3.89940,3.89940,3.78300,3.66660,3.55020,3.66660,3.78300,3.66660,3.66660,3.66660,3.66660,3.53080,3.53080,3.93820,3.74420,3.86060,3.72480,3.86060,3.86060,3.95760,4.07400,4.09340,4.20980,4.36500,4.71420,4.81120,5.17980,5.31560,5.54840,5.66480,5.85880,6.05280,5.99460,5.70360,5.91700,5.91700,5.99460,6.05280,5.97520,5.72300,5.64540,5.64540,5.76180,5.31560,5.31560,5.45140,5.25740,5.31560,5.31560,4.96640,5.06340,5.00520,5.06340,5.19920,5.08280,5.21860,5.31560,5.37380,5.27680,5.50960,5.37380,5.68420,5.80060,5.95580,6.28560,6.77060,7.54660,7.46900,7.54660,7.66300,7.48840,7.48840,7.13920,7.06160,6.92580,6.63480,6.63480,6.22740,6.11100,5.95580,5.85880,5.97520,5.56780,5.27680,4.94700,4.94700,4.59780,4.44260,4.26800,4.26800,3.99640
2006,Nulkaba 33_11kV,02MAY2005,MW,3.99640,3.86060,3.88000,3.88000,3.62780,3.51140,3.60840,3.43399,3.39500,3.37560,3.60840,3.49200,3.33680,3.31740,3.58900,3.58900,3.58900,3.58900,3.51140,3.64720,3.53080,3.66660,3.97700,4.24860,4.20980,5.00520,4.96640,5.21860,5.60660,5.78120,6.09160,6.22740,6.40200,6.28560,6.28560,6.09160,6.09160,6.32440,6.26620,6.20800,6.03340,6.07220,6.03340,6.16920,6.32440,5.97520,5.72300,6.03340,6.01400,6.14980,6.01400,5.74240,5.68420,5.58720,5.64540,5.56780,5.41260,5.52900,5.64540,5.54840,5.47080,5.50960,5.56780,5.68420,5.68420,5.85880,6.07220,6.07220,6.18860,6.65420,7.08100,7.25560,7.37200,7.37200,7.13920,6.94520,6.88700,6.73180,6.46020,6.57660,6.49900,6.22740,6.09160,5.97520,5.58720,5.70360,5.56780,5.68420,5.56780,5.14100,5.14100,4.98580,4.48140,6.01400,5.89760,5.64540
2006,Nulkaba 33_11kV,03MAY2005,MW,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540,5.64540
2006,Nulkaba 33_11kV,04MAY2005,MW,5.64540,6.63480,6.47960,6.36320,5.76180,5.52900,5.21860,4.83060,4.71420,4.42320,4.19040,4.19040,3.93820,3.80240,3.68600,3.82180,3.97700,3.95760,3.84120,4.07400,3.91880,4.15160,4.38440,4.50080,4.50080,5.08280,5.56780,5.68420,5.89760,6.18860,6.38260,6.82880,6.59600,6.55720,6.26620,6.28560,6.26620,6.13040,6.09160,5.89760,5.99460,5.95580,5.95580,6.07220,5.85880,5.72300,5.93640,5.99460,5.87820,6.13040,5.82000,5.76180,5.76180,5.76180,5.78120,5.91700,5.72300,5.60660,5.60660,5.49020,5.60660,5.70360,5.70360,5.68420,5.54840,5.78120,5.97520,5.89760,5.91700,6.32440,6.88700,7.33320,7.21680,7.31380,7.13920,7.08100,6.73180,6.90640,6.65420,6.40200,6.30500,6.11100,5.93640,6.16920,5.80060,5.89760,5.76180,5.78120,5.56780,5.29620,5.17980,4.85000,4.71420,6.16920,6.05280,5.47080
2006,Nulkaba 33_11kV,05MAY2005,MW,5.47080,6.92580,6.57660,6.46020,5.68420,5.41260,5.23800,4.88880,4.77240,4.38440,4.24860,4.26800,3.99640,4.01580,3.93820,3.93820,3.80240,3.80240,3.66660,3.80240,3.80240,4.09340,4.34560,4.73360,4.77240,5.19920,5.50960,5.87820,6.14980,5.99460,6.28560,6.77060,6.69300,6.55720,6.36320,6.14980,6.14980,5.85880,5.74240,5.78120,5.76180,5.80060,5.68420,5.85880,5.74240,5.66480,6.01361,5.87820,6.01400,5.91700,6.03340,5.87820,5.66480,5.72300,5.85880,5.74240,5.66480,6.13040,6.01400,5.76180,5.78120,5.74240,5.62600,5.60660,5.60660,5.72300,5.74240,5.74240,5.72300,5.99460,6.28560,6.96460,7.04220,7.11980,6.94520,6.94520,6.61540,6.49900,6.38260,6.18860,6.13040,6.07220,5.97520,5.82000,5.70360,5.66480,5.72300,5.82000,5.41260,5.17980,5.06340,4.90820,4.65600,6.01400,5.87820,5.58720
2006,Nulkaba 33_11kV,06MAY2005,MW,5.58720,6.63480,6.40200,6.28560,5.83940,5.70360,4.96640,4.73360,4.50080,4.36500,3.97700,3.84120,3.84120,3.72480,3.60840,3.60840,3.60840,3.60840,3.76360,3.78300,3.86060,4.09340,4.24860,4.42320,4.53960,5.25740,5.41260,5.78120,6.14980,6.14980,6.30500,6.80940,6.73180,6.84820,6.55720,6.61540,6.65420,6.40200,6.01400,6.18860,6.24680,6.36320,5.99460,6.13040,5.99460,6.09160,5.83940,5.91700,5.72300,5.85880,5.72300,5.56780,5.64540,5.66480,5.54840,5.41260,5.58720,5.60660,5.39320,5.29620,5.23800,5.08280,5.31560,5.31560,5.49020,5.47080,5.64540,5.50960,5.56780,6.13040,6.55720,6.92580,7.13920,7.15860,6.69300,6.44080,6.44080,6.34380,6.32440,6.22740,5.95580,6.01400,5.72300,5.72300,5.72300,5.83940,5.54840,5.66480,5.54840,5.31560,5.31560,5.00520,4.77240,6.38260,6.01400,5.66480
2006,Nulkaba 33_11kV,07MAY2005,MW,5.66480,6.65420,6.53780,6.24680,5.99460,5.72300,5.06340,5.06340,4.55900,4.30680,4.07400,4.07400,4.07400,3.64720,3.66660,3.45320,3.45320,3.56960,3.56960,3.58900,3.55020,3.66660,3.97700,3.84120,3.84120,3.95760,4.09340,4.13220,4.40380,4.96640,5.14100,5.76180,5.72300,6.01400,6.13040,5.99460,6.36320,6.38260,6.14980,6.14980,6.30500,6.53780,6.51840,6.34380,6.38260,5.87820,6.07220,5.83940,6.03340,6.09160,6.01400,6.01400,5.74240,5.78120,6.01400,5.89760,6.20800,5.89760,5.62600,5.99460,5.70360,5.70360,5.66480,5.93640,5.93640,6.30500,6.36320,7.21680,7.33320,7.58540,7.89580,8.32260,8.45840,8.34200,7.97340,7.97340,7.79880,7.54660,7.60480,6.98400,7.10040,6.90640,6.67360,6.55720,6.26620,5.95580,5.95580,5.80060,5.89760,5.47080,5.23800,5.21860,4.94700,4.63660,4.63660,4.38440
2006,Nulkaba 33_11kV,08MAY2005,MW,4.38440,4.13220,4.01580,3.97700,3.97700,3.70540,3.58900,3.58900,3.58900,3.64720,3.39500,3.45320,3.45320,3.33680,3.45320,3.45320,3.43380,3.43380,3.55020,3.55020,3.68600,3.66660,3.66660,3.91880,3.80240,3.91880,3.89940,4.01580,4.34560,4.77240,5.21860,5.37380,5.47080,5.70360,5.82000,6.07220,6.11100,6.22740,6.26620,6.24680,5.89760,6.03340,6.01400,6.24680,6.07220,5.82000,5.97520,5.93640,5.70360,5.68420,5.39320,5.27680,5.27680,5.16040,5.29620,5.16040,5.29620,5.29620,5.06340,5.02460,5.21860,4.96640,5.12160,5.37380,5.33500,5.47080,5.64540,5.89760,6.13040,6.53780,6.98400,7.13920,7.27500,7.54660,7.56600,7.48840,7.58540,7.60480,6.96460,7.08100,6.73180,6.84820,6.55720,6.53780,6.42140,5.99460,5.85880,5.58720,5.58720,5.23800,5.06340,4.96640,4.73360,4.40380,4.28740,4.05460
2006,Nulkaba 33_11kV,09MAY2005,MW,4.05460,3.82180,3.82180,3.72480,3.60840,3.60840,3.60840,3.60840,3.60840,3.72480,3.72480,3.60840,3.49200,3.49200,3.62780,3.51140,3.64720,3.53080,3.60840,3.74420,4.17100,4.05460,4.26800,4.42320,4.69480,5.35440,5.50960,5.82000,6.22740,6.22740,6.67360,6.79000,7.21680,7.25560,7.21680,7.06160,6.80940,6.92580,6.71240,7.04220,7.04220,6.65420,6.38260,6.24680,6.32440,6.49900,6.24680,6.26620,6.13040,6.24680,5.89760,5.82000,5.83940,5.80060,5.72300,5.54840,5.64540,5.49020,5.49020,5.45140,5.39320,5.50960,5.50960,5.62600,5.72300,5.45140,5.64540,5.83940,6.22740,6.57660,7.04220,7.44960,7.33320,7.74060,7.46900,7.48840,7.00340,6.94520,7.19740,7.19740,7.13920,6.79000,6.53780,6.36320,6.38260,6.42140,6.09160,6.38260,6.07220,5.72300,5.60660,4.96640,4.79180,6.34380,6.11100,5.74240
2006,Nulkaba 33_11kV,10MAY2005,MW,5.74240,7.00340,6.82880,6.61540,6.11100,5.80060,5.45140,5.06340,4.77240,4.65600,4.40380,4.44260,4.09340,3.97700,3.97700,3.99640,3.88000,3.88000,3.97700,4.03520,4.05460,4.30680,4.34560,4.50080,4.85000,5.70360,5.82000,6.05280,6.53780,6.67360,6.53780,7.29440,7.06160,7.19740,6.82880,6.65420,6.53780,6.55720,6.22740,6.26620,6.14980,6.07220,6.11100,6.09160,6.11100,5.91700,6.05280,6.05280,6.07220,6.09160,6.09160,6.14980,5.70360,5.93640,5.76180,5.60660,5.78120,5.70360,5.80060,5.64540,5.62600,5.91700,5.74240,5.87820,5.64540,5.76180,5.87820,5.99460,6.11100,6.57660,6.90640,7.21680,7.00340,7.08100,6.96460,7.08100,6.84820,6.51840,6.65420,6.57660,6.57660,6.40200,6.28560,6.18860,5.89760,5.85880,5.58720,5.68420,5.70360,5.23800,4.88880,4.77240,4.65600,6.20800,6.09160,5.68420
2006,Nulkaba 33_11kV,11MAY2005,MW,5.68420,6.82880,6.71240,6.55720,5.85880,5.33500,5.21860,5.06340,4.65600,4.42320,4.19040,4.19040,3.93820,3.82180,3.93820,3.89940,3.89940,3.89940,4.01580,3.89940,3.89940,4.32620,4.32620,4.34560,4.77240,5.29620,5.60660,5.99460,6.22740,6.11100,6.57660,6.69300,7.04220,6.69300,6.77060,6.49900,6.34380,6.36320,6.24680,6.20800,5.95580,6.30500,6.03340,6.09160,5.97520,5.64540,6.09160,5.91700,5.87820,6.20800,6.24680,6.03340,5.99460,5.83940,5.95580,5.76180,5.89760,6.03340,5.66480,5.41260,5.47080,5.47080,5.45140,5.72300,5.50960,5.80060,5.68420,5.93640,6.18860,6.80940,6.94520,7.11980,6.98400,7.11980,6.92580,6.92580,6.77060,6.61540,6.46020,6.49900,6.22740,6.22740,6.11100,5.87820,5.87820,5.95580,5.60660,5.76180,5.66480,5.21860,5.10220,4.85000,4.61720,6.07220,6.09160,5.54840
2006,Nulkaba 33_11kV,12MAY2005,MW,5.54840,7.00340,6.57660,6.24680,5.87820,5.58720,5.19920,4.88880,4.77240,4.57840,4.46200,4.01580,3.89940,3.89940,3.76360,3.62780,3.60840,3.60840,3.74420,3.88000,4.01580,4.05460,4.19040,4.65600,5.04400,5.39320,5.66480,5.93640,6.09160,6.09160,6.51840,6.71240,6.77060,6.84820,6.84820,7.04220,6.73180,6.96460,6.67360,6.57660,6.71240,6.63480,6.75120,6.73180,6.53780,6.26620,6.36320,6.51840,6.65420,6.63480,6.51840,6.46020,6.26620,6.13040,6.28560,6.59600,6.09160,6.16920,6.20800,6.44080,6.42140,6.75120,6.51840,6.77060,6.77060,7.02280,7.00340,7.29440,7.27500,7.60480,7.89580,8.08980,8.08980,8.20620,8.08980,7.70180,7.54660,7.37200,7.50780,7.21680,7.21680,6.92580,6.79000,6.51840,6.42140,6.63480,6.05280,6.30500,5.89760,5.76180,5.52900,5.14100,5.17980,6.34380,6.09160,5.93640
2006,Nulkaba 33_11kV,13MAY2005,MW,5.93640,6.98400,6.79000,6.49900,6.14980,5.45140,5.56780,4.88880,4.85000,4.53960,4.26800,4.03520,3.91880,3.91880,3.91880,3.86060,3.88000,3.76360,3.80240,3.93820,3.93820,4.07400,4.19040,4.19040,4.77240,5.31560,5.50960,5.87820,5.99460,6.16920,6.42140,6.57660,6.67360,6.59600,6.79000,6.67360,6.59600,6.32440,6.34380,6.42140,6.42140,6.20800,6.34380,6.03340,5.89760,5.85880,5.78120,5.80060,5.80060,6.05280,5.74240,5.76180,5.68420,6.01400,5.60660,5.49020,5.80060,5.58720,5.23800,5.33500,5.43200,5.49020,5.33500,5.56780,5.80060,6.07220,6.16920,6.26620,6.36320,6.84820,7.35260,7.48840,7.41080,7.72120,7.37200,7.27500,7.27500,6.96460,7.08100,6.96460,6.79000,6.47960,6.47960,6.47960,6.28560,6.47960,6.24680,6.65420,6.24680,6.09160,5.82000,5.54840,5.31560,6.69300,6.57660,6.22740
2006,Nulkaba 33_11kV,14MAY2005,MW,6.22740,7.27500,6.77060,6.51840,6.38260,5.80060,5.17980,5.17980,4.98580,4.57840,4.44260,4.19040,4.01580,3.78300,3.89940,3.97700,3.74420,3.62780,3.58900,3.58900,3.58900,3.72480,3.95760,4.20980,4.09340,4.24860,4.36500,4.59780,4.85000,5.00520,5.41260,5.76180,6.34380,6.40200,6.82880,6.51840,6.63480,6.75120,6.57660,6.51840,6.63480,6.42140,6.30500,6.28560,6.13040,5.95580,5.66480,5.66480,5.87820,5.74240,5.54840,5.35440,5.35440,5.35440,5.43200,5.35440,5.21860,5.66480,5.54840,5.25740,5.49020,5.45140,5.43200,5.45140,5.39320,5.74240,6.09160,5.97520,6.59600,7.10040,7.76000,8.18680,8.32260,8.30320,8.32260,8.38080,8.05100,7.66300,7.50780,7.52720,7.33320,7.02280,6.82880,6.96460,6.86760,6.69300,6.24680,6.32440,5.97520,5.74240,5.74240,5.45140,5.60660,5.12160,5.00520,4.88880
