year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Sans Souci 33_11kV,01MAY2005,MW,12.89096,11.96205,12.37911,11.90518,11.01419,9.97154,9.51656,8.85306,8.32225,8.11372,7.92415,7.73458,7.37439,7.14690,7.18482,7.03316,6.99524,6.91941,6.84358,7.01420,7.03316,7.29856,7.27960,7.54500,7.63979,7.43126,7.90519,7.77249,8.32225,8.62557,9.19429,9.45969,9.85779,9.93362,10.19903,10.54026,11.07106,11.26063,11.39333,11.50708,11.43125,10.99523,11.33646,11.14689,11.10898,11.16585,11.10898,11.12793,11.07106,10.95732,10.67296,10.54026,10.50234,10.27485,10.12320,9.97154,10.04737,9.76301,9.85779,9.87675,10.04737,9.89571,10.04737,10.12320,10.40756,10.31277,10.46443,11.10898,11.20376,12.64452,13.47864,13.72508,13.53551,14.00944,13.70613,13.45968,13.53551,13.30802,12.72035,12.66347,12.87200,12.77722,12.79617,12.20850,12.15163,11.81040,11.16585,11.27959,12.24641,11.22272,11.90518,11.24168,10.82462,10.48338,11.62082,10.80566
2006,Sans Souci 33_11kV,02MAY2005,MW,11.77248,10.99523,11.45021,10.72983,10.04737,9.30803,8.47391,8.13268,7.63979,7.43126,7.50709,7.35543,7.27960,7.24169,7.20377,7.12794,7.09003,7.20377,7.29856,7.37439,7.65875,7.81041,8.17059,8.83410,9.59239,10.21798,11.35542,10.82462,11.03315,11.56395,11.67769,11.65874,12.03788,11.86727,11.58291,11.39333,11.33646,11.29855,11.07106,10.95732,10.76774,10.67296,10.90045,10.84357,10.71087,10.54026,10.93836,10.88149,10.67296,10.61609,10.88149,10.44547,10.50234,10.42651,10.65400,10.36964,10.36964,10.55921,10.38860,10.44547,10.25590,10.59713,10.71087,10.63504,11.10898,11.16585,11.58291,12.11371,12.62556,14.02840,14.90043,15.22271,15.50707,15.27958,15.05209,15.03314,14.54025,14.36963,14.02840,13.70613,13.66821,13.66821,13.83883,12.87200,13.02366,12.49286,12.18954,12.03788,12.87200,11.92414,12.17058,11.41229,11.03315,10.42651,11.56395,10.88149
2006,Sans Souci 33_11kV,03MAY2005,MW,11.79144,10.90045,11.10898,10.54026,9.85779,9.17533,8.56870,8.09477,7.71562,7.52605,7.35543,7.35543,7.16586,7.18482,6.97628,6.95733,7.24169,7.18482,7.29856,7.50709,7.71562,8.15164,8.36017,9.17533,9.97154,10.54026,11.37438,11.27959,11.39333,11.67769,11.84831,11.67769,11.69665,11.63978,11.22272,11.56395,11.33646,11.03315,10.99523,11.01419,10.84357,10.74879,10.63504,10.74879,10.50234,10.61609,10.78670,10.69191,10.72983,10.72983,10.76774,10.61609,10.61609,10.50234,10.55921,10.76774,10.50234,10.46443,10.42651,10.55921,10.48338,10.48338,10.67296,11.12793,11.16585,11.50708,11.84831,12.70139,13.17532,14.35067,15.35541,15.09001,15.41228,15.58290,15.26062,15.33645,14.91939,14.38859,14.33172,13.97153,14.02840,13.68717,13.80091,13.17532,13.25115,12.89096,11.86727,11.99997,13.21324,12.03788,12.49286,11.56395,11.03315,10.55921,11.41229,10.82462
2006,Sans Souci 33_11kV,04MAY2005,MW,11.52604,10.91940,11.03315,10.42651,9.68718,9.08054,8.49287,8.15164,7.75353,7.29856,7.43126,7.26064,7.20377,7.12794,7.18482,7.12794,7.10899,7.43126,7.35543,7.33647,7.79145,8.15164,8.53078,9.00472,9.91467,10.42651,11.41229,11.05210,11.67769,11.81040,11.92414,11.79144,12.03788,11.62082,11.29855,11.10898,11.10898,11.20376,11.07106,10.95732,10.80566,10.99523,10.88149,10.86253,10.50234,11.14689,10.84357,10.78670,11.07106,10.91940,10.95732,10.72983,10.74879,10.90045,10.71087,10.65400,10.71087,10.76774,10.67296,10.72983,10.78670,11.10898,11.03315,11.12793,11.46916,11.58291,12.03788,12.58764,12.85305,14.36963,15.16584,15.20375,15.56394,15.46915,15.39332,15.10896,14.91939,14.57816,14.46442,14.18006,13.83883,13.59238,13.81987,13.32698,13.13741,12.45494,11.98101,11.81040,13.09949,12.01893,12.37911,11.45021,11.01419,10.33173,11.45021,10.90045
2006,Sans Souci 33_11kV,05MAY2005,MW,11.79144,10.88149,11.10898,10.44547,9.64926,9.02367,8.45495,8.07581,7.75353,7.43126,7.48813,7.41230,7.14690,7.14690,7.14690,7.18482,7.01420,7.22273,7.31752,7.41230,7.58292,7.92415,8.41704,8.94784,9.57343,9.97154,11.05210,11.01419,11.46916,11.79144,11.98101,11.75352,11.69665,11.46916,11.35542,11.22272,11.16585,11.07106,10.90045,10.84357,10.99523,10.93836,10.91940,10.86253,10.55921,10.65400,10.78670,10.67296,10.84357,10.90045,10.82462,10.65400,10.71087,10.65400,10.61609,10.90045,10.76774,10.71087,10.71087,10.84357,10.72983,10.91940,11.01419,11.22272,11.12793,11.45021,11.79144,12.36016,12.75826,13.80091,14.74878,14.71086,14.74878,14.86252,14.52129,14.69190,14.52129,14.27484,14.06631,13.72508,13.89570,13.66821,13.91466,13.06158,13.19428,12.75826,12.20850,12.03788,12.94783,12.30329,12.64452,11.75352,11.27959,10.35068,11.48812,10.95732
2006,Sans Souci 33_11kV,06MAY2005,MW,11.65874,10.88149,11.27959,10.65400,9.78196,8.94784,8.26538,7.94311,7.81041,7.29856,7.45022,7.37439,7.31752,7.16586,6.97628,7.26064,7.01420,7.29856,7.31752,7.39335,7.63979,7.92415,8.58766,8.90993,9.81988,10.31277,11.01419,10.84357,11.52604,12.09475,11.99997,11.92414,11.84831,11.62082,11.62082,11.41229,11.39333,11.24168,11.22272,11.18480,11.22272,11.39333,11.12793,11.12793,10.84357,11.10898,10.90045,11.05210,10.97627,10.82462,10.88149,10.65400,10.88149,10.74879,10.78670,11.05210,11.12793,10.91940,10.80566,10.69191,10.99523,10.80566,11.05210,11.29855,11.35542,11.96205,11.94310,12.64452,13.27011,14.19901,14.86252,14.99522,14.97626,15.09001,14.97626,14.71086,14.21797,14.16110,13.97153,13.34594,13.61134,13.42177,13.51655,12.64452,12.92888,12.47390,11.92414,11.75352,13.08053,12.03788,12.60660,12.09475,11.69665,11.14689,12.20850,11.58291
2006,Sans Souci 33_11kV,07MAY2005,MW,12.45494,11.52604,11.84831,11.29855,10.54026,9.64926,8.94784,8.53078,8.09477,7.84832,7.60188,7.46917,7.35543,7.33647,7.26064,7.24169,7.16586,6.97628,7.10899,7.48813,7.45022,7.54500,7.71562,7.75353,8.05685,8.47391,8.77723,8.79619,9.11846,9.78196,9.97154,10.65400,10.95732,11.18480,11.37438,11.65874,12.30329,11.98101,11.79144,11.77248,11.90518,11.99997,12.01893,11.67769,11.54499,11.41229,11.46916,11.33646,11.39333,11.39333,10.93836,11.05210,11.05210,10.65400,10.82462,10.71087,10.74879,10.84357,10.74879,10.84357,10.90045,10.95732,11.18480,11.45021,11.35542,11.77248,12.75826,13.36489,13.59238,14.29380,14.67295,14.69190,14.50233,14.36963,14.36963,14.08527,13.49759,13.44072,12.89096,12.62556,13.04262,12.72035,12.92888,12.30329,12.49286,12.22746,11.63978,11.75352,12.81513,11.98101,12.22746,11.81040,11.45021,11.14689,12.45494,11.69665
2006,Sans Souci 33_11kV,08MAY2005,MW,12.66347,11.67769,11.92414,11.35542,10.69191,10.02841,9.06159,8.56870,7.98102,7.67770,7.48813,7.46917,7.22273,7.01420,6.99524,6.86254,6.74880,6.84358,6.78671,7.10899,7.01420,7.09003,7.16586,7.39335,7.75353,7.65875,7.73458,7.90519,8.66348,8.94784,9.23220,9.76301,10.16111,10.50234,10.82462,11.09002,11.27959,11.56395,11.50708,11.27959,11.16585,11.56395,11.24168,11.33646,10.99523,11.10898,10.84357,10.99523,10.65400,10.76774,10.33173,10.27485,10.31277,10.18007,10.16111,9.97154,9.64926,9.68718,9.63031,9.63031,9.63031,9.66822,9.68718,9.81988,9.97154,10.19903,10.63504,11.45021,11.84831,13.06158,13.70613,13.83883,13.64925,13.87674,13.78195,13.70613,13.49759,13.38385,13.17532,12.87200,13.06158,12.92888,12.94783,12.54973,12.64452,12.15163,11.58291,11.37438,12.72035,11.62082,12.18954,11.50708,11.10898,10.35068,11.48812,10.90045
2006,Sans Souci 33_11kV,09MAY2005,MW,11.84831,11.07106,11.22272,10.72983,10.08528,9.45969,8.89097,8.43600,7.90519,7.88624,7.60188,7.48813,7.35543,7.05211,7.09003,7.05211,7.18482,7.14690,7.01420,7.45022,8.05685,7.86728,8.15164,9.08054,9.68718,9.99050,11.41229,11.03315,11.20376,11.86727,12.13267,12.01893,12.05684,12.07580,11.52604,11.46916,11.45021,11.52604,11.39333,10.90045,10.97627,11.10898,10.90045,10.86253,10.84357,10.82462,10.67296,10.97627,11.10898,10.59713,10.72983,10.90045,10.84357,10.93836,10.65400,10.72983,10.61609,10.50234,10.50234,10.55921,10.59713,10.76774,10.48338,11.01419,11.43125,11.33646,11.94310,12.60660,13.23219,14.88148,15.27958,15.20375,15.60185,15.79143,15.54498,15.31750,14.91939,14.61608,14.10423,13.68717,13.76300,13.64925,13.89570,13.42177,13.09949,12.64452,11.98101,11.96205,12.77722,11.90518,12.26537,11.50708,11.22272,10.52130,11.56395,10.82462
2006,Sans Souci 33_11kV,10MAY2005,MW,11.96205,10.76774,11.24168,10.67296,9.99050,9.11846,8.53078,8.05685,7.98102,7.56396,7.33647,7.16586,7.29856,7.12794,6.97628,7.27960,7.18482,6.99524,7.31752,7.41230,7.69666,7.94311,8.32225,8.92889,9.78196,10.48338,11.41229,11.10898,11.92414,11.81040,12.30329,12.22746,11.86727,11.71561,11.52604,11.35542,11.01419,10.88149,10.76774,10.95732,10.90045,10.93836,10.72983,10.67296,10.61609,10.65400,10.61609,10.82462,10.69191,10.82462,10.54026,10.76774,10.88149,10.71087,10.78670,10.82462,10.63504,10.74879,10.82462,10.86253,10.88149,10.71087,11.16585,11.27959,11.79144,11.82935,12.17058,13.34594,13.68717,14.76773,15.86726,15.60185,15.62081,15.67768,15.33645,15.33645,15.16584,14.61608,13.95257,13.85778,14.12319,14.00944,13.91466,13.11845,13.27011,12.77722,12.24641,11.75352,12.92888,11.96205,12.36016,11.48812,11.01419,10.44547,11.62082,10.72983
2006,Sans Souci 33_11kV,11MAY2005,MW,11.73457,10.93836,11.22272,10.44547,9.80092,9.30803,8.72036,8.17059,7.82936,7.58292,7.56396,7.45022,7.18482,7.14690,7.26064,7.09003,7.20377,7.29856,7.18482,7.43126,7.77249,7.96206,8.37912,9.11846,9.93362,10.55921,11.63978,11.22272,11.84831,11.86727,12.26537,12.07580,11.79144,11.52604,11.63978,11.27959,11.45021,10.99523,10.93836,10.67296,10.71087,10.72983,10.93836,10.80566,10.86253,10.82462,10.57817,10.59713,10.65400,10.69191,10.61609,10.48338,10.48338,10.38860,10.65400,10.67296,10.65400,10.44547,10.42651,10.80566,10.84357,10.61609,10.88149,10.99523,11.43125,11.67769,12.05684,12.83409,13.45968,14.38859,15.05209,15.26062,15.48811,15.77247,15.26062,15.33645,15.07105,14.40755,14.40755,14.04736,13.97153,13.89570,14.16110,13.34594,13.34594,13.17532,12.13267,11.75352,13.02366,11.84831,12.41703,11.58291,11.05210,10.65400,11.52604,10.90045
2006,Sans Souci 33_11kV,12MAY2005,MW,11.71561,10.99523,11.39333,10.67296,9.99050,9.28908,8.66348,8.18955,7.81041,7.63979,7.43126,7.41230,7.37439,7.14690,7.31752,7.20377,7.37439,7.18482,7.39335,7.65875,7.81041,8.05685,8.81514,9.11846,9.81988,10.55921,11.33646,11.14689,11.79144,12.34120,12.34120,12.20850,12.09475,11.81040,11.77248,11.75352,11.27959,11.35542,11.35542,11.12793,11.03315,10.95732,10.88149,10.72983,10.72983,10.97627,10.76774,10.74879,10.71087,10.65400,10.59713,10.65400,10.76774,10.65400,10.71087,10.78670,10.65400,10.46443,10.40756,10.52130,10.63504,10.82462,10.88149,11.12793,11.50708,11.73457,12.58764,13.06158,13.63030,14.80565,14.71086,14.67295,15.37437,15.41228,15.22271,15.26062,14.65399,14.21797,14.29380,13.93361,13.97153,14.08527,14.14214,13.38385,13.44072,13.19428,12.43599,12.41703,13.53551,12.72035,12.89096,12.07580,11.62082,10.86253,11.92414,11.18480
