year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Sefton 132_11kV,01MAY2005,MW,25.77240,23.90334,22.36008,25.66951,23.90334,22.10287,21.94855,20.86827,19.23927,18.45050,17.21589,16.77006,16.18705,15.46687,15.12392,14.74668,14.69524,14.59235,14.76383,14.69524,14.55806,15.00389,15.00389,15.10677,15.82696,14.95245,15.72408,15.15822,14.76383,15.31254,16.13561,16.44426,17.23304,17.54169,17.93608,18.50194,18.81059,19.22213,19.13639,19.06780,19.06780,18.98206,19.17068,19.47934,19.99376,19.80513,19.63366,19.65081,19.11924,18.93062,19.11924,18.82774,18.60482,18.31332,17.98752,17.79890,17.73031,17.95323,17.83320,17.67887,17.67887,17.47310,18.00467,18.05611,18.51909,18.82774,19.29072,20.06234,21.45128,23.35463,24.38346,24.69212,24.36632,24.93218,24.10911,23.86905,23.95478,23.69757,23.04598,22.99453,22.63444,22.32579,22.10287,21.99999,21.65704,21.07404,20.71394,20.19952,27.40139,26.26967,29.37333,27.62431,26.11534,24.67497,27.29851,25.44660
2006,Sefton 132_11kV,02MAY2005,MW,24.28058,22.30864,21.17692,24.64067,22.84021,21.24551,21.07404,19.54793,18.19329,17.69602,16.87295,16.04988,16.20420,15.31254,14.84956,14.71239,14.76383,14.40373,14.79812,15.17536,16.03273,16.40997,17.38737,18.14185,20.21667,21.65704,23.23460,22.89165,24.36632,24.62353,25.77240,25.92672,26.26967,25.29227,25.75525,25.13795,25.82384,26.54403,26.68120,26.93841,27.16133,26.57832,27.40139,26.78409,26.62976,27.10989,27.05844,27.04130,27.16133,26.80123,27.19562,27.10989,27.26421,27.55572,27.21277,27.31565,27.10989,26.90412,27.19562,26.52688,26.23537,26.44114,26.62976,26.38970,26.62976,26.78409,27.36710,27.55572,28.80747,30.38502,30.91659,30.76226,31.15665,30.74511,29.87060,29.25330,28.85891,27.52142,27.67575,27.91581,26.85268,26.69835,26.47544,25.60092,24.79500,24.53779,24.00622,23.45751,30.69367,29.73342,32.25408,30.71082,28.94465,27.09274,29.57910,27.88151
2006,Sefton 132_11kV,03MAY2005,MW,26.06390,24.52064,22.82306,25.85813,24.98362,22.92594,22.42867,21.22836,19.89087,18.91348,18.39906,17.64457,17.33592,16.46141,16.28994,15.94699,15.74122,16.04988,16.15276,16.61574,16.97583,18.09040,18.98206,19.80513,21.39983,22.97739,25.00077,24.10911,25.24083,26.16678,26.52688,26.74979,26.21823,26.21823,26.23537,25.72095,25.97816,26.73265,25.96102,26.57832,26.74979,26.08105,26.57832,26.18393,26.68120,26.93841,26.93841,26.59547,26.83553,26.59547,26.85268,26.69835,26.93841,26.93841,27.09274,26.95556,26.68120,26.52688,26.68120,26.80123,26.59547,26.93841,27.04130,27.14418,27.29851,27.62431,27.83007,28.01869,29.06468,30.64223,31.20809,30.79656,31.07091,30.79656,30.23070,29.76772,28.80747,28.13872,28.27590,28.19017,27.41854,27.05844,26.73265,25.66951,25.15509,24.53779,24.22914,23.71472,31.01947,29.81916,32.95712,31.25953,29.76772,27.46998,29.81916,27.81293
2006,Sefton 132_11kV,04MAY2005,MW,26.11534,24.41776,22.37723,25.44660,24.33202,22.78877,22.10287,20.71394,19.83943,19.17068,17.90178,17.33592,16.82150,16.54715,16.46141,16.03273,15.92984,16.34138,16.59859,16.87295,17.28448,18.36476,19.49648,20.14808,22.32579,23.40607,25.30942,24.36632,25.30942,26.06390,26.37255,26.26967,26.64691,26.74979,26.59547,26.18393,26.49258,26.59547,26.69835,27.24706,26.73265,26.32111,27.00700,27.00700,26.90412,27.26421,26.80123,27.14418,27.04130,27.05844,26.80123,26.90412,27.04130,27.04130,27.10989,27.04130,26.80123,27.40139,26.95556,26.98985,26.83553,27.24706,27.16133,26.95556,27.55572,27.71004,28.22446,28.49882,29.83631,31.43101,31.77395,31.12235,31.63677,31.20809,29.83631,29.81916,28.89321,28.24161,27.88151,26.88697,26.69835,26.47544,25.70381,25.34371,25.24083,24.31488,24.26343,23.97193,30.19640,29.40762,32.56273,30.79656,28.73888,27.09274,29.30474,27.71004
2006,Sefton 132_11kV,05MAY2005,MW,26.21823,24.17770,22.56585,26.16678,24.72641,22.72018,23.02883,21.33124,20.11379,19.08495,17.90178,17.33592,16.92439,16.25564,16.04988,15.99843,15.79267,16.35853,16.85580,16.80436,17.21589,18.36476,18.96492,19.94231,21.69134,22.87450,24.79500,23.90334,25.05221,26.08105,26.06390,26.64691,26.06390,25.82384,26.08105,25.75525,25.97816,26.33826,26.47544,26.64691,26.83553,26.74979,26.57832,27.05844,26.68120,27.14418,26.93841,26.88697,27.19562,27.10989,27.19562,27.45283,26.98985,27.00700,26.73265,27.05844,27.09274,27.10989,26.88697,26.88697,26.80123,27.41854,27.72719,27.50427,27.60716,27.16133,27.96725,27.71004,28.65314,30.55649,31.31098,30.76226,30.91659,30.65938,29.81916,29.06468,28.73888,27.91581,28.07014,27.65860,27.76148,26.90412,26.80123,25.60092,24.88074,24.07481,23.92049,23.40607,30.04207,29.42477,32.59702,30.76226,28.96179,27.50427,29.47621,27.50427
2006,Sefton 132_11kV,06MAY2005,MW,25.60092,24.12626,22.51441,25.46374,24.10911,22.58300,22.10287,20.91971,19.65081,18.91348,17.59313,17.06157,16.28994,16.65003,16.54715,16.08417,15.79267,16.35853,16.40997,16.75292,17.47310,18.50194,18.60482,19.68510,21.14262,22.97739,24.72641,23.74901,25.15509,26.42399,27.04130,26.62976,26.73265,26.73265,26.42399,26.23537,26.69835,26.28682,27.05844,26.68120,26.59547,26.62976,27.04130,26.83553,26.90412,26.74979,27.52142,27.09274,27.21277,27.14418,26.80123,26.83553,26.95556,27.04130,26.85268,27.19562,26.93841,26.80123,26.73265,26.64691,26.13249,26.64691,26.26967,26.74979,26.69835,26.98985,27.14418,27.50427,28.65314,30.38502,30.23070,30.24784,30.43646,30.23070,29.56195,28.53311,27.34995,27.41854,27.31565,26.93841,26.62976,26.32111,25.29227,24.52064,24.38346,23.81760,23.25174,22.78877,30.33358,29.21900,32.15119,30.79656,29.30474,27.50427,29.63054,27.52142
2006,Sefton 132_11kV,07MAY2005,MW,26.21823,24.02337,22.15432,25.72095,23.66328,22.51441,22.10287,20.37100,19.68510,18.70771,17.59313,17.38737,16.61574,16.08417,15.94699,15.62119,15.36398,15.68978,15.46687,15.89555,16.44426,16.46141,16.70147,16.66718,17.59313,18.10755,18.55338,17.73031,18.26188,19.27357,19.65081,20.40529,20.78253,21.91425,22.30864,22.17146,22.72018,23.40607,23.35463,23.90334,24.02337,23.97193,23.76616,23.92049,23.69757,23.25174,23.76616,23.14886,22.97739,22.63444,22.94309,22.63444,22.22290,22.32579,21.89711,21.22836,21.24551,21.55416,21.39983,21.70849,21.55416,21.50272,21.69134,22.01714,22.66873,23.28604,24.10911,24.48635,25.87528,26.68120,27.29851,26.64691,26.52688,26.16678,26.01246,25.56663,25.29227,24.94933,24.57209,23.97193,23.64613,23.74901,23.23460,22.77162,22.78877,22.17146,21.34839,21.55416,28.94465,28.37879,31.48245,30.23070,28.58455,27.45283,29.76772,28.08728
2006,Sefton 132_11kV,08MAY2005,MW,26.59547,24.79500,23.56039,26.21823,24.57209,23.18315,21.99999,21.02259,19.70225,18.26188,17.52454,16.71862,16.03273,15.63834,15.00389,14.81527,14.79812,14.81527,14.84956,14.81527,14.90101,15.05533,15.20966,15.12392,15.84411,15.87840,16.34138,14.74668,15.43257,16.18705,17.07871,17.74746,18.26188,18.60482,19.29072,19.65081,20.04520,20.30241,20.31955,20.04520,20.26811,19.75369,19.59937,19.75369,19.78799,19.78799,19.70225,19.53078,19.39360,19.34216,19.01636,18.86203,18.70771,18.19329,18.10755,18.19329,17.73031,17.47310,17.59313,17.78175,17.42166,17.62743,17.62743,17.90178,18.39906,18.81059,19.37645,19.85658,21.39983,23.35463,24.41776,25.00077,24.88074,24.89788,24.28058,24.21199,24.28058,23.80046,23.54325,23.76616,23.45751,23.13171,22.87450,22.58300,22.12002,22.06858,21.38269,21.22836,28.34449,27.60716,30.76226,29.21900,27.55572,25.77240,28.58455,27.05844
2006,Sefton 132_11kV,09MAY2005,MW,25.61807,24.07481,22.25720,25.49804,24.05767,22.66873,21.50272,20.42244,19.53078,18.46765,17.59313,16.82150,16.40997,15.79267,15.43257,15.41543,15.07248,15.38113,15.51831,15.68978,16.87295,17.67887,18.50194,19.37645,21.09118,22.63444,25.00077,24.41776,25.77240,26.74979,27.09274,27.72719,27.46998,27.29851,26.83553,26.69835,26.78409,26.73265,26.78409,26.73265,26.78409,26.73265,26.59547,26.64691,26.57832,26.68120,27.05844,26.85268,26.69835,26.38970,26.74979,26.52688,26.90412,26.85268,27.10989,26.95556,27.04130,27.16133,26.88697,26.78409,26.44114,26.95556,26.95556,26.93841,27.29851,27.41854,27.72719,28.24161,29.25330,30.89944,31.73966,31.32812,31.01947,30.55649,30.14496,29.56195,28.60170,27.86437,27.98440,27.26421,27.05844,26.59547,26.32111,25.61807,24.79500,24.62353,23.90334,23.59469,30.76226,29.83631,32.49414,30.91659,29.35618,27.67575,29.78487,28.29305
2006,Sefton 132_11kV,10MAY2005,MW,26.42399,24.48635,23.14886,26.08105,24.89788,23.25174,22.87450,21.69134,20.30241,19.18783,18.19329,17.85034,17.23304,17.16445,16.30709,16.51285,16.34138,16.25564,16.39282,17.11301,17.64457,18.21044,19.42789,20.71394,22.36008,24.26343,25.41230,24.48635,26.16678,27.00700,27.83007,28.03584,27.29851,26.68120,26.68120,26.69835,26.64691,26.73265,27.10989,26.64691,26.78409,27.05844,26.59547,26.85268,26.78409,27.14418,26.80123,27.05844,27.09274,26.98985,26.95556,27.05844,26.98985,27.50427,27.77863,27.34995,27.45283,27.05844,27.46998,27.00700,27.19562,27.45283,27.40139,27.65860,27.93296,27.93296,28.65314,29.11612,29.88775,31.43101,32.04831,31.87684,31.92828,31.36242,30.33358,30.12781,29.52766,28.84176,27.98440,28.22446,27.29851,26.83553,26.95556,26.01246,25.34371,24.62353,24.43491,23.69757,30.86515,29.61339,32.90567,31.25953,29.04753,27.29851,29.73342,27.96725
2006,Sefton 132_11kV,11MAY2005,MW,26.23537,24.43491,22.84021,26.44114,24.89788,23.35463,22.51441,21.63990,20.14808,19.42789,18.19329,17.78175,17.02727,16.87295,16.49571,16.28994,16.35853,16.35853,16.71862,17.21589,17.79890,18.77630,19.68510,20.55962,22.37723,23.92049,25.77240,24.05767,24.41776,24.46920,25.29227,25.24083,25.20654,24.93218,25.15509,24.98362,25.08650,25.03506,25.44660,25.34371,25.03506,25.08650,25.39516,25.41230,25.39516,25.60092,25.25798,25.66951,25.13795,25.66951,25.30942,25.60092,25.61807,25.25798,25.96102,25.75525,26.11534,25.90957,25.90957,25.44660,26.28682,25.61807,25.92672,25.72095,26.01246,26.01246,26.80123,26.62976,28.17302,29.25330,29.73342,29.40762,29.71628,29.25330,28.08728,27.98440,27.31565,26.83553,26.49258,26.02961,25.29227,25.13795,24.84644,23.86905,23.49181,22.89165,22.68588,22.17146,28.60170,27.67575,30.79656,29.20186,27.10989,25.96102,28.17302,26.47544
2006,Sefton 132_11kV,12MAY2005,MW,24.69212,22.61729,21.14262,24.41776,23.33748,21.86281,20.98830,19.95946,18.81059,17.93608,17.43881,16.61574,16.18705,15.56975,15.05533,15.12392,14.96960,15.77552,14.76383,15.74122,16.28994,17.23304,17.78175,18.62197,20.50817,22.36008,23.80046,23.14886,24.48635,25.20654,25.72095,25.77240,26.06390,25.87528,25.51519,25.54948,25.46374,25.49804,25.20654,25.10365,25.80669,25.29227,25.54948,25.36086,25.30942,25.46374,25.49804,25.39516,25.03506,25.13795,25.24083,25.60092,25.05221,24.98362,25.39516,24.98362,25.03506,25.05221,24.69212,24.98362,25.41230,25.97816,26.18393,25.87528,26.73265,26.44114,26.68120,27.50427,30.60794,31.61963,31.89398,31.17380,31.53389,31.31098,30.53935,30.38502,30.17925,29.35618,29.30474,28.60170,28.07014,27.55572,27.19562,26.28682,26.02961,25.29227,24.74356,24.38346,31.43101,30.24784,33.12859,31.68822,29.63054,27.91581,30.45361,28.89321
2006,Sefton 132_11kV,13MAY2005,MW,27.10989,24.64067,23.20030,26.23537,24.52064,22.77162,22.30864,21.55416,19.85658,19.18783,18.21044,17.49025,17.42166,16.70147,16.61574,16.54715,16.40997,16.71862,16.71862,16.85580,17.43881,18.21044,18.86203,20.01090,21.53701,22.92594,24.93218,23.59469,24.93218,26.33826,26.78409,27.26421,26.47544,26.80123,26.85268,26.69835,27.41854,28.22446,28.63600,28.27590,27.83007,28.85891,28.44738,28.39593,28.58455,28.53311,28.29305,27.77863,28.94465,28.39593,27.76148,27.72719,27.52142,27.31565,27.16133,27.21277,26.95556,27.21277,27.34995,26.85268,26.80123,27.10989,27.31565,27.14418,27.09274,27.67575,27.76148,28.60170,30.23070,31.97972,32.04831,31.51674,32.04831,31.31098,30.55649,29.99063,29.52766,29.06468,28.68744,28.44738,27.98440,27.50427,27.45283,26.59547,26.06390,25.30942,25.08650,24.53779,31.61963,31.00232,33.93451,32.28837,30.71082,29.06468,30.96803,29.21900
2006,Sefton 132_11kV,14MAY2005,MW,27.50427,25.24083,23.59469,26.73265,25.24083,23.40607,22.58300,21.43413,20.31955,19.13639,18.29617,17.37022,17.07871,16.34138,15.92984,15.77552,15.48401,15.53546,15.84411,15.32969,16.25564,15.94699,16.46141,16.59859,17.47310,17.85034,18.15899,17.43881,17.64457,18.57053,19.58222,19.94231,21.03974,21.60560,22.12002,22.58300,22.84021,22.87450,22.25720,22.82306,22.72018,22.78877,22.82306,23.38892,22.87450,22.82306,22.99453,22.48011,22.12002,21.81137,21.84566,21.38269,21.02259,20.71394,20.73109,20.66250,20.86827,20.62821,20.45673,20.45673,20.31955,20.14808,20.26811,20.47388,20.86827,21.14262,21.96570,22.58300,24.67497,26.32111,27.14418,27.31565,27.41854,27.04130,26.23537,25.85813,25.13795,25.36086,25.24083,25.03506,24.64067,24.64067,24.21199,23.35463,23.25174,22.89165,22.56585,22.51441,30.04207,29.25330,32.45984,31.17380,29.83631,28.08728,31.17380,29.20186
2006,Sefton 132_11kV,15MAY2005,MW,27.93296,25.97816,24.28058,27.09274,25.60092,23.92049,23.14886,21.96570,20.40529,19.44504,18.60482,17.57599,16.66718,16.35853,15.77552,15.56975,15.32969,15.00389,14.91815,15.31254,15.17536,15.22681,15.38113,15.20966,15.94699,16.61574,16.46141,15.17536,15.82696,16.25564,17.21589,17.98752,18.24473,18.70771,19.68510,19.83943,20.61106,20.67965,21.24551,20.83397,20.57676,20.50817,20.62821,20.30241,20.57676,20.55962,20.45673,20.19952,20.31955,20.26811,19.65081,19.32501,18.87918,19.22213,19.06780,19.13639,19.17068,19.23927,18.86203,18.70771,18.82774,19.06780,18.98206,19.58222,20.45673,21.45128,22.68588,23.14886,25.10365,25.96102,27.19562,27.14418,27.19562,27.21277,26.57832,26.26967,26.16678,25.77240,25.56663,25.56663,25.03506,24.64067,23.90334,23.76616,23.54325,22.77162,22.17146,21.96570,29.21900,28.44738,31.61963,30.19640,28.29305,27.04130,29.68198,28.60170
2006,Sefton 132_11kV,16MAY2005,MW,26.98985,25.10365,23.61184,26.64691,24.94933,23.08027,22.15432,20.73109,19.70225,18.75915,17.78175,17.38737,16.59859,16.15276,15.79267,15.68978,15.58690,15.48401,15.46687,16.10132,16.70147,17.37022,18.10755,19.44504,21.53701,23.30318,25.36086,24.12626,26.18393,26.85268,27.88151,28.17302,27.26421,27.52142,27.10989,27.34995,26.98985,27.10989,27.04130,26.28682,26.26967,26.52688,26.26967,26.83553,27.29851,27.09274,26.98985,27.16133,26.59547,26.37255,26.64691,27.00700,27.24706,27.19562,27.45283,27.50427,27.10989,27.31565,27.04130,26.83553,26.85268,27.16133,27.36710,27.91581,27.93296,28.48167,29.09897,29.97349,32.03116,33.31721,34.10599,33.88307,33.79733,33.52298,33.47154,32.51129,31.84254,31.77395,31.01947,30.48790,29.93919,29.51051,28.85891,28.29305,28.08728,27.72719,27.00700,25.77240,32.40840,31.63677,34.46608,32.61417,30.86515,29.21900,31.41386,29.68198
2006,Sefton 132_11kV,17MAY2005,MW,28.24161,26.13249,24.36632,27.77863,25.90957,24.17770,23.64613,22.87450,21.38269,20.11379,19.42789,18.60482,18.15899,17.23304,16.61574,16.70147,16.40997,17.18160,16.97583,17.79890,18.14185,18.62197,19.59937,19.90802,22.25720,24.46920,26.44114,23.81760,25.20654,26.42399,29.11612,28.75603,28.27590,27.67575,26.80123,26.78409,27.14418,27.00700,27.93296,28.85891,28.19017,28.12158,27.50427,27.72719,27.55572,27.62431,28.08728,27.45283,28.01869,27.52142,27.83007,27.36710,27.50427,28.17302,27.71004,27.72719,27.67575,27.76148,28.07014,28.65314,30.02493,30.89944,30.81370,31.41386,32.15119,32.40840,32.66561,32.92282,34.14028,35.08338,36.00934,35.54636,35.44348,34.96335,34.10599,33.59157,33.23147,33.00856,32.28837,31.92828,31.43101,31.15665,30.60794,29.97349,28.80747,28.24161,27.21277,26.90412,33.88307,32.51129,34.96335,33.28292,31.17380,29.87060,31.84254,29.78487
2006,Sefton 132_11kV,18MAY2005,MW,28.13872,26.52688,24.52064,28.03584,26.26967,24.48635,23.76616,22.63444,21.24551,19.95946,19.17068,18.36476,17.47310,17.18160,17.11301,16.77006,16.51285,17.02727,17.21589,17.38737,18.39906,19.37645,20.19952,20.91971,22.89165,25.05221,26.47544,25.75525,27.93296,28.34449,29.20186,28.79032,28.70459,28.58455,28.19017,28.32734,28.55026,28.03584,27.52142,28.63600,28.32734,28.37879,28.29305,28.58455,28.53311,28.96179,29.45907,28.48167,27.93296,27.57286,27.76148,27.29851,27.31565,27.36710,27.26421,27.26421,27.29851,27.24706,26.90412,26.83553,26.95556,27.34995,27.76148,28.22446,28.80747,29.51051,30.69367,31.48245,33.43724,35.28915,35.63210,35.83786,35.90645,35.75213,35.13482,34.55182,34.03740,33.79733,33.38580,33.26577,32.45984,31.89398,31.58533,30.53935,30.43646,29.37333,28.68744,28.39593,34.98050,33.36865,35.99219,34.29461,32.44270,30.95088,32.92282,30.96803
