year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Surry Hills 33_11kV,01MAY2005,MW,20.37542,19.97928,19.73815,19.39368,19.32478,18.42916,18.44638,18.05024,17.98135,17.70577,17.41297,17.27518,17.37852,17.12017,16.93071,17.05128,16.91349,16.93071,17.13740,17.36130,17.24074,17.46464,17.49909,17.75744,18.15358,18.01579,17.86078,18.05024,18.79085,18.85975,19.11810,19.65203,20.46153,20.82323,21.32271,21.70163,22.35612,23.07951,22.95894,22.99339,23.47565,23.75122,24.13014,24.40572,24.85353,24.45739,25.00854,25.06021,25.19800,24.76741,24.93965,24.59518,24.37127,24.13014,23.90624,24.26793,24.11292,24.19904,23.78567,24.26793,23.59621,24.04402,24.40572,24.23348,24.11292,23.87179,24.50906,24.81908,24.80186,26.45532,27.00647,26.48976,26.66200,27.10981,26.71367,26.47254,26.36920,26.12807,26.09362,25.26689,24.97409,25.00854,25.02576,24.52628,23.97513,23.42398,23.40675,22.47668,22.21833,21.77052,21.35716,20.94379,20.58210,20.37542,19.99650,19.30756
2006,Surry Hills 33_11kV,02MAY2005,MW,19.18699,18.77363,18.60139,18.42916,18.18803,17.34408,17.37852,17.34408,17.25796,17.18907,16.72403,16.72403,16.75848,16.91349,16.67236,16.94794,17.12017,17.12017,17.43020,17.75744,18.51528,19.70370,20.04817,21.56384,23.09673,24.68129,25.50802,27.43706,30.46839,32.17352,33.22416,34.92928,35.80768,36.63441,37.77116,38.90792,38.97681,39.14905,39.08015,39.23516,39.54519,39.49352,39.73465,40.13079,39.54519,40.18246,39.94133,40.33747,40.11356,39.83799,39.90688,40.09634,40.52693,40.40636,39.92410,40.26857,40.68194,40.35469,39.94133,39.99300,40.18246,39.75187,39.37295,39.09738,39.04570,38.15008,38.35676,37.66782,37.66782,37.63338,37.77116,36.97888,35.08430,34.61926,34.06811,33.62030,32.93136,31.93239,31.91517,31.48458,30.58896,29.77945,28.90106,28.29823,27.31649,26.59310,26.04195,25.86972,24.83631,23.85457,23.09673,22.11499,21.47772,21.35716,21.04713,20.54765
2006,Surry Hills 33_11kV,03MAY2005,MW,19.94483,19.42812,19.13532,18.72196,18.80808,18.32582,18.13636,18.11914,17.87801,17.79189,17.53354,17.46464,17.39575,17.44742,17.22351,17.32685,17.56798,17.63688,17.84356,18.15358,18.85975,19.34201,20.37542,21.47772,23.28619,24.28515,26.00750,27.60929,29.93447,32.51799,33.12082,34.30924,35.60100,36.73775,37.32335,37.94340,38.85625,38.92514,39.66575,40.11356,39.88966,40.01022,40.83695,40.94029,40.88862,40.52693,40.78528,41.30198,41.45700,41.33643,41.00919,41.45700,41.61201,41.52589,41.74980,41.16420,41.71535,41.54311,41.38810,41.23309,41.04363,40.78528,40.80250,39.92410,39.85521,39.64853,38.54622,39.13182,38.95959,38.51178,38.39121,36.96166,35.41154,34.86039,34.15423,33.91310,32.72468,32.03573,31.82905,31.53625,30.52007,29.72778,28.48769,28.64270,27.29927,27.31649,26.76534,26.11085,24.81908,24.11292,23.18285,22.37334,21.71885,21.56384,20.99546,20.56487
2006,Surry Hills 33_11kV,04MAY2005,MW,20.25485,20.06539,19.44535,19.22144,19.06643,18.53250,18.34304,18.22248,18.20525,17.84356,17.56798,17.80911,17.84356,17.86078,17.53354,17.75744,18.10191,18.18803,18.18803,18.73918,19.04921,19.70370,20.68544,21.89109,23.64788,24.62962,26.04195,27.28204,29.65889,31.84628,33.24138,34.61926,36.20382,36.58274,37.08222,38.06396,38.59789,38.87347,39.49352,39.47629,39.61408,39.88966,39.90688,40.26857,40.50970,41.04363,41.21587,41.50867,41.66368,41.50867,41.23309,41.18142,41.21587,41.09530,41.42255,41.87036,41.69813,41.42255,41.18142,41.33643,41.04363,40.83695,40.40636,39.95855,40.18246,39.63130,38.70123,38.73568,38.94236,39.47629,38.61512,37.58171,36.06604,35.79046,34.79150,34.36091,33.72364,33.01747,32.86246,32.32853,31.41569,30.38228,29.91724,29.53833,28.65993,27.86764,26.86868,26.66200,25.54247,24.81908,24.00958,23.02784,22.44224,21.90831,21.59829,20.90935
2006,Surry Hills 33_11kV,05MAY2005,MW,20.61655,19.73815,19.41090,19.25589,18.94586,18.75641,18.54972,18.42916,17.99857,18.17081,18.13636,17.86078,17.94690,17.51631,17.60243,17.77467,18.17081,18.10191,18.39471,18.87697,19.27311,19.75537,20.70266,21.99443,23.73400,24.52628,25.78360,27.85042,30.65785,32.15630,33.55140,34.60204,35.58378,36.30717,37.37502,38.01229,38.20175,38.78735,39.87243,40.19968,39.90688,40.21690,40.42359,40.25135,40.63027,40.95751,40.76806,40.99196,41.38810,41.06086,41.57756,41.38810,41.61201,41.37088,42.14594,41.68090,41.97370,41.61201,41.42255,41.56034,41.45700,41.25031,40.47526,40.45803,39.61408,39.61408,38.89069,38.25342,37.92618,38.25342,37.80561,37.04778,35.04985,34.91206,34.22312,33.39639,32.79357,32.31131,31.48458,30.95065,30.39950,30.14115,29.69334,28.81494,27.86764,27.66096,26.86868,26.38642,25.18078,24.71574,23.71678,22.80393,22.35612,22.01165,21.61551,20.97824
2006,Surry Hills 33_11kV,06MAY2005,MW,20.40986,19.91038,19.54869,19.41090,19.03198,18.85975,18.32582,18.49805,18.03302,17.84356,17.86078,17.53354,17.58521,17.60243,17.55076,17.49909,17.67132,17.89523,17.94690,18.68751,19.37645,19.70370,20.51320,21.87386,23.38953,24.16459,25.74915,27.59207,29.88280,32.00129,33.05192,34.63649,35.46321,35.92825,36.82387,38.21898,38.37399,39.18349,38.77013,38.87347,39.30406,39.78632,39.52796,40.21690,40.54415,39.94133,39.78632,41.11253,40.54415,40.57860,40.44081,40.32024,39.99300,40.14801,40.13079,40.57860,41.28476,40.81973,40.49248,40.63027,40.56137,40.50970,40.23413,39.78632,39.20072,39.47629,38.68401,38.47733,37.97785,38.21898,37.84006,36.30717,34.80872,33.51696,32.98303,32.31131,31.41569,30.84731,30.17560,29.71056,29.26275,28.47047,27.97099,26.88590,26.62755,26.21419,25.73193,25.21522,24.02680,23.38953,23.28619,22.61447,22.06332,21.83941,21.52939,21.11603
2006,Surry Hills 33_11kV,07MAY2005,MW,20.70266,20.35819,20.06539,19.72092,19.34201,19.06643,18.70474,18.44638,18.89419,18.29137,17.84356,17.92968,17.68855,17.67132,17.63688,17.65410,17.67132,17.70577,17.77467,18.20525,18.29137,18.36027,18.53250,18.75641,19.51424,19.66925,19.75537,20.39264,20.65099,21.35716,22.16666,22.51113,23.04506,23.56177,24.25071,24.50906,25.54247,25.85249,25.90416,26.69645,26.92035,27.05814,27.50595,27.55762,27.81597,27.60929,28.00543,27.74708,27.52317,27.33372,27.21315,27.10981,26.88590,26.88590,26.83423,26.16252,26.23141,26.12807,25.85249,25.59414,25.92139,25.59414,25.40468,25.66303,25.57692,25.61136,26.00750,26.79979,26.78256,26.86868,27.33372,26.74812,26.61033,26.45532,26.19696,26.17974,25.92139,25.86972,25.50802,25.18078,24.54351,24.38849,23.99235,23.52732,23.38953,23.28619,23.04506,22.68337,22.33890,22.04610,21.59829,21.13325,21.09880,20.99546,20.59932,20.66822
2006,Surry Hills 33_11kV,08MAY2005,MW,20.37542,19.99650,19.72092,19.16977,19.16977,19.03198,18.53250,18.15358,18.03302,17.61965,17.27518,17.61965,17.13740,17.12017,17.29241,17.06850,17.17184,17.24074,17.17184,17.05128,17.60243,17.56798,17.70577,17.96412,18.22248,18.25692,18.29137,18.10191,18.48083,19.22144,19.47979,20.16873,20.40986,20.89212,21.40883,21.80497,22.13221,22.33890,23.02784,22.92450,23.76845,24.07847,24.42294,24.49184,24.73296,25.11188,24.87075,24.81908,24.92242,24.44017,24.54351,23.83734,23.85457,23.97513,23.87179,23.56177,23.42398,23.54454,23.66511,23.47565,23.37231,23.64788,23.26897,23.45843,23.30341,23.26897,23.66511,24.31960,24.57795,25.62859,26.12807,26.04195,26.61033,26.71367,26.26586,26.09362,25.97306,25.42191,25.68026,25.11188,24.81908,24.25071,24.38849,23.82012,23.47565,23.56177,23.26897,23.04506,22.47668,21.99443,21.47772,20.84045,20.46153,20.23763,19.54869,19.01476
2006,Surry Hills 33_11kV,09MAY2005,MW,18.70474,18.30859,18.06747,17.94690,17.75744,17.37852,17.22351,17.06850,16.72403,16.86182,16.75848,16.96516,16.70681,16.60347,16.82737,16.67236,17.15462,16.96516,17.10295,17.77467,18.56695,19.10088,19.96205,20.92657,22.68337,23.56177,24.87075,27.07536,29.29720,30.96788,32.60411,34.34369,35.10152,35.73879,36.08326,36.80665,37.47836,37.63338,37.82284,38.21898,38.99403,38.85625,39.42462,40.07912,39.70020,40.21690,40.56137,40.99196,40.38914,40.56137,40.78528,40.52693,40.73361,40.78528,41.18142,41.42255,41.68090,41.38810,41.12975,41.56034,41.47422,40.37192,40.13079,40.50970,40.18246,39.70020,38.78735,38.66679,39.16627,39.04570,38.35676,37.23724,35.63545,35.34265,34.73983,33.86143,33.13804,32.34576,32.20797,31.72571,30.55451,30.24449,29.53833,29.43498,28.16044,27.67819,27.02369,26.42087,25.19800,24.35405,23.45843,22.32167,21.97720,21.28826,20.94379,20.35819
2006,Surry Hills 33_11kV,10MAY2005,MW,20.20318,19.68648,19.42812,19.18699,18.99754,18.56695,18.53250,18.27415,17.96412,17.89523,17.61965,17.63688,17.51631,17.46464,17.13740,17.55076,17.94690,17.87801,18.15358,18.60139,19.27311,19.54869,20.63377,22.13221,23.63066,24.37127,25.64581,27.43706,29.95169,31.50181,33.17249,34.32646,34.89484,36.49662,36.35884,36.99611,37.47836,37.90895,38.59789,38.51178,39.54519,39.49352,40.13079,40.37192,40.44081,40.66471,40.81973,41.38810,41.02641,41.43977,41.80147,41.80147,41.56034,41.37088,42.57652,42.74876,42.93822,42.18038,42.19761,41.97370,42.12871,41.73257,41.30198,41.56034,41.28476,41.09530,39.97577,39.35573,39.71742,40.38914,39.56241,37.82284,36.49662,36.47940,35.41154,34.82594,33.68919,33.41362,32.84524,32.39743,31.20901,30.93343,30.38228,29.67611,28.95273,28.50491,27.33372,26.64477,25.33579,24.64685,23.85457,22.82116,21.99443,21.58106,20.84045,20.49598
