year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,West Gosford 132_11kV,01MAY2005,MW,19.66453,23.31805,21.74202,19.95108,18.91233,22.53003,21.95693,20.20181,19.19888,18.05268,17.08557,16.33338,15.72446,15.22299,14.90063,14.75735,14.86481,14.79317,14.93644,14.97226,15.00808,15.04390,15.15136,15.83191,16.54829,16.04683,16.33338,15.43791,15.86773,16.61993,16.51247,17.44376,18.05268,18.62578,19.52125,19.70035,20.41672,20.63163,21.02564,21.67038,21.38383,21.31219,21.34801,21.45547,20.70327,20.38090,20.34508,20.56000,20.45254,20.30927,20.45254,20.45254,20.05853,20.27345,19.95108,20.02272,19.62871,19.91526,19.66453,19.66453,19.66453,19.30634,19.66453,19.80780,19.95108,19.80780,20.59582,20.59582,21.70620,22.56585,23.99860,24.17770,24.60752,24.14188,23.49714,23.10313,22.74494,22.38676,21.70620,21.41965,22.53003,21.31219,22.20766,20.98982,21.81366,20.13017,19.59289,18.69742,19.05561,22.02857,21.59874,20.52418,22.35094,20.77491,22.20766,20.81073
2006,West Gosford 132_11kV,02MAY2005,MW,19.41380,22.53003,20.88237,19.77198,18.37505,21.63456,20.84655,19.91526,18.48251,17.76613,17.22885,16.22592,15.58118,15.83191,14.93644,15.33045,14.90063,15.15136,15.33045,15.83191,16.47665,16.94230,18.16014,19.52125,20.98982,21.59874,22.67331,21.45547,23.06731,24.42843,25.43136,26.18355,26.93575,27.32975,27.43721,28.18940,28.69087,28.61923,28.11777,28.65505,28.69087,28.69087,28.94160,29.40724,28.44014,28.61923,28.40432,28.65505,28.69087,28.51177,28.51177,28.72669,28.61923,28.58341,27.86703,28.18940,28.40432,28.08195,28.08195,28.01031,27.47303,27.22230,28.01031,27.50885,27.79540,27.72376,28.04613,27.22230,28.58341,28.76250,28.79832,28.51177,28.26104,27.83122,27.15066,26.64920,25.89700,25.39554,24.67916,24.03442,24.92989,23.60460,24.53589,23.03150,23.71205,21.77784,20.91819,19.77198,20.52418,23.35386,22.99568,21.27637,23.10313,21.74202,22.70913,21.38383
2006,West Gosford 132_11kV,03MAY2005,MW,19.41380,22.38676,21.13310,19.70035,18.41087,21.77784,21.16892,20.05853,18.76906,17.69449,16.90648,16.22592,15.93937,15.50955,15.43791,15.07972,15.15136,15.11554,15.47373,15.93937,16.87066,17.62285,18.44669,19.80780,21.06146,21.45547,22.74494,21.38383,23.03150,24.32097,25.43136,26.61338,26.36264,26.68501,26.68501,28.18940,28.54759,28.18940,28.58341,28.97742,28.79832,29.01324,29.33561,29.12069,29.58634,29.15651,29.47888,29.55052,29.72961,29.12069,29.22815,,29.19233,28.94160,29.01324,29.12069,28.61923,29.04906,28.94160,28.69087,28.72669,28.44014,28.15359,27.75958,28.26104,28.26104,27.79540,26.97156,27.79540,28.44014,29.01324,28.36850,27.97449,27.83122,26.86411,27.00738,26.11191,25.18062,24.53589,24.24933,25.35972,23.99860,24.60752,23.49714,23.78369,21.92111,21.02564,20.05853,20.34508,23.67623,22.88822,21.16892,23.24641,21.34801,22.42258,20.48836
2006,West Gosford 132_11kV,04MAY2005,MW,19.55707,22.67331,21.24055,19.59289,18.08850,21.49129,20.70327,19.73616,18.73324,17.73031,16.87066,16.26174,15.97519,15.83191,15.15136,15.22299,15.11554,15.18718,15.29463,16.19010,16.61993,17.62285,18.23177,19.41380,20.98982,22.45839,23.35386,21.59874,23.53296,24.21352,25.61045,26.57756,27.68794,27.18648,27.58048,28.47595,28.65505,28.65505,28.58341,28.79832,28.51177,28.40432,28.18940,28.61923,28.69087,28.51177,28.61923,29.08487,29.26397,28.51177,29.37142,29.15651,28.79832,29.01324,28.18940,28.33268,28.11777,27.93867,27.18648,27.32975,27.50885,27.54467,27.47303,27.18648,27.25811,27.18648,27.25811,26.93575,27.79540,28.22522,28.36850,28.18940,28.18940,27.75958,27.54467,26.64920,25.71791,25.28808,25.07317,24.39261,25.28808,24.17770,24.67916,23.28223,23.96278,22.20766,21.13310,20.23763,20.45254,23.35386,22.45839,21.38383,23.13895,21.41965,22.53003,21.02564
2006,West Gosford 132_11kV,05MAY2005,MW,19.34216,22.81658,21.38383,19.73616,18.69742,21.99275,21.02564,19.95108,18.84069,17.58704,16.83484,16.15428,15.79610,15.47373,15.07972,15.15136,15.22299,15.47373,15.47373,16.22592,17.37212,17.83777,18.44669,19.77198,20.98982,21.63456,23.21059,21.74202,23.24641,24.53589,25.96864,27.18648,27.83122,28.11777,28.01031,28.76250,28.76250,28.76250,28.51177,28.72669,28.90578,29.19233,29.12069,29.26397,29.15651,29.19233,29.33561,29.44306,29.22815,28.76250,28.79832,29.08487,28.94160,29.12069,28.69087,29.15651,29.62216,29.12069,29.08487,28.44014,28.65505,28.61923,28.33268,28.58341,28.18940,27.75958,27.65212,27.18648,27.79540,28.54759,29.22815,28.54759,28.54759,28.04613,27.83122,27.32975,26.50592,25.75372,24.89407,24.57170,25.46717,24.07024,24.67916,23.17477,23.92697,21.92111,20.91819,20.16599,20.30927,23.38968,23.06731,21.70620,23.35386,21.49129,22.53003,21.09728
2006,West Gosford 132_11kV,06MAY2005,MW,19.70035,22.70913,21.06146,19.73616,18.62578,21.99275,21.20474,19.98690,18.73324,17.73031,16.79902,16.33338,15.68864,15.43791,15.18718,15.40209,15.33045,15.54536,15.43791,16.29756,16.72738,17.51540,18.48251,19.91526,21.27637,21.67038,22.99568,21.67038,23.31805,24.64334,25.86118,27.04320,27.18648,27.07902,27.61630,28.36850,28.72669,28.51177,28.40432,28.61923,28.33268,28.83414,28.40432,28.86996,29.19233,29.01324,28.61923,28.94160,28.51177,28.29686,28.22522,28.22522,28.65505,29.08487,28.51177,28.72669,28.65505,28.18940,28.22522,28.29686,28.36850,28.18940,28.83414,28.94160,28.40432,28.11777,27.93867,27.04320,27.79540,28.33268,28.01031,27.58048,27.07902,26.79247,26.14773,25.68209,25.21644,24.60752,24.21352,24.03442,24.92989,23.71205,24.07024,23.03150,23.49714,22.63749,21.52711,20.81073,21.27637,23.89115,23.53296,22.20766,23.96278,22.70913,23.31805,21.81366
2006,West Gosford 132_11kV,07MAY2005,MW,20.02272,23.21059,21.63456,20.05853,18.62578,22.31512,21.49129,20.05853,18.91233,17.55122,16.51247,16.33338,15.54536,15.25881,15.11554,14.97226,14.93644,14.64989,14.72153,14.75735,15.47373,15.47373,16.04683,16.61993,16.90648,17.44376,18.16014,17.62285,18.84069,19.44961,20.16599,21.09728,22.31512,22.95986,23.85533,25.18062,24.96571,25.50299,25.32390,25.21644,25.28808,25.68209,25.64627,25.43136,25.28808,24.92989,25.03735,24.89407,24.67916,25.00153,23.81951,24.07024,23.74787,23.60460,23.10313,22.99568,22.60167,22.88822,23.38968,23.28223,23.49714,23.42550,23.49714,23.53296,23.89115,23.99860,24.42843,24.32097,25.28808,25.86118,26.57756,26.54174,26.32683,26.21937,25.53881,24.96571,24.10606,23.99860,23.78369,23.46132,24.03442,23.24641,23.67623,22.49421,23.17477,21.95693,21.09728,20.05853,20.88237,24.07024,23.74787,22.38676,24.28515,22.38676,23.60460,22.06439
2006,West Gosford 132_11kV,08MAY2005,MW,20.38090,23.38968,22.35094,20.56000,19.12724,22.45839,21.49129,20.23763,19.12724,17.62285,17.01394,16.26174,15.93937,15.22299,14.90063,14.72153,14.79317,14.79317,14.90063,15.07972,15.04390,15.36627,15.54536,15.97519,16.47665,16.69157,16.61993,15.97519,16.58411,17.26467,17.98104,19.19888,19.27052,20.02272,20.38090,21.20474,21.81366,21.77784,22.17184,22.63749,22.63749,22.53003,22.38676,22.42258,22.10021,21.84947,21.70620,21.63456,21.31219,21.31219,21.20474,21.27637,20.70327,20.56000,20.41672,19.95108,20.16599,19.73616,19.77198,19.70035,19.34216,19.44961,19.62871,19.41380,19.84362,20.20181,20.77491,20.70327,22.31512,23.64042,24.03442,24.39261,24.32097,24.35679,23.89115,23.53296,23.21059,22.78076,22.31512,22.06439,22.85240,22.06439,22.81658,21.84947,22.70913,20.91819,19.91526,19.34216,19.91526,22.56585,22.38676,21.09728,22.88822,21.88529,23.17477,21.27637
2006,West Gosford 132_11kV,09MAY2005,MW,20.05853,22.85240,21.52711,20.05853,18.98397,22.53003,21.45547,20.41672,19.16306,18.01686,17.04975,16.36920,16.11846,15.61700,15.11554,15.15136,15.36627,15.68864,15.43791,16.15428,16.65575,17.51540,18.08850,19.91526,21.70620,22.81658,23.67623,22.27930,24.42843,25.25226,26.50592,27.50885,28.04613,28.58341,28.29686,28.90578,28.61923,28.61923,28.97742,28.90578,28.72669,28.51177,28.47595,28.58341,28.54759,28.22522,28.40432,28.61923,28.72669,28.72669,28.58341,28.33268,28.72669,29.15651,28.79832,28.54759,28.29686,28.15359,28.40432,28.18940,28.22522,28.08195,28.04613,27.93867,27.83122,27.79540,27.90285,27.11484,28.15359,28.79832,29.19233,28.65505,28.72669,28.11777,27.75958,27.40139,26.72083,25.93282,25.35972,25.21644,25.50299,24.57170,25.43136,24.17770,24.92989,23.28223,22.13603,20.73909,20.73909,23.60460,23.46132,21.59874,23.49714,21.52711,23.03150,21.38383
2006,West Gosford 132_11kV,10MAY2005,MW,19.98690,23.06731,21.56292,20.13017,18.87651,22.49421,21.63456,20.45254,19.12724,18.19596,17.08557,16.76320,16.04683,15.61700,15.33045,15.50955,15.58118,15.79610,15.76028,16.33338,17.26467,17.58704,18.69742,20.27345,21.92111,22.78076,23.49714,22.38676,23.85533,25.39554,26.75665,27.75958,28.36850,28.36850,28.29686,28.76250,28.58341,28.54759,28.47595,28.47595,28.58341,28.22522,28.51177,28.83414,29.04906,28.72669,29.37142,29.65798,29.01324,29.01324,29.72961,29.44306,29.55052,29.72961,30.08780,29.90871,29.80125,29.94453,29.69379,28.97742,29.22815,29.04906,28.72669,28.79832,28.33268,28.61923,28.18940,27.97449,28.72669,29.44306,29.29979,29.01324,28.97742,28.33268,27.72376,27.47303,26.72083,26.07609,25.68209,24.92989,26.07609,24.96571,25.68209,24.21352,24.67916,22.85240,21.70620,20.63163,20.73909,23.64042,23.17477,21.31219,23.46132,21.92111,22.92404,21.20474
