year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Arncliffe 33_11kV,01MAY2006,MW,13.28906,12.85305,12.56869,12.09475,11.39333,10.88149,10.18007,9.83884,9.57343,9.09950,8.83410,8.70140,8.58766,8.36017,8.36017,8.36017,8.58766,8.62557,8.56870,8.75827,9.08054,9.34595,10.10424,10.72983,11.43125,12.05684,12.73930,12.85305,13.66821,14.12319,14.61608,14.88148,15.10896,15.18479,15.37437,15.24167,15.41228,15.46915,15.22271,15.41228,15.09001,15.60185,15.16584,15.18479,15.03314,15.12792,15.56394,15.12792,15.33645,15.07105,15.41228,14.93835,15.01418,15.03314,14.90043,14.65399,14.63503,14.52129,14.88148,14.84356,14.80565,15.03314,15.05209,14.99522,15.01418,15.12792,15.46915,16.07579,16.18953,16.77721,17.38384,17.55446,17.68716,17.44071,17.32697,17.19427,16.77721,16.66346,16.45493,16.32223,16.49285,16.62555,16.32223,15.58290,15.46915,15.27958,14.80565,14.65399,15.62081,14.36963,14.35067,13.40281,12.83409,12.36016,13.15636,12.68243
2007,Arncliffe 33_11kV,02MAY2006,MW,13.34594,12.75826,12.68243,11.99997,11.43125,10.71087,10.44547,9.87675,9.42178,9.13742,8.98576,8.68244,8.58766,8.53078,8.36017,8.43600,8.43600,8.58766,8.72036,8.79619,9.09950,9.72509,10.23694,10.63504,11.52604,12.09475,12.83409,13.38385,14.42650,15.14688,15.39332,15.71560,15.58290,15.46915,15.20375,15.26062,14.84356,15.33645,14.84356,14.74878,14.82461,14.74878,14.69190,14.57816,14.91939,14.74878,14.72982,14.97626,15.09001,14.78669,14.65399,14.86252,15.07105,14.78669,14.67295,14.90043,14.88148,14.55920,14.50233,14.71086,14.50233,14.48337,14.55920,14.71086,14.46442,14.72982,15.01418,15.48811,15.39332,16.34119,17.06157,17.40280,17.15635,17.17531,17.42176,17.30801,16.62555,16.26536,16.24640,16.07579,16.32223,16.24640,16.34119,15.48811,15.48811,15.60185,15.03314,14.57816,15.63977,14.57816,14.29380,13.66821,13.25115,12.43599,13.42177,12.79617
2007,Arncliffe 33_11kV,03MAY2006,MW,13.40281,12.75826,12.53077,12.05684,11.52604,10.71087,10.35068,9.91467,9.47865,9.27012,8.90993,8.75827,8.66348,8.45495,8.45495,8.43600,8.60661,8.51183,8.64453,8.68244,9.00472,9.68718,9.91467,10.61609,11.84831,12.51182,13.59238,13.47864,14.65399,15.33645,15.29854,15.77247,15.56394,15.86726,15.65873,15.39332,15.31750,15.41228,15.26062,15.48811,15.33645,14.97626,15.07105,15.12792,14.76773,15.09001,15.26062,15.20375,14.97626,14.90043,15.10896,14.84356,14.67295,14.74878,14.69190,14.95731,15.14688,15.10896,15.26062,15.10896,14.74878,14.86252,14.78669,14.82461,14.88148,14.97626,14.82461,15.05209,14.95731,16.07579,16.87199,17.17531,17.15635,17.23218,16.92887,16.81512,16.39806,16.09474,16.07579,16.03787,16.07579,16.22745,16.24640,15.41228,15.26062,14.78669,14.57816,14.38859,15.33645,14.44546,14.31276,13.36489,13.00471,12.30329,13.27011,12.75826
2007,Arncliffe 33_11kV,04MAY2006,MW,13.44072,12.70139,12.58764,11.92414,11.45021,10.80566,10.40756,9.74405,9.27012,8.96680,8.60661,8.62557,8.47391,8.41704,8.36017,8.20851,8.43600,8.26538,8.47391,8.66348,8.96680,9.47865,9.80092,10.78670,11.62082,12.01893,12.90992,12.89096,13.89570,14.72982,14.88148,15.79143,15.46915,15.12792,15.31750,15.27958,15.27958,14.93835,14.95731,15.10896,14.52129,14.78669,14.67295,14.65399,14.93835,14.93835,15.05209,14.61608,15.03314,14.67295,14.76773,14.80565,14.63503,14.57816,14.71086,14.59712,14.72982,14.67295,14.95731,14.44546,14.29380,14.55920,14.36963,14.19901,14.38859,14.33172,14.57816,14.54025,14.46442,15.24167,16.30327,16.36015,16.28432,16.32223,16.17057,16.01892,15.65873,15.48811,15.56394,15.35541,15.75351,15.73456,15.94309,15.27958,15.41228,15.18479,14.63503,14.69190,15.63977,14.54025,14.50233,13.21324,12.89096,12.24641,13.27011,12.68243
2007,Arncliffe 33_11kV,05MAY2006,MW,13.30802,12.60660,12.41703,11.98101,11.37438,10.88149,10.18007,9.95258,9.53552,9.09950,8.85306,8.81514,8.41704,8.43600,8.26538,8.22747,8.18955,8.39808,8.51183,8.66348,9.11846,9.42178,10.29381,10.82462,11.77248,12.39807,13.42177,13.51655,14.80565,15.56394,15.63977,15.88621,15.99996,15.94309,15.48811,15.37437,15.82934,15.10896,15.10896,15.10896,15.29854,14.93835,15.01418,14.95731,14.80565,14.67295,14.46442,15.24167,14.90043,14.78669,14.50233,14.46442,14.40755,14.48337,14.44546,14.38859,14.54025,14.65399,14.27484,14.12319,13.74404,13.97153,14.21797,13.97153,14.21797,14.12319,14.04736,13.95257,14.25589,15.27958,15.92413,16.01892,16.43598,16.36015,16.22745,16.03787,15.63977,15.41228,15.45020,15.07105,15.33645,15.16584,15.18479,14.82461,14.65399,14.57816,14.35067,14.04736,15.09001,14.27484,14.46442,13.66821,13.38385,12.68243,13.64925,12.90992
2007,Arncliffe 33_11kV,06MAY2006,MW,13.61134,12.85305,12.81513,12.34120,11.69665,11.07106,10.38860,10.04737,9.49761,9.04263,8.73931,8.60661,8.28434,8.22747,8.26538,8.20851,8.17059,8.13268,8.37912,8.34121,8.36017,8.47391,8.85306,9.36490,9.76301,9.87675,9.95258,9.81988,10.19903,10.78670,11.24168,11.54499,11.77248,12.41703,12.41703,12.45494,12.64452,12.66347,12.58764,12.45494,12.37911,12.22746,12.26537,12.09475,12.22746,12.26537,12.18954,11.92414,11.77248,11.75352,11.77248,11.54499,11.63978,11.37438,11.46916,11.52604,11.35542,11.14689,11.03315,11.03315,11.09002,11.14689,11.10898,11.16585,11.39333,11.63978,11.71561,12.64452,12.72035,13.97153,14.88148,15.45020,15.18479,15.14688,15.12792,14.86252,14.50233,14.19901,13.97153,13.83883,14.10423,13.97153,14.06631,13.59238,13.72508,13.70613,13.08053,12.98575,14.14214,13.38385,13.61134,13.11845,13.00471,12.45494,13.64925,12.98575
2007,Arncliffe 33_11kV,07MAY2006,MW,13.95257,13.09949,13.09949,12.51182,11.86727,11.16585,10.67296,9.93362,9.80092,9.38386,8.90993,8.58766,8.56870,8.24642,8.13268,8.15164,8.20851,8.05685,8.01894,8.18955,8.18955,8.37912,8.49287,8.60661,8.96680,8.94784,8.89097,8.83410,9.04263,9.44073,9.93362,10.23694,10.36964,11.01419,8.89097,8.87201,8.92889,9.09950,9.06159,9.09950,9.09950,9.19429,9.34595,9.04263,9.15637,8.96680,9.00472,9.21325,8.96680,9.25116,9.80092,9.72509,9.51656,9.40282,9.64926,9.63031,9.53552,9.34595,9.27012,9.47865,9.59239,8.98576,9.23220,9.25116,9.49761,9.38386,9.59239,10.04737,10.57817,11.81040,11.94310,12.07580,12.22746,12.22746,12.03788,12.03788,11.98101,11.82935,11.86727,11.69665,11.96205,12.11371,11.98101,11.71561,11.67769,11.39333,10.80566,10.74879,11.50708,10.80566,10.78670,10.08528,9.85779,9.64926,10.19903,9.81988
2007,Arncliffe 33_11kV,08MAY2006,MW,10.35068,9.80092,9.81988,9.53552,9.02367,8.64453,8.28434,7.84832,7.62083,7.37439,7.07107,7.05211,6.76775,6.69193,6.69193,6.71088,6.78671,6.86254,6.90046,7.07107,7.29856,7.67770,8.09477,8.72036,9.57343,10.61609,11.20376,11.71561,12.51182,13.06158,13.95257,13.89570,14.19901,13.72508,13.53551,13.44072,13.63030,13.36489,13.38385,12.98575,13.06158,13.11845,12.98575,12.85305,12.79617,13.00471,12.83409,12.64452,12.75826,12.56869,12.54973,12.39807,12.60660,12.53077,12.70139,12.45494,12.53077,12.45494,12.49286,12.30329,12.05684,12.26537,,12.28433,12.58764,12.53077,12.75826,12.89096,13.27011,13.97153,14.78669,14.80565,14.91939,14.88148,14.95731,14.99522,14.95731,15.07105,15.03314,14.95731,14.82461,14.93835,15.01418,14.57816,14.61608,14.33172,13.72508,13.42177,13.97153,13.06158,12.58764,11.69665,11.20376,10.54026,11.10898,10.67296
2007,Arncliffe 33_11kV,09MAY2006,MW,11.10898,10.61609,10.65400,10.23694,9.68718,9.11846,8.85306,8.45495,8.20851,7.77249,7.52605,7.52605,7.37439,7.22273,7.22273,7.20377,7.26064,7.31752,7.24169,7.65875,7.77249,8.26538,8.66348,9.55448,10.40756,11.31751,12.01893,12.49286,13.63030,14.33172,14.88148,14.72982,14.86252,14.88148,14.46442,14.27484,14.23693,13.89570,13.76300,13.99048,13.68717,13.68717,13.45968,13.30802,13.27011,13.00471,13.19428,13.21324,12.96679,12.87200,12.83409,12.66347,12.85305,12.68243,12.68243,12.53077,12.60660,12.66347,12.75826,12.75826,12.34120,12.30329,12.51182,12.62556,12.70139,12.53077,12.87200,13.04262,13.08053,14.21797,14.71086,15.03314,14.99522,15.26062,15.16584,14.95731,14.90043,14.80565,14.82461,14.84356,15.07105,15.01418,14.93835,14.35067,14.40755,14.48337,13.87674,13.25115,14.06631,13.27011,12.79617,11.75352,10.93836,10.44547,11.20376,10.72983
2007,Arncliffe 33_11kV,10MAY2006,MW,11.27959,10.71087,10.54026,10.18007,9.80092,9.19429,8.94784,8.37912,8.13268,7.84832,7.60188,7.62083,7.20377,7.14690,7.03316,7.05211,7.05211,7.14690,7.01420,7.20377,7.62083,7.92415,8.47391,9.47865,10.29381,10.63504,11.98101,12.26537,13.08053,13.63030,14.48337,14.29380,14.52129,14.19901,13.81987,13.76300,13.51655,13.57342,13.28906,13.21324,13.21324,13.23219,12.89096,13.13741,12.85305,12.68243,13.02366,12.66347,12.60660,12.51182,12.68243,12.58764,12.51182,12.60660,12.75826,12.58764,12.68243,12.45494,12.60660,12.54973,12.43599,12.15163,12.51182,12.45494,12.56869,12.43599,12.58764,12.70139,12.98575,13.81987,14.35067,14.57816,14.74878,14.80565,14.69190,14.74878,14.55920,14.33172,14.44546,14.44546,14.55920,14.46442,14.52129,13.97153,13.78195,13.55447,13.06158,12.72035,13.49759,12.53077,12.15163,11.12793,10.65400,10.14215,10.84357,10.25590
