year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Chatswood 33_11kV,01MAY2006,MW,19.80765,19.14371,18.51665,18.97772,18.25845,17.79738,17.48385,17.04122,16.41416,16.17440,16.02686,15.52890,15.34447,15.23382,15.27070,15.21537,15.25226,15.36292,15.71333,15.86087,16.61703,17.05966,18.14779,19.67855,21.85481,22.86917,24.89788,26.04134,28.05162,28.84466,29.76680,29.72992,29.61926,29.74836,30.24632,30.76272,30.96559,30.57829,30.39386,30.50452,30.67050,30.11722,29.82213,30.04345,30.52296,30.55985,30.57829,30.63362,30.33853,30.54140,30.63362,30.09878,30.43075,29.96968,30.09878,29.85902,29.65615,30.30165,30.59673,30.54140,30.37542,30.68895,30.52296,30.98403,31.03936,31.27912,31.90618,32.99431,34.21154,34.82015,35.33655,35.11524,34.96769,34.72794,34.89392,35.00458,33.86112,33.28939,32.92054,32.09061,31.59265,31.18691,30.33853,29.37950,28.47580,28.07006,27.29546,26.46553,25.59871,25.58027,25.39584,23.90197,22.81384,22.27900,21.26464,20.54536
2007,Chatswood 33_11kV,02MAY2006,MW,20.15806,19.43879,18.97772,19.69699,18.99616,18.53509,17.90803,17.42852,17.07810,16.87523,16.21129,15.97153,15.89776,15.45513,15.71333,15.75022,15.69489,15.86087,15.67645,16.04530,16.65392,17.33630,17.76049,18.77485,21.76259,23.16425,25.85691,26.55774,28.82622,30.06189,30.32009,30.17255,30.37542,29.85902,30.22788,29.69303,29.71147,28.47580,28.47580,28.73400,28.34670,28.54957,28.47580,29.96968,29.78525,29.67459,29.69303,30.08033,29.93279,30.04345,30.06189,30.00656,29.72992,29.84057,29.56393,29.67459,29.54549,29.71147,29.58237,29.60082,29.37950,29.49016,29.60082,29.63770,29.82213,30.17255,31.05780,31.85085,32.69922,33.67669,34.21154,34.58039,34.17465,33.87957,34.17465,33.75046,32.60701,32.42258,31.48199,31.53732,30.48608,30.15410,29.63770,28.64179,28.03317,28.14383,27.55366,26.44709,26.17044,25.70937,24.84256,23.88353,22.37121,22.31588,21.43062,20.39782
2007,Chatswood 33_11kV,03MAY2006,MW,20.08429,19.53101,18.95928,19.36502,18.70108,18.25845,17.64983,17.02278,16.61703,16.24817,15.80555,15.86087,15.58423,15.25226,15.25226,15.41825,15.34447,15.62112,15.58423,15.78710,16.67236,17.33630,17.61295,18.73796,21.37529,22.90605,25.58027,26.74217,29.25040,30.30165,31.20535,31.24223,30.43075,30.41230,30.72583,30.20943,30.52296,30.41230,30.33853,30.15410,30.54140,30.09878,30.20943,30.41230,30.08033,29.95123,30.06189,30.19099,29.74836,30.08033,30.33853,30.24632,29.76680,29.74836,29.87746,29.95123,29.74836,30.32009,30.43075,30.06189,29.74836,29.72992,29.98812,30.06189,29.95123,30.37542,30.59673,30.85493,32.25659,33.51071,33.58448,33.95334,33.75046,33.56604,33.28939,32.79144,32.33036,31.59265,31.48199,31.20535,30.65206,29.85902,29.04753,28.27293,27.86719,27.31390,26.98193,25.94913,25.65404,25.46961,24.91633,23.86508,22.51875,22.35277,21.67038,20.63758
2007,Chatswood 33_11kV,04MAY2006,MW,20.36094,19.49412,18.86706,19.60478,18.71952,18.36911,17.77893,17.22565,16.80146,16.37727,15.97153,15.95309,15.62112,15.47357,15.60267,15.47357,15.45513,15.56579,15.52890,16.02686,16.54326,17.09655,17.63139,18.79329,21.74415,23.05360,25.34051,26.13356,28.12539,29.43483,29.52705,30.02500,29.56393,29.91435,29.91435,29.67459,30.44919,30.15410,30.15410,30.26476,29.63770,29.71147,29.85902,30.15410,29.58237,29.60082,29.72992,29.84057,29.54549,29.63770,29.61926,29.19507,29.36106,29.45327,29.49016,29.82213,29.43483,29.01065,29.17663,29.15819,28.97376,29.28729,29.02909,29.71147,29.63770,29.61926,30.13566,30.89182,31.70331,33.16029,34.00867,34.50662,34.43285,34.30375,34.35908,34.00867,33.12341,32.68078,32.69922,32.25659,31.74019,31.22379,30.89182,30.37542,29.30573,28.18072,27.88563,26.61307,25.87536,25.74626,25.72781,24.36304,22.88761,22.40810,21.31997,20.85889
2007,Chatswood 33_11kV,05MAY2006,MW,20.49004,19.60478,18.83018,19.38346,18.95928,18.66419,18.03713,17.52073,16.93056,16.67236,16.10063,15.98997,15.97153,15.47357,14.97562,14.92029,15.06783,15.16004,15.47357,15.73177,16.59859,16.78302,17.39163,18.46132,21.04332,22.70318,25.04543,25.94913,28.67867,29.63770,30.70739,30.89182,30.15410,30.52296,30.26476,29.76680,30.13566,29.67459,30.09878,29.93279,29.49016,29.39795,29.54549,29.37950,29.71147,29.45327,29.49016,29.93279,29.71147,29.67459,29.34262,29.60082,29.56393,29.65615,29.43483,29.45327,29.19507,29.13975,29.30573,29.34262,29.17663,29.34262,29.23196,29.54549,29.71147,29.80369,30.04345,30.91026,31.75863,32.68078,33.34472,33.69514,32.82832,32.10905,31.90618,31.90618,30.13566,30.26476,29.96968,28.97376,28.78933,28.07006,27.86719,27.20324,27.09259,26.90816,26.18889,25.69093,25.04543,25.74626,25.11920,24.21550,23.14581,22.97982,22.27900,21.63349
2007,Chatswood 33_11kV,06MAY2006,MW,21.28308,20.04741,19.45724,19.88142,19.19903,18.75641,18.44288,17.83426,17.37319,17.00433,16.35883,16.02686,15.73177,15.49202,15.25226,15.36292,15.16004,15.27070,15.62112,15.34447,15.69489,16.21129,16.34039,16.78302,17.31786,17.70516,18.31378,18.66419,19.91831,20.93267,21.79948,22.66630,23.80975,24.62124,24.82411,25.41428,26.55774,26.05979,26.13356,26.85283,26.64996,25.89380,25.76470,26.17044,26.29954,26.37331,25.83847,25.58027,25.63560,25.61716,25.41428,25.24830,25.41428,25.15608,24.60280,25.04543,24.80567,24.87944,24.58436,24.63968,24.63968,24.71346,24.27083,24.95321,24.95321,25.32207,25.65404,26.37331,28.01473,29.47172,30.46763,30.89182,30.87338,30.72583,30.52296,29.49016,28.86310,28.60490,27.90407,27.35079,27.09259,26.70529,26.31799,25.56183,25.85691,25.34051,24.39993,24.04951,23.95730,24.27083,24.03107,23.03515,22.55564,22.50031,21.67038,21.39374
2007,Chatswood 33_11kV,07MAY2006,MW,21.09865,20.28716,19.56789,19.75232,19.25436,18.57198,18.01869,17.44696,16.98589,16.81990,16.54326,15.91620,15.49202,15.51046,15.23382,15.36292,15.04939,14.97562,14.95717,15.23382,15.45513,15.43669,15.91620,15.91620,16.50637,16.83835,16.89368,17.44696,18.20312,19.05149,19.54945,20.08429,21.19087,22.14990,23.20114,23.79131,23.95730,24.23394,24.39993,25.10076,25.41428,25.11920,25.28518,25.74626,25.76470,25.22986,25.24830,25.10076,24.65813,24.95321,24.89788,24.54747,24.17861,24.54747,24.10484,24.27083,24.34460,24.32615,24.25238,24.34460,24.01263,23.79131,23.82820,24.16017,24.86100,25.17453,25.50650,26.50241,27.66432,29.06597,30.04345,30.67050,30.20943,30.57829,30.54140,30.15410,30.11722,29.49016,29.32417,28.38359,28.64179,28.32826,27.83030,27.20324,26.74217,26.07823,26.00446,24.49214,24.58436,24.49214,23.92041,22.74007,21.87325,21.87325,21.31997,20.41626
2007,Chatswood 33_11kV,08MAY2006,MW,20.08429,19.19903,18.57198,19.08838,18.47976,17.92648,17.50229,17.00433,16.91212,16.37727,15.78710,15.82399,15.41825,15.43669,14.90184,15.32603,15.19693,15.30759,15.95309,15.95309,16.74613,17.52073,18.16623,19.56789,21.78104,23.27491,25.98601,26.70529,29.45327,31.62953,31.64798,31.86929,32.10905,31.51888,31.29756,31.53732,31.00248,31.11313,30.76272,31.16846,30.50452,30.54140,30.54140,30.46763,30.54140,29.89590,29.82213,30.02500,30.20943,30.08033,29.82213,29.80369,29.65615,29.82213,29.47172,29.63770,29.52705,29.32417,29.19507,29.13975,29.34262,29.06597,29.41639,29.84057,30.08033,30.74428,31.51888,32.53324,33.76891,35.88984,36.40624,36.81198,36.94108,37.71568,37.75257,36.90420,36.14804,35.87140,35.48410,34.52507,34.15621,33.73202,33.27095,32.38569,31.70331,31.13158,30.13566,29.10286,28.21760,27.79342,26.96349,25.34051,24.17861,23.38557,22.66630,21.63349
2007,Chatswood 33_11kV,09MAY2006,MW,21.61505,20.72979,19.99208,20.71135,19.86298,19.36502,18.79329,17.87115,17.68672,17.20720,17.02278,16.78302,16.54326,16.43260,15.95309,16.11907,16.04530,16.19285,16.24817,16.89368,17.48385,18.12935,18.97772,19.99208,23.07204,25.00854,28.05162,29.06597,31.59265,33.25251,34.19309,33.82424,33.38161,33.01275,32.44102,32.73611,32.36725,31.46355,31.13158,30.85493,30.74428,30.44919,31.20535,31.09469,30.55985,31.15002,30.52296,30.44919,30.15410,29.71147,30.68895,30.50452,30.44919,30.17255,29.89590,30.08033,30.08033,29.72992,29.69303,29.74836,29.91435,29.52705,29.72992,30.28320,31.03936,31.53732,32.16438,32.80988,34.37752,36.38780,36.94108,36.90420,36.29558,37.53125,37.32838,37.03330,36.38780,36.29558,36.18492,35.20745,34.70949,34.10088,33.91645,33.16029,32.12749,31.24223,30.37542,29.21352,28.80777,28.42047,27.27702,25.93069,24.67657,23.97574,23.20114,22.29744
2007,Chatswood 33_11kV,10MAY2006,MW,21.92858,20.89578,20.45315,20.69291,20.08429,19.66011,19.03305,18.47976,18.20312,17.63139,17.22565,17.20720,16.80146,16.50637,16.13752,16.19285,16.15596,16.13752,16.65392,16.67236,17.63139,18.35066,18.77485,20.26872,23.16425,24.60280,27.35079,29.02909,31.40822,32.57012,33.19718,32.66234,32.75455,32.16438,31.40822,31.62953,31.42666,30.79960,31.15002,30.67050,30.61518,30.72583,30.67050,30.76272,30.24632,30.52296,30.44919,30.46763,30.32009,30.09878,30.39386,30.26476,30.26476,29.95123,30.15410,29.98812,30.00656,29.80369,29.63770,29.71147,29.85902,29.47172,29.65615,30.15410,29.93279,30.37542,31.03936,31.81396,34.17465,34.83859,35.98205,35.77918,35.18901,35.92672,36.31402,35.83451,34.74638,33.91645,33.86112,34.02711,33.30784,33.23406,32.33036,31.13158,30.67050,30.32009,29.47172,28.42047,27.62743,27.47989,26.59463,24.99010,23.90197,23.90197,23.01671,21.94702
