year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,East Maitland 33_11kV,01MAY2006,MW,6.42259,6.22695,6.03730,5.87693,5.81487,5.89590,5.69167,5.67696,5.63222,5.55121,5.50807,5.49037,5.44315,5.54575,5.53798,5.56192,5.63222,5.65646,5.75375,5.85109,6.09591,6.43137,6.65405,7.14969,7.80302,8.62668,9.03783,9.72154,9.38003,9.55921,9.69781,10.08066,10.27167,10.36791,10.78755,10.82545,11.15887,11.16488,10.95716,10.93535,11.16603,11.04549,10.59514,10.67718,10.72096,10.71428,10.73889,10.82930,10.85400,10.72181,10.69334,10.59939,10.50902,10.52705,10.58682,10.22699,10.31863,10.49366,10.50216,10.34519,10.39524,10.53423,10.52161,10.52010,10.72766,10.77977,10.79589,11.03691,11.44000,12.06473,12.28386,12.54678,12.58391,12.45003,12.02990,11.61820,11.29530,11.10084,11.00654,11.12773,10.75039,10.58492,10.33570,10.00913,9.77997,10.00612,9.98364,9.71017,9.28093,8.64990,8.13013,7.63112,9.98625,10.52586,10.17347,9.59670
2007,East Maitland 33_11kV,02MAY2006,MW,11.94549,12.27945,11.56746,10.61897,9.78727,9.01654,8.32842,7.81190,7.37565,6.90980,6.63153,6.33815,6.11894,5.99081,5.99847,5.82005,5.80223,5.80491,5.92641,6.18987,6.49762,6.72598,6.86647,7.41819,8.38653,9.14224,9.73355,10.34199,10.26844,10.35960,10.78656,10.82890,10.57939,10.97707,11.12935,11.04269,10.92231,10.72383,11.04245,11.03989,10.95432,11.07145,10.32285,10.23940,10.10177,10.12828,10.46040,10.41444,10.46448,10.52070,10.46767,10.56051,10.30778,10.16985,10.21990,10.12534,10.28939,10.02256,10.34896,10.34665,10.35637,10.29770,10.19512,10.32045,10.72722,10.84457,10.72626,10.90001,11.44659,12.05797,12.23302,12.20260,12.09789,12.04239,11.87004,11.59931,11.24609,11.07544,10.80796,10.86696,10.71860,10.32853,10.20802,9.80802,9.62279,9.94819,10.06612,9.57764,9.14176,8.72926,8.08013,7.59661,9.81466,10.31947,9.97662,9.63187
2007,East Maitland 33_11kV,03MAY2006,MW,11.77542,12.11015,11.43125,10.61856,9.86990,9.17863,8.35542,7.66748,7.28716,6.93031,6.45591,6.19367,6.13400,5.87350,5.83278,5.75657,5.58964,5.68742,5.81852,5.92821,6.34766,6.44777,6.84371,7.49403,8.43829,9.15696,9.79461,10.36353,10.17890,10.44996,10.88916,10.83189,11.28167,11.38750,11.33518,11.37039,11.27084,10.74204,10.74078,10.64713,10.50307,10.20225,10.29515,10.15095,10.27269,10.19209,10.45897,10.72044,10.78529,10.54650,10.49535,10.46093,10.12409,10.06576,9.91851,10.19721,10.49900,10.46697,10.31163,10.14867,10.17476,10.28309,10.26068,10.35637,10.33865,10.72508,11.07064,11.18115,11.53384,12.15673,12.24909,12.17845,12.36308,12.06380,11.86720,11.52807,11.27546,11.02484,10.84670,10.94229,10.58457,10.28806,10.02164,9.82303,9.60281,9.86454,9.89633,9.64892,9.23348,8.74664,8.28621,7.70711,9.86050,10.44291,10.13658,9.61467
2007,East Maitland 33_11kV,04MAY2006,MW,11.75477,11.99506,11.42477,10.64631,9.89277,9.18616,8.56555,7.74285,7.15604,6.83970,6.58843,6.26422,5.98061,5.90682,5.79077,5.70719,5.72695,5.72008,5.83476,5.98641,6.14592,6.48608,6.82268,7.29397,8.02130,8.64123,9.47840,10.27387,9.95111,9.86575,10.35684,10.25129,10.41487,10.46431,10.60124,10.86620,10.59027,10.49502,10.63601,11.09534,10.75949,10.92571,10.87834,10.48858,10.50429,10.30102,10.31798,10.33249,10.31798,10.42459,10.43921,10.63036,10.31163,10.46828,10.46867,10.25658,10.39581,10.68566,10.15501,10.11125,10.15000,10.24216,10.26791,10.50703,10.78656,10.74125,10.65559,10.59194,10.93030,11.73926,12.36825,12.59369,12.60108,12.62124,12.49964,12.38026,12.16554,11.96032,11.78128,11.73707,11.57864,11.23830,10.97552,10.80483,10.24191,10.35590,10.21869,9.95240,9.45158,8.79649,8.32274,7.84204,9.91811,10.44668,10.05541,9.47526
2007,East Maitland 33_11kV,05MAY2006,MW,11.70762,12.12271,11.53465,10.71917,9.84623,9.02459,8.41328,7.77338,7.36938,6.88321,6.65792,6.35132,6.10085,5.93054,5.84481,5.73744,5.77796,5.81608,5.90447,6.02823,6.45019,6.66965,6.92723,7.44517,8.17144,8.89392,9.79299,10.62943,10.49701,10.63552,10.92091,11.25040,11.36998,11.06722,10.97463,10.57508,10.19586,10.33575,10.27474,10.29983,10.17707,10.06327,10.25488,10.05223,10.03535,9.93533,9.95943,10.10881,10.22403,10.42151,10.36755,10.46328,10.64597,10.36645,10.37655,10.55410,10.48699,10.51707,10.49941,10.40093,10.33422,10.28414,10.25396,10.48947,10.66421,10.80644,10.81663,10.77868,10.83441,11.30698,11.37540,11.29012,11.53270,11.43909,11.16359,10.92142,11.00382,10.70152,10.62331,10.44530,10.23346,10.16379,10.14129,10.04021,9.91298,10.32335,10.27225,10.05343,9.62833,9.13129,8.93556,8.59402,10.53544,10.96764,10.67516,9.98824
2007,East Maitland 33_11kV,06MAY2006,MW,11.94674,12.20349,11.50229,10.50066,9.85056,9.03058,8.54433,7.96224,7.50598,6.99827,6.70637,6.39625,6.24517,6.06161,5.92341,5.81848,5.70421,5.74266,5.82577,5.82874,6.19102,6.38431,6.76089,7.12321,7.38685,7.62610,7.98276,8.29586,9.30632,10.14738,10.39745,10.98665,11.51589,11.89008,12.04559,12.16174,12.08564,11.90952,11.79550,11.55746,11.42028,11.23605,11.23734,11.12027,10.86624,11.02141,10.88399,10.79920,10.62127,10.69765,10.42645,10.53659,10.44996,10.33219,10.11597,10.02276,10.12650,9.81180,10.12405,10.15512,10.12249,10.06251,10.21497,9.79546,9.86983,10.12481,10.48139,11.06486,11.44633,12.34075,13.10786,13.50385,13.35871,13.20413,13.03063,12.58635,12.32383,12.18818,11.79298,11.71513,11.39443,11.05416,10.93009,10.63330,10.24806,9.99717,9.56200,9.49996,9.28534,8.76509,8.47945,8.11986,7.86916,7.63018,7.49927,7.32081
2007,East Maitland 33_11kV,07MAY2006,MW,6.90103,6.60746,6.41678,6.27615,6.14507,6.05938,5.93782,5.90224,5.92625,5.84271,5.86673,5.75025,5.69965,5.61861,5.62111,5.63565,5.60463,5.60717,5.72570,5.75974,6.06489,6.36785,6.60551,6.87958,6.96592,7.18445,7.43939,8.06225,9.71359,10.97820,11.53739,12.16080,12.97808,13.45732,13.70236,13.68287,13.84704,13.80195,14.13661,14.09105,14.10117,13.66338,13.47562,13.29090,12.39208,12.39036,12.56651,12.38637,12.13701,12.29058,12.22626,12.03849,12.19142,11.84092,11.91151,12.03551,11.74216,11.51485,10.16296,10.09795,10.07257,10.27581,10.29278,9.81986,9.49810,9.63048,9.69052,10.16155,10.70016,11.81400,11.73467,12.80118,12.76095,12.59444,12.63939,12.31082,12.15209,11.88577,11.62340,11.37283,11.00611,10.60847,10.29131,10.20077,9.64672,9.20325,8.92930,8.58648,8.34041,7.80432,7.31782,7.15570,6.84106,6.59793,7.01871,6.68434
2007,East Maitland 33_11kV,08MAY2006,MW,6.35289,6.17625,5.94730,5.65161,5.58494,5.59449,5.51098,5.26784,5.33464,5.33497,5.29197,5.28246,5.31848,5.32357,5.34255,5.31665,5.36235,5.45904,5.63024,5.67076,5.99032,6.24990,6.62667,7.13231,7.92978,8.58617,9.41452,10.33833,10.29359,10.71649,11.32657,11.58159,11.81398,11.67328,11.56138,11.16065,11.06412,11.15110,11.16664,11.02059,10.86296,10.83615,10.87867,10.93928,10.72426,10.74152,9.98618,10.18613,10.16904,10.06100,10.05465,9.93754,9.82443,9.88414,9.81467,9.67461,9.58991,9.45867,9.40215,9.44338,9.46536,9.45260,9.63562,9.59833,10.39637,10.85045,11.13561,11.45087,12.07036,12.69483,13.01537,13.13680,13.31691,13.30929,13.17697,13.03053,12.75040,12.51918,12.38026,12.17080,12.05797,11.72582,11.36933,11.00047,10.82292,11.34662,11.28498,10.85227,10.32223,9.53260,8.83016,8.32155,10.31068,10.88651,10.45116,9.99786
2007,East Maitland 33_11kV,09MAY2006,MW,12.14371,12.61597,11.86442,11.10483,10.36172,9.66947,8.81867,8.28812,7.90079,7.31869,7.04953,6.78613,6.52959,6.32878,6.21655,6.03302,6.00204,6.05481,6.21689,6.32646,6.70285,7.08544,7.48366,8.22138,9.24063,10.02356,11.22296,12.31288,12.25753,12.57456,12.82265,12.67293,12.62927,12.43837,12.18523,12.09766,12.16686,12.15021,12.01514,11.85028,11.91350,11.70987,11.29668,11.04683,11.04075,10.82124,10.85289,10.76511,10.80534,10.54691,10.74078,10.47383,10.40943,10.22997,10.17525,10.01332,9.93523,9.85450,9.97643,9.87401,9.94843,9.97172,9.98867,10.38485,10.73391,10.95208,11.42302,11.57791,12.51608,13.52161,13.95351,14.07719,13.99069,14.11991,14.02370,13.40675,13.33846,13.31776,12.97155,12.68507,12.27282,12.12959,11.82407,11.64220,11.25355,12.12424,12.12985,11.75477,10.84716,10.04378,9.35953,8.71116,10.58045,11.19259,10.76469,10.33682
2007,East Maitland 33_11kV,10MAY2006,MW,12.18896,12.82596,12.10354,11.31646,10.54442,9.87344,9.18516,8.59844,8.11063,7.55763,7.10511,6.97382,6.78677,6.48596,6.33812,6.18581,6.18078,6.20950,6.27375,6.45753,6.80368,7.08730,7.37295,8.10393,9.04737,9.69960,10.77153,11.45226,11.21572,11.76788,12.33649,12.15438,12.34960,12.17118,12.03689,12.10523,11.93783,11.63382,11.74527,11.40146,11.11480,10.97154,10.91954,10.79199,10.88638,10.60748,10.71917,10.88710,10.98200,10.75054,10.88978,10.61031,10.57926,10.55042,10.36759,10.78744,10.06146,9.77787,9.97116,9.51726,9.72897,10.11286,10.00877,10.16199,10.41409,10.65301,10.82006,10.76306,11.18375,11.98629,12.14971,12.26928,12.36990,12.14583,11.93203,11.65353,11.57175,11.31295,11.15771,11.25292,11.00347,10.59304,10.32770,10.15911,9.70251,10.07167,10.09714,9.72292,9.22472,8.62000,8.13446,7.55349,9.69320,10.43185,10.15005,9.65646
