year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Gateshead 33_11kV,01MAY2006,MW,6.94783,6.56449,6.32534,7.87584,7.12220,6.30731,6.01477,6.26704,5.88050,5.43401,5.19513,4.93111,4.80007,4.70153,4.63598,4.77084,4.82750,4.81606,4.81773,5.00313,5.36081,5.52740,5.89961,6.27813,6.98095,7.56455,8.08725,8.11652,8.44059,8.74275,8.76019,9.28310,9.64104,9.70203,9.73558,9.62484,9.63139,9.70525,9.68155,9.80025,9.93990,9.83203,9.98412,10.03243,10.16553,10.06320,10.06457,10.14283,9.92300,9.93348,10.14289,10.17056,10.04389,10.03093,10.06670,10.03200,10.19880,9.94354,9.88373,9.76865,9.87453,9.78834,9.48681,9.62787,9.74372,9.71557,9.93178,9.88096,10.27302,10.82795,11.29959,11.03022,10.86143,10.65623,10.46528,10.34019,10.33328,10.34201,10.03254,9.74075,9.58907,9.43801,9.11526,8.71502,8.47327,8.02651,8.00292,7.97651,8.95566,8.81534,8.77424,8.35325,7.94869,7.51213,7.77329,8.48407
2007,Gateshead 33_11kV,02MAY2006,MW,8.75242,8.75012,8.47582,9.15175,8.91854,8.53812,8.16507,8.87342,8.47826,7.68419,6.92801,6.52322,6.10290,5.81325,5.44518,5.32976,5.25452,5.05146,5.22793,5.17184,5.40813,5.65448,6.03553,6.52717,7.26754,7.78878,8.48161,8.34880,8.68588,9.34225,9.53083,9.85672,10.00624,9.89507,9.90985,9.90706,9.73165,9.92517,10.11836,9.93416,9.93432,9.89943,9.92605,9.80620,9.82995,9.88140,9.90939,9.72722,9.60466,9.69990,9.90930,10.09058,9.94024,9.80564,9.82691,9.76294,10.04773,9.93347,9.97941,9.77581,9.76977,9.58639,9.69650,9.66685,9.74437,9.73695,9.89492,10.03374,10.43401,11.01691,11.33882,11.06748,10.89722,10.65779,10.60569,10.44932,10.19304,10.18065,10.03209,9.67454,9.37046,9.09762,8.95090,8.71718,8.44076,8.16845,8.11018,7.92300,9.06613,9.00627,8.98970,8.54955,8.01646,7.40005,7.57748,8.36952
2007,Gateshead 33_11kV,03MAY2006,MW,8.74405,8.78153,8.49114,9.21749,9.05888,8.42195,8.14058,8.87167,8.31518,7.77770,7.27271,6.79671,6.26165,5.92469,5.55344,5.54662,5.37262,5.26597,5.37615,5.32715,5.67250,5.96663,6.31218,6.43928,7.55273,8.26311,8.98640,8.73365,9.11013,9.91148,10.18706,10.24648,10.40700,10.45756,10.40765,10.12941,9.62582,9.73313,9.59023,9.85401,9.67151,9.73611,9.79833,9.93331,10.00585,9.90094,9.93608,9.76125,9.58079,9.59221,9.81063,9.86998,9.90169,9.90338,10.09247,10.04170,9.97338,9.93754,9.87936,9.78614,9.80335,9.91156,9.77945,9.70486,9.64569,9.58337,9.64075,9.73631,9.93538,10.22004,10.64487,10.60160,10.45013,10.51395,10.52851,9.63961,9.72328,9.94051,9.81648,9.58376,9.21491,9.15530,8.76645,8.58591,8.23621,8.07910,8.06420,7.99184,8.85210,8.84029,9.00130,8.45878,7.80727,7.30060,7.57904,8.36644
2007,Gateshead 33_11kV,04MAY2006,MW,8.73723,8.79399,8.37067,9.04025,8.77101,8.35672,8.01077,8.76830,8.25874,7.76515,7.28506,6.68420,6.28339,5.88732,5.57930,5.17902,5.15225,5.02552,4.98869,5.13247,5.42482,5.66669,6.17505,6.47983,7.21747,7.87192,8.30049,8.39198,9.02869,9.46331,9.65277,9.97879,10.30206,10.17217,9.99785,9.69078,9.68936,9.61919,9.88608,10.00288,9.90309,9.86264,9.96712,10.00600,9.96780,9.85119,9.95062,9.88809,9.60596,9.63465,9.65322,9.85580,9.87457,9.99994,9.87320,9.93991,9.83010,9.92043,9.60297,9.58094,9.36505,9.36498,9.34263,9.45904,9.52306,9.58750,9.39547,9.36232,9.85039,10.53823,11.05274,11.17747,11.17109,11.20058,11.11517,10.88275,10.76920,10.86251,10.70741,10.47971,10.09139,9.84077,9.51667,9.22180,8.74819,8.29917,8.19344,8.03052,9.19598,9.08367,8.95337,8.64481,8.09635,7.64569,7.81137,8.49833
2007,Gateshead 33_11kV,05MAY2006,MW,8.83188,8.80677,8.44365,9.10228,8.96847,8.51866,8.33643,8.96477,8.45446,7.94516,7.26802,6.80184,6.28128,5.94222,5.75381,5.45140,5.39107,5.20114,5.28524,5.31888,5.54717,5.78155,6.10972,6.60399,7.22226,7.94035,8.54102,8.49846,8.96311,9.58761,10.03146,10.12931,10.44996,10.45440,10.35224,10.16533,9.85593,9.78667,9.71764,9.80375,9.66341,9.65061,9.58227,9.64940,9.67628,9.70747,9.84677,9.98388,9.73963,9.73667,9.76719,9.85103,9.87423,9.72409,9.67231,9.68607,9.77373,9.73629,9.63117,9.40627,9.37125,9.26173,9.16872,9.19738,9.23265,9.31678,9.38892,9.38443,9.50009,9.93258,10.24252,10.05870,10.00173,9.89637,9.74192,9.47696,9.30576,9.51633,9.34902,9.04439,8.79499,8.51766,8.22943,8.04199,7.63625,7.56370,7.48633,7.62075,8.56797,8.57313,8.66246,8.26916,7.82344,7.42707,7.55528,8.32704
2007,Gateshead 33_11kV,06MAY2006,MW,8.71831,8.75552,8.44348,9.32293,8.94536,8.36595,7.65897,7.03206,8.01254,8.02373,7.29081,6.76981,6.28655,5.90697,5.60749,5.35351,5.28504,5.04025,4.94527,5.06203,5.17877,5.37017,5.48226,5.86530,6.43908,6.83264,7.12426,7.64053,8.16978,8.66230,9.44567,9.82594,9.86180,10.27649,10.66879,10.72454,10.51081,10.53275,10.46762,10.37042,10.24688,10.07962,10.00768,9.96100,9.53585,9.21616,9.22813,9.10827,8.69057,8.58396,8.51795,8.67691,8.61060,8.59370,8.33782,8.04693,8.08814,8.10720,8.00792,7.85524,7.97652,8.15160,8.22364,8.35606,8.40011,8.43800,8.51248,8.07660,8.34296,8.99525,9.47942,9.45322,9.37956,9.27736,9.17001,9.06309,8.74022,8.75658,8.52976,8.28254,8.19134,7.72786,7.69996,7.59913,7.67813,7.46239,8.23631,8.12172,7.48905,6.87584,7.57406,7.46783,7.60618,7.54586,6.84212,7.04369
2007,Gateshead 33_11kV,07MAY2006,MW,7.34940,6.79281,6.70314,7.87810,7.29478,6.44868,5.90283,5.49863,5.85734,5.73987,5.36254,5.19337,5.06152,4.78913,4.68021,4.66868,4.78613,4.63089,4.75795,4.80384,4.97546,5.06696,5.21315,5.28579,5.59122,5.68952,6.01776,6.21486,6.59442,6.86032,7.42395,7.57928,8.40399,8.62448,8.85196,9.36871,9.60244,9.75569,9.52708,9.57185,9.70370,9.55007,9.47930,9.37965,9.21976,9.11869,8.93140,9.03230,8.93708,8.91492,9.01490,8.83619,8.77218,8.75549,8.63072,8.57450,8.33987,8.48407,8.38370,8.30905,8.37986,8.54296,8.64644,8.57033,8.55906,8.50403,8.60729,8.19816,8.42681,8.97773,9.37045,9.30351,9.24380,9.17311,8.87516,8.73625,8.63630,8.73848,8.51268,8.17328,7.72410,7.62644,7.67703,7.45703,7.44029,7.08027,7.88788,7.77313,7.13573,6.81567,7.26759,6.90230,7.03623,7.02063,6.38185,6.80295
2007,Gateshead 33_11kV,08MAY2006,MW,7.09127,6.78066,6.36383,7.81796,7.10100,6.28642,5.97263,6.13544,5.83409,5.52998,5.18933,5.01676,4.86632,4.79450,4.78608,4.78996,4.75400,4.84231,4.91112,5.05210,5.44168,5.70444,5.96892,6.19807,7.29830,8.03227,8.62796,8.61829,9.14617,9.43943,10.15126,10.64333,10.78860,10.87651,10.79196,10.28770,10.11506,10.23990,10.02967,10.09735,10.06881,10.24075,9.84351,9.62008,9.44128,9.17460,9.28636,9.33167,9.35181,9.20722,9.29754,9.39551,9.29319,9.35550,9.20528,9.39780,9.15789,9.03678,9.12622,9.03402,8.92978,8.91204,8.86678,9.05257,9.75107,9.79292,9.92792,10.37923,10.90054,11.76111,12.29509,12.05662,11.76098,11.76031,11.66312,11.46078,11.39107,11.54537,11.28157,11.00523,10.82475,10.47801,10.29056,10.00863,9.44463,9.26542,8.99827,8.56795,9.47537,9.63146,9.61763,8.95401,8.41534,7.73095,7.86677,8.72766
2007,Gateshead 33_11kV,09MAY2006,MW,8.99258,8.93670,8.73626,9.30493,9.14608,8.72143,8.51389,9.50925,8.91342,8.25561,7.72331,7.24869,6.73269,6.36442,5.99510,5.77170,5.66803,5.55561,5.53841,5.60507,5.80550,6.04692,6.58225,7.19045,8.08763,8.88902,9.85739,10.08925,10.47466,10.92355,11.34078,11.79670,12.00035,12.06727,11.89026,11.50337,11.25678,11.29212,11.12269,11.00653,10.98904,10.95484,10.65921,10.59306,10.31594,10.38323,10.45878,10.27493,9.98195,9.76014,9.85928,10.13666,10.15692,10.13188,10.15772,9.99113,9.99678,10.12617,9.95952,9.86845,9.88306,10.05181,9.89412,9.80192,9.98222,10.19349,10.55813,10.87941,11.42097,12.19360,12.84349,12.57444,12.49885,12.51675,12.46567,12.20232,11.90638,12.12851,11.99789,11.48447,11.18451,10.91894,10.44914,10.19213,9.67135,9.42071,8.61596,9.15311,10.10875,9.90166,9.58517,9.08343,8.44588,7.82430,8.03095,8.72342
2007,Gateshead 33_11kV,10MAY2006,MW,9.12754,9.12791,8.68623,9.36159,9.11994,8.73547,8.54703,9.26821,8.91705,8.37781,7.85958,7.18412,6.67293,6.29388,5.89007,5.68714,5.60231,5.51187,5.48665,5.46835,5.66543,6.21602,6.51985,6.92097,7.93302,8.59068,9.48433,9.49052,10.11172,10.49160,10.84456,11.16881,11.36540,11.37112,11.04736,10.64171,10.30204,10.31865,10.09538,10.16050,10.05621,10.20984,9.94800,10.00050,10.01464,10.07500,10.03108,9.84045,9.49534,9.50189,9.64436,9.65935,9.75294,9.76136,9.59125,9.65088,9.79372,9.67785,9.44718,9.40054,9.69536,9.79374,9.71623,9.68578,9.77922,9.65484,9.71855,9.80172,10.37779,10.97131,11.37903,10.83704,10.91690,10.79969,10.67960,10.50107,10.52077,10.63300,10.18405,9.99528,9.61109,9.36758,9.41428,9.12868,8.62746,8.49199,8.42418,8.40585,9.16177,9.09823,9.17766,8.51447,8.18467,7.65328,7.74745,8.56192
