year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Leightonfield 33_11kV,01MAY2006,MW,9.50246,9.46626,9.30336,9.30336,9.26716,9.30336,9.08617,8.97757,8.65177,8.43457,8.32597,8.36217,8.18117,8.41647,8.56127,8.50697,9.28526,9.39386,9.23096,9.41196,8.77847,9.62916,10.47986,11.00476,11.49346,12.38035,12.66995,13.03195,14.53424,14.42564,15.56594,16.28994,15.98224,16.52524,16.63384,16.97774,16.92344,17.03204,17.19493,17.14063,17.32163,17.50263,17.61123,17.71983,17.59313,17.64743,17.62933,17.37593,17.46643,17.97323,17.84653,17.91893,18.06373,17.99133,17.90083,17.99133,17.99133,17.99133,17.73793,17.52073,17.62933,17.81033,17.05013,17.10443,16.67004,16.57954,16.41664,16.45284,16.16324,16.83294,16.76054,17.05013,16.72434,16.41664,16.21754,16.05464,16.18134,15.56594,15.78314,15.34874,15.31254,14.96864,15.13154,14.86004,14.49804,14.66094,14.60664,14.26275,14.29895,14.20845,13.93695,13.81025,14.26275,13.53875,13.61115,13.61115
2007,Leightonfield 33_11kV,02MAY2006,MW,13.64735,13.43015,13.23105,13.43015,13.06815,12.56135,12.28985,12.39845,11.98215,11.85545,11.65636,11.65636,11.69256,11.51156,11.60206,11.63826,11.54776,11.71066,11.89165,12.16315,12.30795,11.90975,12.88715,13.71975,14.11795,14.71524,15.07724,15.51164,16.32614,16.79674,16.79674,17.53883,17.26733,17.84653,17.52073,16.92344,17.35783,17.28543,17.35783,17.37593,17.30353,17.50263,17.57503,17.32163,17.35783,17.23113,17.39403,17.30353,16.79674,17.62933,17.19493,17.48453,17.43023,17.48453,17.15873,17.59313,17.77413,17.32163,16.45284,16.63384,16.65194,16.81484,16.21754,16.19944,16.39854,16.05464,15.98224,16.12704,16.63384,16.77864,17.06823,16.72434,16.47094,16.23564,16.01844,15.87364,16.00034,15.58404,15.38494,15.25824,15.34874,14.89624,14.95054,14.71524,14.89624,14.98674,14.75144,14.91434,14.82384,15.00484,14.28085,14.08175,14.20845,14.15415,13.62925,13.53875
2007,Leightonfield 33_11kV,03MAY2006,MW,13.68355,13.44825,12.95955,13.14055,13.17675,13.19485,12.79665,12.65185,12.14505,11.78306,11.56586,11.43916,11.47536,11.47536,11.45726,11.74686,11.72876,11.65636,11.63826,11.76496,12.50705,12.38035,12.77855,13.35775,14.19035,14.47994,15.27634,15.85554,16.23564,16.28994,17.30353,17.32163,17.21303,17.90083,17.53883,17.24923,17.21303,17.41213,17.52073,17.48453,17.44833,17.53883,17.77413,17.68363,17.91893,17.81033,17.77413,17.05013,17.35783,17.71983,18.20853,17.44833,18.04563,18.08183,17.68363,17.91893,18.19043,17.73793,17.81033,17.59313,16.99584,16.70624,16.52524,16.39854,16.32614,16.12704,16.47094,16.12704,16.54334,16.94154,16.81484,16.28994,16.32614,16.32614,16.30804,16.07274,15.60214,15.34874,15.16774,15.13154,14.89624,15.20394,14.93244,14.80574,14.95054,14.53424,14.40755,14.98674,14.96864,14.82384,13.91885,14.09985,13.82835,14.06365,13.75595,13.99125
2007,Leightonfield 33_11kV,04MAY2006,MW,14.02745,13.52065,13.55685,13.81025,13.53875,13.33965,13.03195,12.65185,12.61565,12.00025,12.21745,11.94595,11.90975,11.65636,11.67446,11.54776,11.94595,11.63826,11.89165,11.72876,12.27175,12.61565,13.01385,13.99125,14.29895,14.47994,15.43924,16.32614,16.92344,17.01394,17.14063,17.81033,17.75603,17.39403,17.70173,17.48453,17.44833,17.19493,17.93703,17.62933,17.75603,17.79223,17.77413,17.57503,17.68363,18.31713,18.13613,17.44833,17.57503,17.68363,18.04563,17.90083,18.48003,17.99133,17.99133,17.97323,17.95513,17.93703,17.70173,17.52073,17.28543,16.92344,16.72434,16.76054,16.61574,16.83294,16.28994,16.50714,16.14514,16.67004,17.12253,16.65194,16.43474,15.81934,15.89174,15.49354,15.14964,15.33064,15.22204,15.09534,15.05914,14.76954,14.47994,14.98674,14.58854,14.13605,14.13605,14.28085,14.19035,13.86455,13.57495,13.53875,13.82835,13.88265,13.44825,13.39395
2007,Leightonfield 33_11kV,05MAY2006,MW,13.52065,13.37585,12.99575,12.86905,12.86905,12.83285,12.30795,12.07265,11.72876,11.69256,11.47536,11.25816,11.47536,11.52966,11.38486,11.72876,11.40296,11.83735,11.74686,11.94595,12.09075,12.34415,12.77855,13.75595,14.35325,15.22204,15.49354,16.88724,17.12253,17.81033,17.59313,17.90083,18.38953,18.17233,17.84653,17.75603,17.59313,17.90083,18.46193,17.75603,17.68363,18.28093,17.97323,17.73793,17.28543,17.64743,17.32163,16.97774,16.92344,16.56144,16.77864,17.12253,17.23113,17.24923,16.85104,16.95964,16.83294,16.47094,16.76054,16.34424,16.03654,16.00034,15.67454,15.74694,15.58404,15.78314,15.62024,15.62024,15.58404,16.19944,16.19944,15.83744,15.71074,15.43924,15.22204,15.40304,14.73334,14.37135,14.84194,14.11795,14.35325,14.09985,13.99125,13.75595,13.77405,13.71975,13.32155,13.52065,13.59305,13.55685,12.95955,13.17675,12.76045,12.72425,12.45275,12.59755
2007,Leightonfield 33_11kV,06MAY2006,MW,12.61565,12.32605,12.19935,12.16315,11.92785,11.89165,11.51156,11.69256,10.98666,10.87806,10.78756,10.47986,10.40746,10.37126,10.58846,10.57036,10.35316,10.67896,10.91426,10.84186,11.13146,10.84186,10.89616,11.51156,11.58396,10.69706,10.47986,10.06356,10.51606,10.35316,10.64276,10.96856,11.16766,11.16766,11.27626,11.20386,11.05906,11.24006,10.93236,11.25816,11.16766,11.09526,10.84186,10.91426,11.13146,11.13146,10.75136,10.58846,10.17216,10.24456,10.31696,10.08166,9.64726,9.50246,9.61106,9.84636,9.81016,9.73776,9.26716,9.59296,9.28526,9.64726,9.53866,9.39386,9.37576,9.35766,9.71966,9.53866,9.77396,10.53416,11.00476,10.91426,10.93236,10.71516,10.69706,10.47986,10.35316,10.28076,10.47986,10.35316,10.02736,10.15406,9.95496,9.79206,9.84636,9.44816,9.68346,9.71966,10.02736,9.64726,9.62916,9.48436,9.66536,9.64726,9.57486,9.62916
2007,Leightonfield 33_11kV,07MAY2006,MW,9.73776,9.26716,8.99567,9.30336,9.08617,9.03187,8.79657,8.25357,8.30787,8.32597,7.98207,7.90967,8.01827,7.78297,7.76487,7.71057,7.83727,7.67437,7.49337,7.80107,7.38477,7.78297,7.69247,7.72867,7.80107,7.58387,7.65627,7.62007,7.65627,7.89157,8.10877,8.10877,8.21737,8.38027,8.14497,8.52507,8.54317,8.38027,8.39837,8.56127,8.34407,8.09067,8.43457,8.18117,8.36217,8.41647,8.19927,8.34407,8.39837,8.05447,8.03637,8.16307,7.87347,8.03637,7.76487,8.21737,7.89157,7.87347,7.69247,7.74677,7.56577,7.67437,7.92777,7.90967,8.25357,8.19927,8.18117,8.79657,8.94137,9.21286,9.75586,9.66536,9.71966,9.66536,9.90066,9.93686,9.64726,9.81016,9.57486,9.68346,9.53866,9.57486,9.57486,9.39386,9.64726,9.64726,9.64726,9.41196,9.57486,9.59296,9.79206,9.75586,9.97306,10.00926,9.84636,9.97306
2007,Leightonfield 33_11kV,08MAY2006,MW,10.33506,9.86446,9.64726,9.52056,9.79206,9.33956,9.10427,8.86897,8.85087,8.63367,8.43457,8.48887,8.74227,8.36217,8.43457,8.39837,9.55676,9.57486,9.39386,10.00926,9.64726,10.40746,10.26266,11.54776,12.65185,12.77855,13.66545,14.51614,15.00484,15.83744,16.63384,17.05013,17.01394,17.32163,17.23113,17.05013,17.41213,17.57503,17.53883,17.30353,17.19493,17.17683,17.01394,17.35783,17.24923,17.21303,16.99584,16.56144,16.61574,16.92344,17.33973,17.08633,16.83294,17.26733,17.12253,16.94154,17.08633,16.95964,17.06823,16.85104,16.45284,16.39854,16.86914,16.41664,16.30804,16.00034,15.94604,16.48904,16.39854,17.03204,17.48453,17.26733,17.19493,16.86914,16.92344,16.83294,16.43474,16.92344,16.30804,16.43474,16.03654,15.94604,15.85554,15.89174,16.05464,15.52974,15.47544,15.13154,15.43924,14.76954,14.86004,14.40755,14.64284,14.37135,13.81025,13.88265
2007,Leightonfield 33_11kV,09MAY2006,MW,14.09985,13.62925,13.53875,13.17675,13.33965,12.94145,12.57945,12.74235,12.25365,11.80115,12.00025,11.80115,12.09075,11.87355,12.21745,12.12695,11.92785,12.10885,12.45275,12.36225,12.70615,13.48445,13.44825,14.24465,15.51164,15.71074,16.19944,16.83294,17.52073,18.08183,18.76963,19.29453,19.09543,19.25833,19.16783,18.58863,18.71533,18.80583,18.51623,18.76963,18.11803,18.22663,18.44383,18.09993,18.13613,17.88273,18.37143,17.52073,17.44833,17.46643,17.44833,17.43023,17.17683,17.17683,17.66553,17.62933,17.53883,17.17683,17.55693,16.68814,17.53883,17.44833,16.67004,16.61574,16.59764,16.25374,16.25374,16.36234,16.56144,17.41213,17.62933,17.08633,17.01394,17.35783,16.88724,16.97774,16.70624,16.21754,16.43474,16.21754,16.16324,15.90984,15.90984,15.67454,15.83744,15.58404,15.67454,15.43924,15.11344,15.49354,14.55234,14.47994,14.15415,14.20845,13.84645,13.64735
2007,Leightonfield 33_11kV,10MAY2006,MW,13.95505,13.53875,13.61115,13.32155,13.26725,13.12245,12.94145,12.77855,12.36225,12.05455,11.98215,11.60206,11.87355,11.78306,11.33056,11.63826,11.47536,11.47536,11.65636,11.63826,11.85545,12.54325,12.79665,13.86455,14.96864,14.86004,15.34874,16.30804,17.10443,17.75603,18.17233,17.86463,17.84653,18.06373,18.82393,18.58863,18.38953,18.71533,18.78773,18.73343,18.46193,18.64293,18.40763,18.29903,18.71533,18.29903,18.48003,18.31713,18.35333,17.71983,17.66553,18.35333,17.55693,18.17233,18.19043,17.62933,17.75603,17.61123,17.61123,17.53883,17.15873,16.86914,16.79674,16.83294,16.43474,16.36234,16.45284,16.54334,17.03204,17.06823,16.79674,16.92344,17.08633,16.90534,16.41664,16.19944,16.23564,16.10894,15.72884,15.72884,15.38494,15.36684,15.67454,15.36684,15.09534,15.13154,15.07724,14.96864,14.86004,15.14964,14.51614,14.44374,14.62474,14.31705,13.57495,13.84645
