year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Menai 132_11kV,01MAY2006,MW,19.17564,16.07617,14.35839,19.04494,27.40977,27.12970,25.24388,23.33938,21.11748,24.17960,20.53866,20.38929,17.32716,14.71315,11.03486,9.97059,9.54114,8.99967,8.83162,9.09302,11.48298,14.22769,13.31278,14.82518,17.06576,19.43704,21.09880,15.66539,16.20687,16.67366,16.87904,16.91639,16.84170,16.59897,16.16953,16.05750,15.38532,15.27329,14.99322,14.91853,14.48909,14.71315,14.73182,14.15300,14.00363,13.77957,13.72356,13.77957,14.05965,13.79824,14.05965,13.94762,13.66754,13.46216,13.49950,13.44349,14.02230,14.20902,14.32105,14.54510,14.73182,14.88119,15.53469,16.02015,16.99107,18.27941,19.39970,21.06146,22.55518,24.51569,25.72934,26.38284,27.16704,27.11103,26.79361,25.99074,24.94513,23.95554,23.86219,22.96595,22.21909,21.62161,21.08013,20.37061,19.25032,18.48479,17.98066,16.80436,17.34583,16.00148,18.46612,17.19646,25.95340,24.47835,23.78750,21.39755
2007,Menai 132_11kV,02MAY2006,MW,19.86648,16.26288,14.75049,19.26900,27.65250,27.12970,25.39325,23.11533,21.04279,23.71281,20.35194,20.10921,17.15912,15.23595,13.77957,12.58460,11.48298,10.81080,10.28800,10.96018,11.24025,11.78172,12.78998,14.71315,17.40185,20.10921,22.53651,16.41226,17.43919,17.49520,17.60723,17.64457,17.08443,16.37491,16.26288,15.72141,15.55337,15.08658,14.82518,14.22769,14.26503,14.02230,14.00363,13.53684,13.25677,13.20076,13.07006,12.99537,13.01404,12.95803,12.78998,12.77131,12.99537,12.80865,12.56592,12.73397,12.97670,13.14474,13.14474,13.23810,13.29411,13.74223,14.37706,14.80651,15.42267,15.92680,17.19646,18.41011,19.56774,21.47223,23.33938,24.44100,25.31856,25.13185,24.62772,24.14226,23.00330,22.76057,21.82699,21.88301,21.22950,20.50132,19.94117,19.19431,18.50346,18.42878,17.70059,16.59897,17.21513,16.09484,18.52214,17.04709,26.06542,24.27296,23.52610,21.17349
2007,Menai 132_11kV,03MAY2006,MW,19.47438,16.02015,14.26503,19.08228,27.46579,26.83096,24.98248,22.96595,21.00545,23.48876,19.92250,19.99718,16.82303,14.35839,12.95803,11.91242,11.12822,10.30667,10.21331,10.17597,11.12822,11.91242,12.80865,14.56378,17.53255,20.25859,23.09666,16.86037,17.99933,18.44745,18.52214,18.65284,17.96199,17.04709,16.56163,15.59071,15.83344,15.60938,15.27329,14.58245,14.50776,14.26503,13.83559,14.04097,13.57419,13.42481,13.25677,13.44349,12.95803,13.20076,12.71530,12.90201,13.07006,13.16341,13.21943,13.16341,13.05138,13.12607,13.23810,13.36880,13.44349,13.85426,14.37706,14.67581,15.17994,15.38532,16.13218,17.08443,18.33542,20.65069,22.64854,23.78750,24.68373,24.77709,24.21695,23.47009,22.72322,21.95769,21.75231,21.50958,20.74405,20.18390,19.34368,18.52214,17.47653,16.89771,16.65498,15.90812,16.54296,15.31064,17.68192,16.16953,25.41192,23.99289,23.24603,21.36020
2007,Menai 132_11kV,04MAY2006,MW,19.25032,15.96414,14.39573,19.04494,27.18572,26.62557,24.68373,22.70455,20.70670,23.11533,19.15697,19.39970,16.28155,14.30237,12.58460,11.61368,10.66143,9.95191,10.06394,9.97059,11.01619,11.55766,12.47257,14.56378,17.12177,19.38102,21.92035,15.94547,17.27114,17.70059,17.68192,17.58856,17.04709,16.33757,15.85211,15.60938,15.46001,15.04924,14.69448,14.37706,14.13433,14.04097,13.85426,13.42481,13.16341,13.05138,13.01404,13.10740,12.95803,12.82733,12.92068,13.01404,13.10740,12.86467,12.69663,12.80865,12.67795,13.05138,13.08873,13.23810,13.14474,13.74223,13.98496,14.60112,15.38532,15.34798,15.94547,17.10310,18.31675,20.70670,22.14441,22.83525,23.41407,24.04890,23.28337,23.11533,22.51784,21.84566,21.69629,21.08013,20.74405,20.37061,19.64243,19.08228,18.26073,17.92465,17.58856,16.58030,17.30849,16.16953,18.61549,16.95373,25.44927,24.27296,23.48876,21.30419
2007,Menai 132_11kV,05MAY2006,MW,19.64243,15.81477,14.60112,19.04494,27.27907,26.79361,24.88912,22.83525,20.68803,23.71281,19.81047,19.36235,16.48694,14.80651,12.93935,11.81906,10.92283,10.41870,10.17597,10.45604,11.31493,11.65102,12.88334,14.28370,17.40185,19.69844,21.73363,16.54296,17.88730,18.48479,18.27941,18.14871,17.94332,16.97240,16.26288,16.13218,16.28155,15.75875,14.97455,14.93721,14.43308,14.45175,14.09699,13.94762,13.81692,13.64887,13.38747,13.40614,13.46216,13.07006,12.86467,12.99537,12.95803,12.90201,12.78998,12.80865,12.75264,13.07006,12.97670,13.07006,13.49950,13.77957,14.11566,14.91853,15.34798,15.64672,16.31890,17.27114,18.16738,20.18390,22.08839,22.48050,23.32071,23.02197,23.05931,22.68588,21.86434,21.37888,21.34153,20.74405,19.88516,19.54907,18.95158,18.20472,17.75660,17.14044,16.54296,16.41226,17.47653,16.31890,19.15697,17.88730,26.88697,25.26255,24.42233,22.10707
2007,Menai 132_11kV,06MAY2006,MW,20.35194,16.84170,15.40399,19.84781,27.89523,27.31642,25.26255,23.32071,21.11748,23.88086,20.10921,19.99718,16.95373,14.63846,13.05138,12.26718,10.99752,10.54940,10.21331,9.82121,10.04527,10.15730,10.64276,11.24025,12.32320,12.90201,14.28370,12.26718,12.90201,14.22769,15.29196,15.85211,16.69233,16.63631,17.25247,17.70059,17.64457,17.58856,17.10310,17.27114,16.74834,16.22554,16.16953,15.79610,15.98281,15.66539,15.62805,15.40399,15.17994,14.86252,14.88119,14.82518,14.45175,14.91853,14.54510,14.30237,14.58245,14.07832,14.20902,14.60112,14.86252,15.04924,15.46001,15.49735,15.83344,16.76701,17.62590,18.82088,19.81047,21.80832,23.41407,23.75016,23.56344,23.60079,22.74190,21.82699,21.39755,20.76272,20.16523,19.51173,18.93291,18.44745,18.01800,17.53255,17.06576,16.63631,16.24421,15.74008,16.80436,16.05750,18.59682,17.92465,26.77494,25.61731,24.83311,23.04064
2007,Menai 132_11kV,07MAY2006,MW,21.22950,18.18605,16.48694,20.40796,28.32468,27.91390,26.23347,24.16093,22.21909,25.89738,22.34979,22.53651,19.17564,16.56163,14.76916,13.74223,12.54725,11.81906,10.86682,10.58674,10.26933,10.43737,10.25066,10.86682,11.35228,11.38962,12.36054,11.27759,12.00578,12.88334,13.87293,14.76916,15.81477,16.33757,17.14044,17.38317,17.86863,17.86863,17.79395,17.79395,17.30849,17.23380,17.17779,16.82303,16.20687,16.13218,16.26288,16.00148,15.55337,15.40399,14.97455,14.89986,14.52643,14.33972,14.58245,14.26503,13.96629,14.28370,14.41440,14.39573,14.82518,15.01189,14.95588,15.36665,16.30023,17.12177,17.90598,18.83955,20.03453,21.75231,23.37673,23.78750,24.17960,24.27296,23.80617,22.92861,22.87260,22.40581,21.80832,21.15482,20.68803,20.25859,19.67977,19.08228,18.29808,17.77528,16.84170,16.28155,16.78569,15.90812,18.29808,16.78569,25.99074,24.90779,24.17960,21.78965
2007,Menai 132_11kV,08MAY2006,MW,20.18390,17.25247,15.75875,19.64243,27.87656,27.40977,25.93472,24.25429,22.27511,25.67332,22.14441,22.25644,19.38102,16.99107,14.84385,13.55551,12.45390,11.96844,11.27759,11.48298,12.13648,12.82733,13.76090,15.60938,18.57815,21.73363,24.42233,18.65284,19.92250,20.46397,21.04279,20.44530,20.10921,19.41837,18.97025,18.37276,17.75660,17.43919,16.91639,16.18820,16.11351,15.23595,15.44134,14.71315,14.56378,14.19035,14.48909,14.20902,14.32105,14.13433,14.05965,13.92894,13.72356,13.96629,13.79824,13.27544,13.63020,13.68622,13.51817,13.83559,13.79824,14.32105,15.46001,16.02015,16.61764,17.58856,18.70885,20.66936,23.00330,25.93472,27.91390,29.29560,29.94910,30.39721,30.11714,29.85574,29.33294,28.73545,28.38069,28.04460,26.99900,26.68158,26.10277,24.81443,23.86219,22.70455,21.75231,20.23991,20.51999,18.87689,20.59467,18.85822,28.00726,25.50528,25.05716,23.09666
2007,Menai 132_11kV,09MAY2006,MW,21.32286,17.84996,16.28155,20.09054,28.15663,27.95125,26.60690,24.62772,22.74190,26.53221,23.28337,23.07798,20.14656,17.53255,16.02015,14.24636,13.18208,12.41655,12.06179,11.94976,12.71530,13.36880,14.75049,17.27114,19.92250,22.72322,26.66291,21.21083,22.33112,23.17134,23.45141,23.17134,22.23777,21.28552,20.35194,19.21298,18.57815,18.09269,17.62590,17.08443,16.50561,16.03883,15.42267,15.08658,14.60112,14.61979,14.13433,14.32105,14.28370,13.81692,14.04097,13.68622,13.55551,13.91027,13.55551,13.70489,13.49950,13.51817,13.46216,13.55551,13.98496,13.96629,14.69448,15.42267,16.50561,17.32716,18.61549,20.25859,22.23777,25.35591,27.82055,28.99685,28.95951,29.68770,29.87441,29.01552,28.38069,27.91390,27.85789,26.62557,26.21480,25.52395,25.31856,24.17960,22.85393,22.31245,21.36020,20.23991,20.55733,19.43704,21.26685,19.41837,27.91390,26.08410,25.09451,23.20868
2007,Menai 132_11kV,10MAY2006,MW,21.21083,17.73793,16.31890,20.12789,28.26866,27.95125,26.51354,24.47835,22.68588,25.87871,22.53651,22.66721,19.25032,17.30849,15.34798,13.81692,12.77131,11.85641,11.53899,11.76305,12.26718,13.29411,14.07832,16.35624,19.47438,22.21909,25.46794,19.06361,20.35194,20.66936,20.80006,21.47223,20.65069,19.95984,19.00759,18.42878,17.55122,17.38317,16.41226,15.96414,15.68407,15.60938,14.99322,14.89986,14.33972,13.91027,13.68622,13.48083,13.46216,13.59286,13.64887,13.57419,13.66754,13.66754,13.44349,13.36880,13.31278,13.53684,13.36880,13.31278,13.68622,14.19035,14.63846,15.12392,15.59071,16.33757,17.51387,19.26900,20.98677,23.45141,25.57997,26.47620,27.42844,27.78320,27.12970,26.66291,25.84137,25.29989,25.18786,24.57170,23.95554,23.48876,22.76057,22.01371,21.08013,20.51999,19.47438,18.63416,19.15697,17.79395,19.58641,17.98066,26.73760,25.16919,24.45968,22.36847
