year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Newcastle City Main 33_11kV,01MAY2006,MW,12.90067,12.38298,12.34580,13.93971,12.71848,12.20460,12.01343,11.72812,11.57638,11.21567,11.36815,11.20187,11.15994,11.24140,11.22017,11.25718,11.29185,11.44793,11.66527,12.01084,12.57164,12.62629,13.22844,14.14537,15.57708,16.14857,17.19269,18.05891,19.60179,21.25809,22.63606,23.42780,25.31110,25.94141,26.80923,27.57391,28.51802,28.62406,28.80160,28.82926,29.73340,29.84484,28.18713,28.20425,28.41518,28.43058,28.06232,28.29960,28.80777,28.59118,28.89686,28.74032,28.92519,28.44904,28.71410,28.84541,28.49686,28.46325,28.41016,28.21522,28.22470,28.20105,27.75018,27.05978,26.83456,26.51425,26.13145,26.02787,25.52026,25.28418,24.77234,23.82075,22.32553,21.99351,21.29391,20.88445,20.40299,20.58360,19.76169,19.81892,20.22173,19.71622,18.99436,18.35259,17.91255,17.33437,16.89122,16.62106,17.68990,17.10608,15.92087,15.45186,14.62758,14.01495,13.59273,13.72853
2007,Newcastle City Main 33_11kV,02MAY2006,MW,13.79387,13.53095,13.49972,14.46603,14.12276,13.56568,13.20953,13.36453,12.83766,12.42185,12.01845,11.67998,11.59433,11.64009,11.70788,11.58310,11.65056,11.68176,11.88595,11.96271,12.42761,12.57540,13.31526,14.31157,15.92124,16.51251,17.74986,18.30675,20.15013,21.75159,22.71145,24.05996,25.21352,26.14951,26.89776,26.87070,26.17120,26.37827,26.97426,27.13610,27.22988,26.89495,27.03056,27.09912,27.03959,27.15987,27.37865,27.63959,28.08832,28.19560,28.37569,28.37619,27.98654,27.94247,27.93720,28.37668,28.45304,28.05126,28.25712,28.08795,28.18829,27.72429,27.69431,27.46174,27.18187,26.73605,26.59543,26.10404,25.49968,25.44498,25.00921,24.19494,22.58734,22.36703,21.96153,21.82387,21.95853,21.83853,21.17092,20.63340,20.12067,19.76483,19.21599,18.87865,18.27799,17.97081,17.36548,16.87947,17.69379,17.39000,16.41744,15.46675,14.82245,14.16667,13.56434,13.89655
2007,Newcastle City Main 33_11kV,03MAY2006,MW,14.19055,13.73351,13.64271,14.85083,14.50709,13.77563,13.28320,13.19033,12.69904,12.40353,12.16943,12.02029,11.83232,11.90327,11.74667,11.71250,11.70093,11.73442,11.79546,12.08628,12.58104,12.97435,13.26048,14.08446,15.84778,16.15784,17.46621,18.51905,20.10387,21.76078,23.02588,24.09936,25.04562,26.26377,26.93907,27.21358,27.87288,28.20324,28.40654,28.71536,28.86707,29.45311,29.71541,29.94518,30.15641,30.19929,30.17860,30.08761,30.05558,30.49766,30.45041,30.43842,30.60164,30.64328,28.88919,28.67497,28.62962,28.62571,28.40691,28.48516,28.48917,28.50386,28.17418,27.75587,27.52899,27.08894,27.02195,26.55765,25.87815,25.47442,24.87987,23.96076,22.37911,22.05894,21.39448,21.49663,21.59233,21.60874,21.04202,20.53382,19.86253,19.58885,19.23107,18.71994,17.99596,17.58815,17.39006,16.98919,18.03197,17.59071,16.58192,15.95415,14.82213,14.21551,13.86780,14.07544
2007,Newcastle City Main 33_11kV,04MAY2006,MW,14.33202,13.81103,13.77674,14.72287,14.36781,13.78076,13.32431,13.62109,13.07225,12.62720,12.34613,11.95237,11.79682,11.82159,11.72719,11.52888,11.61291,11.54844,11.74260,11.79038,12.15158,12.43654,13.28988,14.01388,15.30198,16.04718,17.22308,18.06509,19.99803,21.33400,22.44343,22.36709,22.95558,23.88475,24.53695,25.17170,25.70705,26.34887,26.83215,26.78607,27.10711,27.45982,27.79336,27.93558,27.85966,28.00867,28.06677,28.12110,28.11843,27.91458,28.06204,28.18645,28.12230,28.08588,28.39321,28.63237,28.45799,28.22514,28.19536,27.89134,27.92329,27.98365,27.73248,27.39806,26.94302,26.69146,26.49536,26.21196,25.44127,25.58694,25.51402,25.28584,23.90545,23.36037,22.81689,22.21760,21.50664,22.88419,22.29955,21.71094,20.92890,20.49263,19.72222,19.28835,18.61692,17.93100,17.58327,17.27187,18.28486,17.56762,16.23740,15.49802,14.84193,14.12411,13.69824,13.79868
2007,Newcastle City Main 33_11kV,05MAY2006,MW,14.10761,13.78985,13.83465,14.71869,14.32944,13.73374,13.35813,13.32435,12.99762,12.72612,12.45412,11.96735,11.61054,11.54726,11.43862,11.46752,11.76586,11.71369,11.98265,12.01779,12.46736,12.70002,13.09289,14.22661,15.85548,16.29143,17.80753,18.72119,20.14442,21.42655,22.80067,23.84922,24.80727,24.75795,24.49901,25.49963,25.66898,25.65553,26.01943,26.78184,26.97876,26.90149,27.02161,27.05875,27.35927,27.42796,27.49880,27.84471,28.13216,28.23393,28.00205,28.31039,28.60922,28.45751,28.27801,28.55091,28.58585,28.59997,28.76392,28.27804,27.94171,27.76105,27.83555,27.47865,27.28724,26.94441,26.44502,26.10727,25.32185,24.56794,24.12857,23.21605,21.35815,20.67436,20.41373,20.14580,19.53368,19.71840,19.08099,18.42201,17.86654,17.71450,18.04132,18.34152,17.93276,17.67576,17.30269,16.91868,18.02489,17.49000,16.41811,15.68987,15.48044,14.95501,14.37385,14.50367
2007,Newcastle City Main 33_11kV,06MAY2006,MW,14.47082,14.21928,14.26047,15.16052,14.87485,14.35400,13.73417,13.15302,13.37612,13.29145,12.81509,12.41326,12.17720,11.89889,11.81774,11.59282,11.69490,11.53628,11.44456,11.50823,11.94539,12.04555,12.37719,12.56391,13.11861,13.17663,13.12508,13.47327,14.29956,14.69026,15.29415,15.84570,16.54710,17.55679,17.84053,18.37910,19.69183,19.61460,20.22276,20.36617,20.30726,20.58800,20.56777,20.63881,20.50240,20.27199,20.29762,20.04133,20.45512,20.34076,20.31391,20.07897,20.09740,20.06340,19.83988,19.79535,19.49549,19.48701,19.42141,19.22451,18.84981,18.68300,18.69875,18.55236,18.16300,18.16917,18.03775,18.26254,18.36897,19.23911,19.56733,19.37867,19.65638,19.52506,19.57359,19.35876,19.08593,19.27887,18.81301,18.57168,17.92490,17.51102,17.64738,17.51225,17.32676,16.93759,17.79398,17.55365,16.70722,15.95024,15.68841,15.28779,15.07226,14.97200,14.46914,14.25949
2007,Newcastle City Main 33_11kV,07MAY2006,MW,14.21144,13.75377,13.66670,14.82006,13.88340,13.18319,12.77729,12.35898,12.29828,12.11311,12.14040,11.99601,11.67691,11.64939,11.67385,11.57446,11.59041,11.61178,11.59843,11.49681,11.78280,11.72303,11.65431,11.93098,12.25848,12.36449,12.56195,12.60913,12.89860,13.23481,13.63137,13.91677,14.82651,15.39701,15.71034,15.94102,16.10601,16.61461,16.96292,17.27441,17.66636,17.64920,18.01857,18.22742,18.29393,18.49842,18.39732,18.53448,18.46842,18.39694,18.55225,18.56814,18.46420,18.36395,18.41890,18.61326,18.48667,18.05185,18.10705,18.01344,18.07678,18.00600,17.74524,17.88264,17.48929,17.08226,17.20460,16.96207,16.99410,17.93556,18.29449,18.46142,18.55046,18.41728,18.45891,18.32486,18.21739,18.10859,17.69132,17.43814,16.91058,16.66991,16.46771,16.24167,16.05534,15.66174,16.79633,16.39670,15.24932,14.56256,14.32546,13.98664,13.60626,13.19092,12.72389,12.85290
2007,Newcastle City Main 33_11kV,08MAY2006,MW,12.88812,12.59853,12.59253,13.65449,12.75041,12.15978,11.77709,11.41455,11.22902,11.21090,11.14363,11.03002,11.00553,11.10589,11.17109,11.11488,11.27816,11.46700,11.59563,11.67731,12.32343,12.47420,13.07285,13.90335,15.62235,16.54126,17.74631,18.20973,20.35657,21.46637,22.81938,22.50870,23.43704,24.00654,25.11755,25.60507,26.10303,26.11116,26.33037,26.29179,26.44994,27.13830,26.94510,26.97048,27.14560,27.04105,27.02228,27.07872,27.35123,27.32411,27.25333,27.05407,27.23066,27.25713,27.09216,27.14918,27.02141,26.90520,26.98552,26.59005,26.61544,26.40947,26.25634,26.28362,25.93556,25.62616,25.70268,25.45164,24.90027,25.19504,24.85267,24.08846,22.19616,21.85388,21.71511,21.54095,20.94350,20.98535,20.19643,19.65499,19.19464,19.81523,19.57647,19.12816,18.56901,18.20883,17.66292,16.98082,18.11315,17.84560,16.76246,16.02777,15.23465,14.48956,13.79521,13.90863
2007,Newcastle City Main 33_11kV,09MAY2006,MW,14.02903,13.79640,13.59812,14.59475,14.28892,13.75357,13.46843,13.38180,13.13900,12.65526,12.31489,12.17024,11.95544,11.81969,11.76112,11.74676,11.96060,11.96199,11.96126,12.15706,12.65699,13.03908,13.67200,14.41714,16.27907,17.37969,18.67914,19.62235,21.95075,22.98227,24.25357,25.48708,26.41469,27.16705,28.08565,28.86182,29.30908,29.45989,29.53719,29.64265,29.80452,29.56509,29.54030,29.25293,29.26806,29.94603,29.59994,29.50822,29.85702,29.88834,29.97776,29.68787,29.97067,30.05458,30.06956,29.88728,29.98514,29.59659,29.03401,29.02167,29.17547,29.26142,28.92514,28.70446,28.38803,28.38975,27.90158,27.78442,27.77990,28.30950,27.79058,26.56052,25.20174,24.84196,24.36414,24.16312,23.45259,23.76276,23.05247,22.32483,21.89905,21.37499,20.66809,20.21732,19.64131,18.94817,18.72788,18.10225,18.94648,18.36608,16.99132,16.13663,15.24780,14.52356,13.93458,14.06093
2007,Newcastle City Main 33_11kV,10MAY2006,MW,14.17100,13.96006,13.81411,14.89145,14.50798,14.03830,13.68025,13.47138,13.02376,12.81244,12.46979,12.32751,12.13257,12.03208,11.94014,11.90417,12.05985,12.07324,12.13979,12.22782,12.62663,13.28855,13.83221,14.53574,16.49082,17.37013,18.40773,18.61489,21.38938,22.99079,24.45256,25.28344,26.46882,27.52710,28.67952,28.89787,28.96649,29.20967,29.24343,29.41965,29.34709,29.41178,29.77875,29.67564,29.75233,30.00428,30.03070,30.27188,29.65376,28.34823,28.11986,28.18314,28.38874,28.55308,28.62958,28.58439,28.88852,28.51252,28.28417,28.13882,28.31410,28.54959,28.04379,27.19714,27.33857,27.12484,26.67537,26.41184,26.08247,26.13869,25.73838,24.38834,23.26555,22.72973,22.27288,22.56355,22.83434,23.01259,22.22906,21.73133,21.11746,20.42124,19.97304,19.49462,18.87677,18.52799,18.17271,17.73917,18.49299,18.07057,16.95248,16.10812,15.32853,14.61824,14.12641,14.55065
