year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Revesby 132_11kV,01MAY2006,MW,23.63699,21.58160,19.59708,23.90277,22.25491,20.73109,19.77427,17.73660,16.35453,15.13192,14.56492,13.39547,12.86391,12.17287,11.90709,12.15515,11.99568,12.06656,11.99568,12.27918,13.50179,14.01563,14.75983,16.69118,18.90604,20.66021,22.36123,19.43761,20.30584,21.10319,21.05003,21.58160,20.71337,20.28812,19.91602,20.14637,20.14637,19.98690,20.51846,20.34127,19.66796,19.61480,19.18955,19.65024,19.40217,19.33130,19.01236,19.49077,18.55167,19.50849,18.97692,18.48079,18.42763,19.08323,18.49851,18.97692,19.22498,18.48079,18.79973,19.18955,19.70339,19.17183,19.98690,20.04005,20.66021,22.32579,23.79646,24.38118,25.76325,27.73005,29.37790,28.70459,29.16528,29.27159,28.17302,27.94267,26.56060,25.78097,25.97588,25.62150,25.60378,24.93046,23.92049,23.37120,23.15858,21.90054,21.72335,20.46531,24.54065,25.49747,32.88624,30.61822,28.43880,25.94044,30.56507,28.17302
2007,Revesby 132_11kV,02MAY2006,MW,25.03678,22.57385,20.60706,25.39115,23.95593,21.58160,20.35899,18.85289,17.68344,16.72662,15.04333,13.85616,13.64354,13.28916,12.79303,12.68672,13.05881,14.60036,15.55718,16.08874,15.76980,16.74434,17.75432,19.96918,21.74107,22.68017,23.47752,20.35899,21.84738,21.90054,22.04229,22.80420,23.28261,22.85735,21.82966,21.20950,20.97915,20.09321,19.96918,19.45533,18.33904,18.53395,18.49851,19.75655,19.88058,20.09321,20.34127,18.12641,18.71114,18.37448,19.03008,18.69342,18.76429,19.80971,18.81745,18.02010,17.73660,17.68344,17.54169,18.17957,18.55167,18.02010,18.33904,19.08323,19.33130,20.25268,21.31581,21.03231,23.37120,24.64696,27.19848,27.03901,27.16304,27.19848,26.93270,26.79095,25.94044,25.01906,25.30256,24.70012,24.23943,24.23943,23.90277,22.46754,22.48526,22.21948,21.42213,20.07549,24.85959,26.40113,32.93940,30.67138,28.26161,26.31254,30.33472,27.57058
2007,Revesby 132_11kV,03MAY2006,MW,25.30256,23.05226,21.45756,25.30256,23.86733,22.25491,20.50074,18.69342,17.15188,16.10646,15.09649,14.19282,13.43091,13.12969,13.12969,13.05881,13.12969,13.39547,13.66126,14.13967,15.36227,15.76980,16.69118,20.23496,21.77650,23.97364,26.63148,23.69014,24.64696,24.87731,25.60378,24.16855,23.65470,23.31805,21.84738,21.84738,21.45756,22.00685,22.21948,21.51072,20.25268,20.25268,20.23496,19.54392,18.74657,18.81745,19.49077,18.65798,19.54392,20.89056,20.34127,20.67793,18.44535,18.58710,19.86286,19.49077,17.89607,18.10870,17.48853,18.07326,19.11867,18.28588,19.24270,19.03008,19.75655,19.91602,19.91602,20.62478,21.72335,24.55837,26.20622,26.40113,26.84410,26.93270,26.68463,26.34797,25.01906,24.85959,24.96590,24.43434,23.38892,22.99911,23.06998,22.62701,21.31581,20.83740,20.23496,20.25268,24.23943,25.67466,31.87626,30.22841,27.53514,25.71009,29.66140,26.87954
2007,Revesby 132_11kV,04MAY2006,MW,24.39890,22.14860,20.09321,24.82415,23.37120,21.51072,20.50074,18.95920,17.15188,16.31909,14.72439,13.87388,13.39547,12.91706,12.68672,12.33234,12.52725,14.06879,13.96248,13.48407,14.33457,15.04333,16.10646,18.02010,19.50849,21.26266,22.89279,20.73109,22.53842,23.26489,22.57385,23.31805,22.30807,21.98913,21.93597,21.35125,20.94372,19.75655,19.61480,18.87061,18.58710,20.83740,21.03231,19.86286,20.18180,19.59708,19.65024,17.96694,18.17957,18.26817,19.65024,18.58710,18.33904,18.69342,18.16185,17.73660,18.28588,17.94923,17.75432,17.84291,18.44535,18.05554,18.71114,18.23273,18.79973,18.87061,19.11867,19.93374,21.10319,23.70786,24.93046,25.67466,26.08219,25.56834,25.71009,25.60378,25.01906,24.07996,24.75328,24.07996,23.70786,22.96367,22.52070,22.32579,21.84738,21.13862,20.94372,20.25268,24.75328,25.97588,32.77993,31.29154,28.43880,26.02903,30.28157,27.41111
2007,Revesby 132_11kV,05MAY2006,MW,25.40887,23.37120,21.51072,25.67466,23.63699,22.32579,21.08547,19.33130,17.57713,16.46084,15.20280,14.24598,13.92704,13.21828,12.89934,12.84619,13.34232,13.53722,13.07653,14.29914,14.28142,15.92927,17.25819,19.61480,22.27263,23.21173,25.60378,22.85735,24.61152,23.42436,25.01906,23.69014,25.03678,22.52070,23.31805,22.83964,21.79422,20.60706,20.35899,19.43761,18.85289,18.65798,19.72111,20.50074,20.28812,21.05003,20.94372,19.82743,19.65024,18.23273,18.02010,18.16185,18.07326,18.00238,18.37448,17.70116,18.53395,17.86063,18.26817,18.44535,18.48079,18.33904,18.28588,18.33904,19.03008,19.56164,19.93374,20.41215,21.63475,23.26489,24.45205,25.46203,26.09991,25.99360,25.72781,25.33800,24.82415,23.38892,24.55837,24.34574,23.58383,23.54839,23.10542,22.52070,22.00685,21.56388,21.03231,20.66021,25.56834,26.84410,33.91394,31.71679,29.00581,26.77323,30.70682,28.42108
2007,Revesby 132_11kV,06MAY2006,MW,25.35572,23.10542,20.94372,26.02903,24.27487,22.27263,21.08547,19.72111,18.32132,16.83294,15.45086,14.67123,13.90932,13.32460,13.07653,12.63356,12.75759,12.58040,12.49181,12.58040,13.16513,13.50179,13.64354,14.54720,14.67123,14.75983,15.66349,14.91930,16.03559,17.31135,18.32132,18.60482,19.03008,19.08323,18.92376,18.85289,19.29586,19.49077,19.01236,18.53395,18.17957,18.02010,17.70116,17.52397,16.88609,16.69118,16.31909,16.08874,16.10646,16.26593,16.35453,16.51400,16.19506,15.76980,15.82296,15.68121,15.36227,14.99017,15.13192,15.13192,15.34455,15.41543,15.62805,15.98243,16.40768,17.09872,18.33904,19.08323,20.71337,23.26489,24.22171,24.93046,24.43434,24.38118,24.34574,23.58383,23.17629,22.85735,22.41438,21.84738,21.24494,21.08547,20.73109,20.44759,20.23496,19.80971,19.22498,18.81745,23.44208,25.60378,32.37239,30.49419,28.36793,26.45429,30.88401,28.52740
2007,Revesby 132_11kV,07MAY2006,MW,26.57832,24.32802,22.00685,26.25938,24.32802,22.52070,21.29809,19.66796,17.73660,16.69118,15.45086,14.51176,13.69669,13.16513,12.84619,12.42093,12.15515,12.27918,12.27918,12.43865,12.68672,12.70444,13.02338,13.48407,13.87388,13.60810,14.56492,13.64354,14.81298,15.52174,16.00015,16.77978,17.32906,17.96694,18.48079,18.76429,19.27814,19.22498,19.01236,18.87061,18.39220,18.95920,18.17957,18.07326,17.54169,17.27591,17.38222,16.40768,16.31909,16.08874,15.78752,15.62805,15.36227,15.50402,15.36227,15.39771,15.25596,15.20280,15.04333,15.20280,15.50402,15.66349,15.55718,15.92927,16.77978,17.84291,18.49851,19.11867,20.62478,23.01682,24.16855,24.39890,25.17853,25.14309,24.75328,24.11540,23.63699,23.47752,23.65470,22.89279,22.48526,21.90054,21.40441,21.10319,20.67793,19.82743,19.34902,19.03008,23.49523,25.01906,31.73451,29.59053,27.03901,25.40887,29.90947,27.25164
2007,Revesby 132_11kV,08MAY2006,MW,24.77099,22.78648,20.87284,25.23168,23.69014,21.47528,20.87284,19.08323,17.94923,16.15962,14.99017,14.38773,13.64354,13.02338,12.89934,12.65128,12.52725,12.31462,12.58040,13.11197,13.87388,14.86614,15.39771,17.86063,20.57162,22.69788,25.03678,22.53842,24.48749,26.25938,25.17853,26.20622,25.83413,25.49747,25.19625,24.66468,23.81417,21.93597,22.25491,21.29809,21.45756,22.21948,22.06001,22.53842,19.56164,19.80971,20.44759,19.88058,19.13639,19.24270,19.72111,19.33130,19.29586,19.34902,18.76429,18.64026,18.60482,18.58710,18.76429,19.11867,18.85289,18.55167,19.65024,20.04005,20.71337,21.03231,22.91051,23.53067,26.73779,29.16528,32.24836,32.90396,34.00253,33.27606,33.25834,33.04571,31.68136,31.36242,31.68136,31.23839,30.51191,30.28157,29.32475,28.84634,28.11986,27.25164,26.04675,24.29258,28.75774,30.12210,36.12880,34.07341,31.36242,28.38565,32.79765,30.01578
2007,Revesby 132_11kV,09MAY2006,MW,27.67689,24.96590,23.21173,27.62373,26.13535,24.32802,23.33576,21.29809,19.77427,18.39220,16.93925,15.76980,15.34455,14.33457,14.08651,14.08651,14.24598,14.49404,14.65351,15.20280,16.21277,17.25819,19.75655,22.48526,24.98362,26.82638,29.50193,27.57058,28.59827,28.22618,28.49196,27.94267,28.84634,27.35795,26.15307,24.70012,23.97364,24.75328,25.67466,24.32802,24.18627,23.97364,23.54839,22.62701,21.05003,21.72335,20.92600,20.07549,19.49077,19.59708,19.27814,19.29586,18.90604,19.29586,19.06551,18.92376,20.07549,19.40217,19.03008,18.79973,18.44535,18.85289,19.54392,19.96918,20.46531,21.51072,23.33576,24.54065,26.56060,29.69684,31.14979,32.03573,32.47871,33.04571,32.42555,31.62820,31.29154,31.30926,31.07892,31.09663,30.08666,29.82087,29.11212,28.70459,27.85408,26.98585,26.15307,25.56834,29.39562,29.85631,36.30598,34.05569,30.83085,28.58055,32.85080,30.03350
2007,Revesby 132_11kV,10MAY2006,MW,27.25164,24.77099,22.91051,27.48198,25.24940,23.49523,22.48526,20.99687,19.50849,18.28588,16.62031,15.73437,15.13192,14.61808,14.54720,13.98020,13.80301,14.77755,14.97245,15.29139,16.15962,17.41766,18.07326,20.34127,22.57385,24.54065,26.82638,24.55837,25.86956,25.67466,25.67466,25.40887,25.67466,25.30256,24.27487,24.11540,23.38892,22.75104,22.68017,21.20950,20.97915,20.25268,20.60706,19.56164,19.96918,20.34127,20.18180,20.34127,19.93374,19.27814,19.65024,18.95920,18.81745,19.03008,18.81745,18.76429,18.65798,18.76429,18.49851,18.79973,19.01236,18.16185,19.38445,19.34902,20.02233,20.57162,21.45756,22.57385,25.97588,27.99583,30.13981,30.03350,30.65366,30.49419,30.70682,30.61822,29.00581,28.68687,29.66140,27.83636,28.06671,27.46426,26.68463,25.65694,25.23168,24.50521,23.05226,22.36123,26.63148,28.15530,34.49866,32.42555,29.32475,27.67689,31.82311,29.28931
