year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Rouchel 33_11kV,01MAY2006,MW,0.30963,0.25610,0.23585,0.23884,0.25457,0.32488,0.34370,0.28677,0.30267,0.29958,0.29340,0.28748,0.25458,0.22658,0.22829,0.23193,0.23616,0.20861,0.23981,0.25370,0.26105,0.25852,0.26560,0.33319,0.29818,0.27800,0.31367,0.34863,0.32762,0.34949,0.38420,0.39156,0.36963,0.35834,0.36525,0.37740,0.44457,0.48654,0.42322,0.38612,0.35671,0.40181,0.51137,0.50903,0.44779,0.44515,0.45929,0.47598,0.49826,0.48016,0.45830,0.45322,0.41351,0.40030,0.45570,0.48518,0.65713,0.64387,0.61801,0.60799,0.62160,0.61205,0.60743,0.61565,0.61695,0.64455,0.64382,0.64571,0.65656,0.64099,0.72409,0.74410,0.71300,0.74416,0.75249,0.78323,0.78378,0.78007,0.75140,0.75459,0.70739,0.67917,0.69315,0.69417,0.68748,0.70414,0.69971,0.69561,0.70152,0.72486,0.71307,0.70960,0.69921,0.72513,0.70639,0.69951
2007,Rouchel 33_11kV,02MAY2006,MW,0.66841,0.64519,0.58531,0.59683,0.57408,0.58041,0.54707,0.51684,0.52010,0.48232,0.47274,0.48372,0.48226,0.47618,0.46969,0.50710,0.31968,0.36401,0.35471,0.28137,0.27261,0.26805,0.26880,0.26359,0.26072,0.29717,0.30313,0.37254,0.42634,0.45599,0.45213,0.44945,0.46749,0.53039,0.50531,0.51937,0.51555,0.52309,0.50822,0.51062,0.52483,0.50233,0.47373,0.48200,0.48721,0.48976,0.54662,0.57212,0.59015,0.61849,0.73035,0.80484,0.80049,0.76546,0.72178,0.71106,0.75427,0.78644,0.74549,0.73339,0.76199,0.68379,0.72973,0.74566,0.71358,0.72954,0.73157,0.75553,0.76357,0.72230,0.67346,0.75644,0.75047,0.74450,0.77194,0.80849,0.83828,0.84019,0.81078,0.80017,0.80679,0.80649,0.82168,0.80529,0.76406,0.71590,0.69847,0.69219,0.76708,0.83723,0.83573,0.77383,0.71537,0.69364,0.66600,0.70466
2007,Rouchel 33_11kV,03MAY2006,MW,0.73139,0.70696,0.69953,0.63965,0.56427,0.57911,0.59690,0.67210,0.67108,0.48429,0.38407,0.29575,0.29864,0.29917,0.31822,0.33918,0.33458,0.32819,0.26409,0.28807,0.27382,0.26897,0.24858,0.25847,0.29036,0.32524,0.34214,0.38120,0.38470,0.39891,0.41540,0.46409,0.48199,0.54182,0.60628,0.56445,0.52695,0.53352,0.44682,0.45220,0.44801,0.48302,0.57057,0.64489,0.67369,0.71299,0.62302,0.58102,0.52995,0.59671,0.60779,0.62778,0.79845,0.80169,0.72334,0.70514,0.72221,0.76522,0.69029,0.66630,0.66934,0.62807,0.63846,0.68221,0.73587,0.78302,0.78677,0.77560,0.69654,0.60343,0.61218,0.64048,0.73792,0.73436,0.81033,0.93108,0.87867,0.83796,0.78494,0.78475,0.83891,0.83094,0.83426,0.81126,0.77564,0.80421,0.78904,0.75141,0.73132,0.69219,0.69031,0.68216,0.73653,0.77045,0.74313,0.76608
2007,Rouchel 33_11kV,04MAY2006,MW,0.76521,0.76583,0.73128,0.71668,0.63684,0.63705,0.62803,0.60566,0.60947,0.59273,0.58735,0.47455,0.50772,0.47696,0.44224,0.36141,0.36480,0.35368,0.37216,0.36722,0.37432,0.38395,0.40160,0.44596,0.44631,0.44338,0.44438,0.43672,0.45194,0.47792,0.46603,0.48614,0.49846,0.50343,0.54694,0.56826,0.61926,0.59324,0.51781,0.49672,0.50779,0.51990,0.51705,0.50902,0.49129,0.57431,0.59568,0.74482,0.78627,0.72876,0.72205,0.69378,0.69017,0.69733,0.69327,0.71451,0.72407,0.72004,0.68310,0.61849,0.60483,0.62623,0.63034,0.66565,0.65740,0.70129,0.76725,0.80886,0.78361,0.69047,0.67959,0.69704,0.70203,0.68819,0.71668,0.77062,0.83422,0.84683,0.84736,0.86007,0.77409,0.73105,0.70083,0.68536,0.67312,0.66512,0.65041,0.75362,0.79233,0.76172,0.76524,0.71610,0.69293,0.73638,0.68132,0.66640
2007,Rouchel 33_11kV,05MAY2006,MW,0.64445,0.61809,0.59780,0.59479,0.60138,0.63060,0.59144,0.41214,0.36036,0.36071,0.37501,0.35288,0.35147,0.35885,0.35276,0.35193,0.38028,0.39957,0.41582,0.41532,0.38721,0.37158,0.36148,0.38191,0.40316,0.39163,0.42642,0.43366,0.44080,0.52227,0.60853,0.61754,0.61725,0.60136,0.53899,0.53824,0.52917,0.51507,0.52330,0.53843,0.54344,0.60638,0.60819,0.53120,0.49462,0.41566,0.42728,0.44724,0.44878,0.49461,0.63215,0.67189,0.70990,0.70140,0.69649,0.68883,0.66754,0.70149,0.65224,0.60124,0.58242,0.61166,0.63987,0.65912,0.63983,0.64993,0.65919,0.67493,0.65604,0.67602,0.63986,0.67404,0.71927,0.81059,0.85059,0.83557,0.77111,0.72456,0.67777,0.65538,0.64035,0.71291,0.68381,0.70895,0.73699,0.65993,0.63416,0.57844,0.67397,0.74811,0.72060,0.71690,0.70836,0.70656,0.68753,0.72271
2007,Rouchel 33_11kV,06MAY2006,MW,0.79414,0.76997,0.73450,0.68360,0.58904,0.58604,0.55668,0.58404,0.62543,0.60876,0.52162,0.35782,0.33687,0.33437,0.34804,0.38963,0.35344,0.34959,0.31802,0.31640,0.33151,0.34116,0.34591,0.33061,0.31694,0.37352,0.40252,0.41312,0.39801,0.35575,0.35360,0.38956,0.44670,0.44869,0.40473,0.40944,0.47546,0.58880,0.73966,0.63486,0.75489,0.70105,0.72450,0.88624,0.67114,0.67511,0.67035,0.73544,0.86217,0.75746,0.78842,0.77530,0.79674,0.91003,0.76978,0.76199,0.73700,0.84569,0.84544,0.74299,0.75653,0.75754,0.87512,0.78080,0.69553,0.70220,0.75117,0.89825,0.83114,0.87355,0.96914,1.03137,1.16221,0.94981,0.92861,0.87997,0.94020,1.04558,0.87911,0.86224,0.88332,0.97629,1.05322,0.87323,0.82538,0.77252,0.72608,0.64433,0.64401,0.63351,0.62139,0.60679,0.60415,0.62934,0.62263,0.60569
2007,Rouchel 33_11kV,07MAY2006,MW,0.55521,0.52180,0.51758,0.51604,0.38101,0.33021,0.32380,0.29564,0.27842,0.28256,0.33565,0.36384,0.32724,0.25799,0.21442,0.21551,0.21633,0.22391,0.24441,0.26058,0.28317,0.29538,0.27412,0.25705,0.28276,0.31622,0.34768,0.35422,0.28665,0.29569,0.33474,0.36269,0.38072,0.42996,0.43183,0.41998,0.48566,0.56139,0.55212,0.53329,0.50627,0.45373,0.44658,0.43741,0.44186,0.43323,0.48942,0.50380,0.51740,0.50557,0.48018,0.40675,0.41477,0.41530,0.41237,0.43746,0.52324,0.53353,0.45787,0.44642,0.43587,0.37284,0.34494,0.35752,0.38295,0.38007,0.43830,0.49471,0.49639,0.53086,0.52989,0.51447,0.49310,0.55179,0.57759,0.57249,0.60731,0.59203,0.60711,0.59200,0.54692,0.49369,0.49585,0.50980,0.48111,0.45352,0.43633,0.45319,0.46227,0.46221,0.39308,0.31992,0.32629,0.32225,0.31116,0.27258
2007,Rouchel 33_11kV,08MAY2006,MW,0.22589,0.23892,0.24172,0.24655,0.25333,0.21020,0.18581,0.16976,0.18342,0.18579,0.18015,0.17668,0.17037,0.22505,0.23382,0.23598,0.23735,0.16758,0.18935,0.20760,0.19992,0.19922,0.21370,0.22576,0.22850,0.27514,0.35815,0.43515,0.42432,0.40801,0.37864,0.36358,0.34211,0.39436,0.48203,0.46437,0.47680,0.54978,0.58711,0.57235,0.48614,0.41215,0.39382,0.38553,0.38699,0.38589,0.38004,0.38774,0.45546,0.48115,0.51708,0.53276,0.47075,0.44676,0.45783,0.44011,0.44397,0.44091,0.43777,0.49615,0.52266,0.47606,0.50727,0.62710,0.60212,0.47322,0.52724,0.69924,0.66814,0.58230,0.66489,0.82579,0.84585,0.71163,0.65579,0.64665,0.78926,0.72507,0.64324,0.61146,0.60803,0.75958,0.73197,0.64716,0.60568,0.53473,0.63417,0.55147,0.50257,0.52738,0.52039,0.67188,0.58032,0.57259,0.54145,0.57432
2007,Rouchel 33_11kV,09MAY2006,MW,0.76253,0.64853,0.57835,0.49626,0.51560,0.62595,0.45040,0.41339,0.39924,0.45385,0.56112,0.39009,0.37295,0.36493,0.43530,0.54629,0.43332,0.43099,0.38635,0.34859,0.35673,0.35408,0.34923,0.37385,0.39216,0.43738,0.48199,0.52204,0.52249,0.54215,0.51730,0.55357,0.62306,0.70513,0.85692,0.68024,0.64617,0.62573,0.65549,0.61845,0.57870,0.57337,0.52240,0.54005,0.56560,0.58478,0.57805,0.56313,0.50133,0.46099,0.45538,0.44565,0.45879,0.44374,0.44941,0.46664,0.47297,0.53635,0.55490,0.51584,0.66230,0.57705,0.51402,0.67434,0.87129,0.75978,0.77708,0.93920,0.95424,0.82651,0.80928,1.00447,1.02158,0.84047,0.86138,1.00447,0.97132,0.82858,0.90291,1.02844,0.96458,0.83265,0.83875,0.90631,0.82275,0.74434,0.84109,0.85134,0.72682,0.70073,0.81919,0.85829,0.77482,0.75298,0.64466,0.61985
2007,Rouchel 33_11kV,10MAY2006,MW,0.45693,0.43761,0.55235,0.43447,0.35338,0.35795,0.37053,0.52959,0.41280,0.38477,0.38603,0.42314,0.53647,0.34221,0.34148,0.32443,0.39987,0.42598,0.33198,0.35466,0.32158,0.33075,0.34524,0.37194,0.40916,0.41166,0.44015,0.51041,0.50785,0.66374,0.71730,0.62071,0.53450,0.71353,0.78597,0.74952,0.60083,0.79259,0.85990,0.74548,0.64940,0.52621,0.52154,0.49806,0.50858,0.55618,0.52115,0.47969,0.55155,0.58576,0.61116,0.57753,0.54125,0.50953,0.51313,0.64377,0.70691,0.69165,0.71108,0.75429,0.78909,0.77141,0.73270,0.70224,0.77000,0.76585,0.79856,0.92297,0.91550,0.91576,0.89441,1.07306,1.06640,0.84770,0.80882,1.00179,1.01559,0.84470,0.83396,0.95027,0.91142,0.79316,0.87351,0.99349,0.93314,0.72931,0.68176,0.71765,0.63654,0.57112,0.66049,0.69468,0.61829,0.61497,0.77954,0.81681
