year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Scone 33_11kV,01MAY2006,MW,4.09113,3.94970,4.01721,3.99240,3.81011,3.89790,3.94989,3.85286,3.92234,3.74516,3.74197,3.67487,3.69051,3.68686,3.69571,3.66131,3.99876,4.15965,4.22324,4.37879,4.62362,4.63809,4.79865,4.97486,5.39659,5.84437,6.20835,6.54270,6.30211,6.59349,6.85175,7.02470,7.09690,7.09637,6.99688,6.97802,7.14805,7.01021,6.94805,6.91292,6.93735,6.87532,6.84952,6.82172,6.66837,6.66406,6.60121,6.52498,6.50414,6.75213,6.66788,6.66382,6.61959,6.73231,6.60492,6.60452,6.53685,6.48550,6.56609,6.66189,6.62977,6.65955,6.74033,6.79271,6.68587,6.62667,6.80319,7.08243,7.70302,8.10348,8.56174,8.83540,9.12299,9.52103,9.44135,9.28213,9.15588,8.93955,8.70355,8.55639,8.33381,8.02047,7.83055,7.54788,7.33612,7.02707,6.80990,6.88890,7.37831,7.76754,7.62738,7.16759,7.25878,8.08295,7.73214,7.88539
2007,Scone 33_11kV,02MAY2006,MW,7.45458,6.91697,6.52171,6.16551,5.82033,5.67624,5.43114,5.13181,5.04293,4.85436,4.75503,4.66961,4.59034,4.59450,4.57333,4.49560,4.52059,4.49380,4.64370,4.83712,5.10796,5.07581,5.33244,5.75232,6.16824,6.60958,6.86317,7.47379,7.33138,7.38860,7.44705,7.52703,7.59522,7.49598,7.50037,7.39900,7.14221,7.02967,6.94588,6.91753,6.92254,6.85778,6.80825,6.82218,6.88256,6.57984,6.68276,6.65186,6.79664,6.78830,6.72564,6.79133,6.75498,6.73156,6.61802,6.55071,6.57065,6.42050,6.47621,6.41003,6.44499,6.51057,6.61825,6.67102,6.66997,6.64245,6.66965,6.86353,7.21423,7.56214,8.14941,8.42242,8.67762,8.85878,8.93051,8.77849,8.63351,8.37701,8.32415,8.16400,8.00508,7.84613,7.85278,7.57004,7.23300,7.04394,7.05600,7.18109,7.55862,8.05569,8.06245,7.66982,7.95437,8.75814,8.56947,8.58994
2007,Scone 33_11kV,03MAY2006,MW,8.11243,7.55859,7.04782,6.68175,6.17336,5.93234,5.53692,5.36763,5.38954,5.08052,5.00792,4.97031,4.97780,4.83426,4.71772,4.77711,4.87221,4.99305,5.09550,5.18976,5.31382,5.51700,5.55202,6.01685,6.44135,6.82991,7.19877,7.78729,7.61242,7.83123,7.81950,7.98076,7.93921,7.80866,7.60161,7.37862,7.40309,7.32131,7.32097,7.13431,6.98473,6.81405,6.94106,6.83388,6.78070,6.69786,6.85983,6.89903,6.91940,6.93307,6.64729,6.63565,6.68308,6.69179,6.63762,6.43420,6.43368,6.43587,6.49883,6.59162,6.45706,6.44677,6.51146,6.58829,6.44315,6.53469,6.73854,7.03974,7.31118,7.64122,8.23513,8.62274,8.86238,8.85340,8.85477,8.98929,9.00726,8.80922,8.66307,8.53114,8.35273,8.16623,7.99689,7.67216,7.36130,7.18544,7.19273,7.38874,7.68899,8.28856,8.31871,7.66946,7.78696,8.73826,8.57383,8.62942
2007,Scone 33_11kV,04MAY2006,MW,8.17318,7.44559,7.06361,6.63016,6.15124,5.89832,5.72938,5.52896,5.41798,5.09741,5.06067,4.91975,4.74845,4.76654,4.76662,4.75619,4.73330,4.71549,5.02182,5.40475,5.46105,5.39139,5.62305,5.99081,6.45727,6.85431,7.32506,7.70928,7.41036,7.72250,7.71265,7.77079,7.88495,7.67608,7.36389,7.15952,6.94395,6.94955,6.93841,6.79840,6.80963,6.74890,6.76780,6.57741,6.60955,6.51733,6.53827,6.56337,6.56505,6.51445,6.55066,6.61223,6.68613,6.86909,6.78795,6.63758,6.60501,6.52177,6.62529,6.61391,6.54047,6.44981,6.52223,6.58029,6.70565,6.74072,6.60784,6.80404,7.04350,7.48155,7.97513,8.14638,8.29286,8.59416,8.87357,8.62881,8.59632,8.42345,8.27254,8.19807,8.08852,7.95841,7.74907,7.55562,7.18807,7.09561,7.06051,7.52511,7.64205,8.25115,8.20228,7.74294,7.99634,8.71951,8.20182,8.34763
2007,Scone 33_11kV,05MAY2006,MW,7.96158,7.49259,7.07620,6.64776,6.07631,5.84088,5.68301,5.36495,5.26331,5.18031,5.06514,4.86452,4.86582,4.78573,4.72081,4.80270,4.88746,4.82350,4.92027,5.22674,5.31755,5.64261,5.78842,6.03542,6.55051,7.03274,7.30394,7.87243,7.80939,8.08054,8.27373,8.39573,8.24989,8.12179,8.05946,7.76439,7.56062,7.36502,7.30180,7.25342,7.24894,7.31657,7.24122,7.05716,7.07440,6.93678,7.12339,6.96581,6.90798,6.99310,7.13654,7.09045,7.07139,6.97764,6.85379,7.07089,6.82071,6.80824,6.78799,6.97170,6.73029,6.39373,6.51400,6.62081,6.57376,6.61673,6.60607,6.74561,6.77144,7.18967,7.67170,7.90245,7.93045,8.18939,8.48324,8.48960,8.26499,8.16302,8.04138,8.08940,7.87349,7.58341,7.52840,7.49576,7.39222,7.02570,7.09182,7.35514,7.85107,8.46696,8.34615,7.56680,7.73524,8.71449,8.53047,8.56907
2007,Scone 33_11kV,06MAY2006,MW,8.00896,7.34084,6.99051,6.71622,6.32635,5.88715,5.51298,5.36033,5.31865,5.08488,4.79038,4.70278,4.69390,4.72180,4.61232,4.57559,4.68014,4.74449,4.80231,4.85719,4.79473,5.04606,4.94330,5.00575,5.29510,5.51250,5.89541,6.21065,6.64483,7.08523,7.41669,7.74394,7.91265,7.99483,8.11669,8.18051,8.17410,8.15790,7.77050,7.51114,7.34968,7.24397,6.97068,6.81709,6.56130,6.41312,6.44218,6.23475,6.07399,6.09677,6.16157,6.04658,6.02368,5.91153,5.72909,5.78187,5.81162,5.65317,5.53679,5.46060,5.41890,5.57050,5.82648,5.75726,5.80734,5.94403,6.09098,6.42684,6.88922,7.53615,8.17342,8.41541,8.61476,8.77797,8.89193,8.59410,8.36834,8.36772,8.27854,8.22985,7.88206,7.62282,7.65489,7.46476,7.24823,7.08935,6.87648,6.81926,6.60132,6.12938,5.93342,5.74620,5.60903,5.44600,5.21012,5.06851
2007,Scone 33_11kV,07MAY2006,MW,4.79037,4.77623,4.70889,4.65699,4.53395,4.50719,4.62882,4.58350,4.29949,4.15896,4.09961,4.18952,4.27954,4.21941,4.22076,4.23683,4.05458,4.21034,4.24053,4.33071,4.41409,4.60081,4.57832,4.66107,4.93201,5.06870,5.18226,5.55387,5.74646,6.08592,6.51850,6.73785,6.82303,6.96286,6.98610,6.86486,6.85346,6.97042,6.92791,6.86375,6.67074,6.60796,6.72258,6.53292,6.24698,6.22450,6.11425,5.90559,5.76112,5.73388,5.67546,5.63698,5.47882,5.35673,5.37342,5.24910,5.21665,5.26346,5.29161,5.21376,5.26001,5.28020,5.24180,5.38656,5.19526,5.44631,5.51438,5.85969,6.39633,7.00083,7.88006,8.29682,8.24064,8.30844,8.29212,8.21501,8.10228,7.95705,7.75064,7.65439,7.41679,7.52473,7.25254,6.80884,6.50028,6.31732,6.04257,5.82102,5.60255,5.25490,5.01079,4.82304,4.61332,4.57442,4.39799,4.29154
2007,Scone 33_11kV,08MAY2006,MW,4.24603,4.04581,4.00526,3.94092,4.08699,4.06010,3.99038,3.91878,3.81959,3.85154,3.79214,3.85780,3.72413,3.74195,3.89212,3.92279,4.18781,4.13288,4.37505,4.54246,4.72077,4.94927,5.02136,5.37883,5.99632,6.65984,6.95529,7.47773,7.23169,7.56459,7.94116,7.96519,7.94516,7.92379,8.03033,7.90536,7.57014,7.45639,7.55877,7.47009,7.23030,7.20381,7.18943,7.16815,7.06686,7.00081,6.99088,7.13978,7.15358,6.95593,7.07388,7.18539,7.22847,7.11951,7.19741,6.93092,6.89276,6.85288,6.73595,6.69886,6.63859,6.68911,6.57124,6.76382,6.85831,7.06703,7.37271,8.04965,8.41016,8.99187,9.62432,10.04044,10.21410,10.34362,10.17779,10.16657,10.15545,10.01146,9.79915,9.64734,9.45663,9.41379,8.97871,8.66003,8.31023,8.00090,7.84778,7.79653,7.98418,8.19667,8.14112,7.64462,7.79148,8.61179,8.19529,8.30716
2007,Scone 33_11kV,09MAY2006,MW,7.96940,7.63399,7.22417,6.76343,6.56357,6.28865,5.85029,5.76423,6.30193,6.05878,5.94769,5.83984,5.63943,5.50942,5.39392,5.43342,5.50781,5.46171,5.59058,5.89253,6.20054,6.41276,6.52442,7.00045,7.36227,7.91600,8.45924,8.94409,9.14420,9.68543,10.06980,10.13477,9.94744,9.69944,9.43651,9.13759,8.85958,8.62519,8.49779,8.25800,7.83433,7.77298,7.80588,7.64905,7.59399,7.47303,7.73281,7.76428,7.64613,7.51279,7.39628,7.45627,7.43604,7.35205,7.17098,7.03164,6.92153,7.10164,7.06583,7.16906,7.45254,7.26708,7.43741,7.37934,7.29069,7.63608,8.18619,8.36161,8.69477,9.50183,10.26307,10.55765,10.53250,10.95979,11.17407,11.08355,11.09442,10.88171,10.70812,10.38291,10.03534,9.79652,9.53791,9.19070,9.04136,8.76622,8.60546,8.49397,8.38267,8.64162,8.48021,7.90500,7.77071,8.32318,8.13763,8.15057
2007,Scone 33_11kV,10MAY2006,MW,7.65628,7.23407,6.90734,6.49772,6.47925,6.19781,5.90386,5.74511,5.57243,5.38716,5.31566,5.27949,5.11022,5.13904,5.06775,5.09848,5.18927,5.16291,5.37016,5.51710,5.82524,5.98130,6.24413,6.57361,7.16960,7.57700,8.32374,8.88892,9.00711,9.19483,9.59787,9.67681,9.51656,9.29194,8.97656,8.66813,8.53708,8.53088,8.36447,8.05170,7.96226,7.85854,7.69570,7.58071,7.58750,7.42660,7.43766,7.29468,7.30364,7.26411,7.25751,7.24830,7.14844,7.22193,7.09039,7.10985,6.93350,6.90528,6.84155,6.91995,7.16658,7.20348,7.06112,7.06481,7.06044,7.03158,7.09433,7.41529,8.07492,8.69767,9.20758,9.55600,9.99612,10.42879,10.43955,10.19332,10.01533,9.81808,9.73926,9.70057,9.35117,9.15723,8.87927,8.64269,8.45236,7.96157,7.67772,7.87276,7.90832,8.14403,7.94503,7.30235,7.29523,7.77427,7.41107,7.56473
