year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Toronto 33_11kV,01MAY2006,MW,11.33601,10.56634,10.37596,13.80541,11.56165,9.87622,9.13314,9.67187,8.88230,8.23825,7.78229,7.46584,7.30141,7.33964,7.36364,7.36718,7.56987,7.43116,7.54590,7.71660,8.06364,8.57386,8.89939,9.34190,10.38501,11.57767,12.49470,11.59239,11.63819,12.18495,12.28892,12.55033,12.34918,12.34297,12.55327,12.45989,12.37874,12.12784,12.04808,12.17835,12.22715,11.97717,11.94649,11.75916,11.67092,11.64101,11.66876,11.70267,11.80571,11.53912,11.45010,11.39031,11.25275,11.31908,11.17308,11.19457,11.14282,10.96441,11.05406,11.03858,11.12821,11.18000,11.30321,11.49766,11.81686,12.21676,12.51105,13.09571,14.22660,15.76646,16.77663,16.68436,16.67139,16.60637,16.33936,15.79721,15.27762,15.43561,14.67370,14.19993,13.71049,13.40111,13.04670,12.68487,12.14812,11.76130,11.38807,11.36458,14.61117,14.33502,13.18971,12.54764,11.86016,10.91959,11.33053,13.28946
2007,Toronto 33_11kV,02MAY2006,MW,14.28126,14.20596,13.90611,15.69926,15.15595,13.76965,13.31014,14.95061,13.73635,12.32128,11.17290,10.27656,9.61392,9.14415,8.82381,8.45636,8.11633,7.86515,7.89309,8.01019,8.07790,8.52478,8.94868,9.62215,10.72503,11.96821,13.04775,11.94371,12.10057,12.69688,12.89175,12.91820,12.95308,12.54486,12.23733,12.03246,11.93767,11.63924,11.48976,11.28992,11.09998,11.12023,11.00965,10.95771,10.97139,10.93501,11.05605,11.10144,11.08987,10.97820,10.75313,10.74091,10.65365,10.69872,10.60126,10.65568,10.61551,10.63904,10.70870,10.56372,10.63952,10.82943,11.15438,11.32351,11.68629,12.04788,12.76758,13.41772,14.38896,15.59714,16.64013,16.61932,16.38467,16.25309,16.10563,15.86519,15.57824,15.88955,15.38755,14.80139,14.16527,13.61437,13.26847,12.87222,12.38201,12.30912,12.23400,12.02201,15.34640,14.86797,14.20220,13.18555,12.43332,11.33038,11.47087,13.47735
2007,Toronto 33_11kV,03MAY2006,MW,14.41258,14.30979,14.04594,16.08162,15.57620,14.21752,13.67408,15.37578,14.10884,12.69104,11.63697,10.68592,9.88163,9.05327,8.71469,8.27781,8.07055,7.97587,8.03594,8.11646,8.36697,8.61624,9.04064,9.77040,10.97553,12.25082,13.40567,12.61702,12.80036,13.40030,13.75435,13.76730,13.62068,13.43917,13.01310,12.58383,12.09025,11.88879,11.79284,11.71750,11.45750,11.21650,10.99781,11.09756,11.30036,11.09635,11.20590,10.96595,11.15438,10.96058,10.85468,10.78115,10.66589,10.85756,10.95807,11.05155,11.32362,11.14108,11.14438,11.09384,11.11269,10.98774,10.90797,11.14252,11.34761,11.74696,12.11317,12.83168,13.80099,15.24121,15.92112,15.75507,15.84103,15.99696,15.90242,15.48865,15.01233,15.27087,14.78483,14.44048,14.08359,13.71070,13.17871,12.70234,12.17828,11.83768,11.73857,11.82375,15.12884,14.87239,14.16663,13.12857,12.26834,11.09312,11.47603,13.53222
2007,Toronto 33_11kV,04MAY2006,MW,14.46415,14.28841,14.17620,15.96014,15.49416,14.23438,13.62074,15.27238,14.04594,12.92594,11.82687,10.74204,9.96125,9.34826,8.83073,8.38939,8.32526,8.34391,8.11890,8.13773,8.29354,8.63960,9.15474,9.91128,10.92054,12.06261,13.08995,12.16218,12.31084,12.87315,13.39896,13.54048,13.49287,13.13050,12.97493,12.68521,12.28895,12.35860,12.23204,11.87910,11.70497,11.36331,11.21992,11.23068,11.27526,11.19592,11.07797,10.99331,11.01743,10.93887,10.85402,10.99511,11.06974,10.81429,10.87633,10.81500,10.93069,11.13460,11.20640,11.05814,11.09355,10.81207,10.86258,10.80729,11.11681,11.50905,11.73682,12.53753,13.25293,14.63151,15.70625,15.62944,15.94866,15.86215,15.67596,15.10127,15.15034,15.83112,15.48510,14.93824,14.28714,13.93776,13.43266,13.17243,12.82812,12.66840,12.28167,12.19450,15.34489,15.13325,14.41512,13.40905,12.34942,11.29828,11.61986,13.74692
2007,Toronto 33_11kV,05MAY2006,MW,14.75505,14.63682,14.24390,16.10472,15.56964,14.31278,13.40639,15.33636,14.01906,12.44884,11.18656,10.33952,9.54660,8.88198,8.28534,8.00401,7.88096,7.91751,7.90582,8.09537,8.44200,8.91364,9.36621,10.06251,11.04382,12.32987,13.70732,13.08982,13.35554,14.18414,14.42514,14.30285,14.17924,13.87140,13.42505,13.13675,12.72082,12.42112,12.08280,11.95529,11.50501,11.32967,11.28046,11.17605,11.01458,11.18100,10.94724,11.00716,11.15005,10.93150,11.06716,10.91376,10.80115,10.68765,10.75209,10.81895,10.93002,10.78780,10.85856,10.80382,10.76045,10.82674,10.79241,11.00965,11.36607,11.73628,12.04638,12.65129,13.25199,14.41570,15.44468,15.24429,15.55576,15.43110,15.30535,15.17829,14.87156,15.20638,14.68431,14.23580,13.96441,13.58486,13.40222,12.87758,12.61143,12.40492,12.36686,12.43720,15.69862,15.24750,14.57521,14.00997,13.26729,12.06937,12.34702,14.12455
2007,Toronto 33_11kV,06MAY2006,MW,15.27617,15.03368,14.53189,16.42997,15.94129,14.63151,13.49769,12.23535,14.16323,13.74941,12.54789,11.31031,10.47708,9.89004,9.28832,8.74630,8.27952,8.15565,8.13020,8.16912,8.26212,8.48209,8.57256,8.88925,9.44349,9.85337,10.41606,11.09924,11.90396,13.19088,14.11015,14.85963,15.22443,15.43086,15.40854,15.39179,15.39152,15.28596,14.96235,14.51101,14.25671,14.03739,13.68381,13.45615,13.34034,13.16610,12.84805,12.73971,12.11241,11.74940,11.57107,11.53174,11.34464,11.34221,11.21108,11.17463,11.08502,11.02885,11.04593,11.23106,11.31745,11.33009,11.43219,11.68402,12.02491,12.53618,12.97007,12.68628,13.74164,14.92302,15.94884,15.55285,16.03994,16.02489,15.77813,15.26455,14.90578,15.28821,14.87732,14.42682,14.05970,13.79455,13.77565,13.26931,13.24650,13.02049,15.56829,14.96935,13.33284,12.08797,12.95398,12.41035,12.93769,12.57813,11.05019,11.86558
2007,Toronto 33_11kV,07MAY2006,MW,12.47937,11.57062,11.31556,14.50201,12.56168,10.60698,9.56922,8.68275,9.66745,9.17833,8.49010,8.08275,7.76823,7.56714,7.43550,7.43293,7.43407,7.54116,7.40789,7.52205,7.83735,8.00449,8.15906,8.37047,8.76833,9.17542,9.33841,10.00987,10.85525,11.63766,12.28210,12.89448,13.60072,14.41270,15.07022,15.34445,15.39372,15.21880,15.01564,14.77574,14.44923,14.32619,13.86476,13.60116,13.41298,13.09710,12.83453,12.51756,12.31744,11.97746,12.14466,11.91159,11.91328,11.30302,11.12803,10.88524,10.95565,10.81730,10.93923,10.88390,11.03903,11.12986,11.17262,11.21538,11.59212,12.10237,12.45878,11.97709,13.16924,14.59450,15.28266,14.91762,15.04204,14.97881,14.66294,14.26235,14.01332,14.24068,13.87517,13.42750,12.89879,12.51520,12.59600,12.19086,12.10551,11.59936,14.13836,13.63776,12.12963,11.09704,11.78895,11.17266,11.37318,11.15492,9.82827,10.65620
2007,Toronto 33_11kV,08MAY2006,MW,11.44506,10.69692,10.36738,13.60299,11.78405,10.09981,9.46588,10.21110,9.22230,8.39903,8.05262,7.75688,7.39906,7.25272,7.22094,7.19893,7.35724,7.38116,7.49171,7.78711,8.32254,8.70419,9.19752,9.45892,10.68600,12.21005,13.68565,12.92812,13.22090,13.83584,14.16241,14.44995,14.24179,13.80545,13.52051,13.47656,13.40548,13.22314,12.79169,12.37408,11.88367,11.64086,11.64544,11.55861,11.46370,11.16684,11.14704,11.11936,11.21076,11.24649,11.01540,10.92975,10.77850,10.86592,10.81870,10.66786,10.75722,10.70471,10.63522,10.99640,11.08378,11.01562,11.06507,11.32919,11.89157,12.45887,13.16004,14.03768,15.50999,17.77474,19.10470,19.02707,19.47701,19.48021,19.38989,19.15376,18.80743,19.12059,18.74657,18.46719,18.01518,17.11876,16.50272,16.14109,15.36862,14.98771,14.58543,13.96955,17.14992,16.82971,15.71948,14.47998,13.35097,12.31368,12.47467,14.43266
2007,Toronto 33_11kV,09MAY2006,MW,15.44668,15.13863,15.00083,16.65159,16.15612,15.10330,14.41220,16.40473,15.28926,13.84097,12.53882,11.47536,10.76263,10.07728,9.58653,9.17731,8.79478,8.65421,8.73531,8.71283,9.22739,9.71590,10.25166,10.89480,12.35893,14.08699,15.63048,14.95036,15.72727,16.52612,16.89095,16.82614,16.86714,16.39822,15.96962,15.54897,14.77855,14.40573,14.09139,13.79241,13.44645,13.06632,12.86736,12.45316,12.21227,12.07986,11.92883,12.01245,11.75935,11.57721,11.45131,11.34339,11.33868,11.24178,11.12298,11.07483,10.99974,11.05408,11.15487,11.01768,10.96837,11.17778,11.08902,11.59197,12.02467,12.68861,13.31063,14.19307,15.72240,18.04808,19.50571,19.40257,19.61959,19.79628,19.73684,19.34950,19.01390,19.32660,18.64618,17.92829,17.43099,16.94460,16.31481,15.89741,15.32039,14.93943,14.59272,14.40980,17.13978,16.76599,15.95086,14.72428,13.67129,12.44002,12.64490,14.05569
2007,Toronto 33_11kV,10MAY2006,MW,14.92313,14.94242,14.65534,16.47101,16.00787,14.70115,13.95593,15.86026,14.97553,13.67885,12.46131,11.65071,10.90379,10.10979,9.42777,8.97460,8.83443,8.70120,8.59389,8.74279,9.06360,9.28700,9.84326,10.58630,11.75222,13.50283,14.94338,13.96905,14.25212,14.93365,14.98460,14.74837,14.66046,14.45726,14.10123,13.73321,13.22903,12.75248,12.43028,12.06299,11.62875,11.40671,11.12769,10.98674,11.02392,11.06310,10.95664,10.84007,10.81157,10.66172,10.36453,10.60597,10.52249,10.43118,10.68827,10.73452,10.67056,10.90184,10.94128,10.75099,10.76113,10.79744,10.88105,11.08318,11.35784,11.60281,12.21141,12.89124,14.12287,15.78398,16.75482,16.55803,16.69018,16.68289,16.21992,16.06711,15.87341,16.19221,15.62555,15.10308,14.55392,14.13865,13.77213,13.35838,12.47930,12.17654,12.32689,12.15375,15.26779,15.02830,14.17996,13.32925,12.36039,11.43742,11.78236,13.51070
