year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Waverley 33_11kV,01MAY2006,MW,10.49872,10.17437,9.78174,9.28667,9.13303,8.89404,8.50140,8.39898,8.15998,8.05756,8.00634,7.97220,7.81856,7.97220,7.88684,7.83563,7.80149,7.85270,7.92099,8.02341,8.10877,8.12584,8.62090,9.57688,10.44751,11.36935,12.53018,13.75930,15.09085,16.26875,16.64432,16.31996,15.73955,15.34691,14.92014,15.12499,15.02256,15.32984,14.92014,15.22741,15.17620,15.19327,15.19327,15.34691,15.22741,14.97135,15.27863,15.26156,15.07377,15.07377,15.07377,14.93721,14.71528,14.73235,14.47629,14.74942,14.85185,15.32984,15.34691,15.44934,15.24449,15.48348,15.53469,15.38105,16.01269,16.55896,16.81503,17.42959,18.04415,18.93184,20.12682,20.14389,20.50238,20.98037,21.06573,21.30472,20.77552,20.50238,20.51945,20.36581,19.85368,19.42690,19.15377,19.01720,18.52214,17.92465,18.01000,17.60030,17.42959,17.07109,16.83210,15.67126,14.45922,13.11060,12.27412,11.60834
2007,Waverley 33_11kV,02MAY2006,MW,10.87429,10.25973,9.86709,9.30375,9.23546,8.96232,8.62090,8.38191,8.15998,8.12584,8.05756,8.05756,7.97220,8.05756,8.02341,7.98927,7.98927,7.95513,8.14291,8.02341,8.10877,8.53555,8.92818,9.78174,10.60115,11.40349,13.23010,14.28850,15.94440,16.74674,16.81503,16.72967,16.26875,15.72248,15.07377,15.07377,15.09085,15.31277,15.02256,15.34691,14.83478,14.98842,14.62993,14.30558,14.97135,14.86892,14.97135,14.56164,14.80064,14.57871,14.88599,14.74942,14.66407,14.76650,14.78357,14.78357,14.85185,14.68114,14.51043,14.45922,14.39093,14.66407,14.40800,14.81771,15.03963,15.53469,15.77369,16.06390,16.96867,18.02707,18.96598,19.44397,19.63176,20.33167,20.31460,20.62188,19.95611,19.90489,19.46105,19.32448,18.93184,19.01720,18.88063,18.48799,17.66858,17.65151,17.80515,17.29302,17.19059,17.39544,16.55896,15.53469,14.42507,13.29838,12.25704,11.71077
2007,Waverley 33_11kV,03MAY2006,MW,11.02793,10.41337,9.81588,9.59395,9.20132,8.94525,8.53555,8.41605,7.98927,8.07463,8.00634,8.00634,7.93806,7.92099,7.81856,7.90392,7.85270,8.02341,8.07463,7.92099,8.15998,8.36484,8.75747,9.67931,10.73772,11.47177,13.07646,13.99830,15.79076,16.93452,17.07109,16.84917,16.45653,15.73955,15.32984,15.17620,15.36398,15.29570,14.97135,15.02256,14.76650,14.47629,14.69821,14.81771,14.86892,14.56164,14.42507,14.44214,14.37386,14.73235,14.73235,14.64700,14.71528,14.62993,14.59578,13.96415,13.94708,14.06658,14.27143,14.40800,14.33972,14.42507,15.24449,15.24449,15.32984,15.43227,15.48348,15.46641,16.71260,17.70272,18.53921,19.11962,19.52933,19.95611,20.00732,20.29753,19.93904,19.85368,19.81954,19.54640,19.06841,19.01720,18.40264,18.14657,17.60030,17.01988,17.73687,17.27595,17.07109,17.41251,16.37118,15.03963,14.11779,13.14474,12.47897,11.52299
2007,Waverley 33_11kV,04MAY2006,MW,10.77186,10.25973,9.83295,9.50860,9.28667,8.97939,8.62090,8.60383,8.46726,8.19412,8.07463,7.98927,7.92099,7.92099,7.95513,8.00634,7.86977,7.90392,8.04048,8.26241,8.33069,8.41605,8.92818,9.62810,10.72065,11.45470,12.92282,14.03244,15.80783,16.37118,16.93452,16.72967,16.40532,15.89319,15.44934,14.86892,15.14206,14.76650,15.02256,14.86892,15.26156,14.61286,14.81771,14.78357,14.68114,14.81771,14.92014,14.47629,14.71528,14.69821,14.68114,14.62993,14.35679,14.73235,14.76650,14.90306,14.51043,14.74942,14.69821,14.68114,14.25436,14.32265,14.71528,15.32984,14.88599,15.14206,15.82490,15.97854,16.55896,17.34423,18.38557,19.18791,19.47812,19.47812,20.00732,20.05853,19.99025,19.95611,19.76833,19.27326,19.17084,18.96598,18.93184,18.50506,18.01000,17.19059,17.39544,17.13938,16.91745,17.31009,16.71260,15.50055,14.11779,13.45202,12.53018,11.67663
2007,Waverley 33_11kV,05MAY2006,MW,10.97671,10.27680,10.00366,9.67931,9.40617,9.03061,8.84283,8.58676,8.27948,8.12584,8.12584,8.04048,7.93806,7.97220,7.78442,8.05756,7.86977,7.76735,7.81856,8.07463,8.09170,8.50140,8.79161,9.61103,10.58408,11.42056,12.75211,13.94708,15.89319,16.88331,17.07109,16.90038,16.30289,16.08097,15.73955,15.34691,15.53469,15.44934,15.27863,15.43227,15.43227,15.31277,15.29570,15.14206,14.98842,14.78357,14.78357,14.93721,14.52750,14.51043,14.66407,14.27143,14.37386,14.22022,14.35679,14.16901,14.27143,14.37386,14.16901,14.47629,14.97135,15.10792,15.55177,15.89319,16.20047,16.23461,16.86624,17.01988,17.95879,18.53921,19.22205,19.59761,19.93904,20.57067,20.57067,20.00732,19.32448,18.36850,18.16364,17.97586,17.73687,17.34423,17.08816,16.78088,16.40532,16.20047,16.35411,16.04683,16.21754,16.52482,16.20047,15.27863,14.40800,13.69102,13.19595,12.87160
2007,Waverley 33_11kV,06MAY2006,MW,11.81320,11.36935,10.75479,10.22558,9.98659,9.59395,9.26960,9.04768,8.80868,8.60383,8.74040,8.41605,8.31362,8.19412,8.34776,8.12584,8.17705,8.10877,8.17705,8.12584,8.21120,8.22827,8.12584,8.56969,8.84283,9.03061,9.38910,9.98659,10.99378,11.64249,12.35947,13.38374,13.93001,14.81771,15.46641,15.73955,16.11511,16.55896,16.52482,16.37118,16.50775,16.98574,17.10523,17.05402,16.93452,16.86624,16.61017,16.50775,16.76381,16.28582,16.35411,15.91026,15.96147,16.14925,15.94440,15.44934,15.48348,15.58591,15.17620,15.10792,15.22741,15.17620,15.24449,15.48348,15.72248,16.08097,16.45653,16.86624,17.87343,19.23912,19.68297,20.34874,19.95611,20.33167,20.09268,20.04146,19.68297,19.08548,18.48799,17.94172,17.37837,16.79796,16.66139,15.96147,15.73955,15.82490,15.91026,15.68833,15.48348,16.01269,15.50055,14.93721,14.27143,13.94708,13.28131,12.51311
2007,Waverley 33_11kV,07MAY2006,MW,11.91562,11.35228,10.99378,10.48165,10.07194,9.79881,9.50860,9.35496,8.97939,8.77454,8.56969,8.53555,8.39898,8.45019,8.48433,8.46726,8.31362,8.07463,8.22827,7.97220,8.22827,8.14291,8.31362,8.43312,8.41605,8.56969,8.87697,9.78174,10.22558,10.68650,10.95964,11.64249,12.12048,12.88868,13.96415,14.18608,14.68114,15.05670,15.14206,15.31277,15.84197,16.09804,16.01269,16.62724,16.28582,16.45653,16.54189,16.08097,16.20047,16.04683,16.01269,15.85905,15.63712,15.68833,15.55177,15.80783,15.39813,14.98842,15.53469,14.93721,15.29570,15.55177,15.53469,15.34691,15.55177,15.97854,16.30289,16.83210,17.65151,19.08548,19.64883,20.09268,20.29753,20.09268,20.09268,20.14389,19.81954,19.59761,19.47812,19.00013,18.86356,18.45385,18.26607,17.31009,17.31009,16.62724,16.67846,16.33704,16.42239,16.64432,15.60298,14.93721,13.91294,12.97403,12.22290,
2007,Waverley 33_11kV,08MAY2006,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Waverley 33_11kV,09MAY2006,MW,11.54006,10.82307,10.46458,10.00366,9.57688,9.47446,9.06475,8.91111,8.56969,8.62090,8.36484,8.53555,8.45019,8.33069,8.26241,8.07463,8.26241,8.22827,8.36484,8.27948,8.60383,8.87697,9.25253,9.96952,11.33521,11.89855,13.91294,15.26156,17.29302,18.21486,18.06122,17.90758,17.48080,17.13938,16.43946,16.25168,15.73955,15.50055,15.29570,15.55177,15.31277,15.24449,15.00549,15.02256,14.97135,14.88599,15.02256,15.22741,14.68114,14.88599,14.76650,14.81771,15.00549,14.56164,14.76650,14.68114,14.76650,14.98842,14.52750,14.37386,14.66407,14.57871,14.98842,15.19327,15.73955,15.91026,16.28582,16.91745,18.06122,18.98306,20.26339,21.09987,21.28765,22.05585,22.49970,22.29485,22.43142,22.34606,22.20949,22.08999,21.90221,21.62907,21.23644,20.62188,19.99025,19.56347,20.04146,19.56347,19.42690,19.18791,18.31728,16.91745,16.01269,14.42507,13.63980,12.56432
2007,Waverley 33_11kV,10MAY2006,MW,11.81320,11.16449,10.80600,10.27680,9.86709,9.55981,9.25253,8.94525,8.79161,8.70626,8.62090,8.67212,8.51848,8.53555,8.46726,8.51848,8.36484,8.48433,8.38191,8.46726,8.53555,8.97939,9.37203,10.22558,11.38642,12.01805,14.16901,15.51762,17.27595,17.68565,18.09536,17.70272,17.39544,16.50775,16.04683,15.82490,15.72248,15.70541,15.50055,15.48348,15.44934,15.39813,15.17620,15.48348,15.09085,14.98842,15.02256,15.24449,15.02256,14.90306,14.76650,14.81771,14.32265,14.54457,14.93721,14.74942,14.57871,14.88599,14.57871,14.16901,14.78357,14.42507,14.37386,14.78357,15.10792,15.53469,16.02976,17.17352,18.48799,19.37569,20.29753,20.72431,21.18523,21.88514,21.86807,22.07292,22.39727,21.35594,21.64615,21.54372,21.06573,20.96330,20.75845,20.04146,19.44397,19.22205,19.85368,18.98306,18.45385,18.91477,17.83929,16.38825,15.29570,14.16901,13.29838,12.47897
