year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Woy Woy 66_11kV,01MAY2006,MW,14.33781,18.57910,17.00269,14.97588,13.15551,17.17160,16.25202,15.03218,13.32441,12.04827,11.10993,10.47186,10.02146,9.43969,9.04558,9.04558,8.72655,8.93298,9.06435,9.19572,9.96516,10.24666,10.92226,11.56033,12.44237,12.79894,14.09384,11.74800,12.42360,13.06167,13.09921,13.39947,13.39947,13.32441,13.54961,13.47454,13.32441,13.09921,13.02414,13.04291,12.83647,12.49867,12.27347,12.42360,12.27347,12.31100,12.46114,12.49867,12.19840,12.16087,12.34853,12.02950,12.01073,11.95443,11.74800,11.80430,11.71046,11.71046,11.69170,11.97320,12.14210,12.44237,12.76140,13.11797,13.54961,14.11261,14.90082,15.20108,16.43969,16.89009,18.09117,17.97857,18.33513,18.24130,17.64076,17.09653,16.53352,15.80162,15.36999,14.84452,16.10189,14.86328,15.42629,14.31905,15.16355,13.49331,12.68634,12.16087,12.46114,15.80162,15.97052,14.26275,16.94639,15.48259,17.37803,15.57642
2007,Woy Woy 66_11kV,02MAY2006,MW,14.33781,18.35390,16.62736,14.65685,13.15551,17.13406,16.27079,14.88205,13.06167,11.67293,10.60323,10.24666,9.43969,9.12065,8.78285,8.72655,8.98928,9.06435,9.02682,9.49599,10.04022,10.56569,11.33513,11.54156,13.09921,13.71851,14.80698,12.14210,12.81770,13.11797,13.24934,13.53084,13.56838,13.24934,13.23057,13.45577,13.15551,12.72387,12.57374,12.42360,12.55497,12.14210,11.99197,12.17963,11.59786,12.01073,11.89813,11.99197,12.06703,11.67293,11.39143,11.39143,11.82307,11.44773,11.72923,11.63540,11.71046,11.76677,11.67293,11.71046,11.82307,11.74800,12.19840,12.55497,12.87400,13.26811,14.15014,14.07508,15.72655,16.60859,16.98393,17.34050,17.52816,17.45310,17.07776,16.57106,16.23326,15.95175,15.44505,14.82575,15.80162,14.93835,15.65149,14.60055,15.10725,13.86864,13.00537,12.34853,12.93030,16.43969,15.80162,14.56301,17.34050,15.72655,17.47186,15.76409
2007,Woy Woy 66_11kV,03MAY2006,MW,14.09384,18.39144,16.60859,14.71315,13.08044,16.94639,15.82039,14.71315,13.08044,11.78553,11.07239,10.02146,9.53352,9.12065,9.04558,8.82038,8.91422,9.02682,9.12065,9.51475,10.17159,10.86596,11.22253,12.08580,13.21181,13.98124,15.27615,12.47990,13.24934,13.41824,13.98124,13.84988,14.18768,13.62468,13.47454,13.02414,13.04291,13.00537,12.79894,12.49867,12.40484,12.70510,12.27347,12.40484,12.06703,11.91690,11.67293,11.89813,11.84183,12.06703,11.93567,11.57910,11.74800,11.57910,11.52280,11.97320,11.52280,11.59786,11.41020,11.74800,11.89813,12.02950,12.12333,12.42360,12.74264,12.78017,13.49331,13.43701,14.52548,15.68902,16.55229,16.92763,17.35926,17.02146,16.64613,16.15819,15.65149,15.50135,14.88205,14.80698,15.78285,14.91958,15.46382,13.98124,14.35658,13.17427,12.49867,11.74800,12.19840,15.83915,15.35122,13.53084,17.00269,15.36999,16.92763,15.33245
2007,Woy Woy 66_11kV,04MAY2006,MW,13.56838,17.94103,16.17696,14.37535,12.98661,16.85256,16.06436,14.56301,13.19304,11.87937,10.88473,10.39679,9.64612,9.38339,8.97052,8.80162,8.67025,8.87668,9.25202,9.47722,10.13406,10.47186,10.99733,11.78553,12.27347,13.69974,14.67561,12.14210,12.66757,13.17427,13.38071,13.54961,13.47454,13.02414,13.32441,12.79894,12.57374,12.74264,12.42360,12.38607,12.68634,11.80430,11.87937,11.78553,11.89813,11.63540,11.41020,11.59786,11.59786,11.63540,12.14210,11.48526,11.67293,11.89813,11.67293,11.65416,11.48526,11.52280,11.57910,11.59786,11.59786,11.80430,11.97320,12.34853,12.57374,12.72387,13.36194,13.17427,14.48795,15.80162,16.81503,17.07776,17.17160,17.43433,17.15283,16.60859,16.36462,16.02682,15.44505,15.23862,16.17696,15.03218,15.67025,14.30028,14.75068,13.73728,13.09921,12.36730,12.79894,16.06436,15.80162,14.41288,17.24666,15.50135,17.50940,15.74532
2007,Woy Woy 66_11kV,05MAY2006,MW,14.00001,18.26007,16.43969,14.33781,13.11797,17.00269,15.52012,14.26275,13.00537,11.69170,10.77213,10.07776,9.66489,9.12065,8.80162,8.98928,8.89545,8.95175,9.27078,9.49599,10.15282,10.69706,11.27883,11.78553,12.81770,14.16891,15.18232,12.72387,13.19304,13.75604,14.37535,14.26275,14.30028,13.75604,13.94371,13.30564,13.11797,13.15551,13.15551,12.85524,12.72387,12.34853,12.01073,12.27347,11.95443,11.97320,12.01073,12.21717,12.10457,11.89813,11.78553,11.93567,11.35390,11.76677,11.74800,11.69170,11.82307,11.57910,11.52280,11.80430,11.87937,11.87937,12.27347,12.31100,12.79894,12.94907,13.38071,13.47454,14.58178,15.65149,16.32709,16.32709,16.92763,16.55229,16.15819,15.83915,15.25738,14.93835,14.63808,14.52548,15.76409,14.60055,15.50135,14.01878,14.99465,13.69974,13.09921,12.93030,13.43701,16.87133,16.53352,15.23862,18.33513,16.42092,18.20377,16.25202
2007,Woy Woy 66_11kV,06MAY2006,MW,14.65685,18.86060,16.87133,15.14478,13.32441,17.34050,16.25202,14.82575,13.58714,12.02950,11.14746,10.49062,9.87132,9.42092,8.98928,8.78285,8.98928,8.82038,8.76408,8.98928,9.12065,9.27078,9.57105,10.02146,10.30296,10.99733,11.99197,10.47186,11.03486,11.54156,12.04827,12.78017,13.26811,13.19304,13.06167,13.86864,13.51207,13.54961,13.36194,12.94907,13.06167,12.79894,12.64880,12.57374,12.27347,11.95443,12.02950,12.04827,11.97320,11.82307,11.82307,11.78553,11.82307,11.22253,11.69170,11.31636,11.76677,11.54156,11.29760,11.44773,12.01073,11.89813,11.78553,12.17963,12.17963,12.51744,13.21181,13.36194,14.43165,15.89545,16.72119,17.09653,17.34050,17.26543,16.36462,16.25202,15.87669,15.70779,14.82575,14.45041,15.05095,14.52548,15.12602,13.94371,14.80698,13.88741,12.87400,12.55497,13.06167,16.64613,16.51476,15.25738,18.27883,16.96516,18.54157,17.00269
2007,Woy Woy 66_11kV,07MAY2006,MW,15.12602,19.42361,17.56570,15.83915,14.13138,18.14747,16.72119,15.57642,13.98124,12.63004,11.52280,10.71583,10.64076,9.68365,9.21448,9.38339,9.27078,8.89545,8.97052,8.82038,9.19572,9.42092,9.57105,9.42092,9.94639,10.54693,10.90349,9.73995,10.73459,11.29760,11.97320,12.51744,13.60591,13.66221,13.71851,13.77481,14.13138,13.79358,13.60591,13.71851,13.64344,13.21181,13.32441,12.76140,12.79894,12.40484,12.49867,12.29223,12.32977,12.06703,12.21717,12.10457,12.19840,11.74800,11.69170,11.26006,11.80430,11.56033,11.74800,11.78553,11.41020,11.72923,11.76677,11.74800,12.04827,12.31100,12.87400,13.15551,14.03754,15.35122,16.00806,16.36462,16.62736,16.73996,15.72655,15.50135,15.53889,15.06972,13.54961,12.98661,13.68098,12.57374,13.54961,12.31100,13.17427,11.54156,10.94103,12.64880,12.94907,16.13942,15.72655,14.15014,17.52816,16.15819,17.86597,16.12066
2007,Woy Woy 66_11kV,08MAY2006,MW,14.30028,18.67294,16.94639,15.12602,13.53084,17.67830,16.32709,14.82575,13.39947,12.25470,11.42896,10.39679,10.30296,9.60859,9.27078,8.85792,8.97052,9.06435,9.08312,9.57105,10.22789,10.60323,11.31636,11.97320,12.91154,14.24398,15.55765,13.08044,14.09384,14.37535,14.56301,15.14478,14.99465,14.54425,14.37535,14.01878,14.01878,14.07508,13.64344,13.39947,13.32441,12.98661,12.87400,12.94907,12.49867,12.38607,12.55497,12.63004,12.25470,12.25470,12.34853,11.97320,11.97320,11.61663,11.56033,11.48526,11.74800,11.61663,11.78553,11.74800,11.91690,12.25470,12.51744,13.17427,13.38071,13.90618,14.90082,15.42629,17.60323,19.34854,20.15551,20.34318,20.32441,20.51208,20.23058,19.44237,19.40484,18.86060,18.42897,18.14747,19.02951,17.92227,18.80430,17.22790,17.71583,16.36462,15.20108,14.37535,14.33781,17.69706,17.15283,15.31368,18.31637,16.79626,18.65417,17.00269
2007,Woy Woy 66_11kV,09MAY2006,MW,15.12602,19.59251,18.27883,16.30832,14.48795,18.03487,17.07776,15.89545,14.31905,12.96784,11.95443,10.80966,10.17159,9.77749,9.79625,9.47722,9.60859,9.87132,10.09652,10.19036,11.07239,11.54156,12.40484,13.09921,14.28151,15.68902,17.37803,14.90082,15.83915,16.43969,17.07776,17.28420,16.89009,16.36462,15.85792,15.42629,15.10725,14.75068,14.31905,13.68098,13.79358,13.21181,12.87400,12.89277,12.27347,12.27347,12.74264,12.40484,12.23593,12.04827,11.82307,11.72923,11.63540,11.56033,11.31636,11.82307,11.59786,11.59786,11.35390,11.82307,11.67293,11.74800,12.25470,12.59250,12.94907,13.58714,14.50671,15.01342,16.62736,18.35390,19.68634,20.32441,19.98661,20.36195,19.96784,19.57374,19.25471,19.04827,18.59787,18.05363,19.01074,17.84720,18.50404,17.30296,17.67830,16.62736,15.42629,14.56301,14.60055,17.82843,17.32173,15.72655,18.27883,16.58983,18.41020,16.77749
2007,Woy Woy 66_11kV,10MAY2006,MW,14.86328,19.02951,17.35926,15.57642,14.15014,17.97857,17.09653,15.29492,14.11261,12.93030,11.65416,10.92226,10.32172,9.62735,9.68365,9.23325,9.28955,9.34585,9.79625,10.00269,10.80966,11.44773,11.95443,12.76140,13.60591,14.75068,16.08312,13.75604,14.45041,14.91958,15.14478,15.57642,14.91958,14.82575,14.37535,13.77481,13.86864,13.38071,13.04291,12.91154,12.74264,12.12333,11.93567,11.59786,12.19840,11.97320,11.80430,11.91690,12.02950,11.80430,11.59786,11.56033,11.57910,11.41020,11.37266,11.42896,11.22253,11.27883,11.50403,11.63540,11.56033,11.67293,11.91690,12.42360,13.11797,13.17427,13.68098,14.22521,15.33245,16.70243,17.77213,17.67830,18.14747,18.41020,17.60323,17.64076,16.83379,16.40216,16.17696,15.95175,16.70243,15.80162,16.53352,15.18232,15.95175,14.52548,13.66221,12.74264,13.17427,16.38339,15.87669,14.43165,17.41556,15.70779,17.67830,15.80162
