year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Aberdeen 33_11kV,01MAY2007,MW,2.94219,2.72565,2.54358,2.30311,2.17241,2.04621,1.93074,1.78848,1.77273,1.70666,1.68422,1.65620,1.65186,1.65487,1.62019,1.60371,1.62823,1.64043,1.66302,1.66589,1.74008,1.86456,2.00258,2.15416,2.28279,2.38923,2.44932,2.58605,2.49117,2.58116,2.63449,2.78618,2.87785,2.76596,2.78221,2.74419,2.75272,2.71204,2.72608,2.72437,2.73443,2.72167,2.69611,2.75108,2.73948,2.70092,2.80150,2.63250,2.59635,2.58606,2.64050,2.56871,2.49528,2.47433,2.45512,2.42717,2.47950,2.55502,2.66325,2.70092,2.68123,2.66681,2.62968,2.63215,2.71195,2.75123,2.81101,2.95434,2.99320,3.02651,3.18113,3.34421,3.43515,3.37892,3.37046,3.33536,3.44222,3.39811,3.16115,3.07172,2.98254,2.90221,2.84872,2.69079,2.64114,2.55116,2.56408,2.82320,3.05148,3.22041,3.25070,3.14061,3.28421,3.59745,3.50100,3.31728
2008,Aberdeen 33_11kV,02MAY2007,MW,3.15504,2.96413,2.80672,2.70503,2.53147,2.38189,2.24018,2.14689,2.06233,2.02311,2.06359,2.05214,2.00737,1.94895,1.89597,1.85077,1.87857,1.86485,1.88436,1.95224,1.99949,2.09402,2.16090,2.20394,2.37145,2.54574,2.60507,2.71212,2.59180,2.59990,2.79020,2.77245,2.75727,2.77313,2.76604,2.76834,2.83632,2.76625,2.64432,2.60394,2.54243,2.62959,2.61404,2.61397,2.62342,2.66129,2.67748,2.70211,2.62441,2.64128,2.68259,2.67550,2.63765,2.58356,2.66195,2.69110,2.59890,2.51167,2.51814,2.57852,2.49702,2.51974,2.48646,2.51995,2.44976,2.51085,2.54926,2.60182,2.72631,2.79559,2.90750,3.00590,3.09519,3.10176,3.13739,3.02082,3.05393,2.96308,2.91424,2.85355,2.81231,2.73704,2.75433,2.73222,2.70071,2.61946,2.53617,2.71044,2.81185,3.01973,3.09874,2.99622,3.13050,3.24089,3.23764,3.15677
2008,Aberdeen 33_11kV,03MAY2007,MW,2.95559,2.69159,2.53505,2.40115,2.25139,2.10389,1.97723,1.90373,1.85881,1.80659,1.82591,1.87118,1.85663,1.81392,1.80999,1.80472,1.80627,1.83092,1.88640,1.85765,1.91706,1.98622,2.03853,2.11014,2.16896,2.30192,2.45116,2.49011,2.36120,2.40832,2.49093,2.52316,2.61143,2.60599,2.67331,2.77114,2.81128,2.83388,2.72752,2.64375,2.64016,2.62093,2.64790,2.59828,2.60475,2.62626,2.68034,2.63027,2.59026,2.58876,2.62971,2.57033,2.55652,2.57592,2.60013,2.64621,2.62367,2.64603,2.65355,2.71052,2.63192,2.70604,2.72135,2.73840,2.70103,2.77257,2.87832,2.91768,2.81486,2.82150,3.11281,3.27453,3.31156,3.25012,3.33306,3.38550,3.42534,3.38903,3.27203,3.14281,3.05063,2.96452,2.81363,2.84178,2.82003,2.70641,2.62452,2.79659,2.88772,3.08920,3.11925,2.90483,3.02931,3.19760,3.18720,3.09797
2008,Aberdeen 33_11kV,04MAY2007,MW,2.89417,2.70020,2.54983,2.43107,2.30242,2.20466,2.12527,1.99582,1.98234,1.99436,2.02752,2.06361,2.04940,2.06094,2.05726,1.96862,1.96919,2.01822,2.02269,2.03501,2.05859,2.13157,2.18089,2.18128,2.34087,2.40782,2.55675,2.65188,2.53993,2.54313,2.65599,2.69055,2.65728,2.70846,2.82354,2.80998,2.74710,2.72840,2.75585,2.73737,2.71726,2.72627,2.85442,2.93888,2.92250,2.93891,2.94481,2.91968,2.88270,2.80093,2.85769,2.89737,2.91891,2.87660,2.86559,2.88772,2.85309,2.82169,2.77406,2.70114,2.78654,2.66337,2.65418,2.62083,2.61970,2.57428,2.69100,2.62658,2.56495,2.60549,2.68612,2.70821,2.93129,2.95850,3.00374,2.97307,3.01193,3.00962,3.00640,2.95283,2.82864,2.72674,2.63491,2.61244,2.54138,2.49009,2.53423,2.71426,2.84124,3.06218,3.11951,2.95759,3.10777,3.39521,3.30758,3.06071
2008,Aberdeen 33_11kV,05MAY2007,MW,2.86849,2.62049,2.46490,2.27626,2.12647,2.00958,1.93837,1.87799,1.80999,1.79389,1.80328,1.82150,1.77236,1.76577,1.70906,1.71571,1.70789,1.72940,1.71995,1.78733,1.83978,1.84547,2.01463,1.99722,2.02304,2.02545,2.16522,2.12861,2.16335,2.29138,2.78305,2.92795,3.02233,3.14092,3.18562,3.11318,3.01241,3.04742,2.96208,2.94724,2.97198,3.05077,3.01441,2.96566,2.87751,2.88239,2.82777,2.82193,2.90395,2.91075,2.90756,2.83475,2.85682,2.78074,2.75292,2.72759,2.67212,2.70794,2.80255,2.83040,2.82357,2.65334,2.62389,2.62924,2.65218,2.71901,2.67227,2.73799,2.78645,2.88539,3.23384,3.41579,3.49060,3.44528,3.38058,3.37520,3.27385,3.22503,3.22847,3.11386,2.98519,2.91054,2.88449,2.89585,2.79360,2.70266,2.49440,2.33938,2.30131,2.22751,2.11861,2.13371,2.11823,2.01997,1.95936,1.94000
2008,Aberdeen 33_11kV,06MAY2007,MW,1.91922,1.84547,1.84966,1.83038,1.81624,1.78217,1.77818,1.75256,1.75529,1.73417,1.74235,1.75523,1.74219,1.71903,1.71760,1.72027,1.73047,1.68985,1.67707,1.70759,1.78235,1.85297,1.91254,2.02053,2.06515,2.16604,2.23726,2.23526,2.29597,2.34096,2.46523,2.60309,2.63474,2.66505,2.57397,2.59386,2.67318,2.66527,2.67865,2.68810,2.58218,2.53713,2.56898,2.56118,2.52375,2.61301,2.65287,2.58651,2.59868,2.63448,2.60782,2.58063,2.53310,2.48605,2.47470,2.40136,2.48584,2.52263,2.55589,2.56118,2.60360,2.66662,2.71722,2.67695,2.69637,2.73674,2.73580,2.72992,2.85464,2.94272,3.20350,3.24238,3.39762,3.31530,3.27365,3.19626,3.12126,3.05963,2.97467,2.97024,2.89789,2.82508,2.76630,2.64254,2.53589,2.45276,2.43090,2.33461,2.23978,2.14065,2.03451,1.97657,1.90577,1.89614,1.85462,1.80886
2008,Aberdeen 33_11kV,07MAY2007,MW,1.82490,1.80168,1.78710,1.76133,1.74723,1.74521,1.78312,1.80886,1.79225,1.78205,1.77441,1.77702,1.73595,1.76890,1.75285,1.80711,1.74408,1.74028,1.78296,1.83258,1.91488,2.06271,2.17614,2.28329,2.34759,2.40928,2.55632,2.85732,2.77939,2.81721,2.96151,3.13423,3.08368,2.97526,2.88621,2.86002,2.86719,2.76285,2.72220,2.76484,2.85318,2.85679,2.81590,2.81648,2.77988,2.79453,2.77974,2.80921,2.84543,2.80791,2.80726,2.78598,2.70987,2.70855,2.65072,2.66988,2.64586,2.62656,2.63946,2.65039,2.69794,2.70847,2.78027,2.84507,2.85608,2.79772,2.84234,2.86120,2.86084,2.86563,2.93556,2.94394,2.96829,2.95970,3.00495,2.96664,2.87938,2.82745,2.78140,2.75472,2.69618,2.66330,2.63564,2.51153,2.50585,2.43547,2.44497,2.65535,2.72530,2.95371,2.92602,2.76650,2.94679,3.16055,3.11243,3.00302
2008,Aberdeen 33_11kV,08MAY2007,MW,2.87742,2.73183,2.58255,2.37904,2.25713,2.17681,2.07648,1.91432,1.85574,1.77059,1.86511,1.88061,1.86624,1.84636,1.86624,1.86528,1.87347,1.87807,1.85258,1.88526,1.98058,1.99629,1.97942,2.02507,2.18275,2.45521,2.51589,2.59180,2.47754,2.48518,2.67744,2.70229,2.74439,2.82258,2.78889,2.77110,2.75234,2.68928,2.65276,2.71521,2.73645,2.70476,2.79074,2.82242,2.86974,2.84654,2.83390,2.80470,2.79318,2.80787,2.80519,2.75566,2.68277,2.76368,2.73047,2.58008,2.59735,2.63631,2.84141,2.95469,2.98910,2.98596,3.12436,3.17917,3.09022,3.19094,3.19477,3.21517,3.19499,3.24671,3.41700,3.52296,3.62782,3.54972,3.64745,3.68182,3.62181,3.48457,3.40298,3.30390,3.22563,3.03329,2.96599,2.96405,3.00953,2.93424,2.88690,3.08536,3.20056,3.34534,3.32543,3.10246,3.25642,3.56272,3.53535,3.40006
2008,Aberdeen 33_11kV,09MAY2007,MW,3.04977,2.80175,2.61325,2.49612,2.35484,2.25793,2.15808,2.06550,2.04199,2.00769,1.99454,1.97087,2.00054,1.94838,1.95184,1.92521,1.89306,2.02694,2.07266,2.08058,2.18011,2.26008,2.29587,2.35907,2.57930,2.69604,2.66837,2.71345,2.69652,2.68722,2.80598,2.99699,3.05561,2.97779,2.98160,2.95405,2.92062,2.89798,2.85312,2.79225,2.77890,2.76655,2.65061,2.66118,2.60239,2.62815,2.66863,2.69224,2.75571,2.71725,2.84210,2.86762,2.79932,2.85169,2.84389,2.86652,2.72385,2.67660,2.68266,2.73580,2.79524,2.76460,2.75618,2.78736,2.82737,2.86013,2.89118,3.02982,3.10959,3.19626,3.28894,3.25283,3.28342,3.19827,3.29631,3.24317,3.20228,3.16457,3.09731,2.83404,2.58089,2.47610,2.41445,2.39089,2.36235,2.34680,2.30953,2.50067,2.56974,2.81014,2.83593,2.79521,2.99879,3.24608,3.22884,3.12724
2008,Aberdeen 33_11kV,10MAY2007,MW,2.96197,2.77026,2.60950,2.46853,2.26149,2.17979,2.01658,1.97094,1.87958,1.84800,1.83110,1.81157,1.83246,1.81989,1.78548,1.77967,1.79737,1.85518,1.91054,1.92228,1.92375,1.97352,2.01066,2.08129,2.22086,2.38408,2.52620,2.63607,2.56535,2.61080,2.62487,2.68131,2.69269,2.75308,2.65339,2.60801,2.66408,2.65324,2.56512,2.54017,2.52628,2.54922,2.49746,2.47039,2.47986,2.48151,2.52743,2.44965,2.43483,2.46110,2.45672,2.39479,2.38094,2.31736,2.27192,2.37419,2.37048,2.39641,2.50474,2.60706,2.59690,2.68544,2.74131,2.67495,2.74317,2.76768,2.85854,2.94929,3.02611,3.11866,3.22500,3.22146,3.29658,3.30703,3.25637,3.13059,3.14067,3.03541,2.81865,2.73653,2.63003,2.51506,2.47428,2.39595,2.30991,2.28412,2.27939,2.60084,2.62182,2.86802,2.96410,2.82898,2.93225,3.16850,3.13494,3.06389
