year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Balgowlah 33_11kV,01MAY2007,MW,6.86578,6.45082,6.33764,8.28043,8.28043,7.73343,7.33733,6.90350,6.48854,6.24333,5.96040,5.71520,5.62089,5.60202,5.54544,5.37568,5.28137,5.45113,5.35682,5.43227,5.67747,5.82837,6.24333,6.94123,8.14840,9.07264,10.07233,9.97802,10.35526,10.52501,10.60046,10.54388,10.77022,10.67591,10.31753,10.12891,10.24208,10.11005,9.80826,9.43102,9.60077,9.43102,9.33671,9.35557,9.11036,9.31784,9.26126,9.16695,8.99719,9.03491,8.94060,8.88402,9.07264,9.01605,8.90288,8.99719,9.05378,8.82743,8.80857,8.75198,8.63881,8.69540,8.82743,9.18581,9.37443,9.61964,9.99688,10.27981,11.18519,12.78846,13.67497,14.44832,14.88214,15.37256,14.99532,14.95759,14.58035,14.18425,13.97677,13.80701,13.56180,15.16507,13.86359,13.03367,12.39236,11.99625,11.48698,10.97770,12.16601,12.22260,11.14746,11.35494,9.78940,8.80857,7.82774,7.20530
2008,Balgowlah 33_11kV,02MAY2007,MW,6.86578,6.43195,6.13016,8.12954,7.90319,7.48823,7.14871,6.75261,6.52626,6.03585,5.88495,5.65861,5.56430,5.37568,5.52658,5.31909,5.22478,5.28137,5.20592,5.50771,5.54544,5.75292,6.14902,6.71488,7.71457,8.92174,10.12891,9.58191,9.92143,10.67591,10.78908,10.75136,10.46843,10.43070,10.37412,10.22322,10.03460,10.01574,9.94029,10.41184,10.18550,10.11005,9.88371,9.84598,9.82712,9.71395,9.75167,9.67622,9.50646,9.48760,9.63850,9.65736,9.33671,9.35557,9.46874,9.37443,9.52533,9.43102,9.28012,9.43102,9.39329,9.24240,9.52533,9.67622,9.88371,9.99688,10.43070,10.82681,10.92112,11.90194,13.46749,13.84473,14.29742,14.58035,14.58035,14.76897,14.16539,14.16539,13.80701,13.73156,13.44863,14.76897,13.69384,13.03367,12.10943,11.75105,11.31722,10.37412,11.86422,11.76991,10.82681,10.92112,9.86484,8.65767,7.99750,7.33733
2008,Balgowlah 33_11kV,03MAY2007,MW,6.92237,6.46968,6.13016,8.11067,7.84661,7.58254,7.11099,6.67716,6.20561,5.97926,5.67747,5.54544,5.35682,5.30023,5.28137,5.05502,5.16820,5.09275,5.18706,5.26251,5.52658,5.71520,5.96040,6.56399,7.80888,8.69540,9.37443,9.58191,10.07233,10.18550,10.14777,10.03460,10.18550,10.09119,10.03460,10.01574,9.95915,9.60077,9.50646,9.56305,9.48760,9.52533,9.46874,9.20467,9.03491,9.11036,9.11036,9.14809,8.90288,8.88402,8.77085,8.86516,8.92174,8.80857,8.78971,9.12922,9.12922,9.11036,8.97833,8.90288,8.73312,8.84629,8.84629,9.07264,9.31784,9.24240,9.61964,9.94029,10.60046,12.10943,13.07139,13.78815,14.33515,14.41059,14.24084,14.39173,13.78815,13.46749,13.35432,13.20342,12.88277,14.37287,13.16570,12.44894,11.67560,11.52470,11.10974,10.43070,11.86422,11.86422,10.86453,10.93998,9.63850,8.52564,7.95978,7.35619
2008,Balgowlah 33_11kV,04MAY2007,MW,6.90350,6.46968,6.01699,8.12954,7.80888,7.35619,6.84692,6.52626,6.16788,6.01699,5.65861,5.43227,5.43227,5.33796,5.28137,5.11161,5.09275,4.99844,5.07389,5.16820,5.41340,5.45113,5.86609,6.16788,7.48823,8.35588,9.18581,9.35557,9.69509,9.95915,9.97802,10.18550,10.20436,10.24208,10.07233,10.05346,9.90257,9.88371,9.60077,9.46874,9.37443,9.41215,9.56305,9.26126,9.22353,9.16695,9.12922,9.09150,9.05378,8.99719,9.11036,9.03491,9.09150,9.07264,9.05378,8.99719,8.95947,8.97833,9.03491,8.94060,9.01605,8.94060,9.05378,8.99719,9.18581,9.44988,9.88371,9.97802,10.90226,12.10943,12.90163,13.18456,13.69384,13.67497,13.65611,13.50522,13.03367,12.80732,12.48667,12.56211,12.07170,13.59953,12.48667,11.90194,11.27950,10.88339,10.50615,9.92143,11.65674,11.39267,10.75136,11.12860,9.77053,8.90288,8.22385,7.56368
2008,Balgowlah 33_11kV,05MAY2007,MW,7.07326,6.63944,6.24333,8.33702,8.16726,7.63912,7.22416,6.58285,6.26220,6.09244,5.84723,5.48885,5.45113,5.39454,5.24365,5.22478,5.05502,5.09275,5.24365,5.20592,5.28137,5.46999,5.58316,5.88495,6.24333,6.75261,6.88464,7.33733,7.92205,8.58223,8.99719,9.52533,10.03460,10.31753,10.35526,10.56274,10.80795,10.80795,10.77022,10.54388,10.43070,10.52501,10.18550,10.31753,10.01574,9.69509,9.69509,9.58191,9.92143,9.58191,9.61964,9.31784,9.33671,9.50646,9.58191,9.41215,9.41215,9.29898,9.61964,9.22353,9.39329,9.56305,9.46874,9.50646,9.69509,9.52533,10.16664,10.09119,11.41153,12.92049,13.71270,14.14652,14.18425,14.08994,13.73156,13.63725,13.22229,12.90163,12.46780,12.41122,11.92081,13.35432,12.18487,11.63787,11.20405,10.71363,10.43070,10.07233,11.60015,10.92112,9.69509,10.22322,9.09150,8.41247,7.86547,7.43164
2008,Balgowlah 33_11kV,06MAY2007,MW,6.99781,6.50740,6.29992,8.33702,8.16726,7.71457,7.31847,7.01668,6.73375,6.39423,5.92268,5.88495,5.77178,5.45113,5.54544,5.35682,5.18706,5.26251,5.18706,5.20592,5.22478,5.18706,5.41340,5.62089,6.07357,6.16788,6.52626,6.82806,7.16757,7.79002,8.18612,8.71426,9.37443,9.43102,10.16664,10.18550,10.44957,10.54388,10.56274,10.48729,10.75136,10.90226,10.31753,10.09119,10.05346,9.69509,9.61964,9.43102,9.48760,9.24240,9.50646,9.22353,9.12922,9.28012,9.18581,9.09150,9.03491,9.03491,9.11036,9.12922,9.20467,8.99719,9.31784,9.22353,9.50646,9.48760,10.16664,10.18550,11.52470,13.03367,13.99563,14.58035,14.91987,14.82556,14.63694,14.31628,14.05221,13.76928,13.50522,13.18456,12.73187,14.37287,13.12798,12.29805,11.46812,11.01543,10.39298,9.82712,11.29836,10.33639,8.95947,9.44988,8.52564,7.71457,7.07326,6.41309
2008,Balgowlah 33_11kV,07MAY2007,MW,6.29992,5.97926,5.77178,7.84661,7.69571,7.35619,7.05440,6.62057,6.46968,6.18675,5.86609,5.80951,5.63975,5.31909,5.41340,5.13047,5.03616,5.03616,5.05502,5.31909,5.35682,5.62089,5.92268,6.35651,7.77116,8.60109,9.65736,9.65736,9.97802,10.20436,9.95915,10.09119,10.09119,10.11005,10.05346,10.05346,9.97802,9.71395,9.69509,9.58191,9.31784,9.37443,9.50646,9.01605,9.14809,9.33671,9.16695,9.09150,9.03491,8.99719,8.86516,8.84629,8.97833,8.78971,8.92174,8.97833,8.86516,8.97833,8.73312,8.90288,8.88402,8.90288,8.78971,9.05378,9.12922,9.67622,10.12891,10.69477,12.01512,12.93935,14.07108,14.58035,15.10849,15.08963,14.75011,14.54263,14.54263,14.12766,13.99563,13.67497,13.24115,14.67466,13.61839,12.90163,12.18487,11.65674,10.80795,10.20436,11.63787,11.63787,10.56274,10.78908,9.44988,8.61995,7.69571,6.97895
2008,Balgowlah 33_11kV,08MAY2007,MW,6.67716,6.13016,5.80951,7.86547,7.69571,7.29961,7.01668,6.54513,6.33764,6.03585,5.73406,5.48885,5.43227,5.31909,5.20592,5.16820,5.13047,5.03616,5.16820,5.41340,5.45113,5.65861,6.01699,6.60171,7.79002,9.01605,10.01574,9.77053,9.99688,10.44957,10.24208,10.31753,10.52501,10.29867,10.01574,10.01574,9.78940,9.75167,9.61964,9.58191,9.37443,9.41215,9.26126,9.03491,9.05378,8.90288,8.92174,8.82743,8.90288,8.94060,8.80857,8.63881,8.78971,8.56336,8.75198,9.05378,8.97833,8.92174,8.82743,8.80857,8.88402,8.73312,8.86516,8.99719,9.54419,9.75167,10.46843,10.80795,11.82649,12.95822,13.56180,14.16539,14.35401,14.69352,14.69352,14.65580,14.12766,13.80701,13.42977,13.31660,13.05253,14.48604,13.58066,12.56211,11.76991,11.27950,11.01543,10.44957,11.82649,11.65674,10.54388,10.88339,9.54419,8.39360,7.75230,7.11099
2008,Balgowlah 33_11kV,09MAY2007,MW,6.62057,6.16788,6.11130,7.97864,7.73343,7.56368,6.99781,6.65830,6.20561,5.99813,5.71520,5.52658,5.48885,5.41340,5.13047,5.11161,4.99844,5.05502,5.28137,5.20592,5.46999,5.71520,5.82837,6.46968,7.60140,8.71426,9.67622,9.41215,9.99688,10.44957,10.44957,10.27981,10.35526,10.26095,10.11005,9.97802,10.18550,10.07233,10.05346,9.94029,9.86484,9.88371,9.52533,9.52533,9.50646,9.39329,9.31784,9.20467,9.22353,9.26126,8.92174,9.07264,8.95947,8.88402,8.94060,8.86516,9.01605,8.88402,9.09150,8.88402,8.95947,9.12922,9.26126,9.69509,10.14777,10.41184,10.99657,11.69446,12.73187,13.46749,13.90132,14.35401,14.69352,14.78783,14.65580,14.46718,14.24084,13.78815,13.54294,13.46749,13.24115,14.54263,13.46749,12.73187,12.09056,11.46812,10.97770,10.33639,11.82649,11.88308,10.86453,11.24177,9.67622,8.60109,7.92205,7.35619
2008,Balgowlah 33_11kV,10MAY2007,MW,6.79033,6.31878,6.14902,8.09181,7.92205,7.58254,7.09212,6.69602,6.41309,5.99813,5.82837,5.60202,5.30023,5.37568,5.37568,5.20592,5.14934,5.16820,5.14934,5.22478,5.46999,5.65861,5.86609,6.67716,7.60140,8.65767,9.77053,9.75167,10.44957,10.97770,11.27950,11.46812,11.20405,11.29836,11.10974,10.84567,10.78908,10.69477,10.60046,10.31753,10.27981,10.35526,9.84598,9.69509,9.75167,9.54419,9.77053,9.73281,9.58191,9.48760,9.39329,9.43102,9.07264,9.22353,9.18581,9.28012,9.16695,9.16695,9.14809,8.95947,8.80857,8.95947,9.07264,9.03491,9.20467,9.77053,10.12891,10.97770,11.93967,13.10911,13.82587,14.29742,14.82556,14.84442,14.86328,14.67466,14.56149,14.20311,13.84473,13.67497,13.35432,14.73125,13.67497,12.99594,12.35463,11.86422,11.43039,10.88339,12.43008,12.20374,11.33608,11.54356,10.11005,8.88402,8.35588,7.62026
