year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Berkeley Vale 33_11kV,01MAY2007,MW,19.02550,20.77884,20.21926,18.76437,18.03692,20.01408,19.34260,18.16749,17.88770,17.70118,16.97373,16.47012,16.39551,16.09707,15.85459,16.09707,15.79863,16.05976,16.05976,16.58203,16.50742,17.62657,18.31671,19.45451,20.85344,21.71146,22.70004,22.30834,23.87514,24.84507,25.66578,26.80358,27.88542,,,,,,,27.66159,31.16825,30.40350,30.70194,30.90712,30.45946,,,,,,,,,,,,,31.61591,31.33612,31.37343,30.94442,30.73925,30.06776,29.93719,29.97450,29.54549,30.45946,29.67606,30.60868,30.45946,29.54549,29.13513,28.72478,28.51960,27.15797,27.30719,26.65436,25.79635,25.59117,25.19947,25.72174,24.78911,24.52798,23.68862,23.59536,22.38295,21.80472,21.07727,20.83479,22.56947,21.69281,20.76018,21.78607,19.95813,21.39437,19.99543
2008,Berkeley Vale 33_11kV,02MAY2007,MW,18.91359,21.33841,20.53635,19.45451,18.55919,20.55501,19.88352,18.83898,18.03692,17.10430,16.61934,16.35820,15.76132,15.38828,15.68671,15.38828,15.81728,15.98515,15.79863,16.19033,16.88047,17.77579,18.20480,19.39855,21.00266,21.61820,22.99848,23.24096,24.67720,24.60259,25.64713,26.80358,27.21393,27.62429,27.34450,28.66882,28.63152,29.39627,29.56414,29.80662,30.19832,30.81386,30.92577,31.20556,30.98173,31.14960,31.18691,30.96308,31.46669,31.55995,31.85839,31.26151,30.42215,31.16825,32.06357,31.42939,31.72783,31.54130,31.29882,31.18691,31.78378,31.65322,31.28017,30.86981,30.66464,30.59003,31.11230,30.04911,30.23563,30.79520,30.66464,29.63875,28.48230,28.01599,27.86677,27.08336,26.52379,26.16939,25.40464,24.75181,25.51656,25.10620,24.26684,23.93110,23.40883,22.62543,22.23373,21.28245,21.20784,22.75600,22.25238,21.18919,22.32699,21.20784,21.67415,20.44309
2008,Berkeley Vale 33_11kV,03MAY2007,MW,19.23068,21.33841,20.64827,19.41721,18.52189,20.49905,19.64104,18.82033,17.94366,17.32813,16.69395,16.00381,15.46289,15.14579,15.46289,15.48154,15.57480,15.53750,15.83593,16.13437,17.16026,17.60792,18.55919,19.71565,20.76018,21.87933,23.05443,22.40160,23.85649,24.82642,25.31138,25.85230,26.71032,27.79216,27.68024,28.37038,,,,,,,30.44081,30.73925,,,,,,,,,,,,,,,,32.04492,31.83974,31.67187,32.21279,31.20556,30.51542,30.75790,30.16102,30.55272,30.85116,31.69052,32.00761,32.47392,31.70917,31.20556,31.05634,30.32889,29.54549,28.85535,28.27712,27.97868,28.53826,28.03464,27.75485,26.05748,24.56528,23.01713,22.45756,21.54359,21.26380,22.97982,22.42025,21.11458,22.53217,20.61096,21.24515,19.69699
2008,Berkeley Vale 33_11kV,04MAY2007,MW,18.85763,20.98401,19.43586,19.00685,17.99962,20.03274,19.10011,18.67111,17.86905,16.54473,15.96650,15.48154,15.14579,15.14579,14.92196,15.18310,15.27636,14.92196,15.46289,15.68671,16.63799,17.25352,17.77579,18.98820,19.88352,21.03997,21.52493,21.09593,23.03578,23.35287,24.06167,24.86372,25.62847,26.50514,26.35592,27.53102,27.90407,28.57556,29.67606,28.53826,29.54549,29.65740,29.56414,29.26570,29.73201,29.82528,29.99315,29.99315,29.67606,30.25428,30.21698,30.01180,29.76932,29.80662,28.83670,29.58279,29.93719,29.17244,29.54549,28.55691,28.72478,28.22116,27.79216,27.71755,27.53102,27.19528,26.44918,26.13209,26.91549,26.74762,26.59840,25.75904,24.45337,24.21089,23.33422,22.73734,22.00990,21.46898,21.31976,21.13323,21.74876,21.11458,21.07727,20.38713,20.33118,19.45451,18.82033,18.27941,17.64522,19.47316,19.10011,16.95508,18.07423,16.82451,18.11153,16.33955
2008,Berkeley Vale 33_11kV,05MAY2007,MW,15.91054,17.70118,16.52608,15.22040,14.45565,16.47012,16.15303,15.20175,14.45565,13.74686,13.18729,12.64636,12.21736,11.82566,11.73239,11.50856,11.91892,11.69509,11.86296,12.36658,12.45984,12.66502,12.59041,13.13133,13.67225,13.56033,13.95204,14.41835,14.84735,15.44423,17.47735,17.58927,18.11153,19.15607,19.49182,21.11458,21.80472,21.65550,21.84202,22.12181,22.19642,21.89798,21.82337,22.17777,21.82337,22.45756,22.42025,22.15912,21.48763,21.82337,21.86068,22.25238,21.87933,22.00990,21.76742,22.23373,21.89798,21.87933,21.45032,21.54359,22.15912,21.86068,21.31976,21.71146,21.52493,22.04720,22.32699,21.22649,20.18196,20.94671,21.58089,21.07727,20.68557,20.03274,19.82756,19.06281,19.06281,18.50324,18.24210,17.25352,18.14884,17.68253,17.79444,17.34678,17.55196,16.88047,16.19033,15.50019,15.87324,17.77579,17.29083,16.60069,18.07423,16.76856,17.79444,16.63799
2008,Berkeley Vale 33_11kV,06MAY2007,MW,15.70537,18.24210,17.12295,16.07842,14.84735,17.27217,16.80586,15.87324,15.03388,14.26913,14.04530,13.54168,13.07537,12.59041,12.68367,12.06814,12.25466,11.95622,11.93757,11.90027,12.25466,12.44119,12.60906,12.66502,13.03807,12.92615,13.16863,13.05672,14.25048,14.54892,14.92196,15.68671,16.33955,16.67529,16.88047,17.79444,18.42863,18.96955,19.67834,20.89075,21.41302,20.48040,20.79749,21.74876,21.28245,21.11458,21.28245,21.24515,21.78607,21.76742,21.65550,22.32699,22.47621,22.00990,22.27103,22.12181,21.73011,21.07727,21.67415,22.30834,21.76742,21.78607,21.56224,22.04720,20.51770,20.38713,20.57366,20.16330,20.49905,21.58089,22.56947,22.84926,22.53217,22.30834,21.95394,21.50628,21.69281,21.28245,21.54359,20.77884,21.43167,20.48040,21.07727,20.10735,19.80891,18.78302,18.03692,17.58927,17.32813,18.91359,18.65246,17.92501,19.54777,18.83898,19.71565,18.68976
2008,Berkeley Vale 33_11kV,07MAY2007,MW,17.90636,19.97678,19.28664,17.83175,17.44005,19.54777,18.67111,17.88770,17.02969,16.47012,15.77998,15.29501,15.38828,14.92196,15.10849,15.01523,15.50019,15.29501,15.77998,16.07842,16.95508,17.73848,18.37267,19.60373,21.41302,22.08451,22.97982,22.70004,24.11762,24.88238,25.55386,26.37457,27.25124,28.23982,28.51960,29.06053,30.08641,30.59003,30.86981,31.18691,31.39208,32.08222,31.80244,31.93300,32.36201,31.98896,32.06357,31.54130,32.15683,32.25009,32.23144,32.00761,31.50400,31.13095,31.55995,31.57861,31.50400,31.01903,30.77655,31.05634,31.65322,31.39208,30.72059,30.53407,30.72059,30.94442,31.20556,30.62733,30.10506,30.06776,28.83670,28.53826,27.71755,26.82223,26.54244,25.79635,24.93833,24.19223,23.81919,23.57670,23.87514,23.42748,23.42748,22.55082,22.02855,21.15188,20.70423,19.51047,19.64104,20.85344,20.03274,19.21203,20.62962,19.32394,20.42444,19.08146
2008,Berkeley Vale 33_11kV,08MAY2007,MW,18.11153,20.51770,19.99543,18.40997,17.49600,20.14465,19.00685,18.18614,17.42139,16.80586,16.52608,16.07842,15.27636,14.54892,14.99657,15.14579,15.18310,15.23906,15.50019,16.04111,16.35820,17.25352,18.13019,19.10011,20.42444,20.98401,22.06585,21.61820,23.11039,23.98706,24.65855,25.08755,26.02017,26.52379,26.69166,27.54968,28.38904,28.81804,29.62010,29.69471,30.21698,30.79520,30.94442,31.50400,31.54130,31.78378,31.78378,31.78378,32.30605,32.02627,31.83974,32.00761,32.36201,31.70917,31.82109,31.80244,32.15683,31.42939,31.98896,30.98173,31.48534,30.85116,30.66464,30.55272,31.24286,32.08222,32.43662,32.13818,32.86563,32.43662,31.16825,30.49676,29.97450,29.48953,28.27712,27.49372,27.13932,26.24400,26.05748,25.83365,26.35592,25.34869,25.12486,24.24819,24.04301,22.66273,22.02855,21.52493,21.17054,22.66273,21.97259,21.22649,21.93529,20.83479,21.87933,20.62962
2008,Berkeley Vale 33_11kV,09MAY2007,MW,19.37990,21.78607,20.83479,19.17472,18.61515,20.59231,19.99543,19.24933,18.29806,17.58927,16.86182,16.39551,15.64941,15.53750,15.22040,15.68671,16.05976,16.15303,16.22764,16.89912,16.99239,17.92501,18.61515,20.34983,21.13323,21.84202,22.64408,23.83784,26.03883,27.21393,28.23982,28.66882,29.58279,29.93719,29.86258,30.98173,31.76513,31.95166,32.25009,32.99619,,32.39931,33.08946,32.99619,32.82832,32.99619,33.22002,32.94024,32.15683,31.78378,31.54130,31.41073,31.44804,30.83251,31.28017,31.14960,31.39208,31.44804,31.48534,31.16825,31.14960,31.11230,30.81386,30.94442,30.77655,31.11230,31.70917,30.64598,31.95166,31.83974,29.76932,28.94861,27.86677,27.66159,27.06471,26.35592,26.16939,25.57252,25.18081,24.21089,24.75181,23.81919,23.70727,22.90521,22.68139,22.04720,21.05862,20.48040,20.03274,21.65550,20.64827,19.71565,20.27522,18.89494,19.88352,18.42863
2008,Berkeley Vale 33_11kV,10MAY2007,MW,17.73848,19.52912,17.66388,17.42139,16.41416,19.36125,18.42863,16.67529,16.17168,16.28359,15.94785,15.72402,15.74267,15.61210,15.51884,15.36962,15.98515,16.32090,16.09707,16.15303,17.10430,17.88770,18.72706,19.71565,20.85344,22.28968,22.94252,23.11039,24.63989,25.49791,26.67301,27.62429,29.35896,29.60145,29.63875,30.19832,30.73925,31.24286,,,,,,,,,,,31.46669,31.14960,31.35478,31.35478,31.76513,31.70917,31.91435,32.21279,32.00761,31.13095,31.48534,31.42939,31.26151,31.35478,31.37343,30.96308,31.67187,32.36201,32.32470,32.41797,33.08946,32.94024,33.96612,33.20137,33.16407,32.47392,32.25009,31.85839,31.22421,30.01180,30.42215,30.06776,30.17967,29.69471,29.15379,27.88542,25.87096,24.00571,23.27826,22.56947,22.00990,23.55805,22.84926,21.61820,22.51351,21.73011,21.56224,20.89075
2008,Berkeley Vale 33_11kV,11MAY2007,MW,19.79025,21.69281,21.07727,19.77160,18.83898,20.55501,19.77160,19.13742,18.24210,17.68253,17.01104,16.52608,16.58203,15.81728,15.98515,15.91054,15.89189,16.26494,16.47012,16.50742,17.38409,18.14884,18.96955,20.07004,20.92805,22.14046,23.31557,22.68139,24.95698,25.27408,26.50514,26.52379,27.62429,28.31443,27.82946,27.54968,28.66882,28.83670,28.66882,29.32166,29.43357,29.19109,26.99010,27.38180,27.26989,28.78074,28.98592,28.79939,29.75067,28.94861,28.83670,29.37762,29.02322,28.51960,28.63152,28.61287,28.53826,28.61287,28.23982,27.64294,27.51237,27.62429,27.30719,27.28854,27.32585,27.06471,27.06471,27.15797,27.43776,28.22116,26.97145,25.77769,25.72174,24.99429,24.26684,23.78188,23.50209,22.94252,22.84926,22.56947,22.77465,22.58812,22.71869,21.86068,21.95394,21.17054,20.90940,19.51047,19.06281,21.28245,20.68557,19.37990,20.01408,19.24933,20.05139,18.80167
2008,Berkeley Vale 33_11kV,12MAY2007,MW,17.75714,19.56643,18.29806,16.76856,16.04111,17.88770,16.91778,16.37686,15.50019,14.71679,14.11991,13.76551,13.67225,12.92615,12.98211,13.01941,12.77693,12.73963,12.96346,12.96346,13.42977,13.78416,14.30643,14.69813,15.31367,15.35097,15.79863,15.72402,17.49600,18.07423,18.95089,20.21926,20.08869,,,,,,,,,,22.71869,23.27826,22.83061,22.56947,22.00990,22.02855,22.14046,,,,,,,,22.25238,21.95394,22.14046,22.19642,21.91663,22.34564,22.27103,21.95394,22.60678,22.71869,23.42748,22.96117,22.64408,22.94252,23.48344,23.85649,23.29692,22.96117,22.38295,21.97259,21.37571,21.07727,20.51770,20.12600,20.34983,19.84621,20.10735,19.43586,19.32394,19.02550,18.11153,17.49600,17.14161,18.83898,18.24210,17.25352,18.39132,17.36544,18.13019,17.64522
2008,Berkeley Vale 33_11kV,13MAY2007,MW,16.45147,18.70841,17.88770,16.69395,15.46289,17.53331,16.91778,16.09707,14.84735,14.15721,13.56033,13.11268,12.72097,12.31062,12.23601,12.31062,12.27332,12.16140,11.58317,11.93757,12.19871,12.31062,12.53445,12.45984,13.07537,13.20594,13.33651,12.94480,14.11991,14.08260,14.77274,15.63076,16.61934,16.69395,17.45870,18.20480,18.78302,18.87628,19.11877,20.68557,21.67415,21.45032,21.58089,21.82337,21.87933,21.37571,21.63685,21.22649,21.50628,21.33841,21.28245,21.84202,21.67415,21.39437,20.76018,20.90940,20.55501,20.85344,20.96536,20.89075,20.48040,20.74153,20.98401,20.85344,20.01408,19.23068,19.34260,19.84621,20.87210,21.54359,22.40160,22.56947,22.30834,22.17777,21.73011,22.49486,22.30834,21.99124,21.45032,21.30110,21.78607,21.41302,21.30110,20.40579,20.27522,19.30529,18.83898,18.83898,18.54054,20.23791,19.24933,18.65246,20.18196,18.96955,19.93947,18.87628
