year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Broadmeadow 33_11kV,01MAY2007,MW,7.77651,7.77162,7.64556,7.99685,7.88452,7.60902,7.39579,7.39543,7.12930,6.86968,6.66083,6.61167,6.53065,6.39258,6.42423,6.35124,6.59977,6.67515,6.63188,6.77443,7.19821,7.23093,7.54779,8.15880,10.13165,10.55856,11.21052,12.80596,13.99665,14.96296,15.70372,16.39173,16.85391,17.12521,17.27930,17.74431,18.20002,18.34643,18.25584,18.40470,18.93744,19.13228,19.34832,19.58503,19.61425,19.74094,19.82841,19.83404,19.63667,18.95790,15.71220,15.81250,15.92804,15.64895,15.76119,15.78523,15.80302,15.61645,15.67539,15.44586,15.27828,14.99266,14.89437,14.41764,14.04060,13.82160,13.60257,13.50725,13.19216,13.26793,13.38647,13.07547,13.00786,12.97488,12.78895,12.55742,12.51657,12.57836,12.19331,11.83688,11.31115,11.05539,10.85096,10.67651,10.38198,10.01986,9.70912,9.72506,10.27027,9.88888,9.27120,8.40334,8.16131,7.73493,7.52123,7.72729
2008,Broadmeadow 33_11kV,02MAY2007,MW,7.79267,7.71816,7.68301,8.11171,7.96839,7.65968,7.55422,7.66327,7.32787,6.93075,6.78864,6.57129,6.57544,6.62025,6.57644,6.58740,6.59389,6.60766,6.61749,6.76613,7.07893,7.34827,7.77264,8.05339,8.88256,9.27780,9.92323,10.37745,11.23880,12.25290,12.71852,13.21789,13.57371,13.88596,14.06005,14.22917,14.72992,14.82176,14.82145,14.85510,15.37741,15.20385,15.21947,15.27326,15.29146,15.38288,15.51459,15.69301,15.60619,15.60428,15.82805,15.97351,16.04548,16.01710,15.98689,16.08188,16.02044,15.90844,15.80478,15.53219,15.19670,15.09108,15.07596,14.86992,14.69111,14.35500,14.13826,13.92318,13.15949,13.33744,13.49972,13.46003,13.27067,13.24409,13.05848,12.84671,12.53245,12.55960,12.16495,12.05935,11.76463,11.47365,11.27504,10.96548,10.52585,10.00328,9.77760,9.75318,10.33696,10.00223,9.48033,8.81717,8.36157,8.05929,8.10122,8.00663
2008,Broadmeadow 33_11kV,03MAY2007,MW,7.95972,7.92195,7.86097,8.39309,8.21380,7.85263,7.57491,7.61618,7.37282,7.15079,6.96928,6.79336,6.74525,6.69228,6.73186,6.67737,6.56939,6.68509,6.78014,6.87501,7.16631,7.33836,7.72007,8.04465,8.71884,9.14506,9.70609,10.04593,10.78194,11.98633,12.28316,12.73183,13.06283,13.47600,13.87154,13.99683,14.20293,14.55370,15.04132,15.24471,15.11452,15.23534,15.51961,15.64728,15.76886,15.91939,15.98890,15.87153,15.95339,15.96828,16.35071,16.58185,16.65186,17.03320,17.04890,17.08910,17.11972,17.13999,16.53951,16.38798,16.27365,15.93543,15.50682,15.50753,15.01346,14.83765,14.39663,13.95602,13.80957,13.97756,13.85901,13.49018,13.35103,13.19813,12.77672,12.57639,12.35958,12.58518,12.03595,11.74045,11.45402,11.13927,10.99652,10.66278,10.34295,10.10355,9.82821,9.88457,10.69480,10.26724,9.48052,8.95299,8.53983,7.87472,7.89997,7.88461
2008,Broadmeadow 33_11kV,04MAY2007,MW,7.98920,7.91092,7.91935,8.43928,8.20589,7.89282,7.60120,7.51305,7.22364,7.02464,6.90026,6.79382,6.68617,6.56864,6.60003,6.55334,6.61581,6.59515,6.71906,6.68976,7.08935,7.28398,7.59593,8.13330,8.93513,9.14400,9.62245,10.13588,10.90468,11.55255,15.82383,16.44206,16.88817,17.64364,17.81519,18.24246,18.81390,19.13153,19.25857,19.38515,19.65430,19.91187,20.15259,20.13959,20.30505,20.97644,20.91124,20.88536,20.72863,20.77753,21.05435,21.09117,20.85614,20.97641,20.95846,20.91106,20.72710,20.42897,20.12064,18.19212,15.54781,15.16267,15.13641,14.95594,14.57613,14.26083,13.63076,13.31518,12.99397,13.15040,13.04334,12.62209,12.55635,12.40696,12.01480,11.82863,11.54803,11.80134,11.60461,11.28869,10.94939,10.86270,10.58520,10.41522,10.10515,9.95967,9.80753,9.67089,10.23879,9.87471,9.52580,9.00327,8.67372,8.27667,8.19066,8.23815
2008,Broadmeadow 33_11kV,05MAY2007,MW,8.12121,7.93879,7.73734,8.13762,8.02075,7.76456,7.36163,7.09111,7.20595,7.02607,6.91414,6.73177,6.59774,6.48592,6.46725,6.43874,6.36342,6.42617,6.43280,6.59057,6.70059,6.70959,6.82437,6.97132,7.45561,7.52194,7.59077,7.56755,8.04953,8.30814,8.77038,9.05257,9.33912,9.63721,9.79549,9.95436,10.23635,10.42092,10.42417,10.55646,10.61408,10.67615,10.72618,10.63174,10.59235,10.67990,10.65930,10.43130,10.18505,10.06029,10.00969,9.72538,9.73366,9.61128,9.47719,9.37600,9.20917,9.21722,9.16116,8.92182,8.83938,8.73963,8.75921,8.70988,8.67498,8.67313,8.62479,8.61130,9.04309,9.55768,10.28963,10.18247,10.28471,10.25870,10.13146,10.19475,9.90001,10.16715,9.99740,9.78860,9.68775,9.51244,9.56714,9.27358,9.19428,8.97228,9.64474,9.40225,8.66799,8.15998,8.27993,8.02413,7.75341,7.57995,7.24476,7.16534
2008,Broadmeadow 33_11kV,06MAY2007,MW,7.05152,6.86745,6.79664,7.38589,6.89240,6.58058,6.35117,6.19384,6.35655,6.23695,6.09245,6.06684,6.04401,6.02600,5.93621,5.92943,5.93688,5.83917,5.93627,6.01089,5.97857,6.05903,6.06397,6.13911,6.37915,6.19030,6.18920,6.30137,6.47410,6.63682,6.80147,7.03554,7.26922,7.51794,7.50059,7.84266,7.88695,7.86935,8.06298,8.15162,8.27292,8.28784,8.23661,8.31653,8.56202,8.55961,8.47849,8.51766,8.63450,8.57780,8.60527,8.59501,8.48097,8.44490,8.38087,8.38880,8.18289,8.14828,8.09810,8.16407,8.11225,8.14343,8.12836,8.14230,8.17391,8.11214,8.17851,8.33934,8.83998,9.26708,9.87111,9.80039,9.87640,9.95164,9.85227,9.72238,9.65240,9.76483,9.41243,9.06260,8.88042,8.79619,8.85379,8.44962,8.39764,8.14463,9.01191,8.73074,7.98297,7.62258,7.48356,7.29214,7.19964,7.05375,6.73420,6.72439
2008,Broadmeadow 33_11kV,07MAY2007,MW,6.80924,6.62448,6.51417,7.16054,6.78975,6.38049,6.24463,6.34988,6.22917,6.06213,5.89201,5.89931,5.90392,5.96539,5.98458,5.99557,6.09875,6.22292,6.29877,6.63158,6.92022,7.13291,7.43065,7.78738,8.39251,8.83687,9.09234,9.52557,10.36110,10.86928,11.47905,12.04944,12.69451,13.07705,13.44771,13.77022,13.92107,14.10264,14.06122,14.18620,14.50336,14.97258,15.04831,15.13019,14.43648,14.72864,14.77891,15.36565,15.07861,15.09927,15.19415,15.19955,15.20503,15.25939,15.15367,15.23109,15.41533,15.10435,14.91829,14.89910,14.67873,14.60228,14.44918,14.36172,14.04128,13.77932,13.67328,13.26042,12.90994,13.12952,13.23284,12.78658,12.74026,12.63248,12.49324,12.23083,11.84713,12.01235,11.72549,11.37331,11.02363,10.86576,10.66763,10.28651,9.70429,9.44170,9.32376,9.23523,9.93423,9.54935,8.91728,8.43835,7.99421,7.69120,7.65579,7.74964
2008,Broadmeadow 33_11kV,08MAY2007,MW,7.72924,7.52823,7.50979,7.96636,7.81571,7.55982,7.47438,7.55184,7.31623,7.04851,6.88271,6.81121,6.72765,6.71936,6.70942,6.65870,6.67083,6.69197,6.70084,6.79943,7.16521,7.44073,7.71363,8.14819,8.83816,8.88224,9.54520,10.07091,10.71590,10.48283,10.77780,11.20743,11.55081,12.74427,13.90619,14.06406,14.50123,15.02204,15.21454,15.59611,15.56933,15.88401,16.12783,16.16461,16.38767,16.14776,17.23058,16.90069,16.75928,16.66650,16.85859,17.08798,17.43401,17.21700,17.65234,17.61800,17.66450,17.58660,17.51927,17.22283,17.04053,16.82169,16.35850,16.16676,15.79897,15.47164,14.97752,14.82713,14.74340,14.98083,15.07183,14.70592,14.56647,14.35046,13.87253,13.48785,13.17384,13.27551,12.87084,12.54918,12.22121,12.17532,12.04205,11.76725,11.16677,10.90446,10.71452,10.58862,11.11227,10.80377,10.14396,9.55555,8.93728,8.51152,8.45483,8.48080
2008,Broadmeadow 33_11kV,09MAY2007,MW,8.34326,8.30897,8.26923,8.59015,8.44116,8.26171,7.99398,8.06031,7.78847,7.45978,7.44351,7.27164,7.04628,7.02256,6.97290,6.91524,6.88927,7.01855,6.98369,7.15554,7.59983,7.82721,8.28498,8.68606,9.33780,9.73866,10.08997,10.51560,11.92862,15.41893,16.11999,17.07323,18.02261,18.66018,18.89826,19.19753,19.52046,19.54487,20.00532,20.19641,20.59582,20.61768,20.64796,20.89337,21.03388,21.35047,21.31876,21.17557,20.99434,20.69559,20.65569,20.56852,20.68387,20.41645,20.44959,20.38180,20.53536,20.45250,20.49054,19.63900,16.02770,15.78752,15.80921,15.71184,15.44898,15.28930,15.13527,15.10327,15.16696,15.54662,15.65004,15.10080,14.61753,14.43302,14.43249,14.18846,13.84766,13.93230,13.51698,13.20655,13.06755,12.76488,12.66973,11.90462,11.45161,10.88841,10.81064,10.58858,11.18375,11.02288,10.29086,9.61454,9.12418,8.62763,8.39754,8.27482
2008,Broadmeadow 33_11kV,10MAY2007,MW,8.31398,8.19943,8.05060,8.55939,8.52671,8.24816,7.87660,7.88987,7.63011,7.27708,7.22430,7.11347,7.07610,7.08620,7.08270,7.02982,7.00788,6.93036,7.06717,7.26434,7.67186,7.82087,7.98660,8.36026,9.11540,9.63684,10.09854,10.44515,11.13435,11.79020,12.72797,13.57768,14.01787,14.36476,14.64951,15.01409,15.14795,15.30197,15.39859,15.52283,15.78171,15.55623,15.84378,15.68913,15.83413,15.98569,16.05681,16.13529,15.67888,15.53066,15.85112,15.83693,15.85117,15.89394,15.67706,15.67011,15.57399,15.44403,15.43317,15.31580,15.18064,15.09696,14.97908,14.95245,14.82737,14.52742,14.45659,14.28512,14.39196,14.18170,14.08521,13.41655,13.11426,13.00444,12.70366,12.60246,12.29161,12.42623,11.94487,11.78161,11.55750,11.21156,11.00499,10.72211,10.36086,10.20950,10.14909,10.05413,10.49492,10.21754,9.49086,8.78778,8.45027,8.04346,7.98889,8.05984
