year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Cardiff 33_11kV,01MAY2007,MW,12.22044,11.83364,12.02768,12.29825,12.04395,11.71009,11.11626,12.29376,11.64851,10.91165,10.30093,9.89386,9.66494,9.24131,8.80781,8.94954,9.04973,9.20548,9.23321,9.42669,9.78292,9.75308,9.98702,10.83341,12.09441,12.72893,13.95690,13.75147,14.12789,14.96875,15.42125,15.88219,15.82625,16.28262,16.22735,15.95862,15.92343,15.98975,15.97988,15.80866,16.75955,16.66831,16.82959,16.30711,16.22266,16.34470,16.54926,16.56044,16.48008,16.33661,16.28476,16.38610,16.49469,16.49213,16.55469,16.33994,16.07382,15.42556,15.31446,15.22199,15.27660,15.24856,14.90765,14.70476,14.55017,14.97012,15.13597,15.03575,14.81327,14.78978,15.49472,15.44040,15.36999,15.11134,14.81667,14.58866,14.30997,14.45491,14.09788,13.71935,13.32656,13.18948,12.97098,12.76731,12.40752,12.10235,12.12787,11.85709,13.33518,13.28039,12.94932,12.04276,11.72478,10.82366,10.70476,11.63662
2008,Cardiff 33_11kV,02MAY2007,MW,12.14110,11.87748,11.93394,12.46825,12.13568,11.77176,11.47641,12.06927,11.24913,10.43479,9.90953,9.50020,9.31358,9.01694,8.96267,8.55315,8.45419,8.61552,8.72929,9.01191,9.58176,9.87259,9.68383,10.15254,11.27226,12.09295,13.09736,13.06743,14.06503,14.50003,14.93167,15.21334,15.63152,15.75484,15.78440,15.65722,15.33415,15.42410,15.49334,15.60281,15.48311,15.64355,15.55694,15.81453,15.99458,15.95655,15.87746,16.03462,15.70529,15.37620,15.57072,15.68268,15.68268,15.66768,15.62693,15.65731,15.63521,15.76775,15.57752,15.42079,15.49306,15.77569,15.44181,15.46974,15.57139,15.61503,15.50300,15.23915,15.15684,15.14839,15.64592,15.17722,15.06669,14.98802,14.79361,14.65881,14.39014,14.71956,14.30255,13.91386,13.47647,12.85625,12.85320,12.75850,12.46719,12.18296,11.81548,11.72730,12.81476,13.13081,12.95097,12.52222,11.72981,10.97601,10.96272,11.59890
2008,Cardiff 33_11kV,03MAY2007,MW,11.93659,11.88415,12.19384,12.84306,12.27494,11.81050,11.69744,12.52241,12.10595,11.27966,10.20833,9.79030,9.65499,9.49846,9.09271,9.04073,9.11925,9.14177,9.24500,9.10796,9.20917,9.76441,10.40339,10.78032,11.97808,12.87681,13.89111,13.99871,14.57647,15.11565,15.55887,15.82024,15.85484,16.02793,15.85489,15.77359,15.98832,16.58481,16.47196,16.66363,16.59007,16.67789,16.64948,16.54148,16.48746,16.74088,16.73781,16.49516,16.37997,16.60217,16.99707,17.18915,17.35777,17.00299,17.15431,16.91892,16.93199,17.20340,17.03635,16.91762,16.64903,16.23001,15.81542,15.98367,15.86870,15.57441,15.33084,15.10799,14.93905,14.83017,15.22926,15.22340,15.15768,15.22266,14.75719,14.61516,14.57434,14.65638,14.32432,14.27742,13.60389,13.17712,12.75691,12.48582,11.89148,11.78781,11.77715,11.69950,13.16282,12.91003,12.52150,11.88950,11.25069,10.58159,10.65081,11.97846
2008,Cardiff 33_11kV,04MAY2007,MW,12.26071,11.81110,11.79773,12.44036,12.15848,11.63960,11.01752,11.65955,11.12578,10.20786,9.85961,9.28002,9.12864,9.04299,8.88294,8.69704,8.65468,8.67002,8.79025,9.20707,9.30403,9.38882,9.77080,10.30528,11.31522,11.98603,12.97336,13.12231,13.76461,14.48116,15.12149,15.00772,15.49036,16.06481,15.99636,16.30304,16.28549,16.54028,16.50036,16.57524,16.73398,17.01368,17.09140,17.12069,17.26871,17.15781,17.29600,17.29317,17.56949,17.43887,17.41116,17.55043,17.61208,17.43595,17.28276,16.90129,16.34053,16.49845,16.68786,16.43159,16.14619,16.04164,15.70651,15.38823,15.33625,14.86986,14.52426,14.69618,14.74905,14.63913,14.42497,14.17272,14.61136,14.82289,14.39576,13.49527,13.01436,13.27170,12.97429,12.81772,11.90507,11.77154,11.74927,11.35534,10.87356,10.63191,10.82154,10.75740,12.17832,12.07467,11.45341,10.88508,10.62520,10.03813,10.16313,11.33475
2008,Cardiff 33_11kV,05MAY2007,MW,11.41688,11.51856,11.62617,12.19744,11.79117,11.20094,10.57560,9.82989,10.57798,10.22573,9.63522,9.04967,8.55681,8.40787,8.23055,8.01969,7.77764,7.57076,7.53234,7.52906,7.59657,7.85241,8.23900,8.53828,8.90314,9.16377,8.80691,9.38690,9.91541,10.63417,11.20928,11.54769,12.21449,12.66092,12.87319,13.22419,13.27569,13.10182,12.89436,12.79136,12.98897,12.60742,12.80258,12.55560,12.44779,12.33416,12.16522,12.08860,11.93831,11.80762,11.72361,11.61163,11.38246,11.30923,10.93731,10.61626,10.42580,10.33268,10.13025,10.12956,10.17707,10.30576,10.14434,10.28683,10.29780,10.51003,10.54488,9.90197,10.26021,10.69255,11.44603,11.26324,11.06235,10.77637,10.55941,10.47236,10.09037,10.39842,10.17869,9.80564,9.54489,9.38271,9.28467,9.74399,9.87266,9.54967,10.58062,10.42629,9.73809,8.93241,9.46695,9.32740,9.59827,9.57061,8.75498,8.88589
2008,Cardiff 33_11kV,06MAY2007,MW,9.09103,8.59918,8.62600,9.83188,9.04350,8.22576,7.62653,7.28266,7.62148,7.43359,6.91315,6.73332,6.62729,6.64512,6.35423,6.24286,6.34020,6.38262,6.41009,6.38187,6.66357,6.72099,6.70278,6.77021,6.91332,6.48493,6.48122,6.89914,7.31045,7.58178,8.01478,8.38777,8.65182,9.06793,9.23203,9.67790,9.87508,10.22907,10.39511,10.44020,10.39783,10.52679,10.41171,10.34724,10.23700,10.14432,10.19082,10.13141,9.45826,9.35959,9.28488,9.15546,9.20671,9.29026,9.63430,9.49317,9.61259,9.67342,9.45746,9.39476,9.48227,9.56250,9.58807,9.65003,9.77113,9.89584,9.98425,9.54750,10.10709,10.86590,11.60918,11.49543,11.57995,11.53753,11.47495,11.17216,10.97491,11.25173,11.11750,10.99508,10.73982,10.46791,10.42502,10.12283,10.09319,10.04403,11.27270,11.08867,10.36519,9.61519,10.14269,9.84339,10.23643,10.08111,9.11038,9.33656
2008,Cardiff 33_11kV,07MAY2007,MW,9.83921,9.39855,9.46409,10.82343,9.94739,8.84107,8.74276,9.13053,8.87544,8.50314,8.25386,8.11390,8.08059,7.94815,7.96825,8.08810,8.70939,8.84315,8.95260,9.29866,9.23683,9.39013,9.83283,10.45369,11.57617,12.68299,13.30085,13.48465,14.30281,14.89981,15.57814,15.64626,15.87360,15.77325,15.38275,15.37749,15.15305,15.32492,15.40815,15.68289,15.70460,15.91102,16.06353,16.24255,16.27945,16.26493,16.34404,16.62074,16.39907,16.09119,16.29026,16.36720,16.14678,16.17965,15.67858,15.88501,15.41374,15.37248,15.34365,15.56327,15.55862,15.55683,15.24330,14.83773,14.82014,14.90500,14.70324,14.85327,15.07707,15.52128,15.91655,15.35204,15.18761,15.48848,15.09276,14.59218,14.31991,14.41241,13.83485,13.55980,13.31559,13.11509,12.72899,12.28146,11.81641,11.59683,11.52169,11.32195,12.70924,12.55139,12.20099,11.47998,11.03134,10.21002,10.75787,11.61801
2008,Cardiff 33_11kV,08MAY2007,MW,11.82844,11.98799,12.08020,12.74566,12.42001,11.88163,11.50772,12.11751,11.63180,10.55202,10.44329,10.00727,9.81621,9.38079,8.98584,8.95015,9.00525,9.14852,9.21250,9.32000,9.62184,9.53437,10.11791,10.48413,11.53861,12.38705,13.42293,13.53844,14.29261,15.00357,15.52338,15.89252,16.11653,16.18505,16.28336,16.22828,16.08946,16.24481,16.52087,16.59228,16.42239,16.35907,16.49020,16.82379,16.80815,16.84736,17.18316,16.87374,16.50216,16.63907,16.90918,17.09715,17.60663,17.53571,17.23715,17.10632,17.17567,17.26324,17.31503,17.09739,17.07927,16.70759,16.26412,16.14026,16.17520,16.00564,15.86342,15.76244,15.87607,16.10637,16.04907,15.60669,15.24551,15.04636,14.79066,14.30907,14.36249,14.42242,13.81474,13.41209,13.20992,12.90172,12.85585,11.98098,11.82982,11.85015,11.73018,11.71116,12.99913,12.81706,12.02249,11.61292,11.38397,10.65503,10.52918,11.43517
2008,Cardiff 33_11kV,09MAY2007,MW,12.15289,11.76876,11.91680,12.44494,12.21392,11.61540,11.27281,11.90823,11.41312,10.66421,10.30540,9.89441,9.67519,9.55402,9.21399,9.14265,9.11878,9.25679,9.33122,9.23530,9.27956,9.61756,10.07094,10.50175,11.55448,12.61285,13.32081,13.69400,15.18027,15.66767,16.61371,17.10043,17.55096,17.70857,17.81468,18.25797,18.21121,18.16807,18.64699,18.77092,18.84264,19.06078,19.22254,19.23084,18.99012,19.03575,19.18349,19.11945,19.01782,14.94798,15.72586,16.17508,16.09798,16.11658,16.37471,16.44662,16.09547,15.90036,15.53452,15.58574,15.79315,15.50256,15.17886,15.17135,14.96693,15.11255,15.05751,15.06977,15.42248,15.77848,15.75252,15.45796,15.01043,14.66431,14.43811,14.22639,13.86106,13.89284,13.44075,12.97904,12.87323,12.43236,12.14907,11.90520,11.50628,11.00524,11.18843,11.01777,12.56010,12.68748,12.31619,11.63248,10.95004,10.34910,10.37847,10.98649
2008,Cardiff 33_11kV,10MAY2007,MW,11.24816,11.67456,11.92835,12.33432,11.90007,11.23118,10.66343,11.47321,10.87777,10.09488,9.68812,9.44969,9.10101,8.56101,8.56051,8.39928,8.48882,8.75730,8.83265,9.03188,9.31743,9.37596,9.72198,10.00493,11.23456,12.40147,13.27148,13.35162,14.44605,15.38299,15.41009,15.76844,16.06200,16.13076,16.14485,16.30634,16.32138,16.29426,16.45771,16.52531,16.48015,16.74583,16.92148,16.81742,16.54939,16.54001,16.55643,16.43619,15.97392,16.01584,16.51296,16.51915,16.44095,16.25212,16.28596,16.16569,16.09171,15.98846,15.50315,15.50802,15.65998,15.83085,15.63898,15.61780,15.66213,15.63507,15.58746,15.92938,16.35750,16.57380,16.60045,15.96081,15.72694,15.68771,15.13234,15.23945,14.92086,15.27475,14.53417,14.33419,13.95854,13.45712,13.14676,12.92533,12.46218,12.18392,11.95717,12.00357,13.42505,13.38092,12.62511,11.99173,11.48295,10.72583,10.74071,11.64997
