year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Carlton 33_11kV,01MAY2007,MW,20.43597,19.98099,20.43597,19.81037,18.80564,17.85777,17.44071,16.72034,16.43598,16.24640,15.96204,15.71560,15.63977,15.31750,15.33645,15.18479,15.48811,15.60185,15.81038,16.41702,16.70138,17.36488,17.70611,18.90042,19.62080,20.47388,21.49757,22.25587,23.62079,24.83406,25.30799,25.63026,26.38856,26.46439,25.99045,26.97623,28.09471,27.99993,28.05680,28.45490,28.07576,28.28429,28.68239,28.72030,27.98097,28.96675,28.49282,28.53073,29.57338,29.17528,29.02362,28.70135,29.13736,29.78191,29.04258,29.02362,28.26533,28.64447,28.54969,28.73926,28.58760,29.47860,29.36485,29.23215,29.23215,29.17528,29.57338,29.97149,29.40277,30.36959,30.50229,30.08523,29.95253,29.85774,29.00466,29.02362,28.41699,27.96201,27.52599,26.72979,27.24163,28.09471,27.35538,26.18003,26.38856,25.95254,24.75823,24.28430,25.17529,24.66344,23.48809,22.40752,20.72032,20.07578,21.04260,20.45492
2008,Carlton 33_11kV,02MAY2007,MW,21.15634,20.03786,20.05682,19.82933,18.78668,18.16109,17.36488,16.81512,16.24640,15.88621,15.81038,15.67768,15.35541,15.35541,15.26062,15.14688,15.54498,15.96204,16.09474,16.05683,16.56868,16.81512,17.74403,18.36962,19.69663,20.60658,21.91463,22.18004,23.88619,24.58761,25.38382,25.68714,26.00941,26.27481,26.52126,26.71083,28.20846,28.34116,28.39803,28.83405,28.72030,29.06153,28.15158,28.64447,29.38381,29.42172,29.80087,29.68713,29.64921,29.83878,29.83878,29.44068,29.80087,29.68713,29.93357,30.23689,30.04731,29.95253,29.87670,29.59234,29.70608,29.97149,29.87670,30.25584,30.29376,30.04731,30.61603,30.90039,30.38855,31.10892,31.60181,30.71082,30.63499,30.31272,30.12314,29.53547,28.90988,28.41699,28.03784,27.82931,27.60182,28.17054,27.05206,26.46439,26.71083,25.89567,25.02363,24.45491,25.57339,24.11368,22.82458,21.85776,20.96677,20.26535,21.08051,20.51179
2008,Carlton 33_11kV,03MAY2007,MW,21.13739,19.84829,20.49284,19.37436,18.91938,17.70611,17.13740,16.54972,16.36015,15.82934,15.35541,15.60185,15.54498,15.29854,15.27958,15.24167,15.63977,15.63977,15.62081,16.32223,16.43598,17.45967,17.47863,18.00943,19.26061,20.45492,21.11843,22.46440,24.01889,24.85302,25.19425,25.93358,26.08524,26.08524,26.61604,27.54495,28.54969,28.77718,29.51651,29.66817,29.49755,29.66817,29.40277,29.34589,29.76295,30.12314,30.36959,30.91935,31.12788,30.57812,30.67291,31.27954,30.71082,31.08997,31.03309,31.10892,31.46911,31.18475,30.82456,31.08997,31.14684,31.10892,31.46911,31.82930,31.58286,31.39328,31.14684,31.37433,31.16579,31.94304,33.08048,32.98570,32.15157,32.11366,31.56390,31.31745,30.54020,29.74400,29.81983,29.23215,29.23215,29.51651,29.23215,27.75348,27.41225,26.59709,25.66818,24.90989,25.87671,24.39804,23.54496,22.54023,21.64923,21.09947,21.51653,20.98573
2008,Carlton 33_11kV,04MAY2007,MW,20.98573,20.18952,20.77720,19.86725,19.10895,18.10422,17.55446,17.06157,16.79616,16.51180,16.26536,15.96204,15.60185,15.84830,15.52603,15.58290,15.60185,15.98100,16.01892,16.37910,16.79616,17.68716,17.49758,18.82460,19.86725,20.87198,21.76298,22.44544,23.62079,25.68714,25.25112,26.59709,27.08998,26.67292,27.86723,28.87196,29.40277,29.72504,30.16106,30.19897,30.14210,30.42646,30.40750,30.35063,30.59708,30.95726,31.12788,30.55916,31.03309,30.86248,30.95726,31.16579,31.22267,31.16579,31.26058,30.97622,31.16579,31.08997,31.01414,31.05205,30.69186,30.40750,30.40750,30.78665,30.82456,30.65395,31.08997,31.29850,30.57812,30.90039,31.50703,31.14684,30.48333,29.59234,29.45964,29.04258,28.01888,27.16581,27.29851,26.36960,26.57813,26.50230,26.67292,25.47861,25.49756,24.96676,24.56866,24.18951,24.87197,23.79141,23.08999,21.99046,21.44070,21.15634,21.83881,21.08051
2008,Carlton 33_11kV,05MAY2007,MW,21.81985,20.89094,20.85303,20.05682,19.33644,18.57815,17.87673,17.38384,16.68242,16.24640,15.81038,15.94309,15.52603,15.31750,15.43124,15.12792,15.60185,15.14688,15.39332,15.62081,15.67768,16.24640,16.49285,16.79616,17.38384,17.53550,18.06630,16.64451,17.38384,18.59711,19.18478,19.98099,20.62554,21.25113,21.83881,22.31274,22.82458,23.26060,23.54496,23.63975,23.50705,24.01889,23.67766,24.13264,23.84828,23.98098,24.13264,24.34117,23.90515,23.75349,23.33643,23.33643,23.48809,23.41226,23.50705,23.22269,23.18477,23.20373,23.16582,23.31747,22.80563,22.78667,22.84354,22.84354,23.29852,23.10894,23.29852,23.65871,23.45018,24.41700,25.57339,25.81984,25.59235,24.98572,24.79614,24.49283,24.79614,23.98098,23.90515,23.58288,23.10894,24.39804,23.62079,22.65397,22.95729,23.08999,21.85776,21.55445,22.52127,21.15634,20.87198,19.98099,19.54497,19.39331,20.24639,19.96203
2008,Carlton 33_11kV,06MAY2007,MW,20.68241,19.37436,19.90516,18.99521,18.36962,17.21322,16.62555,15.58290,15.79143,15.26062,15.20375,14.80565,14.59712,14.55920,14.31276,14.38859,14.25589,14.16110,14.29380,14.12319,14.42650,14.65399,14.74878,14.93835,15.52603,15.67768,16.01892,16.01892,16.37910,16.81512,17.32697,18.08526,19.20374,19.67767,20.11369,20.68241,21.02364,21.59236,22.14212,21.93359,22.08525,21.99046,22.14212,25.49756,25.55444,25.72505,25.80088,25.55444,25.66818,25.27008,25.44069,25.64922,25.45965,24.96676,25.11842,24.43595,24.49283,24.54970,24.49283,24.32221,24.20847,24.34117,24.60657,24.66344,24.79614,25.15633,25.25112,25.68714,25.38382,27.01415,26.93832,27.07102,27.45016,27.10893,26.57813,26.06628,25.93358,26.29377,26.02837,25.02363,25.19425,26.04732,26.08524,25.11842,24.53074,24.18951,23.88619,23.12790,24.24638,22.67293,22.04734,21.06156,20.66345,19.71559,20.68241,20.54971
2008,Carlton 33_11kV,07MAY2007,MW,20.83407,19.65872,20.03786,19.62080,18.88147,17.72507,17.49758,17.13740,16.47389,15.92413,15.75351,15.35541,15.31750,15.16584,15.22271,15.22271,15.24167,15.27958,15.86726,15.92413,16.26536,16.64451,17.78194,18.44545,19.90516,21.11843,21.80089,21.97151,23.88619,24.70136,25.42173,25.85775,26.54021,26.48334,26.91936,27.60182,28.24637,28.28429,29.49755,29.68713,29.17528,29.28902,29.36485,30.12314,30.12314,30.46437,29.80087,30.36959,30.67291,30.59708,31.22267,31.16579,30.93831,30.74873,30.86248,30.65395,30.78665,30.23689,29.99044,30.42646,30.00940,29.72504,30.06627,30.42646,30.36959,30.57812,30.74873,31.03309,31.46911,32.22740,31.90513,31.50703,31.56390,30.99518,30.36959,29.76295,29.25111,28.72030,28.62552,28.07576,27.73452,28.01888,27.45016,26.55917,26.74874,26.33168,24.73927,24.53074,25.36486,24.34117,22.88146,21.49757,20.66345,20.01890,21.21321,20.41701
2008,Carlton 33_11kV,08MAY2007,MW,20.92885,19.69663,20.36014,19.65872,19.14687,18.10422,17.74403,17.17531,16.45493,16.22745,15.84830,15.62081,15.81038,15.92413,14.82461,15.52603,15.77247,16.01892,15.90517,15.94309,16.89095,17.23218,17.64924,18.82460,20.24639,21.04260,22.19899,22.35065,24.28430,25.32695,25.93358,26.31273,26.14211,26.48334,26.95728,27.41225,28.07576,29.00466,28.58760,29.17528,29.64921,29.42172,28.92883,29.45964,29.83878,30.02836,30.21793,30.55916,29.97149,30.78665,30.74873,30.95726,30.72978,30.14210,30.16106,31.07101,30.95726,31.26058,31.03309,30.69186,30.40750,30.88144,31.22267,31.50703,31.88617,31.75347,32.30323,32.05679,32.56863,32.85299,32.75821,32.01887,31.37433,30.95726,30.44542,30.33167,29.27007,28.92883,29.02362,28.39803,28.07576,28.28429,27.81035,26.91936,27.41225,26.33168,25.66818,25.28903,25.99045,24.58761,23.86724,22.36961,21.72506,20.89094,21.66819,21.19426
2008,Carlton 33_11kV,09MAY2007,MW,21.61132,20.79615,21.02364,20.05682,19.58289,18.82460,17.45967,17.51654,17.09948,16.89095,16.58763,16.81512,16.54972,16.49285,16.17057,16.73929,16.37910,16.68242,17.15635,17.34593,17.97152,18.40753,18.78668,20.03786,20.73928,22.12316,23.12790,24.03785,25.44069,26.50230,27.07102,27.92410,28.72030,28.75822,29.02362,29.53547,30.35063,30.42646,30.36959,30.71082,30.86248,30.50229,31.08997,30.65395,30.63499,30.88144,30.84352,30.97622,30.82456,30.46437,30.84352,31.07101,30.55916,30.91935,30.65395,30.72978,29.97149,30.72978,30.67291,30.44542,30.38855,30.44542,31.24162,31.50703,31.92409,32.07574,32.60655,32.66342,32.58759,32.51176,32.05679,31.54494,31.07101,30.55916,30.25584,29.44068,29.06153,28.62552,28.22741,27.86723,28.01888,28.41699,28.11367,26.84353,26.36960,26.65396,25.59235,24.56866,25.27008,23.86724,23.27956,21.97151,21.00468,20.39805,21.19426,20.45492
2008,Carlton 33_11kV,10MAY2007,MW,21.04260,20.17056,20.41701,19.52601,18.86251,18.52128,17.32697,16.79616,16.64451,15.98100,16.03787,15.62081,15.58290,15.75351,15.27958,15.35541,15.54498,16.09474,15.90517,16.13266,16.81512,17.36488,17.74403,18.61606,19.52601,20.77720,21.83881,22.33169,24.72031,25.70609,26.71083,26.67292,27.39329,27.08998,27.27955,28.01888,28.43594,28.98571,28.90988,29.28902,29.19424,29.09945,29.23215,29.13736,29.19424,29.45964,29.15632,28.70135,29.57338,28.98571,29.25111,29.15632,29.11841,29.45964,28.68239,28.43594,28.47386,28.36011,28.43594,28.09471,28.36011,28.47386,28.75822,29.34589,29.13736,29.30798,29.95253,30.52125,30.57812,31.07101,31.50703,31.77243,30.97622,31.14684,30.90039,29.97149,29.95253,29.32694,28.98571,28.45490,28.68239,29.51651,29.34589,27.75348,26.74874,26.23690,25.00467,24.56866,25.76297,24.24638,23.77245,22.06629,20.90990,20.36014,21.68715,20.43597
