year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Five Dock 33_11kV,01MAY2007,MW,14.01268,13.18096,12.40348,13.16288,12.60237,12.00570,11.60792,10.97509,10.74004,10.57731,10.05297,9.78176,9.67327,9.65519,9.56478,9.74559,9.70943,9.81792,10.07105,10.10721,10.41459,10.77620,11.30055,12.02378,13.05439,13.95844,14.86248,15.26026,16.20047,16.92370,17.15875,17.15875,17.06835,16.95986,16.94178,16.81522,16.68865,16.76097,17.10451,16.68865,16.79714,16.54400,16.86946,16.50784,16.90562,16.72481,16.56208,16.81522,17.10451,16.94178,17.06835,16.52592,16.56208,16.77906,16.61633,16.54400,16.85138,16.43552,16.81522,16.61633,16.39936,16.70673,16.59825,16.92370,17.03219,17.59269,18.08088,17.99047,19.11149,21.08230,21.76938,22.04059,21.98635,22.45645,21.84170,22.34797,21.71513,21.57049,21.29927,20.68452,20.55796,20.06978,19.85280,19.34654,18.82219,17.99047,17.73734,17.26724,17.23108,17.37572,17.21300,16.07390,14.95289,15.26026,14.62743,13.72339
2008,Five Dock 33_11kV,02MAY2007,MW,14.08500,13.28945,12.63853,13.07248,12.51197,12.00570,11.68025,10.88469,10.50499,10.37842,9.98064,9.83600,9.63711,9.58287,9.60095,9.51054,9.67327,9.78176,9.98064,10.16145,10.34226,10.84853,11.44520,12.02378,13.57874,13.83187,15.33258,15.58572,16.34511,17.08643,17.42997,17.50229,17.14067,17.05027,16.72481,16.59825,17.08643,16.61633,16.74289,17.01411,17.03219,17.05027,16.90562,17.12259,17.21300,16.99603,17.26724,16.95986,17.24916,17.23108,17.14067,17.30340,17.01411,16.97794,17.12259,17.19492,17.41189,17.10451,16.86946,16.85138,16.77906,17.46613,17.03219,17.80967,17.80967,17.44805,17.71926,18.15320,18.93068,20.39523,21.60665,21.76938,22.38413,22.36605,22.22140,21.91402,21.02806,21.00998,21.35352,21.00998,20.75685,20.10594,19.70816,19.11149,18.71371,18.26169,17.97239,17.15875,17.12259,17.33956,16.97794,15.98350,15.33258,15.54956,14.59127,13.88611
2008,Five Dock 33_11kV,03MAY2007,MW,13.97652,13.41601,12.34924,13.16288,12.63853,11.84298,11.40903,10.95701,10.72196,10.30610,10.34226,9.74559,9.78176,9.61903,9.74559,9.67327,9.74559,9.74559,10.05297,10.23378,10.57731,10.97509,11.37287,12.20459,13.10864,13.75955,15.00713,15.89309,16.38128,17.01411,17.05027,17.01411,17.01411,17.30340,17.14067,16.61633,16.70673,16.81522,17.17683,17.06835,16.99603,17.03219,17.32148,17.26724,17.71926,17.48421,17.33956,17.01411,17.26724,17.44805,17.62886,17.24916,17.23108,17.32148,17.46613,17.68310,17.24916,17.55653,17.26724,17.32148,17.57461,17.44805,17.37572,17.37572,17.55653,17.57461,17.71926,18.17128,18.73179,20.50372,21.24503,21.57049,22.00443,21.80554,21.48008,21.35352,20.88341,20.59412,20.63028,20.14210,19.70816,19.59967,19.25614,18.89452,18.42442,17.86391,17.68310,17.12259,16.90562,16.88754,16.77906,15.65804,14.98905,15.02521,14.35622,13.48834
2008,Five Dock 33_11kV,04MAY2007,MW,13.68722,13.12672,12.24075,12.94591,12.49389,11.73449,11.42712,11.02934,10.43267,10.25186,9.89024,9.67327,9.47438,9.43822,9.58287,9.36590,9.54670,9.51054,9.74559,9.94448,10.37842,10.57731,10.81237,11.66217,12.83742,13.21712,14.53703,15.26026,16.23663,16.45360,16.68865,17.01411,16.70673,16.81522,16.76097,16.99603,17.41189,16.97794,17.53845,17.41189,17.30340,17.79158,17.59269,17.82775,17.90007,17.79158,17.86391,17.73734,17.75542,17.75542,17.75542,17.77350,17.70118,18.04472,17.97239,17.84583,17.61078,17.66502,17.62886,17.48421,17.52037,17.53845,17.57461,17.70118,18.11704,18.55098,18.73179,18.60522,19.25614,20.68452,21.53433,21.69705,21.69705,21.78746,22.04059,21.35352,20.39523,20.37715,20.43139,19.92513,19.32846,18.76795,18.74987,18.26169,17.84583,17.21300,16.86946,16.58017,16.65249,17.10451,17.12259,16.20047,15.45915,15.65804,15.18794,14.57319
2008,Five Dock 33_11kV,05MAY2007,MW,14.64551,13.68722,12.87359,13.50642,12.92783,12.49389,11.86106,11.42712,11.04742,10.72196,10.32418,10.16145,9.98064,10.12529,9.79984,9.78176,9.69135,9.74559,9.78176,9.96256,9.92640,10.14337,10.37842,10.68580,11.11974,10.88469,11.24631,11.33671,12.24075,12.80126,13.63298,14.22965,15.06137,15.27834,16.21855,16.05582,16.79714,16.32703,16.77906,16.86946,16.95986,16.67057,16.77906,16.97794,16.90562,16.68865,16.86946,16.48976,16.34511,16.38128,16.27279,16.32703,16.05582,15.98350,15.87501,15.85693,15.47723,15.60380,15.54956,15.35067,15.42299,15.49531,15.36875,15.67612,15.60380,15.83885,16.12814,16.59825,17.62886,19.81664,20.88341,21.35352,20.86533,21.17271,20.88341,19.97937,20.06978,19.56351,18.78603,18.44250,18.26169,17.91815,17.59269,17.21300,17.06835,16.83330,16.43552,16.23663,16.23663,16.68865,16.36319,16.09198,15.62188,15.98350,15.56764,15.04329
2008,Five Dock 33_11kV,06MAY2007,MW,15.00713,14.13925,13.41601,14.01268,13.47025,12.54813,12.00570,11.37287,11.31863,10.99317,10.66772,10.36034,10.23378,10.05297,9.81792,9.81792,9.89024,9.70943,9.89024,9.85408,9.78176,9.92640,10.19762,10.16145,10.46883,10.25186,10.54115,10.72196,11.04742,11.62600,11.96954,12.62045,13.01823,13.84995,14.21157,14.95289,15.16986,15.24218,15.53147,15.62188,16.00158,15.96542,15.63996,15.67612,15.98350,15.76653,15.74845,15.74845,15.67612,15.40491,15.29642,15.31450,15.18794,14.89864,14.77208,14.69975,14.42854,14.13925,14.32006,13.90420,14.17541,14.12117,14.19349,14.39238,14.80824,15.45915,15.58572,16.39936,17.71926,19.47311,20.14210,21.11847,21.44392,21.33544,20.88341,20.82917,20.34099,20.16018,20.03361,19.49119,19.25614,19.07533,18.24361,18.37017,17.55653,17.44805,16.77906,16.32703,16.23663,16.65249,16.01966,15.49531,14.89864,15.13370,14.57319,13.54258
2008,Five Dock 33_11kV,07MAY2007,MW,13.65106,12.94591,12.24075,12.87359,12.34924,11.75257,11.46328,11.02934,10.57731,10.14337,9.85408,9.67327,9.67327,9.51054,9.76367,9.72751,9.49246,9.54670,9.87216,9.94448,10.08913,10.54115,10.74004,12.13227,13.19904,13.94036,14.91672,15.36875,16.32703,17.15875,17.10451,17.21300,16.85138,16.95986,16.72481,16.79714,16.59825,16.68865,16.32703,16.58017,16.76097,16.76097,16.45360,16.68865,17.17683,17.19492,16.94178,17.01411,16.95986,17.14067,16.99603,17.23108,16.99603,16.88754,16.88754,16.90562,17.23108,16.90562,16.76097,16.48976,16.41744,16.45360,16.67057,16.83330,17.44805,17.39381,18.06280,18.35209,19.81664,21.44392,21.96827,22.22140,22.45645,22.85423,22.85423,22.47453,21.82362,21.51625,20.82917,20.91958,20.44947,19.65391,19.32846,18.69563,18.26169,18.04472,17.77350,17.23108,16.77906,16.97794,16.38128,15.47723,14.46470,14.86248,14.30197,13.47025
2008,Five Dock 33_11kV,08MAY2007,MW,13.68722,12.83742,12.07803,12.65661,12.53005,11.84298,11.24631,10.83045,10.48691,10.37842,10.01681,9.65519,9.76367,9.74559,9.60095,9.78176,9.85408,9.54670,9.76367,9.92640,10.30610,10.64964,11.35479,11.80681,13.34369,13.72339,15.06137,15.44107,16.41744,16.61633,16.92370,17.05027,16.77906,16.68865,16.79714,16.45360,16.50784,16.88754,16.90562,16.76097,16.83330,16.95986,16.63441,17.10451,17.12259,17.12259,17.61078,17.05027,17.41189,16.97794,17.28532,17.15875,17.19492,16.99603,17.06835,17.15875,17.39381,17.32148,17.28532,17.44805,17.52037,17.35764,17.37572,17.66502,17.95431,18.51482,18.85836,19.05725,20.64836,22.09483,22.65534,22.38413,22.40221,22.65534,22.23948,21.95019,22.02251,21.37160,20.88341,20.93766,20.41331,20.06978,19.50927,19.36462,18.76795,18.18936,17.80967,17.57461,17.01411,16.92370,16.90562,15.87501,14.88056,15.04329,14.33814,13.72339
2008,Five Dock 33_11kV,09MAY2007,MW,13.65106,12.96399,12.34924,12.98207,12.38540,11.93338,11.53560,10.79428,10.41459,10.43267,9.89024,9.90832,9.83600,9.54670,9.83600,9.52862,9.87216,9.76367,9.89024,9.98064,10.45075,10.95701,11.33671,12.22267,13.66914,14.04884,15.09753,15.53147,16.63441,17.24916,17.28532,17.90007,17.59269,17.32148,17.42997,17.42997,17.55653,17.46613,17.17683,17.19492,17.50229,17.88199,17.37572,17.50229,17.39381,17.35764,17.14067,17.41189,17.33956,17.37572,17.28532,17.32148,17.17683,16.88754,16.79714,17.08643,16.94178,17.12259,17.23108,16.92370,17.01411,17.24916,17.73734,17.90007,18.33401,18.80411,18.98492,19.96129,21.13655,21.85978,22.16716,22.34797,22.92655,22.89039,22.67342,22.04059,21.91402,21.29927,21.22695,20.70261,20.44947,20.16018,20.01553,19.02108,18.53290,18.17128,17.66502,17.05027,16.58017,16.94178,16.52592,15.83885,14.95289,15.02521,14.48278,13.52450
2008,Five Dock 33_11kV,10MAY2007,MW,13.90420,12.89167,12.15035,12.98207,12.45773,11.98762,11.37287,10.95701,10.57731,10.26994,10.07105,9.70943,9.87216,9.63711,9.79984,9.72751,9.67327,9.69135,9.83600,10.16145,10.46883,11.01125,11.22823,12.07803,13.30753,14.62743,15.56764,15.62188,17.06835,17.99047,17.50229,17.79158,17.59269,17.52037,17.41189,17.48421,17.57461,17.30340,17.42997,17.30340,17.15875,16.90562,17.30340,17.32148,17.30340,16.97794,17.32148,17.03219,16.81522,17.01411,17.03219,16.85138,16.76097,16.72481,16.95986,16.68865,16.61633,16.52592,16.39936,16.03774,16.11006,16.54400,16.95986,17.12259,17.32148,17.35764,18.13512,18.80411,19.97937,21.17271,21.76938,21.89594,22.18524,22.13100,22.14908,21.71513,21.60665,21.08230,20.99190,20.68452,20.30483,19.69008,19.61775,19.27422,18.67755,18.29785,18.00855,17.59269,17.32148,17.15875,17.10451,16.18239,15.38683,15.73036,15.02521,13.74147
2008,Five Dock 33_11kV,11MAY2007,MW,13.84995,13.14480,12.65661,13.43409,13.00015,12.09611,11.89722,11.04742,10.70388,10.50499,10.08913,10.07105,9.83600,9.54670,9.63711,9.63711,9.69135,9.74559,9.96256,10.32418,10.39651,10.86661,11.49944,12.40348,13.27136,13.92228,15.76653,15.65804,16.88754,17.71926,17.50229,18.04472,18.11704,17.44805,17.30340,17.24916,17.14067,17.06835,17.44805,16.88754,16.83330,16.90562,16.94178,16.79714,17.24916,16.83330,17.03219,16.88754,16.68865,16.74289,17.21300,16.95986,16.94178,16.88754,16.88754,16.92370,16.63441,16.52592,16.41744,16.25471,16.48976,16.38128,16.56208,16.54400,17.28532,17.42997,17.59269,18.02664,19.69008,20.70261,21.60665,21.82362,22.20332,21.66089,21.85978,21.69705,20.79301,20.88341,20.55796,20.25058,19.63583,19.47311,19.20189,18.73179,18.47866,18.06280,17.64694,17.35764,17.28532,17.21300,17.42997,16.48976,15.67612,16.00158,15.58572,14.88056
