year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Gore Hill 33_11kV,01MAY2007,MW,33.54759,33.40005,32.93898,32.60701,32.49635,32.21971,31.99839,31.75863,31.57421,31.74019,31.37133,31.35289,31.66642,31.24223,31.27912,31.33445,31.75863,32.16438,32.09061,32.57012,33.19718,34.61728,35.63164,36.99641,40.09481,42.04976,43.23010,48.13591,48.72608,51.84293,52.15646,56.52742,55.29175,55.07043,54.05607,55.45773,58.98032,55.32863,58.27949,59.90246,60.45575,59.55205,61.10125,60.56641,57.61555,58.68523,60.08689,58.96188,59.47828,59.29385,58.29793,59.03565,60.56641,60.17911,60.64018,62.15250,62.31848,61.43322,61.28568,60.95371,60.41887,61.13814,62.31848,59.23852,57.59710,56.56430,55.60527,55.38396,58.11351,56.95160,56.19545,55.43929,54.79379,51.69538,48.19124,49.22404,48.98428,48.08058,45.09283,44.55799,42.93502,44.90841,44.70553,44.33668,43.78339,43.45142,40.07637,39.68907,37.19928,40.55589,36.75665,39.35710,35.53942,35.13368,37.01485,35.50254
2008,Gore Hill 33_11kV,02MAY2007,MW,31.97995,33.32628,33.21562,31.07625,31.81396,31.24223,30.52296,30.22788,29.82213,29.78525,29.69303,29.93279,29.39795,29.72992,29.69303,29.32417,30.08033,30.15410,30.50452,30.72583,32.05372,33.40005,33.75046,35.28122,38.21364,40.29769,43.63585,46.38384,49.16871,47.01089,49.09494,50.57037,52.08268,52.43310,57.17292,57.52333,54.84912,55.49462,56.69340,56.21389,56.02946,57.02538,60.34509,57.32046,57.74465,57.94752,61.39634,60.36354,61.45167,58.18728,61.94962,59.64426,60.06845,63.84924,64.12588,59.84714,64.34720,61.23035,61.85741,60.97215,62.70578,58.98032,61.54388,61.48855,60.71395,58.05818,57.67088,56.71185,57.28358,56.36143,57.65243,55.01510,53.35524,49.75888,48.00681,46.16252,44.00470,43.32232,46.69736,45.94121,42.03132,41.75467,45.79366,40.05793,39.22800,40.35301,38.30586,37.66035,37.18084,36.31402,35.52098,34.32219,34.02711,33.49226,32.88365,32.68078
2008,Gore Hill 33_11kV,03MAY2007,MW,32.07216,31.90618,31.13158,31.03936,30.83649,30.98403,30.26476,29.58237,29.95123,29.80369,29.85902,29.85902,29.85902,29.61926,29.76680,29.67459,30.06189,30.43075,30.85493,30.57829,31.77708,32.05372,33.03119,34.37752,36.53534,37.51281,40.38990,43.13789,47.49041,49.94331,50.92078,52.59909,55.23642,54.59092,57.48645,58.90655,56.50898,58.15039,58.66679,58.98032,61.76520,61.32257,59.44139,59.23852,61.17502,62.31848,62.20782,63.48038,61.63609,60.87994,63.84924,64.55007,64.21810,63.79391,62.77955,65.60131,61.04592,63.84924,62.28160,61.80208,61.34101,61.28568,60.47419,59.84714,62.39225,61.87585,60.87994,56.47209,58.68523,56.01102,54.29583,52.82040,53.96386,48.39411,46.38384,45.20349,45.86744,44.26290,44.57643,44.44733,43.10100,41.97599,40.99852,42.60305,43.67273,43.04567,42.30796,38.54561,40.40834,39.72596,35.37344,35.57631,34.89392,34.34064,33.54759,33.49226
2008,Gore Hill 33_11kV,04MAY2007,MW,33.43694,32.92054,32.84676,32.23815,31.90618,32.14593,31.22379,31.42666,31.31601,31.31601,31.46355,30.78116,31.31601,31.02092,31.02092,30.89182,31.48199,31.99839,32.36725,32.51479,33.21562,33.17874,33.91645,35.63164,38.19520,40.46367,41.84689,44.29979,47.60107,49.88798,53.63189,55.32863,56.37987,57.72621,58.05818,60.91682,59.36762,61.67298,62.65045,60.03156,60.28976,60.40042,61.76520,60.67707,63.84924,64.32875,64.66073,61.45167,61.70987,61.26724,62.15250,61.43322,61.67298,61.89430,63.72014,61.37789,64.05211,62.92710,60.34509,63.25907,62.53980,63.25907,61.15658,58.46392,60.69551,59.77336,56.74873,58.79589,54.73846,54.11140,54.72002,55.71593,51.64006,51.67694,48.00681,48.78141,44.50266,46.31006,41.58869,41.27516,40.26080,40.85097,40.85097,38.84070,38.06610,39.72596,37.66035,39.44931,39.06201,34.50662,34.02711,37.32838,33.73202,32.58856,32.29348,32.45946
2008,Gore Hill 33_11kV,05MAY2007,MW,31.70331,31.53732,31.37133,31.00248,30.72583,30.61518,30.37542,30.30165,29.78525,30.19099,30.04345,29.67459,29.54549,29.84057,29.61926,29.60082,29.30573,29.61926,29.91435,29.96968,30.04345,29.82213,30.39386,30.72583,31.35289,32.57012,32.71766,32.25659,33.65825,35.81607,35.61320,36.99641,37.51281,38.49028,39.55997,40.24236,39.15423,39.92883,40.70343,40.20547,40.68499,42.87969,43.19322,41.75467,40.03949,40.62966,43.06412,39.94727,39.54153,40.13170,41.49647,41.31204,42.45550,42.65837,40.31613,40.09481,39.33866,42.60305,39.20956,39.57841,39.33866,37.58658,37.34683,40.57433,38.08454,38.95136,39.30177,40.11326,41.45959,42.49239,39.79973,42.93502,38.91447,38.41651,39.13578,38.54561,41.31204,38.82226,40.38990,40.11326,40.07637,38.41651,39.24644,37.62347,35.94517,34.56195,38.28741,37.84478,37.42060,33.76891,36.88575,36.25870,36.16648,33.10496,32.73611,33.19718
2008,Gore Hill 33_11kV,06MAY2007,MW,32.16438,32.20126,31.90618,31.48199,31.72175,31.18691,31.11313,31.07625,30.92870,30.87338,30.67050,30.70739,30.35698,30.30165,30.44919,30.50452,30.55985,30.54140,30.37542,30.76272,30.59673,30.91026,30.81805,30.98403,31.27912,31.15002,31.11313,31.64798,32.23815,32.66234,33.08652,33.12341,33.93489,33.97178,34.80171,34.96769,35.52098,36.12960,36.14804,36.60911,37.69724,37.01485,37.47593,37.69724,37.78945,38.21364,37.58658,37.49437,37.62347,37.45748,37.91856,37.58658,37.51281,37.34683,37.12551,37.42060,37.43904,37.05174,37.32838,37.38371,37.07018,37.25461,37.29150,37.03330,37.27305,37.07018,37.25461,37.66035,37.64191,38.25053,38.85914,38.45340,39.19111,38.76693,38.84070,38.45340,38.08454,38.34274,37.97388,37.54970,37.21773,36.75665,36.75665,36.77510,36.33247,35.76074,35.77918,35.37344,35.15212,34.76482,34.35908,33.97178,33.95334,33.54759,33.14185,32.80988
2008,Gore Hill 33_11kV,07MAY2007,MW,32.58856,32.14593,32.49635,31.64798,31.57421,31.57421,31.44511,31.24223,31.31601,31.29756,31.16846,31.11313,31.05780,31.22379,30.94715,31.33445,31.59265,32.12749,31.74019,32.73611,33.60292,34.56195,34.37752,36.03738,38.45340,40.51900,42.91657,45.42481,48.46788,50.90234,52.41466,54.40649,56.04790,56.08479,56.74873,58.35326,59.77336,60.89838,61.58077,60.25288,60.43731,60.67707,61.19347,59.95779,61.98651,62.31848,59.90246,63.12997,60.10534,63.81235,60.43731,60.97215,61.61765,61.11969,63.36973,63.20374,64.12588,64.10744,60.21599,60.03156,59.55205,59.62582,59.25696,58.62991,57.98441,57.98441,56.71185,58.40859,57.44956,59.22008,56.50898,55.42085,54.01919,53.92697,51.60317,50.66258,50.45971,45.66456,46.51294,47.49041,43.17478,43.85716,43.13789,41.84689,43.10100,41.82845,42.21575,42.60305,42.16042,37.56814,40.27924,35.79762,35.31811,34.56195,34.34064,34.10088
2008,Gore Hill 33_11kV,08MAY2007,MW,33.93489,33.54759,33.12341,32.92054,32.71766,32.71766,32.16438,31.59265,31.97995,32.14593,31.90618,31.75863,31.68486,31.61109,31.92462,31.55576,31.75863,32.66234,32.64389,32.97586,33.43694,33.75046,34.45129,37.93700,40.86942,42.28952,44.44733,47.13999,47.25065,48.87362,51.16054,51.28964,52.41466,58.55613,54.16673,55.40240,55.38396,55.91880,57.44956,56.85939,60.25288,61.24879,63.00087,59.62582,63.77547,60.91682,64.01523,65.04803,64.75294,59.10942,60.54797,62.20782,61.87585,61.23035,62.11561,60.51108,62.50291,64.21810,60.71395,63.62793,60.10534,59.10942,59.90246,59.77336,59.53361,59.82869,59.14631,58.39015,58.85122,56.95160,57.41268,55.62372,52.65441,50.97611,52.11957,47.85927,50.33061,44.90841,44.13380,46.62359,42.08665,42.12353,41.92066,41.36737,39.94727,42.97190,42.58460,42.65837,41.03540,36.77510,35.44721,35.07835,35.26278,33.58448,34.19309,33.58448
2008,Gore Hill 33_11kV,09MAY2007,MW,32.73611,32.71766,33.21562,32.66234,32.36725,31.92462,31.86929,31.83241,30.74428,30.81805,30.35698,30.67050,30.43075,30.37542,30.55985,30.39386,30.78116,31.24223,31.75863,31.81396,32.80988,33.17874,33.91645,35.29967,38.74848,41.12762,43.11945,46.08875,50.82857,52.85729,54.59092,57.76309,58.20572,59.25696,59.38606,60.01312,61.69142,58.79589,59.01721,62.33692,63.36973,60.67707,61.00904,61.28568,61.06437,60.28976,61.39634,61.52544,64.67917,61.19347,64.23654,60.47419,60.82461,59.81025,60.38198,59.77336,59.38606,59.57049,59.38606,58.61146,61.23035,61.23035,60.78772,58.44548,60.28976,59.42295,59.25696,59.90246,56.15856,54.38804,54.00074,52.52531,51.16054,51.80604,50.23840,47.12155,48.09902,44.63176,43.76495,44.13380,43.58052,42.49239,41.36737,40.24236,40.40834,39.78129,39.09890,38.08454,36.62755,37.03330,35.53942,35.26278,33.89801,33.76891,33.12341,32.82832
2008,Gore Hill 33_11kV,10MAY2007,MW,32.95742,32.01683,31.55576,31.48199,31.59265,31.38978,31.00248,30.89182,30.70739,30.41230,30.83649,30.59673,30.78116,30.43075,30.59673,30.24632,30.44919,30.94715,31.02092,31.50043,32.09061,33.49226,34.11932,36.48001,39.59686,42.01287,44.81619,45.00062,51.86137,53.42901,50.95767,51.86137,53.98230,54.09296,55.10732,55.01510,59.81025,55.88192,54.84912,57.04382,57.74465,57.17292,59.71804,59.99468,60.14222,60.45575,57.17292,57.37579,59.95779,57.79998,56.93316,55.62372,57.70776,58.37171,59.47828,58.66679,56.28766,58.53769,55.32863,56.15856,56.71185,60.73239,56.69340,56.71185,56.56430,56.78562,54.66469,56.19545,56.28766,54.00074,54.22206,52.04580,50.77324,48.63387,49.64822,48.87362,49.26092,48.48632,45.07439,47.19532,43.26699,42.41862,42.71370,41.36737,40.26080,39.96571,42.30796,40.68499,40.31613,40.62966,36.01894,35.74230,36.77510,34.30375,34.02711,33.54759
