year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Green Square 132_11kV,01MAY2007,MW,2.33489,2.28059,2.38919,2.35299,2.28059,2.28059,2.28059,2.17199,2.26249,2.13579,2.02719,2.02719,2.04529,1.99099,1.95479,1.97289,2.06339,1.99099,2.20819,2.20819,2.26249,2.35299,2.35299,2.53399,2.64259,2.85979,2.87789,3.13129,3.52949,3.74669,4.16298,4.19918,4.57928,4.81458,,5.37568,5.39378,5.46618,5.61098,5.61098,5.77388,5.86438,5.86438,5.86438,5.88248,6.11778,6.11778,,6.17208,6.22638,6.35308,6.26258,6.26258,6.13588,6.08158,6.15398,6.24448,6.20828,6.15398,6.11778,6.11778,6.11778,6.11778,6.00918,,5.52048,5.57478,5.52048,5.30328,4.86888,4.48878,4.28968,3.98198,3.65619,3.33039,3.25799,,3.23989,3.00459,3.02269,2.69689,,2.53399,2.58829,2.51589,2.44349,2.38919,2.35299,2.49779,2.62449,,2.60639,,2.55209,2.44349,2.35299
2008,Green Square 132_11kV,02MAY2007,MW,2.35299,2.35299,2.35299,2.29869,2.28059,2.13579,2.02719,,2.02719,2.02719,2.02719,,2.02719,2.02719,2.02719,2.02719,2.26249,2.15389,2.17199,2.28059,2.28059,2.28059,2.28059,2.44349,2.58829,2.80549,3.14939,3.34849,,,4.23538,4.38018,,,4.94128,5.37568,,,5.61098,5.84628,5.82818,5.88248,5.95488,,,6.20828,6.19018,6.26258,,,6.31688,6.35308,6.35308,,6.38928,6.51598,6.38928,6.49788,6.57027,6.35308,,,,,,,5.79198,5.82818,5.52048,,5.01368,4.52498,4.10868,3.81909,,3.18559,2.95029,2.85979,2.93219,2.93219,,,2.57019,,2.53399,2.53399,2.53399,2.53399,2.53399,,,2.53399,2.47969,2.40729,2.28059,2.28059
2008,Green Square 132_11kV,03MAY2007,MW,2.28059,2.28059,2.28059,2.19009,2.11769,2.09959,2.02719,2.15389,2.02719,2.02719,2.02719,2.11769,2.09959,2.02719,2.02719,2.02719,2.04529,2.02719,2.17199,2.28059,2.13579,2.31679,2.24439,2.35299,2.60639,2.82359,2.89599,3.09509,3.36659,3.72859,4.03628,4.39828,4.56118,4.99558,5.12228,5.50238,5.61098,5.77388,5.91868,5.82818,5.93678,6.04538,6.06348,6.04538,6.17208,6.28068,6.31688,6.60647,6.44358,6.49788,6.47978,6.57027,6.66077,6.76937,6.76937,6.76937,6.76937,6.85987,6.80557,6.75127,6.60647,6.71507,6.64267,6.60647,6.26258,6.06348,6.02728,6.02728,5.70148,5.61098,5.53858,5.23088,4.97748,4.88698,4.88698,4.88698,4.70598,4.47068,4.54308,4.30778,4.12678,4.12678,4.00008,3.58379,3.34849,3.02269,2.76929,2.76929,2.57019,2.29869,2.28059,2.28059,2.28059,2.28059,2.17199,2.02719
2008,Green Square 132_11kV,04MAY2007,MW,2.17199,2.02719,2.11769,2.13579,2.17199,2.11769,2.13579,2.11769,2.11769,2.11769,2.11769,2.11769,2.11769,2.11769,2.11769,2.15389,2.35299,2.11769,2.24439,2.35299,2.35299,2.35299,2.28059,2.60639,2.60639,2.82359,2.85979,3.14939,3.56569,4.07248,4.19918,4.68788,4.85078,4.95938,5.19468,5.77388,6.00918,6.11778,6.33498,6.37118,6.49788,6.44358,6.44358,6.47978,6.49788,6.44358,6.51598,6.66077,6.71507,6.75127,6.64267,6.67887,6.84177,6.84177,6.67887,6.60647,6.66077,6.76937,6.51598,6.31688,6.37118,6.40738,6.29878,6.28068,6.19018,5.91868,5.90058,5.81008,5.48428,5.10418,4.66978,4.39828,4.25348,3.92769,3.56569,3.07699,2.93219,2.93219,2.93219,2.85979,2.89599,2.75119,2.67879,2.67879,2.67879,2.67879,2.49779,2.44349,2.28059,2.20819,2.20819,2.20819,2.20819,2.15389,1.95479,1.95479
2008,Green Square 132_11kV,05MAY2007,MW,2.04529,1.95479,1.95479,1.95479,1.95479,1.95479,1.91859,1.75569,1.79189,1.80999,1.84619,1.79189,1.79189,1.79189,1.79189,1.79189,1.79189,1.79189,1.90049,1.82809,1.79189,1.79189,1.80999,2.02719,1.90049,2.02719,2.02719,2.08149,2.11769,2.38919,2.55209,2.95029,3.02269,3.25799,3.42089,3.74669,3.74669,3.87339,3.74669,4.00008,4.16298,4.16298,4.23538,4.23538,4.23538,4.18108,4.18108,4.21728,4.23538,4.23538,4.16298,4.23538,4.23538,4.18108,4.12678,3.98198,4.03628,3.98198,3.98198,3.98198,3.90959,3.89149,3.81909,3.80099,3.85529,3.74669,3.74669,3.52949,3.02269,2.87789,2.76929,2.67879,2.53399,2.22629,1.88239,1.79189,1.71949,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.55659,1.52039,1.35749
2008,Green Square 132_11kV,06MAY2007,MW,1.30320,1.50229,1.30320,1.30320,1.48419,1.55659,1.55659,1.55659,1.53849,1.37559,1.30320,1.41179,1.41179,1.30320,1.30320,1.30320,1.37559,1.55659,1.55659,1.55659,1.55659,1.55659,1.37559,1.30320,1.30320,1.30320,1.30320,1.30320,1.46609,1.55659,1.55659,1.66519,1.84619,2.19009,2.33489,2.49779,2.76929,2.76929,2.82359,3.18559,3.25799,3.45709,3.51139,3.42089,3.31229,3.25799,3.25799,3.25799,3.25799,3.25799,3.25799,3.42089,3.36659,3.42089,3.34849,3.33039,3.33039,3.33039,3.33039,3.33039,3.33039,3.33039,3.29419,3.33039,3.33039,3.25799,3.31229,2.93219,2.85979,2.71499,2.71499,2.60639,2.37109,2.08149,1.88239,1.66519,1.62899,1.62899,1.62899,1.62899,1.62899,1.73759,1.66519,1.62899,1.62899,1.62899,1.62899,1.62899,1.75569,1.79189,1.62899,1.62899,1.62899,1.62899,1.62899,1.62899
2008,Green Square 132_11kV,07MAY2007,MW,1.62899,1.62899,1.62899,1.62899,1.62899,1.62899,1.77379,1.82809,1.62899,1.62899,1.71949,1.62899,1.62899,1.62899,1.70139,1.71949,1.73759,1.82809,1.88239,1.88239,1.88239,1.88239,1.88239,2.11769,2.17199,2.44349,2.60639,3.07699,3.43899,3.89149,4.07248,4.25348,4.48878,4.85078,5.06798,5.46618,5.59288,5.81008,5.93678,5.93678,6.00918,6.00918,6.06348,6.02728,6.06348,6.06348,6.02728,6.00918,6.26258,6.26258,6.28068,6.24448,6.26258,6.37118,6.47978,6.31688,6.37118,6.26258,6.26258,6.26258,6.04538,6.02728,6.02728,6.02728,5.90058,5.61098,5.55668,5.41188,5.26708,4.85078,4.56118,4.43448,4.19918,4.07248,5.17658,8.27167,7.78297,8.01827,8.18117,8.43457,8.27167,8.38027,7.67437,7.71057,8.30787,8.52507,8.39837,8.39837,8.39837,7.43907,6.76937,7.31237,7.29427,6.82367,6.98657,7.05897
2008,Green Square 132_11kV,08MAY2007,MW,6.64267,6.37118,6.46168,6.76937,7.29427,7.56577,7.49337,6.84177,6.40738,6.62457,6.87797,6.82367,6.84177,6.73317,6.67887,6.58837,6.49788,6.13588,6.19018,6.60647,6.75127,7.02277,6.82367,7.09517,6.84177,7.23997,7.45717,7.87347,8.39837,8.85087,9.61106,10.11786,9.66536,10.09976,10.13596,10.93236,11.14956,11.43916,11.56586,11.65636,11.43916,10.89616,11.47536,12.14505,11.65636,11.62016,11.67446,11.78306,11.60206,11.52966,11.22196,11.60206,11.45726,11.63826,11.56586,11.51156,11.60206,11.72876,12.12695,11.72876,11.13146,10.95046,10.66086,10.73326,11.05906,10.42556,10.09976,10.19026,10.19026,9.39386,9.08617,9.24906,9.08617,8.76037,8.83277,7.87347,7.67437,8.10877,8.63367,8.07257,8.05447,7.74677,7.49337,7.16757,7.04087,7.42097,7.76487,7.87347,8.09067,8.07257,8.07257,7.60197,7.89157,7.89157,7.83727,7.83727
2008,Green Square 132_11kV,09MAY2007,MW,7.11327,6.24448,6.55217,6.84177,6.67887,6.85987,6.47978,5.95488,7.00467,7.54767,7.20377,7.81917,7.62007,7.45717,6.98657,7.40287,7.76487,7.51147,6.76937,6.67887,6.67887,6.76937,6.60647,6.91417,7.42097,7.45717,8.21737,9.44816,8.41647,8.85087,9.62916,9.82826,9.70156,9.88256,9.57486,10.55226,10.80566,10.80566,10.71516,10.73326,10.96856,11.42106,11.69256,12.01835,11.71066,12.03645,11.33056,11.94595,11.62016,11.89165,12.12695,12.59755,12.50705,13.01385,12.99575,12.70615,12.09075,11.47536,11.49346,11.18576,11.54776,11.31246,11.83735,12.27175,12.21745,11.80115,11.71066,11.33056,10.73326,9.75586,9.06807,9.06807,9.12237,8.30787,8.28977,7.96397,7.71057,7.43907,7.45717,7.45717,7.25807,7.33047,7.31237,7.29427,7.23997,7.14947,6.91417,6.91417,6.85987,6.37118,7.07707,6.84177,6.37118,6.85987,7.33047,7.16757
2008,Green Square 132_11kV,10MAY2007,MW,6.80557,7.38477,7.47527,7.42097,7.42097,7.29427,7.11327,6.98657,7.07707,7.25807,7.16757,7.07707,6.98657,6.64267,5.97298,6.28068,6.42548,6.09968,5.93678,6.44358,7.13137,7.23997,7.14947,7.16757,7.22187,7.14947,7.04087,7.51147,7.92777,7.83727,8.14497,8.61557,8.77847,9.17666,9.55676,9.91876,9.97306,10.29886,10.20836,10.58846,10.57036,10.46176,10.60656,10.78756,10.55226,10.58846,10.37126,10.44366,11.07716,11.14956,11.18576,11.33056,11.11336,11.24006,10.69706,10.53416,10.44366,10.55226,10.58846,10.44366,10.06356,10.02736,10.04546,10.33506,10.17216,10.04546,10.66086,10.64276,10.49796,9.95496,9.44816,9.32146,9.12237,8.88707,8.65177,8.34407,8.90517,9.30336,8.83277,8.92327,8.81467,8.54317,7.89157,7.72867,7.67437,7.05897,7.16757,7.25807,6.87797,6.67887,6.57027,6.19018,5.95488,5.71958,5.95488,6.57027
2008,Green Square 132_11kV,11MAY2007,MW,6.80557,6.57027,6.73317,6.42548,6.62457,6.13588,6.29878,6.73317,6.82367,6.69697,6.62457,6.96847,6.73317,6.84177,6.75127,7.07707,7.20377,7.34857,6.98657,6.66077,6.67887,6.42548,6.35308,6.58837,6.37118,6.55217,7.00467,7.71057,8.05447,7.92777,8.09067,8.27167,8.38027,8.32597,8.61557,9.17666,9.88256,11.09526,10.87806,10.80566,11.14956,11.34866,11.16766,11.33056,11.33056,11.29436,10.91426,10.95046,11.00476,10.19026,10.08166,10.46176,10.93236,10.31696,10.37126,10.75136,10.78756,10.82376,10.75136,10.76946,10.82376,10.93236,10.82376,11.05906,11.36676,10.82376,10.58846,10.35316,10.15406,9.73776,8.81467,8.14497,8.00017,7.90967,7.74677,7.58387,7.60197,7.54767,7.47527,7.33047,7.33047,6.66077,6.47978,6.91417,7.20377,7.65627,7.65627,6.98657,6.26258,6.76937,7.05897,7.31237,6.84177,6.76937,6.17208,5.91868
2008,Green Square 132_11kV,12MAY2007,MW,6.73317,6.67887,7.31237,7.34857,7.63817,7.51147,7.40287,6.85987,6.11778,5.95488,5.91868,6.35308,6.33498,6.38928,6.02728,6.15398,6.08158,5.91868,5.50238,5.03178,5.04988,4.92318,4.97748,5.06798,5.14038,5.44808,5.46618,5.68338,5.77388,5.95488,6.24448,6.40738,6.49788,6.75127,6.98657,6.76937,6.58837,6.73317,6.80557,6.82367,7.02277,7.23997,7.33047,7.09517,7.14947,7.00467,7.27617,7.04087,6.76937,7.11327,7.43907,7.11327,7.04087,7.09517,7.04087,7.05897,6.71507,6.69697,6.78747,6.98657,6.89607,6.80557,6.98657,6.84177,6.58837,6.51598,6.57027,6.11778,6.04538,6.02728,5.77388,5.53858,5.23088,5.04988,4.88698,4.54308,4.43448,5.03178,4.95938,4.88698,4.70598,4.97748,5.06798,4.81458,4.50688,4.70598,4.85078,4.83268,4.95938,4.94128,4.32588,4.23538,4.48878,4.83268,,4.86888
2008,Green Square 132_11kV,13MAY2007,MW,4.48878,4.48878,4.52498,4.61548,4.90508,4.95938,4.97748,4.85078,4.50688,4.76028,4.56118,4.56118,4.59738,4.50688,4.72408,4.97748,5.01368,4.99558,4.68788,4.56118,4.38018,4.30778,4.30778,4.30778,4.45258,4.88698,4.65168,4.83268,5.01368,5.24898,4.94128,5.23088,5.12228,5.44808,5.66528,5.81008,5.84628,6.00918,6.66077,7.11327,7.42097,7.34857,7.33047,6.69697,7.04087,7.36667,7.74677,7.43907,7.74677,7.67437,7.69247,7.78297,7.78297,7.81917,7.83727,7.18567,6.84177,6.69697,6.37118,6.44358,6.69697,7.04087,7.56577,7.74677,7.78297,7.67437,7.52957,7.43907,7.16757,7.23997,6.35308,5.99108,5.62908,6.24448,6.26258,6.28068,6.17208,6.24448,5.48428,5.12228,4.94128,5.39378,4.92318,5.15848,5.32138,5.53858,5.55668,5.70148,5.70148,5.70148,5.33948,5.46618,5.64718,5.23088,5.21278,5.37568
2008,Green Square 132_11kV,14MAY2007,MW,5.28518,5.57478,5.66528,5.66528,5.21278,4.99558,5.37568,5.21278,5.21278,5.26708,5.44808,5.42998,5.04988,4.56118,4.97748,5.28518,5.28518,5.28518,5.28518,4.94128,4.94128,5.23088,5.28518,5.62908,5.57478,5.97298,5.62908,6.51598,7.02277,7.16757,7.49337,7.72867,7.67437,8.05447,8.72417,9.03187,9.12237,9.19476,9.19476,9.26716,9.44816,9.48436,9.82826,9.71966,9.66536,9.70156,10.11786,10.24456,10.46176,10.69706,10.67896,10.35316,10.46176,10.49796,10.20836,9.71966,9.90066,10.87806,10.75136,10.75136,10.58846,10.24456,10.67896,10.40746,10.53416,10.09976,9.86446,9.77396,9.43006,8.85087,8.81467,8.63367,8.50697,8.01827,7.52957,6.64267,6.62457,6.58837,6.89607,7.31237,7.40287,7.36667,7.38477,6.93227,6.67887,6.57027,7.00467,7.20377,7.25807,7.33047,7.43907,7.22187,6.78747,7.34857,7.22187,7.00467
2008,Green Square 132_11kV,15MAY2007,MW,6.87797,6.87797,6.60647,6.93227,7.00467,6.64267,6.78747,7.02277,6.98657,6.84177,6.80557,6.60647,6.62457,6.42548,6.38928,6.62457,6.89607,6.60647,6.66077,6.87797,6.84177,6.84177,6.78747,6.89607,6.93227,7.02277,7.14947,8.03637,8.56127,8.72417,8.99567,9.23096,9.55676,9.55676,9.84636,9.82826,10.24456,10.75136,10.73326,10.80566,10.80566,10.89616,11.04096,11.31246,11.65636,11.56586,11.25816,10.71516,10.67896,11.11336,11.80115,11.49346,11.34866,11.24006,11.51156,11.63826,11.80115,11.96405,11.40296,11.29436,11.27626,11.13146,11.22196,10.75136,10.58846,10.35316,9.93686,9.48436,9.10427,9.15857,9.03187,8.83277,8.63367,8.14497,7.74677,7.07707,6.84177,6.98657,6.62457,6.93227,7.22187,7.34857,6.75127,6.64267,7.38477,7.16757,6.98657,6.95037,6.87797,6.67887,6.62457,6.60647,6.96847,7.22187,6.96847,7.23997
2008,Green Square 132_11kV,16MAY2007,MW,7.11327,7.04087,6.80557,7.02277,7.49337,7.31237,6.51598,7.22187,6.51598,6.19018,5.90058,5.90058,5.93678,6.37118,6.67887,6.55217,6.49788,6.22638,5.84628,5.86438,5.81008,6.37118,6.69697,6.87797,7.23997,7.62007,7.71057,7.60197,7.52957,7.40287,8.00017,8.36217,8.83277,8.86897,9.26716,9.66536,10.04546,10.09976,9.93686,9.46626,9.46626,9.61106,9.97306,10.38936,10.58846,10.69706,11.07716,10.93236,11.25816,10.66086,10.89616,10.89616,11.43916,11.24006,11.24006,11.14956,10.87806,10.64276,11.05906,10.95046,11.07716,11.04096,10.82376,10.26266,10.38936,10.37126,10.37126,10.19026,10.19026,9.66536,8.88707,8.79657,8.36217,8.38027,8.07257,7.54767,7.16757,7.23997,7.33047,7.33047,7.43907,7.05897,6.98657,6.71507,6.66077,6.87797,6.95037,6.69697,6.75127,6.29878,6.19018,5.79198,5.93678,6.38928,6.24448,6.82367
2008,Green Square 132_11kV,17MAY2007,MW,6.38928,6.42548,6.51598,6.42548,6.44358,6.33498,6.35308,6.04538,5.86438,6.22638,5.95488,5.75578,6.11778,6.15398,6.38928,6.87797,6.55217,5.90058,5.61098,5.97298,6.28068,6.38928,6.58837,6.73317,6.89607,7.34857,6.62457,6.69697,6.75127,7.54767,7.71057,8.14497,9.01377,8.79657,8.95947,9.48436,10.09976,9.77396,9.93686,10.26266,10.57036,10.85996,10.53416,9.77396,10.28076,10.71516,10.82376,10.80566,11.31246,11.54776,11.76496,11.81925,11.80115,11.52966,11.36676,11.42106,11.02286,11.14956,10.85996,10.75136,10.93236,11.14956,10.85996,10.53416,10.55226,10.42556,10.44366,10.15406,9.84636,10.02736,9.81016,9.35766,9.15857,9.24906,9.32146,8.54317,8.57937,8.79657,8.68797,8.77847,8.90517,8.68797,8.21737,7.78297,7.11327,7.02277,7.05897,7.14947,6.87797,6.58837,6.67887,6.58837,6.73317,6.60647,6.69697,6.82367
2008,Green Square 132_11kV,18MAY2007,MW,7.00467,5.86438,6.20828,6.06348,6.17208,6.35308,6.76937,6.62457,6.33498,6.47978,6.84177,6.69697,6.55217,6.55217,6.75127,6.85987,6.57027,6.13588,6.19018,6.76937,6.47978,7.00467,6.67887,6.67887,6.98657,7.43907,7.63817,7.63817,8.18117,8.76037,9.04997,9.23096,9.17666,9.61106,9.77396,9.93686,10.20836,9.91876,10.09976,10.00926,10.29886,10.24456,10.33506,10.40746,10.04546,10.00926,10.19026,10.17216,10.40746,10.15406,9.55676,9.66536,9.81016,9.43006,9.21286,9.43006,9.41196,9.50246,9.82826,9.70156,9.88256,9.71966,9.95496,9.99116,9.84636,9.37576,9.03187,8.68797,8.54317,8.32597,8.03637,7.67437,7.43907,6.87797,6.40738,6.35308,6.35308,6.15398,6.37118,6.64267,6.42548,6.26258,5.68338,5.71958,5.90058,6.02728,6.00918,5.82818,5.71958,5.79198,5.86438,5.81008,5.73768,6.04538,6.20828,6.28068
2008,Green Square 132_11kV,19MAY2007,MW,6.51598,6.58837,6.51598,6.64267,6.42548,6.02728,6.49788,6.26258,6.04538,5.14038,5.28518,5.32138,5.55668,5.23088,5.48428,5.21278,5.28518,5.08608,5.10418,5.57478,5.46618,5.46618,5.28518,5.33948,5.17658,5.06798,5.08608,5.06798,5.28518,5.77388,5.86438,6.24448,6.76937,6.87797,6.93227,6.87797,6.80557,7.22187,7.11327,6.98657,7.34857,7.49337,7.31237,7.36667,7.83727,7.81917,7.56577,7.22187,7.23997,7.16757,6.98657,7.33047,7.23997,7.45717,7.27617,7.49337,7.40287,7.51147,6.67887,6.60647,6.75127,6.53408,6.82367,7.23997,7.56577,7.31237,7.05897,6.82367,5.79198,5.75578,5.99108,5.82818,5.90058,5.71958,5.41188,5.17658,4.59738,4.63358,4.79648,5.12228,4.81458,4.30778,4.34398,4.85078,5.10418,5.15848,5.15848,5.14038,5.14038,5.14038,5.14038,5.14038,5.10418,4.95938,4.61548,4.47068
2008,Green Square 132_11kV,20MAY2007,MW,4.48878,4.99558,4.59738,4.38018,4.38018,4.94128,4.76028,4.86888,4.88698,4.70598,4.63358,4.63358,4.36208,4.25348,4.39828,4.54308,4.56118,4.56118,4.72408,4.72408,4.72408,4.72408,4.72408,4.66978,4.48878,4.48878,4.45258,4.59738,4.39828,4.56118,4.43448,5.03178,5.15848,5.39378,5.70148,5.99108,5.73768,6.24448,6.42548,6.76937,6.84177,6.80557,6.80557,6.11778,6.46168,7.05897,6.85987,6.11778,5.86438,6.19018,6.19018,6.19018,6.26258,6.47978,6.11778,6.19018,6.46168,6.17208,6.33498,6.55217,6.82367,6.80557,6.35308,6.09968,6.69697,6.75127,6.67887,6.22638,5.66528,6.26258,6.20828,6.11778,5.53858,4.38018,4.66978,5.06798,5.46618,5.15848,5.14038,5.10418,5.42998,5.32138,5.10418,4.95938,5.03178,5.06798,5.06798,4.10868,3.96388,4.77838,4.81458,5.10418,5.75578,5.53858,5.57478,5.01368
2008,Green Square 132_11kV,21MAY2007,MW,4.81458,5.19468,5.39378,5.84628,5.82818,5.64718,5.75578,5.42998,4.86888,5.08608,5.14038,5.17658,4.86888,4.92318,4.92318,5.23088,5.21278,5.21278,5.24898,5.37568,5.46618,5.64718,5.55668,5.44808,5.46618,5.73768,6.28068,6.93227,7.49337,7.72867,7.96397,8.39837,9.10427,,,,,,9.37576,9.55676,9.62916,9.55676,9.95496,9.82826,9.81016,9.59296,9.59296,9.62916,9.64726,10.08166,9.95496,10.08166,9.82826,9.91876,9.86446,9.64726,9.64726,9.66536,9.97306,9.90066,10.04546,9.90066,9.75586,9.62916,9.14047,8.99567,8.95947,9.01377,8.94137,8.43457,7.92777,7.62007,7.18567,7.25807,7.22187,7.00467,6.93227,7.22187,7.80107,7.54767,7.56577,7.45717,7.62007,7.20377,7.25807,7.11327,6.49788,6.38928,6.49788,6.28068,6.15398,6.49788,6.89607,6.91417,6.91417,6.87797
2008,Green Square 132_11kV,22MAY2007,MW,6.80557,6.71507,6.40738,6.80557,6.62457,6.73317,6.75127,6.64267,6.04538,6.04538,6.38928,6.75127,6.75127,6.58837,6.58837,6.28068,6.44358,6.71507,6.44358,6.60647,6.78747,6.69697,6.57027,6.58837,6.91417,7.04087,7.16757,7.43907,8.27167,8.72417,8.97757,9.01377,9.33956,9.17666,9.68346,10.06356,10.08166,10.35316,10.82376,10.85996,11.13146,10.71516,9.71966,10.22646,10.37126,10.89616,10.60656,10.44366,10.24456,10.26266,10.44366,11.00476,10.64276,10.80566,10.42556,10.17216,10.84186,10.87806,10.69706,10.46176,10.55226,10.33506,10.09976,9.48436,9.32146,9.24906,9.17666,8.52507,8.76037,8.83277,8.14497,7.96397,8.03637,7.42097,7.49337,7.13137,7.25807,7.16757,7.60197,7.33047,7.22187,7.76487,7.20377,6.58837,6.96847,7.69247,6.93227,6.95037,6.82367,6.73317,6.71507,6.15398,6.04538,6.15398,6.89607,6.37118
2008,Green Square 132_11kV,23MAY2007,MW,6.37118,6.76937,6.00918,5.77388,6.19018,6.15398,5.93678,5.57478,5.42998,5.01368,5.21278,5.33948,5.21278,5.57478,5.64718,5.93678,5.86438,5.90058,6.06348,6.02728,5.81008,5.61098,5.53858,5.81008,6.22638,6.82367,7.34857,7.80107,7.81917,7.90967,8.19927,8.66987,8.86897,9.21286,9.33956,9.75586,10.02736,10.00926,9.81016,9.82826,9.84636,10.02736,9.75586,9.70156,9.88256,10.15406,10.58846,10.75136,10.71516,10.76946,10.76946,10.64276,10.91426,10.95046,10.89616,10.73326,10.26266,10.31696,10.35316,9.97306,9.82826,10.15406,9.82826,10.42556,10.57036,10.42556,10.37126,10.71516,10.22646,9.82826,9.39386,8.81467,9.08617,8.59747,8.27167,7.80107,7.34857,7.16757,6.84177,6.35308,6.13588,6.47978,6.28068,5.99108,6.76937,7.11327,7.43907,7.11327,6.62457,6.58837,6.71507,7.07707,7.00467,6.69697,6.78747,6.57027
