year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Hornsby 132_11kV,01MAY2007,MW,37.47886,35.44176,32.80108,36.87528,35.53607,33.00856,31.14122,29.12298,27.74605,26.10505,25.06764,24.48292,23.38892,22.67216,22.25720,22.54013,22.87965,22.69103,23.04940,23.50209,24.80357,25.36943,27.40653,29.85860,33.36694,35.64924,39.66686,37.38455,39.61027,40.83630,41.60965,41.53420,42.77909,42.59047,42.76023,42.94885,43.89195,43.72219,43.43926,43.83537,43.70333,43.43926,43.51471,43.42040,43.94854,43.59016,43.75992,43.74106,43.57130,43.45812,43.57130,43.32609,43.45812,43.55243,43.23178,43.42040,42.98657,42.53389,42.70364,42.83568,42.36413,42.53389,42.40185,42.59047,43.06202,43.09975,43.47699,43.98626,45.11798,47.11736,47.73981,48.38112,48.39998,48.72063,48.09818,47.66436,47.00419,45.49522,45.13685,44.21261,43.77878,42.32640,42.38299,40.57223,39.44051,37.79951,36.83755,35.74355,35.76242,37.32796,36.85641,35.34745,34.42321,37.83724,37.53545,34.91362
2008,Hornsby 132_11kV,02MAY2007,MW,37.36569,35.06452,32.65018,36.64893,35.47948,33.15945,31.06577,29.14184,27.48198,26.19936,25.12423,24.33202,24.03023,22.37037,22.48354,22.25720,22.21948,22.54013,22.78534,23.57754,24.76585,26.14278,27.61402,29.99063,33.68759,35.78128,39.23303,37.06390,39.55368,40.83630,41.85485,42.32640,42.19437,41.98689,42.51502,43.38268,43.38268,43.75992,43.81650,43.53357,43.57130,43.68447,43.72219,43.62788,44.06171,43.32609,44.09943,44.09943,44.08057,43.72219,43.09975,43.40154,43.68447,43.79764,43.34495,43.72219,43.32609,43.74106,43.45812,43.38268,43.00544,42.81682,43.57130,43.34495,43.15633,43.15633,43.59016,44.19374,45.58953,46.60808,47.49460,48.36225,48.58860,47.98501,47.55119,47.06077,46.09881,45.23116,44.89164,43.75992,43.06202,42.40185,41.00606,39.70458,38.15789,36.34714,35.78128,34.89476,34.78159,36.17738,36.34714,34.89476,33.74418,37.53545,36.59234,34.80045
2008,Hornsby 132_11kV,03MAY2007,MW,37.04503,34.51752,32.21635,36.74324,35.08338,32.31066,30.36787,28.50053,26.57660,25.27512,24.08682,23.27575,22.54013,21.95541,21.78565,21.18206,21.21979,21.97427,22.27606,23.03054,23.91706,24.91675,26.68978,29.12298,32.17863,34.47980,37.32796,35.53607,37.32796,38.61058,39.64799,39.45937,40.08182,40.72313,41.40216,42.51502,43.19406,43.34495,43.70333,43.47699,43.70333,44.08057,43.72219,44.02399,44.30692,44.06171,43.92968,44.13716,44.19374,44.36350,43.89195,43.70333,44.11830,44.13716,44.43895,44.66529,45.09912,44.19374,44.21261,44.08057,44.38236,43.59016,43.47699,44.23147,44.04285,43.85423,44.09943,44.72188,45.40091,46.07995,48.02274,48.58860,49.49398,49.41853,48.70177,48.45656,47.21167,46.60808,46.51377,45.58953,44.83505,44.23147,42.68478,41.11923,38.70489,36.51690,36.15852,34.72500,34.00825,35.12111,35.17769,33.72532,32.46156,36.34714,35.78128,33.81963
2008,Hornsby 132_11kV,04MAY2007,MW,36.15852,33.53670,31.00918,35.76242,34.12142,31.59391,29.57567,27.50084,25.89757,24.44520,23.72844,23.06827,22.33265,21.76679,21.69134,21.87996,21.80451,21.91768,22.08744,22.82306,23.70958,24.50178,25.85985,28.23646,31.53732,33.32921,36.21510,34.49866,36.68665,37.68634,38.49741,39.78003,40.06296,40.32703,41.94916,42.98657,43.00544,43.30723,43.57130,43.60902,43.81650,44.28805,44.34464,43.77878,44.17488,44.00512,44.15602,44.49554,44.47667,44.06171,43.85423,43.70333,43.43926,43.66561,44.13716,43.89195,43.43926,44.04285,43.59016,43.36381,43.11861,42.62820,42.42071,42.92999,42.59047,42.53389,42.74137,42.68478,43.19406,43.96740,44.04285,44.23147,43.49585,43.08088,42.81682,41.72282,40.68541,40.49679,40.15727,39.32734,38.27107,37.44114,36.85641,35.91331,35.40404,34.36662,33.85735,32.78221,32.61246,34.57411,35.06452,33.85735,32.83880,37.19593,37.06390,34.70614
2008,Hornsby 132_11kV,05MAY2007,MW,36.85641,34.17800,31.89570,35.91331,34.44207,32.10318,30.10381,27.78378,26.01074,24.67154,23.57754,22.84192,22.42696,21.99313,21.37068,21.14434,21.12548,20.69165,20.86141,21.27637,21.78565,21.78565,22.08744,23.21916,24.44520,24.89788,26.57660,26.14278,28.27419,28.85891,31.36756,32.78221,34.78159,35.81900,38.27107,39.02555,39.70458,39.23303,39.34620,39.93092,40.06296,39.78003,39.28962,39.70458,39.44051,38.78034,38.78034,39.30848,38.89351,38.64831,38.93124,38.45969,37.91269,38.13903,37.89382,37.89382,37.61089,37.13934,37.29024,37.47886,37.13934,36.63007,36.78096,37.30910,37.59203,37.68634,38.40310,39.10100,38.51627,40.44020,42.68478,42.85454,41.89258,41.45875,41.06265,39.72344,38.68603,37.91269,37.81838,36.70552,35.89445,35.59266,34.63069,33.63101,32.48042,32.31066,31.65049,30.78284,31.59391,33.53670,34.21573,33.14059,33.17832,37.42227,37.13934,34.72500
2008,Hornsby 132_11kV,06MAY2007,MW,37.10162,34.68728,32.44270,36.98845,35.23428,33.08401,31.06577,28.76460,27.27450,25.91643,24.61495,23.80389,22.89851,21.80451,21.42727,21.54044,21.54044,21.10662,21.18206,21.29524,21.03117,21.27637,21.72906,22.42696,23.16258,23.16258,24.33202,23.55868,24.80357,25.95416,26.99157,28.48167,29.83974,31.21667,32.27294,33.02742,34.23459,34.44207,35.00793,35.89445,36.57348,36.76210,36.66779,36.74324,36.89414,35.95104,36.02648,36.27169,35.81900,35.40404,35.47948,35.23428,35.27200,34.74387,35.00793,34.83818,34.76273,34.46093,34.25345,34.42321,34.89476,34.64956,35.06452,35.51721,35.42290,36.25283,37.02617,38.23334,37.85610,40.89289,42.45844,43.45812,43.45812,43.28837,42.74137,41.89258,41.19468,39.87434,39.30848,38.40310,37.98814,37.46000,37.15821,35.85673,34.36662,33.44239,32.83880,31.78253,32.06546,33.98938,34.27231,32.51815,31.83911,35.87559,35.83786,33.91394
2008,Hornsby 132_11kV,07MAY2007,MW,36.12079,34.08369,31.48073,35.89445,34.46093,32.31066,30.51877,28.61370,26.84067,24.95447,24.16226,23.42665,22.65330,21.42727,21.50272,21.86110,21.95541,22.27606,21.97427,22.95509,23.99251,24.86016,26.63319,29.51908,31.97115,34.55524,37.53545,36.08307,38.17676,39.38393,40.08182,40.00637,40.68541,41.38330,42.45844,43.02430,43.83537,44.02399,43.74106,44.23147,44.57098,44.06171,43.77878,43.77878,44.28805,45.04254,44.68416,44.87278,44.72188,43.96740,43.96740,44.02399,44.13716,44.11830,43.79764,44.06171,44.04285,43.96740,43.53357,44.06171,43.17519,42.92999,43.13747,42.98657,43.17519,43.64675,44.02399,45.25002,46.66467,48.36225,48.41884,48.30567,47.73981,47.68322,46.96646,46.11767,45.81588,44.62757,43.57130,43.32609,42.13778,41.08151,40.08182,39.10100,38.40310,37.46000,35.68697,35.10224,34.36662,35.93217,35.81900,34.00825,33.19718,37.21479,37.12048,34.57411
2008,Hornsby 132_11kV,08MAY2007,MW,36.66779,34.74387,32.17863,36.59234,35.25314,32.80108,30.61308,28.99095,27.10474,25.76554,24.74699,23.91706,23.55868,22.72875,22.78534,22.35151,22.42696,22.65330,22.89851,23.53982,24.61495,25.82212,27.59515,29.66998,32.83880,35.64924,38.17676,36.61121,38.62944,39.57255,40.74199,40.55337,41.57192,41.98689,43.55243,43.72219,43.79764,44.00512,43.68447,43.42040,43.92968,44.34464,44.51440,44.49554,44.85392,45.38205,45.25002,45.72157,45.58953,45.36319,45.36319,45.15571,44.94823,45.23116,45.66498,45.47636,45.51409,45.74043,45.58953,45.09912,45.53295,44.68416,44.62757,44.96709,44.91050,45.28774,45.92905,46.28743,47.66436,49.07901,48.83380,48.60746,47.89070,48.11705,47.23053,46.32515,45.25002,44.45781,43.43926,41.94916,41.51534,40.68541,39.62913,38.91237,37.27138,36.23397,36.04535,35.10224,34.55524,35.64924,35.72469,34.12142,33.40466,36.51690,36.30941,34.53638
2008,Hornsby 132_11kV,09MAY2007,MW,36.61121,34.19687,31.51846,36.38486,34.98907,32.14090,30.00949,28.06671,26.76523,25.33171,24.18113,23.78502,23.31347,22.72875,22.37037,22.16289,22.50241,22.78534,22.93623,23.52096,24.27544,26.14278,27.55743,28.91550,32.44270,35.19655,37.57317,36.36600,38.95010,40.06296,41.72282,42.25095,42.59047,43.21292,44.40123,44.96709,45.53295,45.53295,45.41978,45.53295,45.87246,45.79702,45.11798,45.40091,45.25002,45.81588,,45.98564,45.83474,45.45750,44.92936,44.58985,44.91050,44.51440,44.62757,44.75961,44.64643,44.66529,44.43895,43.62788,43.70333,44.11830,44.83505,44.58985,45.66498,46.45719,47.75867,48.21136,49.28649,49.75804,50.30504,49.87122,49.75804,49.02242,48.24908,47.28712,46.43833,45.51409,44.72188,43.66561,42.87340,42.13778,40.98720,39.83661,38.12017,36.81869,36.36600,35.06452,34.51752,36.38486,35.95104,34.06483,33.53670,37.04503,37.06390,34.23459
2008,Hornsby 132_11kV,10MAY2007,MW,36.83755,34.29118,31.87684,35.95104,34.32890,32.66904,30.23584,28.36850,26.48229,25.08650,23.95478,23.23803,23.03054,22.03085,22.14403,21.97427,22.10630,22.04972,22.35151,23.16258,24.33202,25.08650,26.87840,29.16070,32.14090,34.85704,37.72407,35.85673,38.44082,40.47792,41.96802,42.21323,42.45844,42.96771,44.23147,44.87278,45.00481,45.41978,45.64612,45.21229,44.83505,45.38205,45.08026,45.04254,44.87278,45.15571,44.79733,44.51440,44.94823,44.70302,44.55212,44.06171,44.23147,44.66529,44.15602,44.02399,43.68447,43.45812,43.21292,42.94885,43.08088,42.89226,43.21292,43.23178,43.43926,44.28805,45.41978,46.57036,48.15477,49.68260,51.39904,51.47449,51.22928,51.56880,50.87090,50.62570,49.87122,48.56974,48.73949,47.70208,47.13622,46.51377,45.47636,43.68447,40.85516,39.76117,38.64831,36.93186,36.53576,38.27107,37.81838,36.15852,35.36631,38.55400,38.00700,35.78128
