year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Manly 33_11kV,01MAY2007,MW,8.58223,8.29929,8.24271,8.52564,8.50678,8.12954,8.24271,7.79002,7.65799,7.50709,7.50709,7.24302,7.41278,7.41278,7.46937,7.67685,7.62026,7.84661,7.75230,7.94092,8.18612,8.60109,8.92174,9.35557,10.50615,11.48698,11.86422,11.92081,12.99594,13.58066,13.80701,13.65611,14.01449,13.92018,14.27856,13.76928,14.18425,14.31628,13.93904,14.52377,14.08994,14.41059,14.27856,14.27856,14.07108,14.31628,14.41059,14.27856,14.71239,14.24084,14.39173,14.41059,14.24084,14.44832,14.31628,14.50490,14.27856,14.46718,14.27856,14.33515,14.39173,14.20311,14.46718,14.35401,14.56149,14.48604,14.86328,14.71239,14.97645,16.10818,16.57973,16.27793,16.40997,16.50428,16.08931,16.31566,16.40997,16.39111,16.25907,15.84411,15.25938,16.35338,15.54232,14.61808,14.01449,13.90132,13.73156,13.22229,12.65642,12.35463,11.58129,11.67560,10.61932,10.11005,9.48760,9.26126
2008,Manly 33_11kV,02MAY2007,MW,8.71426,8.60109,8.45019,8.67654,8.54450,8.39360,8.29929,8.24271,8.14840,7.84661,7.67685,7.35619,7.54481,7.35619,7.54481,7.39392,7.56368,7.71457,7.67685,7.90319,7.94092,8.69540,8.97833,9.78940,10.58160,11.29836,11.86422,12.39236,12.97708,13.75042,13.78815,13.99563,13.90132,14.12766,14.18425,14.41059,14.20311,14.56149,14.54263,14.63694,14.88214,14.48604,14.63694,14.76897,14.91987,14.52377,14.69352,14.78783,14.65580,14.84442,14.61808,14.41059,14.65580,14.97645,14.76897,14.65580,14.91987,14.76897,14.59921,14.69352,14.76897,14.80670,14.78783,14.75011,14.78783,15.03304,14.99532,15.18394,15.39142,16.46656,17.20217,16.82493,17.18331,16.86266,16.95697,16.78721,16.97583,16.24021,16.10818,15.90069,15.33483,16.44769,15.33483,14.97645,14.10880,13.86359,13.22229,12.82618,12.59984,12.18487,11.73218,11.56243,10.78908,10.16664,9.77053,9.20467
2008,Manly 33_11kV,03MAY2007,MW,8.92174,8.54450,8.31816,8.77085,8.61995,8.52564,8.45019,7.99750,7.95978,7.84661,7.82774,7.69571,7.82774,7.54481,7.84661,7.94092,7.90319,7.92205,7.95978,8.12954,8.41247,8.84629,9.26126,9.65736,10.63819,11.24177,11.92081,12.59984,13.22229,13.67497,14.22197,14.16539,14.16539,14.27856,14.14652,14.08994,14.35401,14.41059,14.73125,14.75011,14.88214,14.78783,14.61808,14.90101,14.84442,14.58035,15.03304,15.18394,15.07076,15.08963,15.05190,15.12735,15.18394,15.03304,15.14621,14.82556,14.80670,15.12735,15.03304,14.88214,15.24052,14.88214,15.12735,14.91987,14.84442,15.03304,15.25938,14.97645,15.56118,16.01387,16.59859,16.33452,16.50428,16.44769,16.37224,16.39111,16.03273,15.82525,15.82525,15.84411,15.48573,16.33452,15.37256,14.73125,14.18425,13.86359,13.39204,13.22229,12.78846,12.54325,11.99625,11.92081,11.03429,10.26095,9.69509,9.43102
2008,Manly 33_11kV,04MAY2007,MW,9.20467,8.58223,8.63881,9.03491,8.97833,8.88402,8.52564,8.33702,8.05409,8.01636,7.94092,7.95978,7.84661,7.73343,7.95978,7.80888,8.03523,7.86547,8.18612,7.97864,8.24271,8.52564,8.90288,9.43102,10.48729,10.73250,11.71332,11.95853,12.93935,13.41091,13.76928,13.93904,13.90132,14.18425,14.58035,14.24084,14.50490,14.56149,14.86328,14.95759,14.95759,15.01418,15.03304,14.80670,15.10849,15.12735,14.88214,15.56118,15.12735,15.25938,15.42914,14.97645,15.25938,15.37256,15.05190,15.22166,15.61776,15.37256,15.10849,15.20280,15.33483,14.97645,15.29711,15.20280,15.52345,15.27825,15.37256,15.10849,15.65549,16.22135,16.69290,16.69290,16.56087,16.54200,16.27793,16.22135,15.61776,15.59890,15.33483,15.20280,14.61808,15.52345,14.48604,14.35401,13.65611,13.46749,12.82618,12.54325,12.54325,12.27918,11.92081,12.09056,11.39267,10.84567,10.39298,9.88371
2008,Manly 33_11kV,05MAY2007,MW,9.54419,9.46874,9.20467,9.16695,9.26126,8.80857,8.84629,8.75198,8.48791,8.26157,8.24271,7.90319,7.73343,7.73343,7.77116,7.67685,7.94092,7.67685,7.71457,7.63912,7.67685,7.95978,8.09181,8.43133,8.99719,9.20467,9.63850,9.67622,10.50615,11.01543,11.35494,11.63787,12.43008,12.86391,13.48635,13.90132,14.27856,14.24084,14.31628,14.41059,14.71239,14.82556,14.69352,14.48604,14.50490,14.37287,14.52377,14.48604,14.52377,14.16539,14.29742,14.01449,13.95790,14.08994,13.78815,13.67497,13.73156,13.50522,13.82587,13.76928,13.75042,13.95790,13.97677,13.90132,14.07108,14.07108,14.16539,14.41059,14.93873,15.80638,16.25907,16.25907,16.20249,16.16476,15.86297,15.54232,15.12735,15.16507,14.97645,14.88214,14.20311,15.12735,14.12766,13.78815,13.46749,13.39204,12.99594,12.44894,12.71301,12.03398,11.82649,11.80763,11.26063,10.82681,10.65705,10.12891
2008,Manly 33_11kV,06MAY2007,MW,9.84598,9.58191,9.20467,9.60077,9.44988,9.12922,8.90288,8.63881,8.65767,8.58223,8.22385,8.24271,8.14840,7.90319,7.97864,7.79002,7.77116,7.90319,8.01636,8.05409,8.01636,8.01636,8.09181,8.29929,8.63881,8.73312,9.24240,9.26126,9.82712,10.24208,10.99657,11.18519,11.50584,12.12829,12.31691,12.76960,13.05253,13.39204,13.42977,13.61839,13.67497,13.73156,13.78815,13.84473,13.75042,13.56180,13.69384,13.59953,13.61839,13.61839,13.56180,13.37318,13.52408,13.48635,13.41091,13.33546,13.39204,13.18456,13.39204,13.33546,13.39204,13.16570,13.22229,13.22229,13.35432,13.44863,13.59953,14.12766,14.37287,15.93842,15.99500,16.22135,16.39111,16.40997,16.29680,15.86297,15.42914,15.46687,15.27825,14.97645,14.52377,15.42914,14.73125,14.10880,13.35432,13.12798,12.71301,12.20374,11.92081,11.60015,10.78908,10.92112,10.39298,9.75167,9.31784,9.14809
2008,Manly 33_11kV,07MAY2007,MW,8.60109,8.31816,8.12954,8.69540,8.52564,8.09181,8.11067,7.94092,7.88433,7.71457,7.69571,7.62026,7.50709,7.43164,7.65799,7.71457,7.67685,7.73343,7.92205,8.07295,8.28043,8.35588,8.78971,9.56305,10.73250,11.27950,12.14715,12.09056,12.99594,13.42977,13.67497,13.73156,13.61839,14.01449,13.65611,14.29742,14.10880,14.29742,14.37287,14.52377,14.44832,14.41059,14.52377,14.63694,14.58035,14.69352,14.84442,14.56149,14.63694,14.58035,14.75011,14.69352,14.48604,14.39173,14.59921,14.52377,14.63694,14.67466,14.54263,14.54263,14.22197,14.48604,14.35401,14.65580,14.44832,14.61808,14.91987,15.41028,15.46687,16.42883,16.80607,16.78721,17.03242,16.88152,16.78721,16.61745,16.61745,16.44769,16.65518,15.97614,15.27825,16.03273,15.35370,14.58035,14.20311,13.93904,13.33546,12.84504,12.27918,12.35463,11.31722,11.50584,10.75136,10.05346,9.63850,9.12922
2008,Manly 33_11kV,08MAY2007,MW,8.75198,8.45019,8.20498,8.78971,8.65767,8.50678,8.26157,8.03523,7.90319,7.65799,7.79002,7.52595,7.56368,7.69571,7.67685,7.56368,7.73343,7.79002,7.92205,7.97864,8.26157,8.65767,8.97833,9.50646,10.82681,11.16632,11.80763,12.37349,12.86391,13.67497,13.52408,13.42977,13.78815,13.84473,14.31628,14.80670,14.52377,14.75011,14.44832,14.41059,14.91987,14.76897,14.67466,14.78783,14.86328,14.65580,14.80670,14.76897,14.95759,14.75011,14.97645,14.97645,14.93873,15.03304,15.37256,15.05190,15.03304,15.10849,14.95759,14.99532,14.75011,14.69352,14.80670,15.01418,15.16507,15.01418,15.42914,15.73094,16.10818,16.65518,16.95697,16.97583,16.80607,16.67404,16.74949,16.50428,16.63631,16.08931,16.05159,16.05159,15.37256,16.50428,15.37256,15.05190,14.44832,13.93904,13.33546,12.88277,12.63756,12.26032,11.50584,11.61901,10.80795,9.95915,9.46874,9.20467
2008,Manly 33_11kV,09MAY2007,MW,8.92174,8.63881,8.48791,8.75198,8.82743,8.69540,8.48791,8.18612,8.29929,8.05409,8.01636,7.90319,7.92205,7.73343,7.92205,7.97864,7.97864,7.95978,7.99750,8.20498,8.58223,8.52564,8.86516,9.82712,10.78908,11.41153,12.20374,12.37349,13.05253,13.56180,13.95790,14.05221,14.20311,14.42946,14.22197,14.54263,14.71239,14.80670,15.01418,14.93873,14.90101,15.08963,15.20280,15.14621,15.03304,14.73125,15.31597,15.22166,14.95759,14.88214,14.75011,14.95759,15.10849,14.84442,14.80670,,14.78783,14.63694,14.63694,16.56087,14.86328,14.65580,14.58035,14.52377,14.80670,14.95759,15.48573,15.74980,16.27793,16.44769,16.61745,16.56087,16.35338,16.65518,16.69290,16.63631,16.56087,16.07045,16.05159,15.82525,15.29711,16.44769,15.33483,14.56149,14.29742,13.88246,13.33546,12.93935,12.80732,12.33577,11.97739,11.92081,11.10974,10.33639,9.75167,9.26126
2008,Manly 33_11kV,10MAY2007,MW,9.03491,8.88402,8.46905,9.12922,8.80857,8.80857,8.60109,8.43133,8.37474,8.18612,8.07295,8.03523,7.73343,7.82774,7.75230,7.69571,8.03523,7.90319,8.01636,8.07295,8.24271,8.52564,9.12922,9.63850,10.61932,11.18519,11.80763,12.12829,13.07139,13.90132,13.61839,14.41059,14.54263,14.27856,14.41059,14.52377,14.75011,14.84442,14.86328,14.99532,14.75011,14.37287,14.93873,14.84442,14.69352,14.41059,14.95759,14.88214,14.67466,14.65580,14.54263,14.42946,14.41059,14.31628,14.33515,14.29742,14.29742,14.07108,14.27856,13.93904,14.18425,14.20311,14.18425,13.99563,14.01449,14.18425,14.58035,15.03304,15.97614,16.35338,16.50428,16.84380,16.57973,16.76835,16.59859,16.39111,16.22135,15.97614,15.67435,15.95728,15.20280,16.14590,15.48573,14.91987,14.01449,13.84473,13.52408,13.22229,12.86391,12.43008,11.97739,11.93967,10.97770,10.50615,9.92143,9.48760
