year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Maryland 132_11kV,01MAY2007,MW,8.74560,8.32736,8.45653,9.28290,9.18204,8.68759,8.39997,8.77398,8.08672,7.43579,6.70468,6.31327,6.09641,5.74542,5.60380,5.43182,5.37293,5.61820,5.58165,5.66692,5.86946,6.14100,6.51498,6.76167,7.41983,7.94143,8.45339,8.08760,8.61919,9.16592,9.66340,9.80883,9.68645,9.43429,9.37953,9.30995,9.24415,9.25179,9.12334,9.10126,9.09222,9.03817,8.93134,9.15827,9.18032,9.23726,9.28226,9.32909,9.42244,9.47128,9.41422,9.40504,9.39322,9.34933,9.30739,9.35654,9.51174,9.46858,9.41322,9.34104,9.39178,9.40247,9.64074,9.68198,9.87862,10.01237,10.33293,10.74687,11.11434,11.63331,12.46971,12.54857,12.70009,12.58513,12.30514,11.91419,11.72328,11.69935,11.40639,10.98784,10.57108,10.25991,10.05140,9.87107,9.49493,9.31395,9.31030,9.27358,10.81025,10.26576,9.59148,8.80298,8.37520,7.81483,7.91423,8.51243
2008,Maryland 132_11kV,02MAY2007,MW,8.94466,8.57112,8.55565,9.47431,9.20626,8.61582,8.42237,8.91236,8.24129,7.67645,7.13393,6.67035,6.36025,6.04641,5.77473,5.78450,5.81726,5.69577,5.81373,5.98314,6.30795,6.42621,6.79812,7.14443,7.75608,8.22554,8.62936,8.56516,9.10865,9.72168,10.02965,10.10689,10.08943,9.85764,9.66102,9.46609,9.33381,9.24406,9.15319,9.14762,9.19664,9.12210,9.07178,8.98464,9.12415,9.24311,9.18332,9.09900,9.08414,9.06086,9.11534,9.12189,9.10025,9.13856,9.06670,9.19734,9.13352,9.34129,9.51794,9.44456,9.39826,9.45453,9.63840,9.81608,9.99077,10.14043,10.27568,10.64465,11.23070,11.72936,12.16640,12.40134,12.51442,12.42698,11.93883,11.75118,11.51171,11.38312,11.14414,10.90039,10.55962,10.19649,9.97712,9.75777,9.45433,9.23690,9.33222,9.19293,10.65334,10.01104,9.54781,8.75584,8.30274,7.67785,7.94500,8.54119
2008,Maryland 132_11kV,03MAY2007,MW,8.96462,8.34536,8.49192,9.33621,9.13340,8.69258,8.43493,9.02098,8.35369,7.67852,7.15545,6.73000,6.33657,6.11661,5.90519,5.81276,5.79605,5.75767,5.80560,5.95389,6.23756,6.30049,6.62322,7.23999,7.73063,8.11159,8.79595,8.52953,9.02567,9.52844,9.76150,9.85459,9.76386,9.79299,9.61585,9.42482,9.15495,9.04632,8.96423,9.02322,9.11702,9.13211,9.06357,9.05304,9.16941,9.29006,9.44755,9.59936,9.49466,9.34349,9.55374,9.63532,9.61282,9.64080,9.69720,9.67366,9.59535,9.61531,9.77154,9.77944,9.65504,9.81631,9.95962,10.06937,10.28545,10.36712,10.45026,10.59131,10.84966,11.38618,11.94076,12.18973,12.39414,12.31826,12.07478,11.86101,11.62595,11.57522,11.37446,11.09181,10.76496,10.27906,10.13220,9.81032,9.36644,9.23607,9.34655,9.27466,10.64617,10.09650,9.34315,8.65651,8.28091,7.64409,7.84753,8.44091
2008,Maryland 132_11kV,04MAY2007,MW,8.84707,8.34004,8.52924,9.36650,9.15188,8.68953,8.36628,8.81278,8.14296,7.55878,7.04413,6.52680,6.16213,5.90867,5.78175,5.58309,5.59470,5.56633,5.63372,5.87412,6.19667,6.39977,6.65973,6.97859,7.52464,8.02199,8.50515,8.17826,8.78414,9.28226,9.53994,9.73282,9.66416,9.55004,9.39321,9.41075,9.40237,9.21783,9.29725,9.41875,9.45757,9.48102,9.34454,9.51385,9.56966,9.54523,9.75316,9.85746,9.95042,10.12372,10.03908,10.23541,10.16797,10.11941,10.17052,10.28723,10.32255,10.36503,10.28238,10.27238,10.29629,10.45214,10.40978,10.28218,10.37772,10.41621,10.77688,10.76482,10.92051,11.50945,11.94640,11.99096,11.88245,11.86734,11.64572,11.29955,11.16183,10.99796,10.88775,10.64797,10.27053,10.01505,9.72539,9.46736,9.21036,9.04839,9.27816,9.19487,10.64598,9.91301,9.47866,8.99401,8.52731,7.96878,8.23940,8.80366
2008,Maryland 132_11kV,05MAY2007,MW,9.14221,8.72465,8.82007,9.74171,9.42966,8.87184,8.24830,7.62579,8.28410,7.89556,7.28553,6.80239,6.04422,5.84308,5.66214,5.46940,5.31993,5.40468,5.44195,5.49283,5.58925,5.80832,5.77343,6.05336,6.38335,6.48919,6.76865,7.14828,7.76613,8.29051,8.65630,9.01348,9.16587,9.34017,9.39961,9.50562,9.48458,9.53890,9.43963,9.40009,9.22351,9.23328,9.09810,9.26149,9.22615,9.37088,9.25417,9.12926,9.13699,9.05832,9.07604,9.13371,9.05037,9.05240,9.07509,9.09640,9.09919,9.02345,9.09409,9.08559,9.05944,9.04446,9.04823,9.20131,9.24363,9.32655,9.68087,9.58156,10.17764,10.72618,11.24399,11.21476,11.21760,11.05518,10.58468,10.37376,10.30054,10.17683,9.90130,9.64800,9.40504,9.11868,9.02132,8.82749,8.76509,8.53571,9.89341,9.15932,8.46349,7.81841,7.98966,7.55127,7.98017,7.58740,6.99077,7.40265
2008,Maryland 132_11kV,06MAY2007,MW,7.57467,6.74725,7.03704,8.38703,7.66623,6.87391,6.22143,5.78584,6.20433,5.80448,5.31049,5.12742,4.99897,5.03670,4.92536,4.86188,4.86409,5.00193,5.04536,5.09859,5.19090,5.26818,5.36281,5.47695,5.68655,5.72702,6.03005,6.33507,6.63902,7.05866,7.36385,7.86207,8.27100,8.66202,8.87388,8.87971,8.74894,8.78988,9.11526,8.99634,8.85970,8.99563,9.00065,8.89025,8.87961,8.67809,8.72327,8.64285,8.48410,8.42050,8.53401,8.46172,8.61300,8.45925,8.48320,8.58755,8.54127,8.46541,8.34981,8.30933,8.39829,8.53309,8.54449,8.62205,8.91926,9.21395,9.28349,9.35338,9.83663,10.65852,11.45389,11.50939,11.71160,11.49699,11.26705,11.02632,10.70317,10.73175,10.44020,10.20380,9.79817,9.53924,9.43020,9.10839,8.97655,8.44631,9.75402,9.07438,8.13798,7.57024,7.72154,7.38835,7.69434,7.27537,6.63339,6.96843
2008,Maryland 132_11kV,07MAY2007,MW,7.29340,6.54649,6.85149,8.26941,7.42036,6.47680,6.09680,6.14213,5.68666,5.35051,5.10160,5.04721,4.96005,4.90683,4.89449,4.92562,5.13774,5.22212,5.49288,5.62082,5.81103,5.95727,6.33174,6.75023,7.39504,7.81213,8.38968,8.05502,8.65704,9.38695,9.71241,9.75164,9.61062,9.32734,9.23007,9.14862,9.11486,8.93271,8.74247,8.77265,8.94921,8.97630,8.99521,9.06935,8.96711,9.04728,9.18523,9.23823,9.29781,9.32860,9.54467,9.41646,9.42096,9.42161,9.44064,9.36621,9.32099,9.37203,9.25170,9.32344,9.32959,9.36556,9.57759,9.64134,9.78378,9.91641,10.29319,10.91436,11.43129,12.23548,12.88609,13.02963,12.75797,12.62270,12.10392,11.88109,11.51719,11.41296,11.07963,10.98863,10.57410,10.06858,9.83783,9.58355,9.19544,8.99422,8.98680,8.75977,10.20048,9.55552,9.06218,8.31762,7.94097,7.23173,7.45777,8.08732
2008,Maryland 132_11kV,08MAY2007,MW,8.50641,8.06985,8.09216,8.94773,8.76316,8.21041,8.00261,8.57527,7.86764,7.33184,6.92065,6.40703,6.01588,5.66691,5.49597,5.46918,5.46749,5.39165,5.53127,5.67620,5.91034,6.12404,6.49918,6.90603,7.46733,7.85217,8.39110,8.16278,8.64452,9.17104,9.34561,9.30120,9.27491,9.04087,9.09932,8.95556,8.93827,8.98234,8.94218,9.08549,9.23627,9.25239,9.19027,9.13882,9.17225,9.23010,9.41707,9.66379,9.60784,9.62400,9.73470,9.69440,9.79827,9.98686,9.90642,9.89810,9.88745,10.02857,9.97590,10.10503,10.11777,10.22172,10.21897,10.27188,10.49015,10.63763,10.81417,11.21301,11.60810,12.27930,12.98588,12.98143,12.97140,12.87289,12.42758,12.17308,11.80720,11.61666,11.25689,10.86792,10.59405,10.28359,9.95021,9.72108,9.38094,9.08464,9.17635,9.05195,10.54185,9.87747,9.38081,8.65725,8.13367,7.57420,7.79625,8.45427
2008,Maryland 132_11kV,09MAY2007,MW,8.80024,8.17358,8.29795,9.15275,8.88276,8.33057,8.10721,8.58434,7.75465,7.17273,6.73804,6.39733,5.93327,5.63554,5.50554,5.40445,5.35448,5.39386,5.51878,5.62856,5.91879,5.88955,6.23042,6.56408,7.11761,7.67514,8.10893,7.59891,8.35124,8.96708,9.40770,9.29554,9.26390,9.32739,9.15294,9.33758,9.43632,9.42059,9.39699,9.38776,9.60892,9.55354,9.55022,9.57155,9.51723,9.53629,9.64891,9.67741,9.80300,9.71557,9.67098,9.75418,9.69616,9.59379,9.53553,9.65069,9.82162,9.77366,9.66626,9.70855,9.79305,9.95760,10.09162,10.30550,10.47736,10.76723,11.16295,11.55357,12.16507,12.78290,13.06151,12.97270,12.83468,12.57414,12.19675,12.03163,11.90512,11.75450,11.40115,11.07529,10.76955,10.47586,10.27449,9.89870,9.55633,9.46094,9.54681,9.36000,10.97167,10.38655,9.72950,9.06969,8.66625,8.12740,8.36954,8.91878
2008,Maryland 132_11kV,10MAY2007,MW,9.33734,8.85923,8.85928,9.82002,9.61235,9.14043,8.96618,9.51394,8.75657,7.97065,7.39334,6.84531,6.21879,5.98913,5.94066,5.94115,5.88592,5.68719,5.89750,5.91439,6.29638,6.59235,6.87531,7.14720,7.65405,7.99860,8.63341,8.57108,9.15881,9.76756,10.32246,10.33323,10.32958,10.01173,9.93530,10.11879,10.30917,10.39509,10.21263,10.05790,10.15053,10.18478,10.09100,9.91981,9.80197,9.87801,9.91929,10.13980,10.03095,9.97278,9.83062,10.01446,10.04091,9.95314,9.80578,9.82959,9.86018,9.92468,9.83451,9.83747,9.99822,10.29571,10.56383,10.75975,11.03738,11.34099,11.73860,12.11563,12.75267,13.34621,13.67236,13.45225,13.42602,13.21980,12.89376,12.46595,12.30234,12.10049,11.77047,11.54539,11.39432,11.13032,10.79741,10.32886,9.90827,9.64032,9.55680,9.51000,11.08266,10.30327,9.80394,9.02745,8.52138,7.93804,8.10570,8.58707
