year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Merriwa 33_11kV,01MAY2007,MW,1.39106,1.26432,1.26805,1.15654,1.05855,0.99996,0.98026,0.92867,0.97121,0.90473,0.86561,0.88585,0.88066,0.86293,0.86972,0.84400,0.84947,0.83736,0.84006,0.86753,0.92098,0.98507,0.97013,1.01915,1.10198,1.15561,1.31785,1.42297,1.29935,1.30013,1.31369,1.34406,1.39832,1.35727,1.42673,1.39364,1.33309,1.35692,1.38585,1.38585,1.37160,1.39088,1.43988,1.45096,1.41449,1.39671,1.33481,1.36264,1.36497,1.37920,1.34788,1.32073,1.25904,1.24930,1.28520,1.26970,1.29420,1.30955,1.27465,1.28344,1.27868,1.24703,1.25337,1.25984,1.27112,1.31171,1.31334,1.31565,1.41185,1.52509,1.52397,1.66106,1.72281,1.79054,1.82606,1.72292,1.79971,1.67143,1.58092,1.56198,1.52830,1.53246,1.47522,1.44521,1.37787,1.31620,1.29934,1.34747,1.58107,1.52734,1.68502,2.07915,2.18426,1.90759,1.71443,1.55906
2008,Merriwa 33_11kV,02MAY2007,MW,1.39843,1.26972,1.18387,1.11325,1.06546,1.01097,0.98920,0.92508,0.95080,0.92631,0.89585,0.84801,0.84108,0.83392,0.83501,0.85723,0.85910,0.83381,0.84556,0.87027,0.89841,0.91089,0.94760,1.02456,1.18445,1.23221,1.29896,1.33275,1.27774,1.29504,1.30291,1.32755,1.35622,1.36816,1.34735,1.33871,1.37582,1.38083,1.30784,1.24933,1.27310,1.27351,1.30518,1.25847,1.27508,1.24135,1.24431,1.25943,1.25114,1.28474,1.27474,1.30634,1.32694,1.33468,1.28139,1.31265,1.33333,1.32986,1.36645,1.32342,1.31242,1.26277,1.26993,1.29212,1.28655,1.30000,1.30540,1.36632,1.46217,1.52818,1.61394,1.69659,1.75414,1.83381,1.80165,1.76284,1.76462,1.71291,1.67723,1.60554,1.55134,1.54132,1.51817,1.44473,1.35379,1.27766,1.31204,1.40024,1.60739,1.55893,1.67501,2.07370,2.12150,1.91847,1.71740,1.51166
2008,Merriwa 33_11kV,03MAY2007,MW,1.37135,1.30940,1.25741,1.11939,1.06656,1.01626,0.97636,0.91737,0.93870,0.90391,0.89121,0.87663,0.86709,0.81751,0.83688,0.86866,0.87896,0.88545,0.87026,0.90172,0.94166,0.94966,0.95234,1.07161,1.19612,1.20162,1.28868,1.45426,1.37129,1.36984,1.35615,1.41562,1.38144,1.38443,1.31892,1.29138,1.26544,1.25912,1.31432,1.27648,1.27837,1.29679,1.33184,1.33097,1.33985,1.35903,1.33409,1.34986,1.36728,1.38335,1.38691,1.37430,1.34467,1.32444,1.34124,1.37122,1.37149,1.34880,1.33484,1.36422,1.39196,1.37015,1.30395,1.31711,1.35952,1.34907,1.35748,1.38664,1.48332,1.53266,1.61559,1.71815,1.72015,1.76977,1.70023,1.72647,1.72762,1.70934,1.66831,1.60269,1.50716,1.46021,1.40972,1.34529,1.30815,1.27855,1.28340,1.35094,1.57656,1.51153,1.67030,2.07464,2.17211,1.90950,1.67006,1.48266
2008,Merriwa 33_11kV,04MAY2007,MW,1.38616,1.29291,1.17546,1.13153,1.01435,0.97874,0.95747,0.92346,0.91356,0.89773,0.89657,0.88792,0.87309,0.82399,0.82361,0.82773,0.84072,0.86290,0.83470,0.85082,0.87700,0.88696,0.90796,1.01677,1.10842,1.12357,1.27533,1.34475,1.30062,1.32174,1.31604,1.30236,1.32482,1.36830,1.33861,1.36384,1.38019,1.35051,1.37016,1.41780,1.39717,1.41291,1.39603,1.43102,1.42416,1.45810,1.47611,1.48664,1.49168,1.52400,1.50850,1.45992,1.43883,1.44961,1.44793,1.47771,1.47466,1.49939,1.47352,1.46454,1.46248,1.43875,1.39651,1.38322,1.38726,1.39714,1.38603,1.40725,1.42563,1.44051,1.48050,1.57492,1.59270,1.62737,1.60019,1.53143,1.60591,1.52670,1.48603,1.44502,1.36548,1.36805,1.31683,1.25850,1.22889,1.19151,1.22627,1.27981,1.54569,1.53747,1.65811,2.03699,2.10684,1.95384,1.67452,1.47686
2008,Merriwa 33_11kV,05MAY2007,MW,1.36826,1.26851,1.23940,1.11045,1.03343,1.01973,0.96166,0.95243,0.95726,0.91376,0.89406,0.87415,0.86496,0.89077,0.92383,0.88720,0.89139,0.92505,0.90899,0.91386,0.92334,0.97451,0.99509,1.02976,1.03333,1.09050,1.15518,1.25667,1.28995,1.30211,1.37406,1.41558,1.48369,1.44287,1.40813,1.42082,1.42319,1.41700,1.42553,1.46106,1.45729,1.47263,1.47603,1.41363,1.38487,1.36659,1.29986,1.34053,1.32036,1.35166,1.27745,1.22970,1.18559,1.19829,1.18028,1.20388,1.20788,1.18714,1.17976,1.15472,1.17107,1.12520,1.12764,1.16803,1.20873,1.19978,1.21641,1.27675,1.31025,1.42066,1.55317,1.70725,1.78268,1.77612,1.75532,1.73669,1.68991,1.62550,1.55640,1.45030,1.39089,1.36845,1.38706,1.33946,1.32332,1.30690,1.26477,1.18625,1.13098,1.14020,1.10732,1.10041,1.11138,1.11211,1.01617,0.97127
2008,Merriwa 33_11kV,06MAY2007,MW,0.96145,0.95728,0.96937,0.93125,0.96387,0.96162,0.91869,0.90301,1.01692,0.94281,0.87000,0.86999,0.88398,0.91052,0.89023,0.87464,0.89401,0.84674,0.87305,0.86595,0.85822,0.86020,0.86481,0.93696,0.93566,1.03640,1.03672,1.08405,1.20433,1.25367,1.32778,1.28448,1.37532,1.46185,1.51956,1.50276,1.54146,1.51670,1.46329,1.52117,1.54823,1.50414,1.42622,1.39663,1.37941,1.32372,1.38935,1.44022,1.40658,1.38760,1.36321,1.39669,1.39667,1.30229,1.29286,1.30175,1.26595,1.24170,1.25560,1.23208,1.25041,1.24328,1.22533,1.25568,1.22186,1.25228,1.31234,1.41000,1.50190,1.60196,1.71262,1.83041,1.86283,1.94029,1.93532,1.92744,1.87874,1.80074,1.71508,1.67816,1.64318,1.59724,1.56900,1.55939,1.49512,1.44364,1.42624,1.35971,1.32908,1.22348,1.21908,1.16463,1.14822,1.09845,1.02401,0.98709
2008,Merriwa 33_11kV,07MAY2007,MW,0.98599,0.96341,0.97782,0.92269,0.91960,0.90318,0.87026,0.89301,0.92892,0.88613,0.86644,0.90006,0.93362,0.90921,0.92571,0.90183,0.90864,0.90830,0.90115,0.90719,1.02216,1.01520,0.99131,1.08341,1.17642,1.26203,1.28817,1.40432,1.38805,1.35624,1.43383,1.41359,1.40302,1.37595,1.36850,1.42150,1.45290,1.38256,1.44168,1.45269,1.43355,1.39961,1.38691,1.39287,1.40292,1.41954,1.40141,1.38267,1.42480,1.42267,1.40932,1.38050,1.41080,1.38415,1.38399,1.38028,1.37672,1.37659,1.37776,1.36472,1.37080,1.32776,1.35353,1.33644,1.34580,1.35894,1.38736,1.44993,1.53398,1.64147,1.78654,1.87882,1.98845,1.98685,1.98222,1.88804,1.88091,1.85634,1.72938,1.67762,1.65808,1.58598,1.51649,1.45144,1.44539,1.42076,1.41366,1.47490,1.72958,1.66919,1.79706,2.21438,2.34981,2.15326,1.89653,1.68520
2008,Merriwa 33_11kV,08MAY2007,MW,1.57227,1.41962,1.38519,1.29562,1.26902,1.18848,1.17389,1.15391,1.12412,1.13219,1.09070,1.08506,1.06435,1.02054,1.06727,1.07834,1.10400,1.09848,1.07334,1.09363,1.13302,1.16397,1.18822,1.22421,1.29700,1.36614,1.49619,1.56996,1.45210,1.46485,1.50557,1.41796,1.39868,1.42993,1.37926,1.37173,1.35767,1.33729,1.31804,1.31125,1.31160,1.38348,1.40892,1.41726,1.38960,1.41661,1.43553,1.42012,1.45788,1.46372,1.42020,1.44424,1.42289,1.41640,1.43064,1.44443,1.43280,1.47531,1.46125,1.45627,1.44047,1.45950,1.45544,1.46120,1.45394,1.42720,1.43373,1.50454,1.57275,1.58222,1.69826,1.74800,1.80112,1.86971,1.82768,1.76438,1.81371,1.73310,1.68843,1.63615,1.50306,1.45572,1.41193,1.34700,1.31983,1.29233,1.31890,1.39400,1.63152,1.58348,1.71851,2.12202,2.24849,2.01310,1.78269,1.60633
2008,Merriwa 33_11kV,09MAY2007,MW,1.40310,1.31188,1.28148,1.17769,1.11934,1.07441,0.99452,0.94996,0.96331,0.96670,0.91501,0.92253,0.94766,0.92823,0.94598,0.96316,0.96316,0.98603,0.93671,1.00601,0.98353,0.98864,1.05234,1.07115,1.15375,1.21909,1.29468,1.31893,1.29052,1.32120,1.38025,1.36399,1.36443,1.34490,1.35094,1.32493,1.36261,1.33926,1.29700,1.32298,1.34877,1.30874,1.31083,1.30701,1.31732,1.34132,1.33067,1.33362,1.37494,1.42019,1.39436,1.36548,1.34780,1.35159,1.27543,1.29393,1.35317,1.33524,1.37177,1.35168,1.32836,1.39032,1.32789,1.33864,1.37598,1.40298,1.39079,1.58274,1.58571,1.65886,1.79564,1.85675,1.91129,1.97151,1.96295,1.92126,1.83206,1.79686,1.74684,1.68228,1.62724,1.59563,1.55280,1.49602,1.34280,1.32032,1.30121,1.35422,1.55261,1.51664,1.66845,2.09805,2.19417,1.93612,1.71465,1.53150
2008,Merriwa 33_11kV,10MAY2007,MW,1.35715,1.27411,1.21751,1.16921,1.13901,1.09611,1.02387,0.96288,0.95818,0.96029,0.94181,0.92071,0.93673,0.93724,0.94513,0.97647,0.93793,0.92173,0.95937,0.95863,0.94672,0.97490,1.00963,1.06266,1.13037,1.13132,1.28661,1.37725,1.20954,1.24915,1.25132,1.24531,1.34122,1.34162,1.33318,1.34381,1.33079,1.34084,1.31840,1.36291,1.36948,1.35405,1.38723,1.38916,1.40027,1.43493,1.41660,1.39360,1.38871,1.43100,1.39822,1.39491,1.35552,1.35351,1.39002,1.37977,1.32884,1.32152,1.37004,1.35530,1.35417,1.37105,1.39036,1.41483,1.42336,1.51758,1.53379,1.58046,1.64304,1.67866,1.75778,1.77742,1.85980,1.80526,1.76201,1.79984,1.80540,1.71632,1.72065,1.67373,1.57841,1.53161,1.52732,1.49695,1.45628,1.39327,1.37082,1.42373,1.59434,1.51779,1.65321,2.05311,2.16545,1.97371,1.75317,1.55021
