year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Padstow 33_11kV,01MAY2007,MW,14.78903,14.12286,13.79929,14.44643,14.14190,13.41862,13.15215,12.79052,12.54308,12.08628,12.16241,12.21951,11.61044,11.95304,11.59141,11.81981,12.14338,11.89594,11.87691,12.14338,12.20048,13.45669,14.37030,16.42592,16.65432,18.19603,19.52838,20.57522,22.40244,23.92512,24.70549,24.91486,25.56200,26.49464,26.97048,26.64691,26.72304,26.45657,27.86505,27.80795,27.90312,28.22669,27.92215,28.34089,28.55026,28.45509,28.01732,27.40825,27.99829,27.42728,27.78892,27.54148,28.66446,28.05539,28.26476,28.28379,28.13152,27.80795,27.08468,27.02758,26.93241,25.67620,26.22817,25.04809,24.21062,24.21062,23.33508,22.78311,22.82117,22.85924,22.82117,22.00273,21.54593,21.79336,20.84169,20.99396,20.06132,19.52838,19.54741,19.22384,18.63380,18.42443,18.42443,18.21507,17.92956,17.35856,17.11112,16.21655,17.70116,17.81536,18.44347,17.60599,17.22532,16.25461,16.29268,15.74071
2008,Padstow 33_11kV,02MAY2007,MW,15.03647,14.82710,13.95156,14.96034,14.48450,13.62799,13.64702,13.28539,12.58115,12.90472,12.77148,12.35275,12.01014,12.14338,11.74367,11.74367,11.83884,12.50501,12.20048,12.67632,13.11409,13.70412,14.67483,15.41714,18.02473,18.25313,19.45224,20.23262,23.33508,23.58251,25.52393,26.58981,25.92364,26.36141,26.38044,27.46535,27.27501,26.97048,26.87531,27.92215,27.71279,27.96022,28.07442,28.03635,27.65568,28.16959,28.39799,28.20766,27.42728,27.27501,27.59858,28.05539,28.45509,27.96022,27.82699,28.37896,28.13152,28.13152,28.20766,27.75085,26.81821,26.39947,26.85628,26.15204,25.35263,25.08616,25.14326,23.96318,23.16378,22.84021,23.04958,22.13597,22.28824,21.31753,20.91782,20.57522,20.11842,19.56644,19.47128,18.95737,19.22384,18.69090,18.61477,18.44347,17.79633,17.18726,16.93982,16.14041,17.37759,17.52986,18.72897,17.64406,17.05402,15.95008,16.92079,16.10235
2008,Padstow 33_11kV,03MAY2007,MW,15.39811,14.52257,14.02769,15.05550,14.77000,14.35126,13.70412,13.38055,12.79052,12.71438,12.48598,12.37178,12.04821,12.16241,12.08628,12.12434,12.21951,11.68657,11.97208,12.42888,13.09505,13.87543,14.29416,15.60748,17.54889,18.70994,19.89001,20.74652,23.33508,23.75382,24.83873,24.81969,25.73330,26.58981,27.06565,27.08468,26.76111,27.61762,28.13152,28.51219,27.97925,28.15056,28.13152,28.60736,29.15933,29.00706,29.06416,28.41702,28.60736,28.09346,28.07442,28.16959,28.72156,29.29257,28.62639,29.63517,29.31160,28.98803,28.64543,27.38922,27.27501,26.74208,26.26624,25.31456,24.97196,24.07739,23.84898,22.87827,22.87827,22.32630,22.70697,22.26920,21.94563,21.48883,21.12719,20.93686,20.51812,20.76556,19.94711,20.23262,19.14771,19.09061,18.51960,17.73923,16.88272,16.69239,16.73045,15.83588,17.26339,17.11112,18.34830,17.75826,16.17848,15.49327,15.16970,14.97937
2008,Padstow 33_11kV,04MAY2007,MW,14.19900,13.62799,13.22829,13.76123,13.72316,13.19022,12.99988,12.71438,12.23854,11.81981,11.74367,11.19170,11.59141,11.51527,11.17267,10.90620,10.96330,11.03943,11.11557,11.51527,11.24880,12.27661,13.51379,14.71290,17.28242,18.23410,19.64258,20.38489,21.83143,22.44050,24.40096,25.23843,24.66742,26.30431,26.62788,26.78014,26.60884,26.79918,26.85628,27.65568,26.95144,27.97925,28.68349,28.20766,28.47413,27.75085,27.97925,27.65568,27.02758,26.93241,26.93241,27.17985,26.74208,27.08468,26.55174,26.11397,26.26624,26.28527,25.14326,25.31456,24.19159,24.26772,23.50638,23.39218,22.36437,22.09790,21.46980,21.03202,21.29849,20.89879,21.48883,20.25165,19.71871,18.80510,18.13893,18.02473,17.43469,17.14919,16.73045,16.23558,15.96911,15.62651,15.64554,15.49327,15.15067,15.11260,14.67483,14.78903,15.18874,15.64554,16.15945,15.30294,14.69387,13.85639,14.52257,13.66606
2008,Padstow 33_11kV,05MAY2007,MW,12.98085,12.10531,11.66754,13.03795,12.18144,11.78174,11.61044,10.94427,10.56360,10.16389,9.89742,9.63095,9.59289,9.47869,9.30738,9.42159,9.32642,9.45965,9.64999,9.64999,9.80226,9.89742,10.39229,10.92523,11.45817,11.26784,11.89594,11.91497,12.44791,13.15215,13.95156,14.14190,14.84613,14.94130,15.41714,15.51231,15.64554,15.70264,15.98815,16.25461,16.63528,16.78755,16.92079,16.76852,16.63528,16.99692,16.78755,16.21655,15.75974,15.72168,15.20777,14.80807,14.86517,14.50353,14.71290,14.37030,13.95156,13.45669,13.13312,12.88568,12.86665,12.73342,12.77148,12.20048,12.39081,12.23854,12.73342,12.60018,12.71438,13.34249,13.39959,13.60896,13.39959,13.26635,13.24732,13.03795,12.79052,12.27661,12.21951,12.16241,12.06724,11.87691,11.55334,11.59141,11.32494,11.13460,10.86813,11.24880,12.31468,12.65728,14.02769,13.49476,12.80955,12.37178,13.28539,12.58115
2008,Padstow 33_11kV,06MAY2007,MW,12.02918,11.49624,10.88717,11.87691,11.53430,10.90620,10.60166,10.03066,9.74516,9.19318,8.94575,8.85058,8.48894,8.43184,8.31764,8.27958,8.03214,8.08924,8.01311,8.16537,8.16537,8.43184,8.20344,8.58411,8.71735,8.27958,8.24151,8.29861,8.39378,8.90768,9.13608,9.40255,9.53579,9.76419,10.03066,10.14486,10.77296,10.81103,11.13460,11.51527,11.47720,11.30590,11.38204,11.64851,11.40107,11.57237,11.72464,11.76271,11.93401,11.91497,11.68657,11.40107,11.51527,11.59141,11.55334,11.34397,11.55334,11.76271,11.38204,11.55334,11.13460,11.17267,11.15363,11.34397,11.19170,11.24880,11.49624,11.64851,11.80077,12.77148,12.99988,13.05699,13.26635,13.01892,12.88568,12.77148,12.50501,12.54308,12.40985,12.37178,12.40985,12.20048,11.99111,11.74367,11.62947,11.28687,10.94427,11.21074,12.20048,12.92375,14.19900,13.58992,13.58992,13.32345,13.87543,13.15215
2008,Padstow 33_11kV,07MAY2007,MW,12.94278,12.33371,11.91497,13.26635,12.46695,11.87691,11.93401,11.47720,11.15363,10.75393,10.63973,10.50650,10.22099,10.27809,9.93549,10.33519,10.20196,10.46843,10.73490,10.98233,12.27661,12.92375,14.23706,15.20777,16.92079,18.29120,19.33804,20.93686,22.36437,22.95441,24.45806,24.83873,25.67620,26.68498,26.53271,26.57077,26.64691,28.09346,28.03635,28.68349,28.01732,28.34089,28.91190,29.86357,29.27353,29.33063,29.71130,28.18862,27.42728,27.90312,27.99829,27.84602,28.81673,28.58833,28.87383,28.05539,28.16959,27.69375,27.75085,27.06565,26.70401,26.30431,25.42876,24.70549,24.15352,23.62058,23.25894,22.55470,22.63084,22.70697,22.76407,21.54593,20.93686,21.37463,20.76556,20.74652,19.98518,19.58548,19.31901,19.45224,19.24287,18.99544,18.70994,18.50057,18.19603,17.85343,17.24436,16.86369,17.60599,18.11990,18.91931,18.13893,17.62503,16.12138,16.65432,15.72168
2008,Padstow 33_11kV,08MAY2007,MW,15.39811,14.25610,13.81833,15.15067,14.94130,14.40836,13.72316,13.09505,12.69535,12.65728,12.50501,12.60018,12.21951,11.78174,11.97208,11.68657,12.10531,11.93401,11.87691,12.42888,12.65728,13.53282,14.04673,15.89298,17.28242,18.51960,20.78459,21.07009,23.69672,24.09642,26.01880,25.46683,26.53271,27.48438,27.76989,27.73182,27.46535,27.90312,27.75085,27.71279,27.67472,28.22669,28.64543,28.41702,27.90312,28.03635,29.38773,28.75963,27.97925,27.40825,27.97925,27.71279,29.21643,29.40677,28.72156,28.87383,29.52097,28.79770,28.32186,27.78892,27.67472,26.64691,26.34237,25.80943,25.18133,25.99977,24.85776,23.96318,23.90608,24.17255,23.82995,23.43025,23.16378,22.07887,22.17403,21.46980,21.16526,20.78459,20.51812,20.44199,19.89001,19.62355,19.52838,18.67187,19.01447,18.10086,17.24436,17.33952,18.55767,18.19603,18.91931,17.81536,16.63528,16.17848,16.50205,15.68361
2008,Padstow 33_11kV,09MAY2007,MW,14.88420,14.78903,13.98963,15.13164,14.40836,13.93253,14.25610,13.57089,13.05699,13.28539,12.63825,12.63825,12.69535,12.48598,12.33371,12.44791,12.88568,12.54308,13.01892,13.49476,13.22829,14.38933,14.80807,16.52108,18.04376,19.07157,20.59425,21.41269,23.46831,24.32482,25.14326,25.90460,27.48438,26.98951,27.00855,27.78892,27.67472,27.76989,28.34089,29.02610,28.62639,28.68349,29.38773,29.57807,28.98803,29.84454,29.92067,29.19740,28.62639,27.94119,28.35992,28.35992,29.52097,29.63517,28.79770,29.10223,28.74059,28.62639,28.60736,27.67472,27.61762,26.78014,26.45657,26.38044,25.96170,25.56200,24.85776,24.36289,24.78163,24.17255,23.79188,22.87827,22.26920,21.62206,21.35559,21.26043,20.49909,20.65135,20.09938,19.71871,18.97641,19.18577,18.72897,18.55767,18.50057,17.79633,17.35856,17.18726,18.31023,18.53864,19.10964,17.94860,17.89150,16.23558,17.11112,15.98815
2008,Padstow 33_11kV,10MAY2007,MW,15.58844,14.75097,14.37030,15.26487,14.59870,13.98963,14.02769,13.66606,13.22829,12.98085,12.92375,12.65728,12.12434,12.31468,12.10531,11.99111,12.21951,12.10531,12.86665,13.15215,13.32345,13.85639,15.28391,15.96911,18.00570,19.12867,20.65135,22.07887,23.25894,25.14326,26.22817,25.46683,26.87531,27.25598,27.76989,27.06565,28.11249,27.17985,28.13152,28.28379,28.55026,28.72156,29.74937,29.12126,28.74059,28.45509,29.17837,28.66446,28.58833,27.88409,27.59858,27.76989,28.93093,28.34089,28.98803,28.72156,28.45509,28.01732,27.78892,26.09494,26.30431,25.20036,25.40973,24.43902,24.00125,24.62936,24.26772,23.90608,23.65865,23.43025,23.46831,22.17403,22.26920,21.71723,21.71723,21.50786,20.95589,20.99396,19.85195,20.30875,19.54741,19.52838,19.98518,18.78607,18.40540,18.04376,17.28242,17.05402,18.55767,18.11990,19.28094,18.63380,18.04376,16.55915,16.78755,15.75974
