year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Paxton 33_11kV,01MAY2007,MW,2.73403,2.53911,2.44119,2.35838,2.11536,1.90032,1.78353,1.64779,1.53314,1.47515,1.40191,1.35491,1.34588,1.30547,1.32246,1.34510,1.31888,1.36630,1.39628,1.38295,1.41837,1.41922,1.45518,1.60693,1.73703,1.89789,1.97141,2.01517,2.11326,2.22681,2.24718,2.23871,2.21905,2.16901,2.11411,2.05430,1.77759,1.80328,1.87840,1.90690,1.83723,1.82905,1.72828,1.67209,1.73988,1.76703,1.78136,1.74410,1.58223,1.55406,1.63787,1.72585,1.69774,1.66751,1.66514,1.70169,1.71500,1.75843,1.73308,1.77689,1.81906,1.86567,1.78044,1.66056,1.60495,1.64507,1.72153,1.86947,1.97388,2.18729,2.41273,2.56337,2.65565,2.62949,2.57643,2.53595,2.49661,2.44744,2.44466,2.41345,2.29731,2.27013,2.17306,2.18614,2.12228,2.08013,2.09503,2.15414,2.32852,2.35040,2.35345,2.43481,2.79123,2.87232,2.74448,2.73087
2008,Paxton 33_11kV,02MAY2007,MW,2.68333,2.49799,2.43834,2.28719,2.14763,1.91447,1.75216,1.63917,1.55458,1.48798,1.44171,1.32796,1.31033,1.31666,1.28276,1.29122,1.30036,1.32722,1.35601,1.40105,1.46034,1.52670,1.57437,1.65240,1.80209,1.96683,2.04169,2.08424,2.11293,2.28455,2.34833,2.31796,2.25547,2.22177,2.22521,2.13404,1.91608,1.85521,1.87742,1.80278,1.69829,1.75742,1.70423,1.69642,1.71143,1.68033,1.71634,1.81870,1.62226,1.52736,1.64516,1.72758,1.83580,1.83285,1.74839,1.76290,1.69524,1.69077,1.66520,1.66092,1.71973,1.74723,1.71978,1.65521,1.69416,1.76244,1.81773,1.87425,1.96772,2.19894,2.43522,2.57431,2.63863,2.60931,2.59839,2.58860,2.54008,2.46556,2.43646,2.34545,2.31229,2.24009,2.24060,2.18282,2.11097,2.04944,2.09390,2.17556,2.29431,2.31829,2.36400,2.47021,2.84408,2.90336,2.77437,2.73259
2008,Paxton 33_11kV,03MAY2007,MW,2.70857,2.57002,2.49788,2.32024,2.08962,1.89488,1.77539,1.63406,1.52318,1.46434,1.37991,1.32026,1.33562,1.30358,1.31579,1.33624,1.31830,1.33519,1.38392,1.40959,1.42397,1.49473,1.56675,1.70177,1.84069,1.97313,2.11045,2.11850,2.19856,2.32283,2.28355,2.25736,2.23637,2.23292,2.20087,2.12786,1.79019,1.92612,1.96669,1.92317,1.85181,1.79094,1.72312,1.72914,1.71704,1.80289,1.83062,1.79809,1.62092,1.55644,1.69995,1.83223,1.84068,1.78490,1.85366,1.82626,1.85072,1.82179,1.80670,1.86473,1.84353,1.81552,1.75363,1.66516,1.66526,1.65034,1.72925,1.85158,1.94281,2.09215,2.24287,2.44347,2.54456,2.54863,2.46970,2.46283,2.51964,2.43780,2.35937,2.32618,2.30986,2.22409,2.09648,2.07514,2.03490,1.98690,2.01429,2.09867,2.26208,2.37703,2.35546,2.44402,2.75490,2.92809,2.80298,2.80247
2008,Paxton 33_11kV,04MAY2007,MW,2.72953,2.48266,2.43836,2.29507,2.09016,1.92861,1.79255,1.68644,1.58136,1.53674,1.42245,1.35876,1.30818,1.31523,1.31821,1.32428,1.34694,1.37593,1.38051,1.37670,1.48684,1.53485,1.54958,1.66758,1.73809,1.90692,2.00010,2.08419,2.16722,2.27136,2.27856,2.28618,2.28653,2.28860,2.12295,1.98561,1.77192,1.78056,1.84830,1.84214,1.89339,1.89215,1.79924,1.83790,1.81769,1.79038,1.81638,1.84919,1.66226,1.64703,1.79021,1.86266,1.83265,1.78583,1.76103,1.59445,1.57975,1.55462,1.59238,1.62528,1.63859,1.67827,1.66835,1.68631,1.70048,1.74817,1.77657,1.83026,1.90802,2.09188,2.38445,2.55020,2.58161,2.57016,2.48323,2.45999,2.43147,2.39632,2.32223,2.28032,2.22398,2.18159,2.13774,2.12149,2.10402,2.06994,2.13756,2.24001,2.37125,2.44165,2.44175,2.52142,2.95075,3.04742,2.87804,2.78715
2008,Paxton 33_11kV,05MAY2007,MW,2.74593,2.56935,2.51412,2.36138,2.16639,1.89990,1.78877,1.68361,1.61807,1.49684,1.45597,1.39432,1.34435,1.35529,1.30287,1.27878,1.31367,1.30445,1.35056,1.40083,1.43829,1.41374,1.40844,1.45779,1.56037,1.67779,1.82338,1.93331,2.00447,2.17399,2.24034,2.34142,2.34442,2.38011,2.47035,2.42575,2.41008,2.37985,2.23068,2.13161,2.06822,2.03847,1.94114,1.95484,1.91971,1.90786,1.85379,1.82806,1.87510,1.84572,1.76812,1.77269,1.76228,1.78599,1.71262,1.70966,1.69798,1.67965,1.69674,1.71646,1.69337,1.69918,1.75954,1.78666,1.79764,1.83418,1.90445,1.99616,2.12317,2.41359,2.61875,2.81953,2.88382,2.79069,2.77557,2.69407,2.61058,2.51161,2.55063,2.46691,2.41486,2.31817,2.30861,2.26450,2.24028,2.19299,2.25809,2.29411,2.33533,2.36668,2.33021,2.38814,2.70562,2.70239,2.49161,2.42332
2008,Paxton 33_11kV,06MAY2007,MW,2.34954,2.14338,2.10561,1.97582,1.83092,1.66097,1.54308,1.44159,1.40938,1.36620,1.34309,1.37762,1.36327,1.35967,1.38639,1.31729,1.30655,1.30696,1.40297,1.39417,1.41212,1.41691,1.44354,1.40623,1.55766,1.63820,1.77038,1.78337,1.84509,1.99131,2.04424,2.21936,2.26720,2.27720,2.41301,2.41961,2.42274,2.39489,2.31630,2.28354,2.23333,2.19103,2.17954,2.09026,2.02890,1.94150,1.91892,1.93459,1.94817,1.95459,1.92606,1.93380,1.89914,1.83760,1.88230,1.87637,1.82138,1.79850,1.86585,1.86086,1.91626,1.85219,1.81944,1.87385,1.91909,1.92732,2.02899,2.12885,2.24175,2.43187,2.65119,2.84070,2.85667,2.83291,2.82528,2.77599,2.67554,2.57728,2.54732,2.50153,2.46298,2.41202,2.32153,2.23860,2.20099,2.19080,2.17745,2.11265,2.17133,2.21736,2.25184,2.33698,2.55803,2.56091,2.35658,2.26090
2008,Paxton 33_11kV,07MAY2007,MW,2.28720,2.12775,2.02523,1.88227,1.76712,1.59761,1.45161,1.45318,1.41631,1.29083,1.30277,1.31524,1.31686,1.32240,1.35903,1.29792,1.26700,1.31270,1.30734,1.37967,1.42189,1.49659,1.59498,1.66496,1.81246,1.92799,2.15652,2.17506,2.23475,2.32068,2.25590,2.20041,2.20313,2.16909,2.16703,2.06746,1.80761,1.78267,1.83715,1.78375,1.77981,1.77259,1.72120,1.67066,1.69079,1.72859,1.77421,1.74514,1.63807,1.62684,1.67481,1.75027,1.75367,1.79025,1.73524,1.69339,1.72120,1.75123,1.75921,1.77174,1.78910,1.86037,1.87114,1.73983,1.74361,1.81765,1.87017,1.98192,2.17029,2.35247,2.50020,2.63330,2.67010,2.67451,2.67251,2.56864,2.54490,2.42971,2.39847,2.35941,2.29151,2.23167,2.18335,2.06705,1.98499,1.94195,1.95345,2.01127,2.14614,2.22611,2.25499,2.34736,2.80826,2.87455,2.79478,2.81565
2008,Paxton 33_11kV,08MAY2007,MW,2.77631,2.58878,2.52446,2.28967,2.09386,1.90377,1.76995,1.64671,1.58356,1.51293,1.43479,1.36845,1.31114,1.28060,1.27856,1.27677,1.35667,1.38455,1.39959,1.40520,1.50803,1.49749,1.57607,1.59980,1.85611,1.96359,1.92886,2.03212,2.11984,2.21630,2.19246,2.17605,2.19069,2.20232,2.18022,2.02416,1.79381,1.83191,1.89444,1.80033,1.79847,1.77062,1.75387,1.67885,1.68947,1.73220,1.73360,1.80423,1.61340,1.57130,1.69309,1.84612,1.79553,1.77024,1.76729,1.80531,1.86781,1.87529,1.89993,1.92368,1.86562,1.86405,1.88720,1.66941,1.68652,1.73780,1.78489,1.90479,2.05673,2.21504,2.46976,2.58395,2.56924,2.54244,2.50598,2.52988,2.46256,2.37867,2.29209,2.24909,2.19512,2.16545,2.10395,2.10234,2.01361,1.85762,1.92965,1.99874,2.16061,2.19701,2.18913,2.30318,2.70351,2.79842,2.68137,2.70948
2008,Paxton 33_11kV,09MAY2007,MW,2.70449,2.42774,2.35545,2.17005,2.02642,1.81889,1.67722,1.59077,1.53689,1.44420,1.42922,1.40722,1.34341,1.30310,1.27523,1.29226,1.25484,1.29876,1.26947,1.30148,1.41115,1.45627,1.56253,1.67033,1.83745,1.96700,2.02968,1.97925,1.98962,1.98975,2.04526,2.08983,2.09029,2.07640,2.02141,1.92786,1.76410,1.80887,1.93654,1.93116,1.91537,1.86173,1.85909,1.83865,1.87614,1.92000,1.87432,1.87772,1.78298,1.73315,1.80236,1.85866,1.84529,1.83626,1.84401,1.85518,1.81013,1.84982,1.86254,1.87684,1.92714,1.93995,1.94253,1.86611,1.95458,1.94832,2.01643,2.08107,2.28052,2.46489,2.64968,2.68488,2.73749,2.69453,2.63004,2.56118,2.53803,2.48670,2.41604,2.32334,2.22095,2.13479,2.13046,2.12846,2.04289,1.97039,1.99418,2.01756,2.20841,2.26593,2.24710,2.36915,2.75771,2.87367,2.78105,2.76368
2008,Paxton 33_11kV,10MAY2007,MW,2.66294,2.47565,2.45697,2.24737,2.05543,1.87997,1.74137,1.60656,1.52358,1.50728,1.46594,1.39322,1.29580,1.32466,1.30621,1.32707,1.35437,1.27848,1.31807,1.31735,1.39033,1.52024,1.59791,1.61700,1.77326,1.81792,2.00821,1.99233,1.99466,2.14416,2.20853,2.18490,2.24188,2.22754,2.12941,2.12657,1.94149,2.00498,2.02530,1.99475,1.99706,2.00074,2.04200,2.01083,2.02023,1.99069,1.94770,1.96284,1.88171,1.83201,1.91855,2.04040,1.98356,1.98654,2.00749,2.00884,2.00095,2.16108,2.17126,2.00929,2.04494,2.08163,2.12339,1.98947,2.03071,2.05946,2.18773,2.30599,2.47557,2.63323,2.75156,2.85563,2.87177,2.88086,2.88908,2.81651,2.74165,2.71928,2.68995,2.67499,2.52113,2.49721,2.41549,2.35958,2.23984,2.17367,2.20009,2.32087,2.40405,2.36225,2.34343,2.51200,2.88654,3.02598,2.86474,2.77839
