year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,St Ives 33_11kV,01MAY2007,MW,19.33435,17.80888,16.56723,18.42971,17.56055,16.30116,15.13046,14.17261,13.23250,12.15048,11.45870,11.01526,10.60728,10.37669,9.89777,9.68491,9.79134,9.68491,9.88003,10.14610,10.80240,10.97978,11.52966,13.19702,15.37879,17.54282,19.99065,18.83768,19.49399,20.07934,20.07934,19.88422,19.99065,19.77779,19.31661,19.13923,19.12149,18.85542,18.96185,18.67804,18.35876,18.07495,18.09269,17.72019,17.70246,17.56055,17.41865,17.41865,17.09937,16.81556,16.78008,16.78008,16.67366,16.40759,16.46080,16.62044,16.60270,16.53175,16.76235,16.33664,16.78008,16.90425,17.15258,17.57829,17.89757,18.71352,19.26339,19.91970,21.87087,24.65573,26.12797,26.94392,27.70665,29.30306,28.75319,28.62902,28.27426,27.56475,26.94392,26.14571,25.70226,25.32977,24.44287,23.36086,22.82872,21.71123,21.30326,20.55826,21.19683,22.89967,23.60919,22.24337,20.20350,21.78218,20.55826,18.83768
2008,St Ives 33_11kV,02MAY2007,MW,20.20350,18.64257,16.99294,19.38756,18.50066,17.15258,16.12378,14.84665,13.64047,12.57619,12.04406,11.58287,11.10395,10.64276,10.34121,10.37669,10.25252,10.44764,10.35895,10.55407,11.01526,11.70704,12.62941,13.81785,15.85771,18.51840,21.09040,19.44077,20.57600,21.32099,21.79992,21.58706,21.17909,21.05493,20.22124,20.45184,20.13255,20.00839,19.95517,19.60042,19.47625,18.99733,18.81995,18.67804,18.37650,18.42971,18.07495,17.86210,17.41865,17.64924,17.68472,17.47186,17.45413,17.34770,17.52508,17.45413,17.68472,17.57829,17.27675,17.57829,17.36544,17.73793,18.09269,18.50066,18.85542,19.12149,19.97291,20.29219,21.69349,23.89299,25.96833,26.64237,27.61796,27.88403,27.88403,27.65344,27.15677,26.00381,25.75548,25.43619,24.23002,23.80431,23.25443,22.58039,21.79992,20.91302,20.62922,19.44077,20.15029,22.17242,23.02384,21.78218,19.97291,21.33873,20.30993,18.74899
2008,St Ives 33_11kV,03MAY2007,MW,19.90196,18.28781,16.81556,19.17470,18.34102,16.58497,15.80450,14.66927,13.71142,12.62941,12.07953,11.26359,10.89109,10.71371,10.46538,10.34121,10.50086,10.21705,10.44764,10.64276,11.06847,11.33454,12.29239,13.42761,15.59164,17.59603,20.20350,19.05054,20.30993,20.82433,20.71790,20.96624,20.77112,20.64695,20.39862,20.22124,20.30993,19.91970,19.70684,19.61815,19.47625,19.10375,18.94411,18.96185,18.51840,18.02174,17.89757,17.91531,17.70246,17.68472,17.75567,17.77341,17.84436,17.80888,17.79115,17.87984,17.73793,17.68472,17.63150,17.72019,17.64924,18.05722,18.39424,18.37650,18.81995,19.17470,19.35208,20.06160,21.42742,23.62693,25.68453,26.64237,27.26320,27.56475,27.28094,27.12130,26.25214,26.16345,25.70226,25.27655,24.65573,23.91073,23.32538,22.20789,21.48064,20.59374,20.02613,19.17470,19.81327,21.79992,22.65134,21.32099,19.45851,20.73564,20.11482,18.30555
2008,St Ives 33_11kV,04MAY2007,MW,19.63589,18.25233,16.78008,18.81995,17.68472,16.38985,15.69807,14.04844,12.93095,12.32786,11.51192,11.03299,10.74919,10.37669,10.05741,10.16384,9.88003,10.07515,9.91550,10.16384,11.01526,11.31680,11.93763,13.17928,15.14819,17.36544,19.58268,18.11043,19.44077,20.25672,20.20350,20.36315,20.38088,20.02613,20.22124,19.61815,19.77779,19.86648,19.45851,19.47625,19.31661,19.12149,18.90864,18.89090,18.57162,18.05722,18.34102,18.46519,18.35876,18.41197,17.93305,18.09269,17.89757,17.95079,18.03948,17.89757,17.73793,17.84436,17.79115,17.61377,17.91531,18.07495,18.35876,18.96185,19.05054,19.47625,20.16803,20.46957,22.24337,23.94621,25.43619,25.80869,26.66011,26.48273,26.21666,25.43619,24.79763,24.54930,24.01716,23.25443,22.34979,21.95956,21.28552,20.62922,20.18577,19.76006,19.12149,18.48293,19.42304,21.64028,22.70455,21.60480,20.22124,21.56933,20.87755,18.99733
2008,St Ives 33_11kV,05MAY2007,MW,20.20350,18.83768,17.18806,19.08602,18.32328,16.65592,15.69807,14.42094,13.01964,12.18596,11.76025,11.01526,10.80240,10.39443,10.16384,10.18157,10.12836,10.00419,10.03967,10.16384,10.39443,10.94430,11.21037,11.83120,12.55846,13.53404,14.70475,14.43868,15.76902,17.11710,17.66698,18.74899,19.36982,19.88422,20.04386,20.18577,20.29219,20.16803,20.23898,20.54053,19.99065,20.02613,19.63589,19.77779,19.51173,19.13923,19.36982,19.12149,18.69578,18.19912,18.23459,18.27007,18.34102,17.89757,18.11043,18.25233,18.09269,17.95079,17.98626,17.82662,18.12817,18.19912,18.37650,18.50066,18.89090,19.47625,19.95517,19.99065,21.35647,23.76883,25.41846,26.30535,26.53595,26.46500,25.96833,25.13465,24.30097,23.85752,23.27217,22.63360,21.58706,21.07266,20.04386,19.68910,19.17470,18.57162,18.27007,17.70246,19.22792,21.71123,22.75777,21.95956,20.48731,22.17242,21.48064,19.81327
2008,St Ives 33_11kV,06MAY2007,MW,21.16135,19.76006,18.27007,20.41636,19.24566,17.77341,16.58497,15.21915,14.38546,13.33893,12.31013,11.68930,11.26359,10.94430,10.57181,10.21705,10.35895,10.35895,10.23479,10.32348,10.42990,10.73145,10.99752,11.44097,12.06179,12.32786,13.00190,12.87774,14.06618,15.05950,15.99961,16.93973,17.72019,18.35876,19.13923,19.54720,19.88422,20.07934,20.23898,20.27446,20.23898,20.23898,19.67137,20.04386,19.42304,19.52946,19.06828,19.06828,18.87316,18.64257,18.48293,18.35876,18.16364,18.00400,17.95079,17.95079,17.98626,17.75567,17.77341,17.54282,17.93305,18.21686,18.27007,18.53614,18.60709,18.83768,20.02613,20.46957,22.01277,24.74442,26.57142,27.75986,28.22105,27.91951,27.61796,27.51153,26.66011,25.82643,25.18786,24.44287,23.92847,23.30764,22.77551,22.06599,21.32099,20.32767,19.83101,18.69578,19.67137,21.99504,22.61586,21.23230,19.77779,21.07266,20.38088,18.87316
2008,St Ives 33_11kV,07MAY2007,MW,20.04386,18.96185,17.52508,19.76006,18.78447,17.45413,16.01735,15.04177,14.24356,13.07286,12.18596,11.72477,11.26359,10.58955,10.41217,10.14610,10.11062,10.21705,10.23479,10.35895,10.83788,11.42323,12.00858,13.35666,15.78676,17.96853,20.34541,18.99733,19.97291,20.93076,20.75338,20.75338,20.71790,20.39862,20.23898,19.88422,19.99065,19.70684,19.68910,19.58268,19.54720,19.08602,18.90864,18.64257,18.50066,18.30555,18.25233,18.19912,18.09269,18.02174,17.77341,17.77341,17.73793,17.61377,17.25901,17.40091,17.41865,17.40091,17.36544,17.11710,17.38317,17.57829,17.70246,18.18138,18.50066,19.13923,20.11482,21.30326,23.50276,26.03928,26.96166,27.72439,28.89509,29.05473,28.98378,28.57581,27.56475,26.74880,26.41178,25.52488,24.47835,24.07037,23.53824,22.61586,22.06599,21.14362,20.46957,19.54720,20.45184,22.22563,22.74003,21.35647,19.68910,21.16135,20.36315,18.48293
2008,St Ives 33_11kV,08MAY2007,MW,19.91970,18.69578,16.90425,19.26339,18.30555,16.88651,15.53843,14.42094,13.71142,12.71810,11.83120,11.38775,10.76692,10.41217,10.44764,10.11062,10.14610,10.32348,10.25252,10.44764,10.97978,11.72477,12.29239,13.62273,15.87545,18.03948,20.34541,18.69578,20.11482,20.36315,20.59374,20.66469,20.68243,20.84207,20.23898,20.00839,20.06160,20.11482,20.07934,19.61815,19.60042,19.35208,19.19244,19.19244,18.80221,18.51840,18.78447,18.51840,18.42971,18.35876,18.05722,18.39424,18.16364,17.95079,18.00400,18.05722,18.12817,17.98626,17.95079,17.72019,17.93305,17.84436,18.27007,18.03948,18.85542,19.67137,20.23898,21.26778,23.37859,25.20560,26.78428,27.49380,27.81308,28.15010,27.29868,27.12130,26.51821,25.66679,25.09917,24.35418,23.94621,23.32538,22.81098,21.81766,21.01945,20.36315,19.99065,18.97959,19.79553,21.69349,22.49170,21.10814,19.13923,20.32767,19.68910,18.14590
2008,St Ives 33_11kV,09MAY2007,MW,19.45851,18.16364,16.60270,18.96185,17.93305,16.53175,15.25462,13.90654,13.12607,12.46977,11.61835,10.97978,10.73145,10.53633,10.07515,10.09288,10.02193,9.89777,10.03967,10.32348,10.80240,11.17490,12.06179,13.19702,15.14819,17.63150,19.74232,18.32328,19.61815,20.36315,20.50505,20.64695,20.64695,20.73564,20.36315,20.43410,20.22124,20.61148,20.16803,20.02613,19.79553,19.49399,19.21018,19.21018,18.89090,18.58935,18.57162,18.39424,18.58935,17.93305,18.12817,18.07495,18.03948,18.11043,17.91531,17.57829,17.56055,17.54282,17.68472,17.79115,18.05722,18.21686,18.89090,19.44077,20.06160,21.32099,22.36753,23.16574,25.02822,26.00381,27.13904,27.61796,27.79534,27.97272,27.86629,27.15677,26.57142,25.63131,25.52488,24.60251,24.12359,23.32538,22.88193,22.15468,21.12588,20.36315,19.99065,18.97959,19.65363,21.72897,22.79324,21.40968,19.54720,20.80659,20.00839,18.14590
2008,St Ives 33_11kV,10MAY2007,MW,19.26339,18.11043,16.47854,18.74899,17.56055,16.28342,15.05950,14.06618,12.98417,12.16822,11.47644,11.10395,10.62502,10.09288,10.07515,9.89777,9.89777,9.96872,9.95098,10.27026,10.71371,11.17490,12.00858,13.16155,15.04177,17.50734,19.70684,18.83768,20.04386,20.84207,21.46290,21.87087,21.71123,21.56933,21.44516,21.78218,21.87087,21.30326,21.32099,21.14362,20.32767,20.52279,20.15029,19.76006,19.68910,19.36982,19.24566,18.83768,18.76673,18.58935,18.57162,18.32328,18.48293,18.60709,18.34102,18.41197,18.34102,17.80888,17.98626,18.00400,18.18138,18.23459,18.71352,18.96185,19.47625,20.29219,21.30326,22.17242,23.98168,26.23440,27.68891,28.80640,29.40949,29.14342,29.03700,28.93057,28.55807,27.65344,27.13904,26.71333,26.42952,25.45393,24.72668,23.71562,23.07705,21.97730,21.53385,20.52279,21.23230,23.23669,23.71562,22.03051,20.55826,21.51611,20.89528,18.97959
